   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_33.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.447779, 0, 3.77516e-10, 5.20827e-35, 1.41421, -3.77516e-10, 5.20827e-35, 0, 5.20827e-35, 5.20827e-35, 5.20827e-35, 5.20827e-35, 5.20827e-35, 5.20827e-35, 5.20827e-35, 5.20827e-35, 5.20827e-35, 5.20827e-35, 5.20827e-35, 1.67354e-12, 5.20827e-35, 5.20827e-35, 9.37407e-15, 1.13602e-13, 5.20827e-35, 3.7572e-10, 5.20827e-35, 5.20827e-35
0.455627, 0, 6.50928e-10, 3.69021e-34, 1.41421, -6.50928e-10, 3.69021e-34, 0, 3.69021e-34, 3.69021e-34, 3.69021e-34, 3.69021e-34, 3.69021e-34, 3.69021e-34, 3.69021e-34, 3.69021e-34, 3.69021e-34, 3.69021e-34, 3.69021e-34, 2.88847e-12, 3.69021e-34, 3.69021e-34, 1.7338e-14, 2.0491e-13, 3.69021e-34, 6.47817e-10, 3.69021e-34, 3.69021e-34
0.463476, 0, 1.10882e-09, 2.57097e-33, 1.41421, -1.10882e-09, 2.57097e-33, 0, 2.57097e-33, 2.57097e-33, 2.57097e-33, 2.57097e-33, 2.57097e-33, 2.57097e-33, 2.57097e-33, 2.57097e-33, 2.57097e-33, 2.57097e-33, 2.57097e-33, 4.92681e-12, 2.57097e-33, 2.57097e-33, 3.19932e-14, 3.67244e-13, 2.57097e-33, 1.1035e-09, 2.57097e-33, 2.57097e-33
0.471324, 0, 1.86633e-09, 3.60315e-32, 1.41421, -1.86633e-09, 3.60315e-32, 0, 3.60315e-32, 3.60315e-32, 3.60315e-32, 3.60315e-32, 3.60315e-32, 3.60315e-32, 3.60315e-32, 3.60315e-32, 3.60315e-32, 3.60315e-32, 3.60315e-32, 8.30681e-12, 3.60315e-32, 3.60315e-32, 5.90352e-14, 6.55654e-13, 3.60315e-32, 1.85731e-09, 3.60315e-32, 3.60315e-32
0.479173, 0, 3.1039e-09, 2.1316e-31, 1.41421, -3.1039e-09, 2.1316e-31, 0, 2.1316e-31, 2.1316e-31, 2.1316e-31, 2.1316e-31, 2.1316e-31, 2.1316e-31, 2.1316e-31, 2.1316e-31, 2.1316e-31, 2.1316e-31, 2.1316e-31, 1.38448e-11, 2.1316e-31, 2.1316e-31, 1.08669e-13, 1.16467e-12, 2.1316e-31, 3.08878e-09, 2.1316e-31, 2.1316e-31
0.487021, 0, 5.10152e-09, 1.18383e-30, 1.41421, -5.10152e-09, 1.18383e-30, 0, 1.18383e-30, 1.18383e-30, 1.18383e-30, 1.18383e-30, 1.18383e-30, 1.18383e-30, 1.18383e-30, 1.18383e-30, 1.18383e-30, 1.18383e-30, 1.18383e-30, 2.28168e-11, 1.18383e-30, 1.18383e-30, 1.9992e-13, 2.06407e-12, 1.18383e-30, 5.07643e-09, 1.18383e-30, 1.18383e-30
0.49487, 0, 8.28726e-09, 6.18658e-30, 1.41421, -8.28726e-09, 6.18658e-30, 0, 6.18658e-30, 6.18658e-30, 6.18658e-30, 6.18658e-30, 6.18658e-30, 6.18658e-30, 6.18658e-30, 6.18658e-30, 6.18658e-30, 6.18658e-30, 6.18658e-30, 3.71903e-11, 6.18658e-30, 6.18658e-30, 3.67579e-13, 3.65494e-12, 6.18658e-30, 8.24604e-09, 6.18658e-30, 6.18658e-30
0.502718, 0, 1.33075e-08, 3.05112e-29, 1.41421, -1.33075e-08, 3.05112e-29, 0, 3.05112e-29, 3.05112e-29, 3.05112e-29, 3.05112e-29, 3.05112e-29, 3.05112e-29, 3.05112e-29, 3.05112e-29, 3.05112e-29, 3.05112e-29, 3.05112e-29, 5.99676e-11, 3.05112e-29, 3.05112e-29, 6.75187e-13, 6.47538e-12, 3.05112e-29, 1.32403e-08, 3.05112e-29, 3.05112e-29
0.510566, 0, 2.11259e-08, 1.42444e-28, 1.41421, -2.11259e-08, 1.42444e-28, 0, 1.42444e-28, 1.42444e-28, 1.42444e-28, 1.42444e-28, 1.42444e-28, 1.42444e-28, 1.42444e-28, 1.42444e-28, 1.42444e-28, 1.42444e-28, 1.42444e-28, 9.56832e-11, 1.42444e-28, 1.42444e-28, 1.2382e-12, 1.14917e-11, 1.42444e-28, 2.10175e-08, 1.42444e-28, 1.42444e-28
0.518415, 0, 3.31609e-08, 6.3136e-28, 1.41421, -3.31609e-08, 6.3136e-28, 0, 6.3136e-28, 6.3136e-28, 6.3136e-28, 6.3136e-28, 6.3136e-28, 6.3136e-28, 6.3136e-28, 6.3136e-28, 6.3136e-28, 6.3136e-28, 6.3136e-28, 1.51112e-10, 6.3136e-28, 6.3136e-28, 2.26485e-12, 2.04439e-11, 6.3136e-28, 3.29871e-08, 6.3136e-28, 6.3136e-28
