   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_580.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.448452, 0, 1.6455e-07, 2.09751e-27, 1.41421, -1.6455e-07, 2.09751e-27, 0, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 2.09751e-27, 8.56508e-12, 2.09751e-27, 1.17874e-07, 2.09751e-27, 4.66677e-08, 2.09751e-27, 2.09751e-27
0.456315, 0, 2.503e-07, 8.40867e-27, 1.41421, -2.503e-07, 8.40867e-27, 0, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 8.40867e-27, 1.36144e-11, 8.40867e-27, 1.85546e-07, 8.40867e-27, 6.47399e-08, 8.40867e-27, 8.40867e-27
0.464179, 0, 3.80493e-07, 3.21921e-26, 1.41421, -3.80493e-07, 3.21921e-26, 0, 3.21921e-26, 3.21921e-26, 3.21921e-26, 3.21921e-26, 3.21921e-26, 3.21921e-26, 3.21921e-26, 3.04976e-13, 3.21921e-26, 3.21921e-26, 3.21921e-26, 3.21921e-26, 3.21921e-26, 2.15868e-11, 3.21921e-26, 2.91227e-07, 3.21921e-26, 8.92441e-08, 3.21921e-26, 3.21921e-26
0.472042, 0, 5.77854e-07, 1.17892e-25, 1.41421, -5.77854e-07, 1.17892e-25, 0, 1.17892e-25, 1.17892e-25, 1.17892e-25, 1.17892e-25, 1.17892e-25, 1.17892e-25, 1.17892e-25, 1.01815e-12, 1.17892e-25, 1.17892e-25, 1.17892e-25, 1.17892e-25, 1.17892e-25, 3.41253e-11, 1.17892e-25, 4.55564e-07, 1.17892e-25, 1.22255e-07, 1.17892e-25, 1.17892e-25
0.479905, 0, 8.76375e-07, 4.15157e-25, 1.41421, -8.76375e-07, 4.15157e-25, 0, 4.15157e-25, 4.15157e-25, 4.15157e-25, 4.15157e-25, 4.15157e-25, 4.15157e-25, 4.15157e-25, 2.63794e-12, 4.15157e-25, 4.15157e-25, 4.15157e-25, 4.15157e-25, 4.15157e-25, 5.3758e-11, 4.15157e-25, 7.09876e-07, 4.15157e-25, 1.66443e-07, 4.15157e-25, 4.15157e-25
0.487769, 0, 1.32777e-06, 1.08563e-10, 1.41421, -1.32777e-06, 1.38021e-10, 1.08563e-10, 1.08583e-10, 1.41699e-10, 3.8776e-10, 1.19831e-10, 3.24438e-10, 1.44607e-10, 1.09728e-10, 1.28946e-10, 2.73667e-10, 1.23498e-10, 3.13757e-10, 1.16953e-10, 1.08847e-10, 1.92913e-10, 1.08731e-10, 1.10142e-06, 1.08565e-10, 2.25355e-07, 1.08563e-10, 1.08563e-10
0.495632, 0, 2.00712e-06, 3.54484e-10, 1.41421, -2.00712e-06, 4.52345e-10, 3.54484e-10, 3.54548e-10, 4.64563e-10, 1.28201e-09, 3.91918e-10, 1.07165e-09, 4.74226e-10, 3.58352e-10, 4.15505e-10, 9.02981e-10, 4.041e-10, 1.03616e-09, 3.82355e-10, 3.55428e-10, 4.8626e-10, 3.57532e-10, 1.7006e-06, 3.54488e-10, 3.03355e-07, 3.54484e-10, 3.54484e-10
0.503495, 0, 3.02584e-06, 9.04395e-10, 1.41421, -3.02584e-06, 1.15687e-09, 9.04395e-10, 9.04561e-10, 1.18839e-09, 3.29735e-09, 1.00097e-09, 2.75463e-09, 1.21332e-09, 9.14375e-10, 1.05615e-09, 2.31948e-09, 1.0324e-09, 2.66308e-09, 9.76301e-10, 9.0683e-10, 1.10927e-09, 9.14971e-10, 2.61169e-06, 9.04407e-10, 4.06114e-07, 9.04395e-10, 9.04395e-10
0.511358, 0, 4.54731e-06, 2.11077e-09, 1.41421, -4.54731e-06, 2.70441e-09, 2.11077e-09, 2.11116e-09, 2.77852e-09, 7.73723e-09, 2.33785e-09, 6.46115e-09, 2.83714e-09, 2.13424e-09, 2.46049e-09, 5.438e-09, 2.41175e-09, 6.2459e-09, 2.27984e-09, 2.1165e-09, 2.42764e-09, 2.13937e-09, 3.98761e-06, 2.1108e-09, 5.4096e-07, 2.11077e-09, 2.11077e-09
0.519222, 0, 6.81039e-06, 4.70396e-09, 1.41421, -6.81039e-06, 6.03337e-09, 4.70396e-09, 4.70483e-09, 6.19935e-09, 1.73041e-08, 5.21249e-09, 1.44464e-08, 6.33062e-09, 4.75651e-09, 5.47576e-09, 1.21551e-08, 5.37797e-09, 1.39643e-08, 5.08258e-09, 4.71678e-09, 5.19133e-09, 4.77354e-09, 6.05132e-06, 4.70402e-09, 7.17319e-07, 4.70396e-09, 4.70396e-09
