   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_673.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.287576, 0, 2.2446e-09, 8.70844e-39, 1.41421, -2.2446e-09, 0, 8.70844e-39, 8.70844e-39, 8.70844e-39, 8.70844e-39, 8.70844e-39, 8.70844e-39, 8.70844e-39, 8.70844e-39, 8.70844e-39, 8.70844e-39, 8.70844e-39, 8.50561e-12, 8.70844e-39, 8.70844e-39, 5.67444e-12, 8.70844e-39, 4.53335e-11, 8.70844e-39, 2.18508e-09, 8.70844e-39, 8.70844e-39, 8.70844e-39
0.295465, 0, 3.18871e-09, 8.52376e-38, 1.41421, -3.18871e-09, 0, 8.52376e-38, 8.52376e-38, 8.52376e-38, 8.52376e-38, 8.52376e-38, 8.52376e-38, 8.52376e-38, 8.52376e-38, 8.52376e-38, 8.52376e-38, 8.52376e-38, 1.20776e-11, 8.52376e-38, 8.52376e-38, 8.54423e-12, 8.52376e-38, 6.8344e-11, 8.52376e-38, 3.09974e-09, 8.52376e-38, 8.52376e-38, 8.52376e-38
0.303354, 0, 4.50831e-09, 7.5839e-37, 1.41421, -4.50831e-09, 0, 7.5839e-37, 7.5839e-37, 7.5839e-37, 7.5839e-37, 7.5839e-37, 7.5839e-37, 7.5839e-37, 7.5839e-37, 7.5839e-37, 7.5839e-37, 7.5839e-37, 1.7068e-11, 7.5839e-37, 7.5839e-37, 1.28606e-11, 7.5839e-37, 1.02786e-10, 7.5839e-37, 4.3756e-09, 7.5839e-37, 7.5839e-37, 7.5839e-37
0.311243, 0, 6.34386e-09, 6.16599e-36, 1.41421, -6.34386e-09, 0, 6.16599e-36, 6.16599e-36, 6.16599e-36, 6.16599e-36, 6.16599e-36, 6.16599e-36, 6.16599e-36, 6.16599e-36, 6.16599e-36, 6.16599e-36, 6.16599e-36, 2.40061e-11, 6.16599e-36, 6.16599e-36, 1.93553e-11, 6.16599e-36, 1.54235e-10, 6.16599e-36, 6.14626e-09, 6.16599e-36, 6.16599e-36, 6.16599e-36
0.319132, 0, 8.88491e-09, 4.60399e-35, 1.41421, -8.88491e-09, 0, 4.60399e-35, 4.60399e-35, 4.60399e-35, 4.60399e-35, 4.60399e-35, 4.60399e-35, 4.60399e-35, 4.60399e-35, 4.60399e-35, 4.60399e-35, 4.60399e-35, 3.36062e-11, 4.60399e-35, 4.60399e-35, 2.9133e-11, 4.60399e-35, 2.30943e-10, 4.60399e-35, 8.59123e-09, 4.60399e-35, 4.60399e-35, 4.60399e-35
0.327021, 0, 1.23861e-08, 3.14928e-34, 1.41421, -1.23861e-08, 0, 3.14928e-34, 3.14928e-34, 3.14928e-34, 3.14928e-34, 3.14928e-34, 3.14928e-34, 3.14928e-34, 3.14928e-34, 3.14928e-34, 3.14928e-34, 3.14928e-34, 4.68269e-11, 3.14928e-34, 3.14928e-34, 4.38619e-11, 3.14928e-34, 3.45104e-10, 3.14928e-34, 1.19503e-08, 3.14928e-34, 3.14928e-34, 3.14928e-34
0.33491, 0, 1.71878e-08, 2.12626e-33, 1.41421, -1.71878e-08, 0, 2.12626e-33, 2.12626e-33, 2.12626e-33, 2.12626e-33, 2.12626e-33, 2.12626e-33, 2.12626e-33, 2.12626e-33, 2.12626e-33, 2.12626e-33, 2.12626e-33, 6.49484e-11, 2.12626e-33, 2.12626e-33, 6.60618e-11, 2.12626e-33, 5.14712e-10, 2.12626e-33, 1.65421e-08, 2.12626e-33, 2.12626e-33, 2.12626e-33
0.342799, 0, 2.37431e-08, 1.36458e-32, 1.41421, -2.37431e-08, 0, 1.36458e-32, 1.36458e-32, 1.36458e-32, 1.36458e-32, 1.36458e-32, 1.36458e-32, 1.36458e-32, 1.36458e-32, 1.36458e-32, 1.36458e-32, 1.36458e-32, 8.96735e-11, 1.36458e-32, 1.36458e-32, 9.95386e-11, 1.36458e-32, 7.66278e-10, 1.36458e-32, 2.27877e-08, 1.36458e-32, 1.36458e-32, 1.36458e-32
0.350688, 0, 3.26525e-08, 8.20894e-32, 1.41421, -3.26525e-08, 0, 8.20894e-32, 8.20894e-32, 8.20894e-32, 8.20894e-32, 8.20894e-32, 8.20894e-32, 8.20894e-32, 8.20894e-32, 8.20894e-32, 8.20894e-32, 8.20894e-32, 1.23255e-10, 8.20894e-32, 8.20894e-32, 1.50035e-10, 8.20894e-32, 1.13878e-09, 8.20894e-32, 3.12405e-08, 8.20894e-32, 8.20894e-32, 8.20894e-32
0.358577, 0, 4.47084e-08, 4.64333e-31, 1.41421, -4.47084e-08, 0, 4.64333e-31, 4.64333e-31, 4.64333e-31, 4.64333e-31, 4.64333e-31, 4.64333e-31, 4.64333e-31, 4.64333e-31, 4.64333e-31, 4.64333e-31, 4.64333e-31, 1.68662e-10, 4.64333e-31, 4.64333e-31, 2.26211e-10, 4.64333e-31, 1.68944e-09, 4.64333e-31, 4.26241e-08, 4.64333e-31, 4.64333e-31, 4.64333e-31
0.366466, 0, 6.09525e-08, 2.46088e-30, 1.41421, -6.09525e-08, 0, 2.46088e-30, 2.46088e-30, 2.46088e-30, 2.46088e-30, 2.46088e-30, 2.46088e-30, 2.46088e-30, 2.46088e-30, 2.46088e-30, 2.46088e-30, 2.46088e-30, 2.29788e-10, 2.46088e-30, 2.46088e-30, 3.41094e-10, 2.46088e-30, 2.50204e-09, 2.46088e-30, 5.78795e-08, 2.46088e-30, 2.46088e-30, 2.46088e-30
0.374355, 0, 8.27485e-08, 1.22375e-29, 1.41421, -8.27485e-08, 0, 1.22375e-29, 1.22375e-29, 1.22375e-29, 1.22375e-29, 1.22375e-29, 1.22375e-29, 1.22375e-29, 1.22375e-29, 1.22375e-29, 1.22375e-29, 1.22375e-29, 3.11719e-10, 1.22375e-29, 1.22375e-29, 5.14254e-10, 1.22375e-29, 3.69896e-09, 1.22375e-29, 7.82236e-08, 1.22375e-29, 1.22375e-29, 1.22375e-29
0.382244, 0, 1.11877e-07, 5.73268e-29, 1.41421, -1.11877e-07, 0, 5.73268e-29, 5.73268e-29, 5.73268e-29, 5.73268e-29, 5.73268e-29, 5.73268e-29, 5.73268e-29, 5.73268e-29, 5.73268e-29, 5.73268e-29, 5.73268e-29, 4.21071e-10, 5.73268e-29, 5.73268e-29, 7.74997e-10, 5.73268e-29, 5.45848e-09, 5.73268e-29, 1.05222e-07, 5.73268e-29, 5.73268e-29, 5.73268e-29
0.390133, 0, 1.50652e-07, 2.54132e-28, 1.41421, -1.50652e-07, 0, 2.54132e-28, 2.54132e-28, 2.54132e-28, 2.54132e-28, 2.54132e-28, 2.54132e-28, 2.54132e-28, 2.54132e-28, 2.54132e-28, 2.54132e-28, 2.54132e-28, 5.66412e-10, 2.54132e-28, 2.54132e-28, 1.16708e-09, 2.54132e-28, 8.03944e-09, 2.54132e-28, 1.40879e-07, 2.54132e-28, 2.54132e-28, 2.54132e-28
0.398022, 0, 2.02077e-07, 1.06759e-27, 1.41421, -2.02077e-07, 0, 1.06759e-27, 1.06759e-27, 1.06759e-27, 1.06759e-27, 1.06759e-27, 1.06759e-27, 1.06759e-27, 1.06759e-27, 1.06759e-27, 1.06759e-27, 1.06759e-27, 7.58796e-10, 1.06759e-27, 1.06759e-27, 1.75562e-09, 1.06759e-27, 1.18164e-08, 1.06759e-27, 1.87746e-07, 1.06759e-27, 1.06759e-27, 1.06759e-27
0.405911, 0, 2.70033e-07, 4.26009e-27, 1.41421, -2.70033e-07, 0, 4.26009e-27, 4.26009e-27, 4.26009e-27, 4.26009e-27, 4.26009e-27, 4.26009e-27, 4.26009e-27, 4.26009e-27, 4.26009e-27, 4.26009e-27, 4.26009e-27, 1.01243e-09, 4.26009e-27, 4.26009e-27, 2.63708e-09, 4.26009e-27, 1.73292e-08, 4.26009e-27, 2.49054e-07, 4.26009e-27, 4.26009e-27, 4.26009e-27
