   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_59.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.345121, 0, 8.49351e-14, 0, 1.41421, -8.49351e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41522e-16, 0, 0, 6.75084e-19, 0, 0, 8.43929e-14, 0, 0, 0
0.353015, 0, 1.74433e-13, 0, 1.41421, -1.74433e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11211e-15, 0, 0, 1.41178e-18, 0, 0, 1.73319e-13, 0, 0, 0
0.360909, 0, 3.53393e-13, 0, 1.41421, -3.53393e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25304e-15, 0, 0, 2.91591e-18, 0, 0, 3.51137e-13, 0, 0, 0
0.368803, 0, 7.06377e-13, 0, 1.41421, -7.06377e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5034e-15, 0, 0, 5.95021e-18, 0, 0, 7.01868e-13, 0, 0, 0
0.376697, 0, 1.3932e-12, 1.82169e-44, 1.41421, -1.3932e-12, 1.82169e-44, 0, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 8.88207e-15, 1.82169e-44, 1.82169e-44, 1.20005e-17, 1.82169e-44, 1.82169e-44, 1.3843e-12, 1.82169e-44, 1.82169e-44, 1.82169e-44
0.384591, 0, 2.71166e-12, 3.47522e-43, 1.41421, -2.71166e-12, 3.47522e-43, 0, 3.47522e-43, 3.47522e-43, 3.47522e-43, 3.47522e-43, 3.47522e-43, 3.47522e-43, 3.47522e-43, 3.47522e-43, 3.47522e-43, 3.47522e-43, 1.72878e-14, 3.47522e-43, 3.47522e-43, 2.39315e-17, 3.47522e-43, 3.47522e-43, 2.69435e-12, 3.47522e-43, 3.47522e-43, 3.47522e-43
0.392485, 0, 5.20891e-12, 5.41322e-42, 1.41421, -5.20891e-12, 5.41322e-42, 0, 5.41322e-42, 5.41322e-42, 5.41322e-42, 5.41322e-42, 5.41322e-42, 5.41322e-42, 5.41322e-42, 5.41322e-42, 5.41322e-42, 5.41322e-42, 3.32099e-14, 5.41322e-42, 5.41322e-42, 4.72131e-17, 5.41322e-42, 5.41322e-42, 5.17566e-12, 5.41322e-42, 5.41322e-42, 5.41322e-42
0.400379, 0, 9.87629e-12, 7.39479e-41, 1.41421, -9.87629e-12, 7.39479e-41, 0, 7.39479e-41, 7.39479e-41, 7.39479e-41, 7.39479e-41, 7.39479e-41, 7.39479e-41, 7.39479e-41, 7.39479e-41, 7.39479e-41, 7.39479e-41, 6.29712e-14, 7.39479e-41, 7.39479e-41, 9.22007e-17, 7.39479e-41, 7.39479e-41, 9.81322e-12, 7.39479e-41, 7.39479e-41, 7.39479e-41
0.408273, 0, 1.84849e-11, 9.02924e-40, 1.41421, -1.84849e-11, 9.02924e-40, 0, 9.02924e-40, 9.02924e-40, 9.02924e-40, 9.02924e-40, 9.02924e-40, 9.02924e-40, 9.02924e-40, 9.02924e-40, 9.02924e-40, 9.02924e-40, 1.17873e-13, 9.02924e-40, 9.02924e-40, 1.78358e-16, 9.02924e-40, 9.02924e-40, 1.83669e-11, 9.02924e-40, 9.02924e-40, 9.02924e-40
0.416167, 0, 3.41552e-11, 9.93594e-39, 1.41421, -3.41552e-11, 9.93594e-39, 0, 9.93594e-39, 9.93594e-39, 9.93594e-39, 9.93594e-39, 9.93594e-39, 9.93594e-39, 9.93594e-39, 9.93594e-39, 9.93594e-39, 9.93594e-39, 2.17836e-13, 9.93594e-39, 9.93594e-39, 3.42041e-16, 9.93594e-39, 9.93594e-39, 3.3937e-11, 9.93594e-39, 9.93594e-39, 9.93594e-39
0.424061, 0, 6.23094e-11, 9.90969e-38, 1.41421, -6.23094e-11, 9.90969e-38, 0, 9.90969e-38, 9.90969e-38, 9.90969e-38, 9.90969e-38, 9.90969e-38, 9.90969e-38, 9.90969e-38, 9.90969e-38, 9.90969e-38, 9.90969e-38, 3.97502e-13, 9.90969e-38, 9.90969e-38, 6.50853e-16, 9.90969e-38, 9.90969e-38, 6.19112e-11, 9.90969e-38, 9.90969e-38, 9.90969e-38
0.431955, 0, 1.1224e-10, 9.00622e-37, 1.41421, -1.1224e-10, 9.00622e-37, 0, 9.00622e-37, 9.00622e-37, 9.00622e-37, 9.00622e-37, 9.00622e-37, 9.00622e-37, 9.00622e-37, 9.00622e-37, 9.00622e-37, 9.00622e-37, 7.16297e-13, 9.00622e-37, 9.00622e-37, 1.2301e-15, 9.00622e-37, 9.00622e-37, 1.11522e-10, 9.00622e-37, 9.00622e-37, 9.00622e-37
0.439849, 0, 1.99652e-10, 7.49833e-36, 1.41421, -1.99652e-10, 7.49833e-36, 0, 7.49833e-36, 7.49833e-36, 7.49833e-36, 7.49833e-36, 7.49833e-36, 7.49833e-36, 7.49833e-36, 7.49833e-36, 7.49833e-36, 7.49833e-36, 1.27481e-12, 7.49833e-36, 7.49833e-36, 2.31163e-15, 7.49833e-36, 7.49833e-36, 1.98375e-10, 7.49833e-36, 7.49833e-36, 7.49833e-36
0.447743, 0, 3.50733e-10, 5.7467e-35, 1.41421, -3.50733e-10, 5.7467e-35, 0, 5.7467e-35, 5.7467e-35, 5.7467e-35, 5.7467e-35, 5.7467e-35, 5.7467e-35, 5.7467e-35, 5.7467e-35, 5.7467e-35, 5.7467e-35, 2.24106e-12, 5.7467e-35, 5.7467e-35, 4.32409e-15, 5.7467e-35, 5.7467e-35, 3.48488e-10, 5.7467e-35, 5.7467e-35, 5.7467e-35
0.455637, 0, 6.08551e-10, 4.0803e-34, 1.41421, -6.08551e-10, 4.0803e-34, 0, 4.0803e-34, 4.0803e-34, 4.0803e-34, 4.0803e-34, 4.0803e-34, 4.0803e-34, 4.0803e-34, 4.0803e-34, 4.0803e-34, 4.0803e-34, 3.89209e-12, 4.0803e-34, 4.0803e-34, 8.06017e-15, 4.0803e-34, 4.0803e-34, 6.04651e-10, 4.0803e-34, 4.0803e-34, 4.0803e-34
0.463531, 0, 1.04298e-09, 2.86929e-33, 1.41421, -1.04298e-09, 2.86929e-33, 0, 2.86929e-33, 2.86929e-33, 2.86929e-33, 2.86929e-33, 2.86929e-33, 2.86929e-33, 2.86929e-33, 2.86929e-33, 2.86929e-33, 2.86929e-33, 6.6788e-12, 2.86929e-33, 2.86929e-33, 1.49865e-14, 2.86929e-33, 2.86929e-33, 1.03629e-09, 2.86929e-33, 2.86929e-33, 2.86929e-33
0.471425, 0, 1.76587e-09, 1.91979e-32, 1.41421, -1.76587e-09, 1.91979e-32, 0, 1.91979e-32, 1.91979e-32, 1.91979e-32, 1.91979e-32, 1.91979e-32, 1.91979e-32, 1.91979e-32, 1.91979e-32, 1.91979e-32, 1.91979e-32, 1.1326e-11, 1.91979e-32, 1.91979e-32, 2.78177e-14, 1.91979e-32, 1.91979e-32, 1.75451e-09, 1.91979e-32, 1.91979e-32, 1.91979e-32
0.479319, 0, 2.95385e-09, 1.20594e-31, 1.41421, -2.95385e-09, 1.20594e-31, 0, 1.20594e-31, 1.20594e-31, 1.20594e-31, 1.20594e-31, 1.20594e-31, 1.20594e-31, 1.20594e-31, 1.20594e-31, 1.20594e-31, 1.20594e-31, 1.89845e-11, 1.20594e-31, 1.20594e-31, 5.15775e-14, 1.20594e-31, 1.20594e-31, 2.93482e-09, 1.20594e-31, 1.20594e-31, 1.20594e-31
0.487213, 0, 4.88221e-09, 7.09566e-31, 1.41421, -4.88221e-09, 7.09566e-31, 0, 7.09566e-31, 7.09566e-31, 7.09566e-31, 7.09566e-31, 7.09566e-31, 7.09566e-31, 7.09566e-31, 7.09566e-31, 7.09566e-31, 7.09566e-31, 3.14597e-11, 7.09566e-31, 7.09566e-31, 9.55509e-14, 7.09566e-31, 7.09566e-31, 4.85066e-09, 7.09566e-31, 7.09566e-31, 7.09566e-31
0.495107, 0, 7.97422e-09, 3.91593e-30, 1.41421, -7.97422e-09, 3.91593e-30, 0, 3.91593e-30, 3.91593e-30, 3.91593e-30, 3.91593e-30, 3.91593e-30, 3.91593e-30, 3.91593e-30, 3.91593e-30, 3.91593e-30, 3.91593e-30, 5.15509e-11, 3.91593e-30, 3.91593e-30, 1.7685e-13, 3.91593e-30, 3.91593e-30, 7.92249e-09, 3.91593e-30, 3.91593e-30, 3.91593e-30
0.503001, 0, 1.28726e-08, 2.03248e-29, 1.41421, -1.28726e-08, 2.03248e-29, 0, 2.03248e-29, 2.03248e-29, 2.03248e-29, 2.03248e-29, 2.03248e-29, 2.03248e-29, 2.03248e-29, 2.03248e-29, 2.03248e-29, 2.03248e-29, 8.35525e-11, 2.03248e-29, 2.03248e-29, 3.26892e-13, 2.03248e-29, 2.03248e-29, 1.27887e-08, 2.03248e-29, 2.03248e-29, 2.03248e-29
0.510895, 0, 2.05399e-08, 9.95159e-29, 1.41421, -2.05399e-08, 9.95159e-29, 0, 9.95159e-29, 9.95159e-29, 9.95159e-29, 9.95159e-29, 9.95159e-29, 9.95159e-29, 9.95159e-29, 9.95159e-29, 9.95159e-29, 9.95159e-29, 1.33977e-10, 9.95159e-29, 9.95159e-29, 6.0299e-13, 9.95159e-29, 9.95159e-29, 2.04053e-08, 9.95159e-29, 9.95159e-29, 9.95159e-29
0.518789, 0, 3.24005e-08, 6.96243e-28, 1.41421, -3.24005e-08, 6.96243e-28, 0, 6.96243e-28, 6.96243e-28, 6.96243e-28, 6.96243e-28, 6.96243e-28, 6.96243e-28, 6.96243e-28, 6.96243e-28, 6.96243e-28, 6.96243e-28, 2.12607e-10, 6.96243e-28, 6.96243e-28, 1.10963e-12, 6.96243e-28, 6.96243e-28, 3.21867e-08, 6.96243e-28, 6.96243e-28, 6.96243e-28
0.526683, 0, 5.05334e-08, 2.9369e-27, 1.41421, -5.05334e-08, 2.9369e-27, 0, 2.9369e-27, 2.9369e-27, 2.9369e-27, 2.9369e-27, 2.9369e-27, 2.9369e-27, 2.9369e-27, 2.9369e-27, 2.9369e-27, 2.9369e-27, 3.33971e-10, 2.9369e-27, 2.9369e-27, 2.03217e-12, 2.9369e-27, 2.9369e-27, 5.01974e-08, 2.9369e-27, 2.9369e-27, 2.9369e-27
0.534577, 0, 7.79384e-08, 1.18288e-26, 1.41421, -7.79384e-08, 1.18288e-26, 0, 1.18288e-26, 1.18288e-26, 1.18288e-26, 1.18288e-26, 1.18288e-26, 1.18288e-26, 1.21953e-13, 1.18288e-26, 1.18288e-26, 1.18288e-26, 5.19474e-10, 1.18288e-26, 1.18288e-26, 3.70225e-12, 1.18288e-26, 1.18288e-26, 7.74151e-08, 1.18288e-26, 1.18288e-26, 1.18288e-26
0.542471, 0, 1.18888e-07, 4.56056e-26, 1.41421, -1.18888e-07, 4.56056e-26, 0, 4.56056e-26, 4.56056e-26, 4.56056e-26, 4.56056e-26, 4.56056e-26, 4.56056e-26, 5.00487e-13, 4.56056e-26, 4.56056e-26, 4.56056e-26, 8.00331e-10, 4.56056e-26, 4.56056e-26, 6.70186e-12, 4.56056e-26, 4.56056e-26, 1.1808e-07, 4.56056e-26, 4.56056e-26, 4.56056e-26
0.550365, 0, 1.79394e-07, 1.692e-25, 1.41421, -1.79394e-07, 1.692e-25, 0, 1.692e-25, 1.692e-25, 1.692e-25, 1.692e-25, 1.692e-25, 1.692e-25, 1.61985e-12, 1.692e-25, 1.692e-25, 1.692e-25, 1.22166e-09, 1.692e-25, 1.692e-25, 1.20417e-11, 1.692e-25, 1.692e-25, 1.78158e-07, 1.692e-25, 1.692e-25, 1.692e-25
0.558259, 0, 2.69528e-07, 4.52369e-10, 1.41421, -2.69528e-07, 4.53122e-10, 4.52369e-10, 4.5238e-10, 4.52386e-10, 4.52767e-10, 4.52544e-10, 4.52851e-10, 4.52991e-10, 4.63105e-10, 4.61695e-10, 4.57277e-10, 1.6536e-09, 2.30052e-09, 4.53372e-10, 4.52405e-10, 4.73824e-10, 4.52382e-10, 4.52371e-10, 2.66417e-07, 4.52369e-10, 4.52369e-10, 4.64152e-10
0.566153, 0, 4.02606e-07, 1.83923e-09, 1.41421, -4.02606e-07, 1.84229e-09, 1.83923e-09, 1.83927e-09, 1.83929e-09, 1.84085e-09, 1.83994e-09, 1.84119e-09, 1.84176e-09, 1.87687e-09, 1.87721e-09, 1.85922e-09, 6.73183e-09, 4.61082e-09, 1.84331e-09, 1.83937e-09, 1.87711e-09, 1.83948e-09, 1.83923e-09, 3.94746e-07, 1.83923e-09, 1.83923e-09, 1.88722e-09
0.574047, 0, 6.00904e-07, 5.90249e-09, 1.41421, -6.00904e-07, 5.91234e-09, 5.90249e-09, 5.90263e-09, 5.90271e-09, 5.9077e-09, 5.90478e-09, 5.90879e-09, 5.91063e-09, 6.01641e-09, 6.02455e-09, 5.96673e-09, 2.16251e-08, 1.00237e-08, 5.91562e-09, 5.90296e-09, 5.96872e-09, 5.90354e-09, 5.90252e-09, 5.80492e-07, 5.90249e-09, 5.90249e-09, 6.05671e-09
0.581941, 0, 9.03263e-07, 1.7341e-08, 1.41421, -9.03263e-07, 1.737e-08, 1.7341e-08, 1.73414e-08, 1.73417e-08, 1.73563e-08, 1.73478e-08, 1.73595e-08, 1.7365e-08, 1.76631e-08, 1.76999e-08, 1.75299e-08, 6.35652e-08, 2.34183e-08, 1.73796e-08, 1.73424e-08, 1.74556e-08, 1.73445e-08, 1.73411e-08, 8.49386e-07, 1.7341e-08, 1.7341e-08, 1.77944e-08
0.589835, 0, 1.38391e-06, 4.83147e-08, 1.41421, -1.38391e-06, 4.83954e-08, 4.83147e-08, 4.83159e-08, 4.83165e-08, 4.83574e-08, 4.83335e-08, 4.83663e-08, 4.83814e-08, 4.91848e-08, 4.9315e-08, 4.88411e-08, 1.77158e-07, 5.72035e-08, 4.84223e-08, 4.83186e-08, 4.8511e-08, 4.8325e-08, 4.83149e-08, 1.24194e-06, 4.83147e-08, 4.83147e-08, 4.95785e-08
0.597729, 0, 2.19486e-06, 1.29045e-07, 1.41421, -2.19486e-06, 1.2926e-07, 1.29045e-07, 1.29048e-07, 1.29049e-07, 1.29159e-07, 1.29095e-07, 1.29183e-07, 1.29223e-07, 1.31319e-07, 1.31717e-07, 1.30451e-07, 4.73289e-07, 1.41941e-07, 1.29332e-07, 1.29055e-07, 1.29377e-07, 1.29074e-07, 1.29045e-07, 1.82663e-06, 1.29045e-07, 1.29045e-07, 1.32421e-07
0.605623, 0, 3.65961e-06, 3.31658e-07, 1.41421, -3.65961e-06, 3.32212e-07, 3.31658e-07, 3.31666e-07, 3.3167e-07, 3.31951e-07, 3.31787e-07, 3.32012e-07, 3.32116e-07, 3.37512e-07, 3.38529e-07, 3.35274e-07, 1.21666e-06, 3.50222e-07, 3.32397e-07, 3.31684e-07, 3.32215e-07, 3.31735e-07, 3.31659e-07, 2.72781e-06, 3.31658e-07, 3.31658e-07, 3.40339e-07
0.613517, 0, 6.47353e-06, 8.21444e-07, 1.41421, -6.47353e-06, 8.22817e-07, 8.21444e-07, 8.21463e-07, 8.21474e-07, 8.2217e-07, 8.21763e-07, 8.22322e-07, 8.22579e-07, 8.37095e-07, 8.38466e-07, 8.30402e-07, 3.01404e-06, 8.47956e-07, 8.23275e-07, 8.21509e-07, 8.22367e-07, 8.21644e-07, 8.21447e-07, 4.18378e-06, 8.21444e-07, 8.21444e-07, 8.42951e-07
0.621411, 0, 1.21104e-05, 1.9621e-06, 1.41421, -1.21104e-05, 1.96539e-06, 1.9621e-06, 1.96215e-06, 1.96218e-06, 1.96384e-06, 1.96287e-06, 1.9642e-06, 1.96482e-06, 2.00134e-06, 2.00278e-06, 1.98351e-06, 7.20094e-06, 1.99967e-06, 1.96648e-06, 1.96226e-06, 1.96362e-06, 1.9626e-06, 1.96211e-06, 6.66405e-06, 1.9621e-06, 1.9621e-06, 2.01349e-06
0.629305, 0, 2.36231e-05, 4.52198e-06, 1.41421, -2.36231e-05, 4.52955e-06, 4.52198e-06, 4.52209e-06, 4.52215e-06, 4.52598e-06, 4.52374e-06, 4.52682e-06, 4.52823e-06, 4.61656e-06, 4.61574e-06, 4.57132e-06, 1.65996e-05, 4.57482e-06, 4.53206e-06, 4.52234e-06, 4.52444e-06, 4.52318e-06, 4.522e-06, 1.10977e-05, 4.52198e-06, 4.52198e-06, 4.64045e-06
0.637199, 0, 4.71361e-05, 1.00591e-05, 1.41421, -4.71361e-05, 1.0076e-05, 1.00591e-05, 1.00594e-05, 1.00595e-05, 1.0068e-05, 1.0063e-05, 1.00699e-05, 1.0073e-05, 1.02804e-05, 1.02678e-05, 1.01689e-05, 3.69347e-05, 1.01329e-05, 1.00816e-05, 1.00599e-05, 1.00631e-05, 1.00619e-05, 1.00592e-05, 1.92985e-05, 1.00591e-05, 1.00591e-05, 1.03227e-05
