   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_147.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.422002, 0, 4.45992e-08, 2.81021e-29, 1.41421, -4.45992e-08, 2.81021e-29, 0, 2.81021e-29, 2.81021e-29, 2.81021e-29, 2.81021e-29, 2.81021e-29, 2.81021e-29, 2.81021e-29, 2.81021e-29, 2.81021e-29, 2.81021e-29, 1.85367e-10, 2.81021e-29, 2.81021e-29, 2.24589e-12, 6.80909e-09, 2.81021e-29, 3.76025e-08, 2.81021e-29, 2.81021e-29
0.429864, 0, 6.31577e-08, 1.27436e-28, 1.41421, -6.31577e-08, 1.27436e-28, 0, 1.27436e-28, 1.27436e-28, 1.27436e-28, 1.27436e-28, 1.27436e-28, 1.27436e-28, 1.27436e-28, 1.27436e-28, 1.27436e-28, 1.27436e-28, 2.59134e-10, 1.27436e-28, 1.27436e-28, 3.53215e-12, 1.06079e-08, 1.27436e-28, 5.22871e-08, 1.27436e-28, 1.27436e-28
0.437725, 0, 8.91259e-08, 5.47299e-28, 1.41421, -8.91259e-08, 5.47299e-28, 0, 5.47299e-28, 5.47299e-28, 5.47299e-28, 5.47299e-28, 5.47299e-28, 5.47299e-28, 5.47299e-28, 5.47299e-28, 5.47299e-28, 5.47299e-28, 3.60318e-10, 5.47299e-28, 5.47299e-28, 5.54841e-12, 1.64932e-08, 5.47299e-28, 7.22668e-08, 5.47299e-28, 5.47299e-28
0.445587, 0, 1.25375e-07, 2.23244e-27, 1.41421, -1.25375e-07, 2.23244e-27, 0, 2.23244e-27, 2.23244e-27, 2.23244e-27, 2.23244e-27, 2.23244e-27, 2.23244e-27, 2.23244e-27, 2.23244e-27, 2.23244e-27, 2.23244e-27, 4.98389e-10, 2.23244e-27, 2.23244e-27, 8.70125e-12, 2.55849e-08, 2.23244e-27, 9.92828e-08, 2.23244e-27, 2.23244e-27
0.453449, 0, 1.75872e-07, 8.67184e-27, 1.41421, -1.75872e-07, 8.67184e-27, 0, 8.67184e-27, 8.67184e-27, 8.67184e-27, 8.67184e-27, 8.67184e-27, 8.67184e-27, 8.67184e-27, 8.67184e-27, 8.67184e-27, 8.67184e-27, 6.85833e-10, 8.67184e-27, 8.67184e-27, 1.36166e-11, 3.95832e-08, 8.67184e-27, 1.35589e-07, 8.67184e-27, 8.67184e-27
0.46131, 0, 2.461e-07, 3.21616e-26, 1.41421, -2.461e-07, 3.21616e-26, 0, 3.21616e-26, 3.21616e-26, 3.21616e-26, 3.21616e-26, 3.21616e-26, 3.21616e-26, 1.09275e-13, 3.21616e-26, 3.21616e-26, 3.21616e-26, 9.39038e-10, 3.21616e-26, 3.21616e-26, 2.12527e-11, 6.10536e-08, 3.21616e-26, 1.84086e-07, 3.21616e-26, 3.21616e-26
0.469172, 0, 3.43632e-07, 1.1416e-25, 1.41421, -3.43632e-07, 1.1416e-25, 0, 1.1416e-25, 1.1416e-25, 1.1416e-25, 1.1416e-25, 1.1416e-25, 1.1416e-25, 3.57884e-13, 1.1416e-25, 1.1416e-25, 1.1416e-25, 1.27941e-09, 1.1416e-25, 1.1416e-25, 3.30681e-11, 9.38431e-08, 1.1416e-25, 2.48476e-07, 1.1416e-25, 1.1416e-25
0.477034, 0, 4.80115e-07, 3.92905e-25, 1.41421, -4.80115e-07, 9.5904e-12, 0, 1.08103e-14, 2.89839e-14, 1.06111e-11, 1.59077e-13, 4.27567e-13, 7.17173e-14, 5.86702e-12, 7.39648e-12, 2.34964e-12, 1.09998e-09, 1.73479e-09, 4.11122e-13, 3.66024e-14, 5.1268e-11, 1.43677e-07, 2.6094e-15, 3.33502e-07, 3.92905e-25, 1.2763e-11
0.484895, 0, 6.70884e-07, 5.96777e-10, 1.41421, -6.70884e-07, 6.28062e-10, 5.96777e-10, 5.96812e-10, 5.96871e-10, 6.31392e-10, 5.97296e-10, 5.98172e-10, 5.97011e-10, 6.15052e-10, 6.20905e-10, 6.04442e-10, 4.18508e-09, 2.93794e-09, 5.98118e-10, 5.96896e-10, 6.75947e-10, 2.19613e-07, 5.96785e-10, 4.45697e-07, 5.96777e-10, 6.38412e-10
0.492757, 0, 9.37719e-07, 1.94075e-09, 1.41421, -9.37719e-07, 2.0199e-09, 1.94075e-09, 1.94083e-09, 1.94098e-09, 2.02833e-09, 1.94206e-09, 1.94427e-09, 1.94134e-09, 1.98629e-09, 2.0018e-09, 1.96014e-09, 1.102e-08, 5.08559e-09, 1.94414e-09, 1.94105e-09, 2.06246e-09, 3.34198e-07, 1.94077e-09, 5.92709e-07, 1.94075e-09, 2.04609e-09
