   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_63.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.311771, 0, 5.36084e-19, 0, 1.41421, -5.36084e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07362e-21, 0, 0, 3.54406e-24, 7.88325e-23, 0, 5.31928e-19, 0, 0
0.319629, 0, 1.60781e-18, 0, 1.41421, -1.60781e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22174e-20, 0, 0, 1.06826e-23, 2.44896e-22, 0, 1.59534e-18, 0, 0
0.327488, 0, 4.57287e-18, 0, 1.41421, -4.57287e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47481e-20, 0, 0, 3.0506e-23, 7.15285e-22, 0, 4.53737e-18, 0, 0
0.335346, 0, 1.27319e-17, 0, 1.41421, -1.27319e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67454e-20, 0, 0, 8.53049e-23, 2.0438e-21, 0, 1.2633e-17, 0, 0
0.343205, 0, 3.47226e-17, 0, 1.41421, -3.47226e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63844e-19, 0, 0, 2.33733e-22, 5.71713e-21, 0, 3.44528e-17, 0, 0
0.351064, 0, 9.28072e-17, 0, 1.41421, -9.28072e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05197e-19, 0, 0, 6.27867e-22, 1.56664e-20, 0, 9.20857e-17, 0, 0
0.358922, 0, 2.43222e-16, 0, 1.41421, -2.43222e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8481e-18, 0, 0, 1.65436e-21, 4.20782e-20, 0, 2.4133e-16, 0, 0
0.366781, 0, 6.25252e-16, 0, 1.41421, -6.25252e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75082e-18, 0, 0, 4.2776e-21, 1.10828e-19, 0, 6.20386e-16, 0, 0
0.374639, 0, 1.57722e-15, 0, 1.41421, -1.57722e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19838e-17, 0, 0, 1.0858e-20, 2.86377e-19, 0, 1.56494e-15, 0, 0
0.382498, 0, 3.90537e-15, 0, 1.41421, -3.90537e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96724e-17, 0, 0, 2.70667e-20, 7.26262e-19, 0, 3.87495e-15, 0, 0
0.390357, 0, 9.49469e-15, 0, 1.41421, -9.49469e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21366e-17, 0, 0, 6.62849e-20, 1.80827e-18, 0, 9.42068e-15, 0, 0
0.398215, 0, 2.26704e-14, 0, 1.41421, -2.26704e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72233e-16, 0, 0, 1.59526e-19, 4.42167e-18, 0, 2.24935e-14, 0, 0
0.406074, 0, 5.31728e-14, 0, 1.41421, -5.31728e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0395e-16, 0, 0, 3.77421e-19, 1.06214e-17, 0, 5.27578e-14, 0, 0
0.413932, 0, 1.22534e-13, 7.56701e-44, 1.41421, -1.22534e-13, 0, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 9.30841e-16, 7.56701e-44, 7.56701e-44, 8.781e-19, 2.50705e-17, 7.56701e-44, 1.21578e-13, 7.56701e-44, 7.56701e-44
