   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_614.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0574474, 0, 3.36634e-13, 0, 1.41421, -3.36634e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67828e-15, 0, 0, 1.41621e-15, 0, 0, 3.32539e-13, 0, 0, 0
0.0653358, 0, 5.08618e-13, 0, 1.41421, -5.08618e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04631e-15, 0, 0, 2.18343e-15, 0, 0, 5.02388e-13, 0, 0, 0
0.0732241, 0, 7.65084e-13, 0, 1.41421, -7.65084e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.08619e-15, 0, 0, 3.35265e-15, 0, 0, 7.55645e-13, 0, 0, 0
0.0811124, 0, 1.14583e-12, 0, 1.41421, -1.14583e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11436e-15, 0, 0, 5.12749e-15, 0, 0, 1.13159e-12, 0, 0, 0
0.0890007, 0, 1.70857e-12, 0, 1.41421, -1.70857e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35897e-14, 0, 0, 7.8112e-15, 0, 0, 1.68717e-12, 0, 0, 0
0.0968891, 0, 2.53664e-12, 0, 1.41421, -2.53664e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01748e-14, 0, 0, 1.18543e-14, 0, 0, 2.50461e-12, 0, 0, 0
0.104777, 0, 3.74976e-12, 0, 1.41421, -3.74976e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98213e-14, 0, 0, 1.79231e-14, 0, 0, 3.70201e-12, 0, 0, 0
0.112666, 0, 5.51919e-12, 0, 1.41421, -5.51919e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38911e-14, 0, 0, 2.69998e-14, 0, 0, 5.4483e-12, 0, 0, 0
0.120554, 0, 8.08874e-12, 0, 1.41421, -8.08874e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43223e-14, 0, 0, 4.05288e-14, 0, 0, 7.98389e-12, 0, 0, 0
0.128442, 0, 1.1804e-11, 0, 1.41421, -1.1804e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.38624e-14, 0, 0, 6.06276e-14, 0, 0, 1.16495e-11, 0, 0, 0
0.136331, 0, 1.71523e-11, 0, 1.41421, -1.71523e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36388e-13, 0, 0, 9.03936e-14, 0, 0, 1.69255e-11, 0, 0, 0
0.144219, 0, 2.48183e-11, 0, 1.41421, -2.48183e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97341e-13, 0, 0, 1.34345e-13, 0, 0, 2.44866e-11, 0, 0, 0
0.152107, 0, 3.57586e-11, 0, 1.41421, -3.57586e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84333e-13, 0, 0, 1.99063e-13, 0, 0, 3.52753e-11, 0, 0, 0
0.159996, 0, 5.13047e-11, 0, 1.41421, -5.13047e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07954e-13, 0, 0, 2.94114e-13, 0, 0, 5.06026e-11, 0, 0, 0
0.167884, 0, 7.33003e-11, 0, 1.41421, -7.33003e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82877e-13, 0, 0, 4.33387e-13, 0, 0, 7.22841e-11, 0, 0, 0
0.175772, 0, 1.04288e-10, 0, 1.41421, -1.04288e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.29339e-13, 0, 0, 6.37028e-13, 0, 0, 1.02821e-10, 0, 0, 0
