   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_332.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.322474, 0, 5.21488e-11, 7.42688e-44, 1.41421, -5.21488e-11, 0, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 7.42688e-44, 2.13728e-13, 7.42688e-44, 7.42688e-44, 7.42688e-44, 5.19351e-11, 7.42688e-44, 7.42688e-44, 7.42688e-44
0.330358, 0, 8.59718e-11, 1.34525e-42, 1.41421, -8.59718e-11, 0, 1.34525e-42, 1.34525e-42, 1.34525e-42, 1.34525e-42, 1.34525e-42, 1.34525e-42, 1.34525e-42, 1.34525e-42, 3.52418e-13, 1.34525e-42, 1.34525e-42, 1.34525e-42, 8.56194e-11, 1.34525e-42, 1.34525e-42, 1.34525e-42
0.338242, 0, 1.40543e-10, 2.01731e-41, 1.41421, -1.40543e-10, 0, 2.01731e-41, 2.01731e-41, 2.01731e-41, 2.01731e-41, 2.01731e-41, 2.01731e-41, 2.01731e-41, 2.01731e-41, 5.76261e-13, 2.01731e-41, 2.01731e-41, 2.01731e-41, 1.39967e-10, 2.01731e-41, 2.01731e-41, 2.01731e-41
0.346125, 0, 2.27835e-10, 2.66605e-40, 1.41421, -2.27835e-10, 0, 2.66605e-40, 2.66605e-40, 2.66605e-40, 2.66605e-40, 2.66605e-40, 2.66605e-40, 2.66605e-40, 2.66605e-40, 9.34482e-13, 2.66605e-40, 2.66605e-40, 2.66605e-40, 2.26901e-10, 2.66605e-40, 2.66605e-40, 2.66605e-40
0.354009, 0, 3.66283e-10, 3.1533e-39, 1.41421, -3.66283e-10, 0, 3.1533e-39, 3.1533e-39, 3.1533e-39, 3.1533e-39, 3.1533e-39, 3.1533e-39, 3.1533e-39, 3.1533e-39, 1.50294e-12, 3.1533e-39, 3.1533e-39, 3.1533e-39, 3.6478e-10, 3.1533e-39, 3.1533e-39, 3.1533e-39
0.361893, 0, 5.83999e-10, 3.3633e-38, 1.41421, -5.83999e-10, 0, 3.3633e-38, 3.3633e-38, 3.3633e-38, 3.3633e-38, 3.3633e-38, 3.3633e-38, 3.3633e-38, 3.3633e-38, 2.39751e-12, 3.3633e-38, 3.3633e-38, 3.3633e-38, 5.81601e-10, 3.3633e-38, 3.3633e-38, 3.3633e-38
0.369776, 0, 9.23489e-10, 3.25191e-37, 1.41421, -9.23489e-10, 0, 3.25191e-37, 3.25191e-37, 3.25191e-37, 3.25191e-37, 3.25191e-37, 3.25191e-37, 3.25191e-37, 3.25191e-37, 3.79365e-12, 3.25191e-37, 3.25191e-37, 3.25191e-37, 9.19696e-10, 3.25191e-37, 3.25191e-37, 3.25191e-37
0.37766, 0, 1.44842e-09, 2.86677e-36, 1.41421, -1.44842e-09, 0, 2.86677e-36, 2.86677e-36, 2.86677e-36, 2.86677e-36, 2.86677e-36, 2.86677e-36, 2.86677e-36, 2.86677e-36, 5.95477e-12, 2.86677e-36, 2.86677e-36, 2.86677e-36, 1.44247e-09, 2.86677e-36, 2.86677e-36, 2.86677e-36
0.385544, 0, 2.25333e-09, 2.31562e-35, 1.41421, -2.25333e-09, 0, 2.31562e-35, 2.31562e-35, 2.31562e-35, 2.31562e-35, 2.31562e-35, 2.31562e-35, 2.31562e-35, 2.31562e-35, 9.27293e-12, 2.31562e-35, 2.31562e-35, 2.31562e-35, 2.24405e-09, 2.31562e-35, 2.31562e-35, 2.31562e-35
0.393427, 0, 3.47729e-09, 1.7219e-34, 1.41421, -3.47729e-09, 0, 1.7219e-34, 1.7219e-34, 1.7219e-34, 1.7219e-34, 1.7219e-34, 1.7219e-34, 1.7219e-34, 1.7219e-34, 1.43269e-11, 1.7219e-34, 1.7219e-34, 1.7219e-34, 3.46297e-09, 1.7219e-34, 1.7219e-34, 1.7219e-34
0.401311, 0, 5.32317e-09, 1.19399e-33, 1.41421, -5.32317e-09, 0, 1.19399e-33, 1.19399e-33, 1.19399e-33, 1.19399e-33, 1.19399e-33, 1.19399e-33, 1.19399e-33, 1.19399e-33, 2.19639e-11, 1.19399e-33, 1.19399e-33, 1.19399e-33, 5.30121e-09, 1.19399e-33, 1.19399e-33, 1.19399e-33
0.409195, 0, 8.08415e-09, 7.74758e-33, 1.41421, -8.08415e-09, 0, 7.74758e-33, 7.74758e-33, 7.74758e-33, 7.74758e-33, 7.74758e-33, 7.74758e-33, 7.74758e-33, 7.74758e-33, 3.34143e-11, 7.74758e-33, 7.74758e-33, 7.74758e-33, 8.05074e-09, 7.74758e-33, 7.74758e-33, 7.74758e-33
0.417078, 0, 1.21804e-08, 4.90645e-32, 1.41421, -1.21804e-08, 0, 4.90645e-32, 4.90645e-32, 4.90645e-32, 4.90645e-32, 4.90645e-32, 4.90645e-32, 4.90645e-32, 4.90645e-32, 5.04509e-11, 4.90645e-32, 4.90645e-32, 4.90645e-32, 1.21299e-08, 4.90645e-32, 4.90645e-32, 4.90645e-32
0.424962, 0, 1.82085e-08, 2.83767e-31, 1.41421, -1.82085e-08, 0, 2.83767e-31, 2.83767e-31, 2.83767e-31, 2.83767e-31, 2.83767e-31, 2.83767e-31, 2.83767e-31, 2.83767e-31, 7.56082e-11, 2.83767e-31, 2.83767e-31, 2.83767e-31, 1.81329e-08, 2.83767e-31, 2.83767e-31, 2.83767e-31
0.432846, 0, 2.70088e-08, 1.56671e-30, 1.41421, -2.70088e-08, 0, 1.56671e-30, 1.56671e-30, 1.56671e-30, 1.56671e-30, 1.56671e-30, 1.56671e-30, 1.56671e-30, 1.56671e-30, 1.12483e-10, 1.56671e-30, 1.56671e-30, 1.56671e-30, 2.68963e-08, 1.56671e-30, 1.56671e-30, 1.56671e-30
0.440729, 0, 3.97539e-08, 8.16439e-30, 1.41421, -3.97539e-08, 0, 8.16439e-30, 8.16439e-30, 8.16439e-30, 8.16439e-30, 8.16439e-30, 8.16439e-30, 8.16439e-30, 8.16439e-30, 1.66142e-10, 8.16439e-30, 8.16439e-30, 8.16439e-30, 3.95878e-08, 8.16439e-30, 8.16439e-30, 8.16439e-30
0.448613, 0, 5.80672e-08, 4.00673e-29, 1.41421, -5.80672e-08, 0, 4.00673e-29, 4.00673e-29, 4.00673e-29, 4.00673e-29, 4.00673e-29, 4.00673e-29, 4.00673e-29, 4.00673e-29, 2.43672e-10, 4.00673e-29, 4.00673e-29, 4.00673e-29, 5.78235e-08, 4.00673e-29, 4.00673e-29, 4.00673e-29
0.456497, 0, 8.41762e-08, 1.87267e-28, 1.41421, -8.41762e-08, 0, 1.87267e-28, 1.87267e-28, 1.87267e-28, 1.87267e-28, 1.87267e-28, 1.87267e-28, 1.87267e-28, 1.87267e-28, 3.5492e-10, 1.87267e-28, 1.87267e-28, 1.87267e-28, 8.38213e-08, 1.87267e-28, 1.87267e-28, 1.87267e-28
0.46438, 0, 1.21112e-07, 8.33784e-28, 1.41421, -1.21112e-07, 0, 8.33784e-28, 8.33784e-28, 8.33784e-28, 8.33784e-28, 8.33784e-28, 8.33784e-28, 8.33784e-28, 8.33784e-28, 5.13474e-10, 8.33784e-28, 8.33784e-28, 8.33784e-28, 1.20599e-07, 8.33784e-28, 8.33784e-28, 8.33784e-28
0.472264, 0, 1.72967e-07, 3.53251e-27, 1.41421, -1.72967e-07, 0, 3.53251e-27, 3.53251e-27, 3.53251e-27, 3.53251e-27, 3.53251e-27, 3.53251e-27, 3.53251e-27, 3.53251e-27, 7.37968e-10, 3.53251e-27, 3.53251e-27, 3.53251e-27, 1.72229e-07, 3.53251e-27, 3.53251e-27, 3.53251e-27
0.480148, 0, 2.45216e-07, 1.42588e-26, 1.41421, -2.45216e-07, 0, 1.42588e-26, 1.42588e-26, 1.42588e-26, 1.42588e-26, 1.42588e-26, 1.42588e-26, 1.42588e-26, 1.42588e-26, 1.05379e-09, 1.42588e-26, 1.42588e-26, 1.42588e-26, 2.44162e-07, 1.42588e-26, 1.42588e-26, 1.42588e-26
0.488031, 0, 3.45133e-07, 5.49314e-26, 1.41421, -3.45133e-07, 0, 5.49314e-26, 5.49314e-26, 5.49314e-26, 5.49314e-26, 5.49314e-26, 4.38721e-12, 5.49314e-26, 5.49314e-26, 1.49533e-09, 5.49314e-26, 5.49314e-26, 5.49314e-26, 3.43634e-07, 5.49314e-26, 5.49314e-26, 5.49314e-26
0.495915, 0, 4.82294e-07, 2.02399e-25, 1.41421, -4.82294e-07, 0, 2.02399e-25, 2.02399e-25, 2.02399e-25, 2.02399e-25, 2.02399e-25, 1.51776e-11, 2.02399e-25, 2.02399e-25, 2.10885e-09, 2.02399e-25, 2.02399e-25, 2.02399e-25, 4.8017e-07, 2.02399e-25, 2.02399e-25, 2.02399e-25
0.503799, 0, 6.69215e-07, 7.1834e-25, 1.41421, -6.69215e-07, 0, 7.1834e-25, 7.1834e-25, 7.1834e-25, 7.1834e-25, 7.1834e-25, 4.08462e-11, 7.1834e-25, 7.1834e-25, 2.95629e-09, 7.1834e-25, 7.1834e-25, 7.1834e-25, 6.66218e-07, 7.1834e-25, 7.1834e-25, 7.1834e-25
0.511682, 0, 9.27051e-07, 5.52393e-10, 1.41421, -9.27051e-07, 5.52393e-10, 5.52415e-10, 1.07229e-09, 5.59621e-10, 5.54094e-10, 5.72258e-10, 8.58589e-10, 5.88496e-10, 3.92732e-09, 4.67249e-09, 5.52973e-10, 5.54547e-10, 5.52396e-10, 9.18597e-07, 5.52393e-10, 5.52393e-10, 6.16901e-10
0.519566, 0, 1.27884e-06, 1.88774e-09, 1.41421, -1.27884e-06, 1.88774e-09, 1.88782e-09, 3.67651e-09, 1.91261e-09, 1.8936e-09, 1.95609e-09, 2.83031e-09, 2.01196e-09, 1.34996e-08, 7.59691e-09, 1.88974e-09, 1.89516e-09, 1.88776e-09, 1.25833e-06, 1.88774e-09, 1.88774e-09, 2.10969e-09
0.52745, 0, 1.7632e-06, 5.24956e-09, 1.41421, -1.7632e-06, 5.24956e-09, 5.24977e-09, 1.02656e-08, 5.3193e-09, 5.26598e-09, 5.44122e-09, 7.76613e-09, 5.59789e-09, 3.78113e-08, 1.31163e-08, 5.25516e-09, 5.27034e-09, 5.24959e-09, 1.71396e-06, 5.24956e-09, 5.24956e-09, 5.87194e-09
0.535333, 0, 2.43013e-06, 1.24574e-08, 1.41421, -2.43013e-06, 1.24574e-08, 1.24579e-08, 2.43865e-08, 1.26232e-08, 1.24964e-08, 1.29132e-08, 1.83379e-08, 1.32858e-08, 8.9896e-08, 2.32369e-08, 1.24707e-08, 1.25068e-08, 1.24575e-08, 2.32107e-06, 1.24574e-08, 1.24574e-08, 1.39375e-08
0.543217, 0, 3.36949e-06, 2.85887e-08, 1.41421, -3.36949e-06, 2.85887e-08, 2.85899e-08, 5.60085e-08, 2.897e-08, 2.86785e-08, 2.96364e-08, 4.20835e-08, 3.04929e-08, 2.06585e-07, 4.32791e-08, 2.86193e-08, 2.87023e-08, 2.85889e-08, 3.12892e-06, 2.85887e-08, 2.85887e-08, 3.19909e-08
0.551101, 0, 4.73032e-06, 6.37933e-08, 1.41421, -4.73032e-06, 6.37933e-08, 6.37959e-08, 1.25057e-07, 6.46451e-08, 6.39938e-08, 6.61342e-08, 9.54917e-08, 6.80477e-08, 4.61491e-07, 8.37055e-08, 6.38617e-08, 6.40472e-08, 6.37937e-08, 4.20417e-06, 6.37933e-08, 6.37933e-08, 7.13949e-08
0.558984, 0, 6.78763e-06, 1.38725e-07, 1.41421, -6.78763e-06, 1.38725e-07, 1.38731e-07, 2.72102e-07, 1.4058e-07, 1.39162e-07, 1.43822e-07, 2.25554e-07, 1.47988e-07, 1.00455e-06, 1.65572e-07, 1.38874e-07, 1.39278e-07, 1.38726e-07, 5.64085e-06, 1.38725e-07, 1.38725e-07, 1.55275e-07
0.566868, 0, 1.00157e-05, 2.94287e-07, 1.41421, -1.00157e-05, 2.94287e-07, 2.94299e-07, 5.77536e-07, 2.98225e-07, 2.95214e-07, 3.0511e-07, 5.03232e-07, 3.13957e-07, 2.13301e-06, 3.30292e-07, 2.94604e-07, 2.95461e-07, 2.94289e-07, 7.57681e-06, 2.94287e-07, 2.94287e-07, 3.29432e-07
0.574752, 0, 1.5292e-05, 6.09312e-07, 1.41421, -1.5292e-05, 6.09312e-07, 6.09337e-07, 1.19641e-06, 6.17475e-07, 6.11234e-07, 6.31745e-07, 1.08351e-06, 6.50082e-07, 4.42047e-06, 6.57347e-07, 6.09968e-07, 6.11745e-07, 6.09316e-07, 1.02222e-05, 6.09312e-07, 6.09312e-07, 6.82158e-07
0.582635, 0, 2.42124e-05, 1.23167e-06, 1.41421, -2.42124e-05, 1.23167e-06, 1.23172e-06, 2.41975e-06, 1.24819e-06, 1.23556e-06, 1.27706e-06, 2.26947e-06, 1.31417e-06, 8.94418e-06, 1.29542e-06, 1.23299e-06, 1.23659e-06, 1.23168e-06, 1.39082e-05, 1.23167e-06, 1.23167e-06, 1.37908e-06
0.590519, 0, 3.96582e-05, 2.43124e-06, 1.41421, -3.96582e-05, 2.43124e-06, 2.43134e-06, 4.7792e-06, 2.46388e-06, 2.43892e-06, 2.52096e-06, 4.64911e-06, 2.59429e-06, 1.76731e-05, 2.51543e-06, 2.43386e-06, 2.44097e-06, 2.43126e-06, 1.91695e-05, 2.43124e-06, 2.43124e-06, 2.72257e-06
