   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_344.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0711542, 0, 5.5679e-21, 0, 1.41421, -5.5679e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4464e-23, 0, 0, 0, 0, 5.53344e-21, 0, 0, 0
0.0790363, 0, 1.35811e-20, 0, 1.41421, -1.35811e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.40638e-23, 0, 0, 0, 0, 1.3497e-20, 0, 0, 0
0.0869183, 0, 3.2565e-20, 0, 1.41421, -3.2565e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0157e-22, 0, 0, 0, 0, 3.23635e-20, 0, 0, 0
0.0948003, 0, 7.6829e-20, 0, 1.41421, -7.6829e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75554e-22, 0, 0, 0, 0, 7.63535e-20, 0, 0, 0
0.102682, 0, 1.7848e-19, 0, 1.41421, -1.7848e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10475e-21, 0, 0, 0, 0, 1.77375e-19, 0, 0, 0
0.110564, 0, 4.08538e-19, 0, 1.41421, -4.08538e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52875e-21, 0, 0, 0, 0, 4.06009e-19, 0, 0, 0
0.118446, 0, 9.21956e-19, 0, 1.41421, -9.21956e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70669e-21, 0, 0, 0, 0, 9.16249e-19, 0, 0, 0
0.126328, 0, 2.05235e-18, 0, 1.41421, -2.05235e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27036e-20, 0, 0, 0, 0, 2.03964e-18, 0, 0, 0
0.13421, 0, 4.50874e-18, 0, 1.41421, -4.50874e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7908e-20, 0, 0, 0, 0, 4.48083e-18, 0, 0, 0
0.142092, 0, 9.7791e-18, 0, 1.41421, -9.7791e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.05304e-20, 0, 0, 0, 0, 9.71857e-18, 0, 0, 0
0.149974, 0, 2.09481e-17, 0, 1.41421, -2.09481e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29664e-19, 0, 0, 0, 0, 2.08184e-17, 0, 0, 0
0.157856, 0, 4.4334e-17, 0, 1.41421, -4.4334e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74417e-19, 0, 0, 0, 0, 4.40596e-17, 0, 0, 0
0.165738, 0, 9.27266e-17, 0, 1.41421, -9.27266e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.73956e-19, 0, 0, 0, 0, 9.21526e-17, 0, 0, 0
0.17362, 0, 1.9172e-16, 0, 1.41421, -1.9172e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1867e-18, 0, 0, 0, 0, 1.90533e-16, 0, 0, 0
0.181502, 0, 3.91948e-16, 0, 1.41421, -3.91948e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42606e-18, 0, 0, 0, 0, 3.89522e-16, 0, 0, 0
