   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_40.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.139342, 0, 7.86802e-16, 0, 1.41421, -7.86802e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86802e-16, 0, 0
0.147248, 0, 1.49282e-15, 0, 1.41421, -1.49282e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49282e-15, 0, 0
0.155155, 0, 2.80654e-15, 0, 1.41421, -2.80654e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80654e-15, 0, 0
0.163062, 0, 5.22897e-15, 0, 1.41421, -5.22897e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.22897e-15, 0, 0
0.170969, 0, 9.65606e-15, 0, 1.41421, -9.65606e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65606e-15, 0, 0
0.178875, 0, 1.76756e-14, 0, 1.41421, -1.76756e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76756e-14, 0, 0
0.186782, 0, 3.20762e-14, 0, 1.41421, -3.20762e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20762e-14, 0, 0
0.194689, 0, 5.77133e-14, 0, 1.41421, -5.77133e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77133e-14, 0, 0
0.202596, 0, 1.02965e-13, 0, 1.41421, -1.02965e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02965e-13, 0, 0
0.210503, 0, 1.82164e-13, 0, 1.41421, -1.82164e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82164e-13, 0, 0
0.218409, 0, 3.19617e-13, 0, 1.41421, -3.19617e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19617e-13, 0, 0
0.226316, 0, 5.56189e-13, 0, 1.41421, -5.56189e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56189e-13, 0, 0
0.234223, 0, 9.60001e-13, 0, 1.41421, -9.60001e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60001e-13, 0, 0
0.242129, 0, 1.64556e-12, 0, 1.41421, -1.64556e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64556e-12, 0, 0
0.250036, 0, 2.79438e-12, 0, 1.41421, -2.79438e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79438e-12, 0, 0
0.257943, 0, 4.70761e-12, 0, 1.41421, -4.70761e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70761e-12, 0, 0
0.26585, 0, 7.86834e-12, 0, 1.41421, -7.86834e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86834e-12, 0, 0
0.273757, 0, 1.30483e-11, 0, 1.41421, -1.30483e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30483e-11, 0, 0
0.281663, 0, 2.14701e-11, 0, 1.41421, -2.14701e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14701e-11, 0, 0
0.28957, 0, 3.50543e-11, 0, 1.41421, -3.50543e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50543e-11, 0, 0
