   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.323358, 0, 8.94033e-11, 1.26117e-43, 1.41421, -8.94033e-11, 0, 1.26117e-43, 1.26117e-43, 1.26117e-43, 1.26117e-43, 1.26117e-43, 1.26117e-43, 1.26117e-43, 1.26117e-43, 1.26117e-43, 1.26117e-43, 1.0059e-12, 1.26117e-43, 2.45484e-15, 1.43016e-14, 1.26117e-43, 8.83806e-11, 1.26117e-43, 1.26117e-43, 1.26117e-43
0.331244, 0, 1.46548e-10, 2.23927e-42, 1.41421, -1.46548e-10, 0, 2.23927e-42, 2.23927e-42, 2.23927e-42, 2.23927e-42, 2.23927e-42, 2.23927e-42, 2.23927e-42, 2.23927e-42, 2.23927e-42, 2.23927e-42, 1.64918e-12, 2.23927e-42, 4.17601e-15, 2.44031e-14, 2.23927e-42, 1.44871e-10, 2.23927e-42, 2.23927e-42, 2.23927e-42
0.33913, 0, 2.38232e-10, 3.30356e-41, 1.41421, -2.38232e-10, 0, 3.30356e-41, 3.30356e-41, 3.30356e-41, 3.30356e-41, 3.30356e-41, 3.30356e-41, 3.30356e-41, 3.30356e-41, 3.30356e-41, 3.30356e-41, 2.68164e-12, 3.30356e-41, 7.06692e-15, 4.14044e-14, 3.30356e-41, 2.35502e-10, 3.30356e-41, 3.30356e-41, 3.30356e-41
0.347016, 0, 3.84089e-10, 4.30585e-40, 1.41421, -3.84089e-10, 0, 4.30585e-40, 4.30585e-40, 4.30585e-40, 4.30585e-40, 4.30585e-40, 4.30585e-40, 4.30585e-40, 4.30585e-40, 4.30585e-40, 4.30585e-40, 4.3249e-12, 4.30585e-40, 1.19025e-14, 6.98791e-14, 4.30585e-40, 3.79682e-10, 4.30585e-40, 4.30585e-40, 4.30585e-40
0.354903, 0, 6.14181e-10, 5.02407e-39, 1.41421, -6.14181e-10, 0, 5.02407e-39, 5.02407e-39, 5.02407e-39, 5.02407e-39, 5.02407e-39, 5.02407e-39, 5.02407e-39, 5.02407e-39, 5.02407e-39, 5.02407e-39, 6.91867e-12, 5.02407e-39, 1.99626e-14, 1.17361e-13, 5.02407e-39, 6.07125e-10, 5.02407e-39, 5.02407e-39, 5.02407e-39
0.362789, 0, 9.74121e-10, 5.28875e-38, 1.41421, -9.74121e-10, 0, 5.28875e-38, 5.28875e-38, 5.28875e-38, 5.28875e-38, 5.28875e-38, 5.28875e-38, 5.28875e-38, 5.28875e-38, 5.28875e-38, 5.28875e-38, 1.09791e-11, 5.28875e-38, 3.33579e-14, 1.96226e-13, 5.28875e-38, 9.62912e-10, 5.28875e-38, 5.28875e-38, 5.28875e-38
0.370675, 0, 1.53251e-09, 5.05e-37, 1.41421, -1.53251e-09, 0, 5.05e-37, 5.05e-37, 5.05e-37, 5.05e-37, 5.05e-37, 5.05e-37, 5.05e-37, 5.05e-37, 5.05e-37, 5.05e-37, 1.72839e-11, 5.05e-37, 5.55691e-14, 3.26779e-13, 5.05e-37, 1.51484e-09, 5.05e-37, 5.05e-37, 5.05e-37
0.378562, 0, 2.3916e-09, 4.39971e-36, 1.41421, -2.3916e-09, 0, 4.39971e-36, 4.39971e-36, 4.39971e-36, 4.39971e-36, 4.39971e-36, 4.39971e-36, 4.39971e-36, 4.39971e-36, 4.39971e-36, 4.39971e-36, 2.69948e-11, 4.39971e-36, 9.23335e-14, 5.42277e-13, 4.39971e-36, 2.36397e-09, 4.39971e-36, 4.39971e-36, 4.39971e-36
0.386448, 0, 3.70245e-09, 3.51384e-35, 1.41421, -3.70245e-09, 0, 3.51384e-35, 3.51384e-35, 3.51384e-35, 3.51384e-35, 3.51384e-35, 3.51384e-35, 3.51384e-35, 3.51384e-35, 3.51384e-35, 3.51384e-35, 4.18325e-11, 3.51384e-35, 1.53111e-13, 8.97165e-13, 3.51384e-35, 3.65957e-09, 3.51384e-35, 3.51384e-35, 3.51384e-35
0.394334, 0, 5.6863e-09, 2.58487e-34, 1.41421, -5.6863e-09, 0, 2.58487e-34, 2.58487e-34, 2.58487e-34, 2.58487e-34, 2.58487e-34, 2.58487e-34, 2.58487e-34, 2.58487e-34, 2.58487e-34, 2.58487e-34, 6.43252e-11, 2.58487e-34, 2.53502e-13, 1.48054e-12, 2.58487e-34, 5.62024e-09, 2.58487e-34, 2.58487e-34, 2.58487e-34
