   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_65.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.282087, 0, 1.18292e-11, 0, 1.41421, -1.18292e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.88942e-14, 0, 0, 0, 1.17303e-11, 0, 0, 0
0.289985, 0, 1.93305e-11, 0, 1.41421, -1.93305e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61624e-13, 0, 0, 0, 1.91689e-11, 0, 0, 0
0.297883, 0, 3.13471e-11, 0, 1.41421, -3.13471e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62133e-13, 0, 0, 0, 3.10849e-11, 0, 0, 0
0.305781, 0, 5.04468e-11, 5.88545e-44, 1.41421, -5.04468e-11, 0, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 4.21928e-13, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.00248e-11, 5.88545e-44, 5.88545e-44, 5.88545e-44
0.313679, 0, 8.05694e-11, 1.06639e-42, 1.41421, -8.05694e-11, 0, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 6.74026e-13, 1.06639e-42, 1.06639e-42, 1.06639e-42, 7.98954e-11, 1.06639e-42, 1.06639e-42, 1.06639e-42
0.321577, 0, 1.2771e-10, 1.60519e-41, 1.41421, -1.2771e-10, 0, 1.60519e-41, 1.60519e-41, 1.60519e-41, 1.60519e-41, 1.60519e-41, 1.60519e-41, 1.60519e-41, 1.60519e-41, 1.60519e-41, 1.06871e-12, 1.60519e-41, 1.60519e-41, 1.60519e-41, 1.26641e-10, 1.60519e-41, 1.60519e-41, 1.60519e-41
0.329475, 0, 2.00915e-10, 2.12769e-40, 1.41421, -2.00915e-10, 0, 2.12769e-40, 2.12769e-40, 2.12769e-40, 2.12769e-40, 2.12769e-40, 2.12769e-40, 2.12769e-40, 2.12769e-40, 2.12769e-40, 1.68192e-12, 2.12769e-40, 2.12769e-40, 2.12769e-40, 1.99233e-10, 2.12769e-40, 2.12769e-40, 2.12769e-40
0.337374, 0, 3.13728e-10, 2.52285e-39, 1.41421, -3.13728e-10, 0, 2.52285e-39, 2.52285e-39, 2.52285e-39, 2.52285e-39, 2.52285e-39, 2.52285e-39, 2.52285e-39, 2.52285e-39, 2.52285e-39, 2.62752e-12, 2.52285e-39, 2.52285e-39, 2.52285e-39, 3.111e-10, 2.52285e-39, 2.52285e-39, 2.52285e-39
0.345272, 0, 4.86251e-10, 2.69703e-38, 1.41421, -4.86251e-10, 0, 2.69703e-38, 2.69703e-38, 2.69703e-38, 2.69703e-38, 2.69703e-38, 2.69703e-38, 2.69703e-38, 2.69703e-38, 2.69703e-38, 4.07472e-12, 2.69703e-38, 2.69703e-38, 2.69703e-38, 4.82177e-10, 2.69703e-38, 2.69703e-38, 2.69703e-38
0.35317, 0, 7.48093e-10, 2.61174e-37, 1.41421, -7.48093e-10, 0, 2.61174e-37, 2.61174e-37, 2.61174e-37, 2.61174e-37, 2.61174e-37, 2.61174e-37, 2.61174e-37, 2.61174e-37, 2.61174e-37, 6.27325e-12, 2.61174e-37, 2.61174e-37, 2.61174e-37, 7.41819e-10, 2.61174e-37, 2.61174e-37, 2.61174e-37
0.361068, 0, 1.14249e-09, 2.30638e-36, 1.41421, -1.14249e-09, 0, 2.30638e-36, 2.30638e-36, 2.30638e-36, 2.30638e-36, 2.30638e-36, 2.30638e-36, 2.30638e-36, 2.30638e-36, 2.30638e-36, 9.58863e-12, 2.30638e-36, 2.30638e-36, 2.30638e-36, 1.1329e-09, 2.30638e-36, 2.30638e-36, 2.30638e-36
0.368966, 0, 1.73211e-09, 1.86563e-35, 1.41421, -1.73211e-09, 0, 1.86563e-35, 1.86563e-35, 1.86563e-35, 1.86563e-35, 1.86563e-35, 1.86563e-35, 1.86563e-35, 1.86563e-35, 1.86563e-35, 1.4552e-11, 1.86563e-35, 1.86563e-35, 1.86563e-35, 1.71756e-09, 1.86563e-35, 1.86563e-35, 1.86563e-35
0.376864, 0, 2.60698e-09, 1.38861e-34, 1.41421, -2.60698e-09, 0, 1.38861e-34, 1.38861e-34, 1.38861e-34, 1.38861e-34, 1.38861e-34, 1.38861e-34, 1.38861e-34, 1.38861e-34, 1.38861e-34, 2.1929e-11, 1.38861e-34, 1.38861e-34, 1.38861e-34, 2.58506e-09, 1.38861e-34, 1.38861e-34, 1.38861e-34
0.384762, 0, 3.8955e-09, 9.61291e-34, 1.41421, -3.8955e-09, 0, 9.61291e-34, 9.61291e-34, 9.61291e-34, 9.61291e-34, 9.61291e-34, 9.61291e-34, 9.61291e-34, 9.61291e-34, 9.61291e-34, 3.28158e-11, 9.61291e-34, 9.61291e-34, 9.61291e-34, 3.86268e-09, 9.61291e-34, 9.61291e-34, 9.61291e-34
0.39266, 0, 5.77924e-09, 5.8516e-33, 1.41421, -5.77924e-09, 0, 5.8516e-33, 5.8516e-33, 5.8516e-33, 5.8516e-33, 5.8516e-33, 5.8516e-33, 5.8516e-33, 5.8516e-33, 5.8516e-33, 4.877e-11, 5.8516e-33, 5.8516e-33, 5.8516e-33, 5.73047e-09, 5.8516e-33, 5.8516e-33, 5.8516e-33
0.400558, 0, 8.51302e-09, 3.59047e-32, 1.41421, -8.51302e-09, 0, 3.59047e-32, 3.59047e-32, 3.59047e-32, 3.59047e-32, 3.59047e-32, 3.59047e-32, 3.59047e-32, 3.59047e-32, 3.59047e-32, 7.19896e-11, 3.59047e-32, 3.59047e-32, 3.59047e-32, 8.44103e-09, 3.59047e-32, 3.59047e-32, 3.59047e-32
0.408456, 0, 1.24515e-08, 1.97311e-31, 1.41421, -1.24515e-08, 0, 1.97311e-31, 1.97311e-31, 1.97311e-31, 1.97311e-31, 1.97311e-31, 1.97311e-31, 1.97311e-31, 1.97311e-31, 1.97311e-31, 1.05554e-10, 1.97311e-31, 1.97311e-31, 1.97311e-31, 1.2346e-08, 1.97311e-31, 1.97311e-31, 1.97311e-31
0.416354, 0, 1.80848e-08, 1.05598e-30, 1.41421, -1.80848e-08, 0, 1.05598e-30, 1.05598e-30, 1.05598e-30, 1.05598e-30, 1.05598e-30, 1.05598e-30, 1.05598e-30, 1.05598e-30, 1.05598e-30, 1.5375e-10, 1.05598e-30, 1.05598e-30, 1.05598e-30, 1.7931e-08, 1.05598e-30, 1.05598e-30, 1.05598e-30
