   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_228.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.255648, 0, 2.43592e-14, 0, 1.41421, -2.43592e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62808e-16, 0, 0, 0, 2.41964e-14, 0, 0, 0
0.263538, 0, 4.84891e-14, 0, 1.41421, -4.84891e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24083e-16, 0, 0, 0, 4.8165e-14, 0, 0, 0
0.271428, 0, 9.54165e-14, 0, 1.41421, -9.54165e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37727e-16, 0, 0, 0, 9.47788e-14, 0, 0, 0
0.279318, 0, 1.85636e-13, 0, 1.41421, -1.85636e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24072e-15, 0, 0, 0, 1.84395e-13, 0, 0, 0
0.287208, 0, 3.5712e-13, 0, 1.41421, -3.5712e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38686e-15, 0, 0, 0, 3.54733e-13, 0, 0, 0
0.295098, 0, 6.79419e-13, 0, 1.41421, -6.79419e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.541e-15, 0, 0, 0, 6.74878e-13, 0, 0, 0
0.302988, 0, 1.27843e-12, 0, 1.41421, -1.27843e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54465e-15, 0, 0, 0, 1.26989e-12, 0, 0, 0
0.310878, 0, 2.38234e-12, 0, 1.41421, -2.38234e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59232e-14, 0, 0, 0, 2.36642e-12, 0, 0, 0
0.318768, 0, 4.38557e-12, 0, 1.41421, -4.38557e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93132e-14, 0, 0, 0, 4.35626e-12, 0, 0, 0
0.326658, 0, 7.98739e-12, 0, 1.41421, -7.98739e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33899e-14, 0, 0, 0, 7.934e-12, 0, 0, 0
0.334548, 0, 1.43939e-11, 0, 1.41421, -1.43939e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62181e-14, 0, 0, 0, 1.42976e-11, 0, 0, 0
0.342438, 0, 2.56671e-11, 2.38221e-44, 1.41421, -2.56671e-11, 0, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 1.7159e-13, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.54955e-11, 2.38221e-44, 2.38221e-44, 2.38221e-44
0.350328, 0, 4.52934e-11, 4.94658e-43, 1.41421, -4.52934e-11, 0, 4.94658e-43, 4.94658e-43, 4.94658e-43, 4.94658e-43, 4.94658e-43, 4.94658e-43, 4.94658e-43, 4.94658e-43, 4.94658e-43, 3.0283e-13, 4.94658e-43, 4.94658e-43, 4.94658e-43, 4.49906e-11, 4.94658e-43, 4.94658e-43, 4.94658e-43
