   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_187.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.0485583, 0, 1.15829e-21, 0, 1.41421, -1.15829e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15829e-21, 0, 0
0.0564422, 0, 2.83749e-21, 0, 1.41421, -2.83749e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83749e-21, 0, 0
0.0643261, 0, 6.82567e-21, 0, 1.41421, -6.82567e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82567e-21, 0, 0
0.07221, 0, 1.61402e-20, 0, 1.41421, -1.61402e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61402e-20, 0, 0
0.0800939, 0, 3.75512e-20, 0, 1.41421, -3.75512e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75512e-20, 0, 0
0.0879778, 0, 8.60257e-20, 0, 1.41421, -8.60257e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60257e-20, 0, 0
0.0958617, 0, 1.94191e-19, 0, 1.41421, -1.94191e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94191e-19, 0, 0
0.103746, 0, 4.32214e-19, 0, 1.41421, -4.32214e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32214e-19, 0, 0
0.111629, 0, 9.49021e-19, 0, 1.41421, -9.49021e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49021e-19, 0, 0
0.119513, 0, 2.05672e-18, 0, 1.41421, -2.05672e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05672e-18, 0, 0
0.127397, 0, 4.40143e-18, 0, 1.41421, -4.40143e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40143e-18, 0, 0
0.135281, 0, 9.30474e-18, 0, 1.41421, -9.30474e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30474e-18, 0, 0
0.143165, 0, 1.94386e-17, 0, 1.41421, -1.94386e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94386e-17, 0, 0
0.151049, 0, 4.01439e-17, 0, 1.41421, -4.01439e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01439e-17, 0, 0
0.158933, 0, 8.1978e-17, 0, 1.41421, -8.1978e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1978e-17, 0, 0
0.166817, 0, 1.65582e-16, 0, 1.41421, -1.65582e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65582e-16, 0, 0
0.174701, 0, 3.30882e-16, 0, 1.41421, -3.30882e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30882e-16, 0, 0
0.182585, 0, 6.54293e-16, 0, 1.41421, -6.54293e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.54293e-16, 0, 0
0.190468, 0, 1.28055e-15, 0, 1.41421, -1.28055e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28055e-15, 0, 0
0.198352, 0, 2.48097e-15, 0, 1.41421, -2.48097e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48097e-15, 0, 0
0.206236, 0, 4.75904e-15, 0, 1.41421, -4.75904e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75904e-15, 0, 0
0.21412, 0, 9.03968e-15, 0, 1.41421, -9.03968e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.03968e-15, 0, 0
0.222004, 0, 1.70052e-14, 0, 1.41421, -1.70052e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70052e-14, 0, 0
0.229888, 0, 3.16851e-14, 0, 1.41421, -3.16851e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16851e-14, 0, 0
0.237772, 0, 5.84823e-14, 0, 1.41421, -5.84823e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84823e-14, 0, 0
0.245656, 0, 1.06938e-13, 0, 1.41421, -1.06938e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06938e-13, 0, 0
0.25354, 0, 1.9374e-13, 0, 1.41421, -1.9374e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9374e-13, 0, 0
