   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_24.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.23459, 0, 1.0186e-12, 0, 1.41421, -1.0186e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65122e-14, 0, 0, 5.52926e-17, 0, 3.03872e-17, 0, 1.002e-12, 0, 0, 0
0.242505, 0, 1.75672e-12, 0, 1.41421, -1.75672e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84779e-14, 0, 0, 9.7624e-17, 0, 5.39128e-17, 0, 1.72809e-12, 0, 0, 0
0.25042, 0, 3.005e-12, 0, 1.41421, -3.005e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87146e-14, 0, 0, 1.71091e-16, 0, 9.49833e-17, 0, 2.95602e-12, 0, 0, 0
0.258335, 0, 5.0987e-12, 0, 1.41421, -5.0987e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.2658e-14, 0, 0, 2.97681e-16, 0, 1.66196e-16, 0, 5.01558e-12, 0, 0, 0
0.26625, 0, 8.58159e-12, 0, 1.41421, -8.58159e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39126e-13, 0, 0, 5.14293e-16, 0, 2.88854e-16, 0, 8.44166e-12, 0, 0, 0
0.274165, 0, 1.43284e-11, 0, 1.41421, -1.43284e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32306e-13, 0, 0, 8.82467e-16, 0, 4.98765e-16, 0, 1.40947e-11, 0, 0, 0
0.28208, 0, 2.37336e-11, 0, 1.41421, -2.37336e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84821e-13, 0, 0, 1.50426e-15, 0, 8.55754e-16, 0, 2.33464e-11, 0, 0, 0
0.289995, 0, 3.90025e-11, 0, 1.41421, -3.90025e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32456e-13, 0, 0, 2.54796e-15, 0, 1.45924e-15, 0, 3.8366e-11, 0, 0, 0
0.29791, 0, 6.3592e-11, 0, 1.41421, -6.3592e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03133e-12, 0, 0, 4.28978e-15, 0, 2.47355e-15, 0, 6.25539e-11, 0, 0, 0
0.305824, 0, 1.02876e-10, 0, 1.41421, -1.02876e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6687e-12, 0, 0, 7.18114e-15, 0, 4.16903e-15, 0, 1.01196e-10, 0, 0, 0
0.313739, 0, 1.6518e-10, 1.17709e-42, 1.41421, -1.6518e-10, 0, 1.17709e-42, 1.17709e-42, 1.17709e-42, 1.17709e-42, 1.17709e-42, 1.17709e-42, 1.17709e-42, 1.17709e-42, 1.17709e-42, 1.17709e-42, 1.17709e-42, 2.67993e-12, 1.17709e-42, 1.17709e-42, 1.19787e-14, 1.17709e-42, 7.0009e-15, 1.17709e-42, 1.62481e-10, 1.17709e-42, 1.17709e-42, 1.17709e-42
0.321654, 0, 2.63093e-10, 1.76998e-41, 1.41421, -2.63093e-10, 0, 1.76998e-41, 1.76998e-41, 1.76998e-41, 1.76998e-41, 1.76998e-41, 1.76998e-41, 1.76998e-41, 1.76998e-41, 1.76998e-41, 1.76998e-41, 1.76998e-41, 4.26968e-12, 1.76998e-41, 1.76998e-41, 1.98471e-14, 1.76998e-41, 1.16751e-14, 1.76998e-41, 2.58792e-10, 1.76998e-41, 1.76998e-41, 1.76998e-41
0.329569, 0, 4.1584e-10, 2.34111e-40, 1.41421, -4.1584e-10, 0, 2.34111e-40, 2.34111e-40, 2.34111e-40, 2.34111e-40, 2.34111e-40, 2.34111e-40, 2.34111e-40, 2.34111e-40, 2.34111e-40, 2.34111e-40, 2.34111e-40, 6.75088e-12, 2.34111e-40, 2.34111e-40, 3.27361e-14, 2.34111e-40, 1.93762e-14, 2.34111e-40, 4.09037e-10, 2.34111e-40, 2.34111e-40, 2.34111e-40
0.337484, 0, 6.52262e-10, 2.7702e-39, 1.41421, -6.52262e-10, 0, 2.7702e-39, 2.7702e-39, 2.7702e-39, 2.7702e-39, 2.7702e-39, 2.7702e-39, 2.7702e-39, 2.7702e-39, 2.7702e-39, 2.7702e-39, 2.7702e-39, 1.05936e-11, 2.7702e-39, 2.7702e-39, 5.37775e-14, 2.7702e-39, 3.20128e-14, 2.7702e-39, 6.41583e-10, 2.7702e-39, 2.7702e-39, 2.7702e-39
0.345399, 0, 1.01535e-09, 2.9563e-38, 1.41421, -1.01535e-09, 0, 2.9563e-38, 2.9563e-38, 2.9563e-38, 2.9563e-38, 2.9563e-38, 2.9563e-38, 2.9563e-38, 2.9563e-38, 2.9563e-38, 2.9563e-38, 2.9563e-38, 1.64993e-11, 2.9563e-38, 2.9563e-38, 8.803e-14, 2.9563e-38, 5.26716e-14, 2.9563e-38, 9.98709e-10, 2.9563e-38, 2.9563e-38, 2.9563e-38
0.353314, 0, 1.56865e-09, 2.85853e-37, 1.41421, -1.56865e-09, 0, 2.85853e-37, 2.85853e-37, 2.85853e-37, 2.85853e-37, 2.85853e-37, 2.85853e-37, 2.85853e-37, 2.85853e-37, 2.85853e-37, 2.85853e-37, 2.85853e-37, 2.55071e-11, 2.85853e-37, 2.85853e-37, 1.43662e-13, 2.85853e-37, 8.63362e-14, 2.85853e-37, 1.54292e-09, 2.85853e-37, 2.85853e-37, 2.85853e-37
