   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.362149, 0, 5.49901e-10, 2.88812e-37, 1.41421, -5.49901e-10, 2.88812e-37, 0, 2.88812e-37, 2.88812e-37, 2.88812e-37, 2.88812e-37, 2.88812e-37, 2.88812e-37, 2.88812e-37, 2.88812e-37, 2.88812e-37, 3.17084e-13, 2.88812e-37, 2.88812e-37, 5.68491e-15, 2.88812e-37, 2.88812e-37, 5.49578e-10, 2.88812e-37, 2.88812e-37
0.370044, 0, 8.50966e-10, 2.52654e-36, 1.41421, -8.50966e-10, 2.52654e-36, 0, 2.52654e-36, 2.52654e-36, 2.52654e-36, 2.52654e-36, 2.52654e-36, 2.52654e-36, 2.52654e-36, 2.52654e-36, 2.52654e-36, 4.91073e-13, 2.52654e-36, 2.52654e-36, 9.3375e-15, 2.52654e-36, 2.52654e-36, 8.50465e-10, 2.52654e-36, 2.52654e-36
0.377939, 0, 1.3067e-09, 2.02603e-35, 1.41421, -1.3067e-09, 2.02603e-35, 0, 2.02603e-35, 2.02603e-35, 2.02603e-35, 2.02603e-35, 2.02603e-35, 2.02603e-35, 2.02603e-35, 2.02603e-35, 2.02603e-35, 7.548e-13, 2.02603e-35, 2.02603e-35, 1.53032e-14, 2.02603e-35, 2.02603e-35, 1.30593e-09, 2.02603e-35, 2.02603e-35
0.385835, 0, 1.99113e-09, 1.49602e-34, 1.41421, -1.99113e-09, 1.49602e-34, 0, 1.49602e-34, 1.49602e-34, 1.49602e-34, 1.49602e-34, 1.49602e-34, 1.49602e-34, 1.49602e-34, 1.49602e-34, 1.49602e-34, 1.1515e-12, 1.49602e-34, 1.49602e-34, 2.50375e-14, 1.49602e-34, 1.49602e-34, 1.98995e-09, 1.49602e-34, 1.49602e-34
0.39373, 0, 3.01095e-09, 1.03655e-33, 1.41421, -3.01095e-09, 1.03655e-33, 0, 1.03655e-33, 1.03655e-33, 1.03655e-33, 1.03655e-33, 1.03655e-33, 1.03655e-33, 1.03655e-33, 1.03655e-33, 1.03655e-33, 1.74375e-12, 1.03655e-33, 1.03655e-33, 4.09113e-14, 1.03655e-33, 1.03655e-33, 3.00917e-09, 1.03655e-33, 1.03655e-33
0.401625, 0, 4.51867e-09, 6.05454e-33, 1.41421, -4.51867e-09, 6.05454e-33, 0, 6.05454e-33, 6.05454e-33, 6.05454e-33, 6.05454e-33, 6.05454e-33, 6.05454e-33, 6.05454e-33, 6.05454e-33, 6.05454e-33, 2.62139e-12, 6.05454e-33, 6.05454e-33, 6.67868e-14, 6.05454e-33, 6.05454e-33, 4.51598e-09, 6.05454e-33, 6.05454e-33
0.409521, 0, 6.73046e-09, 3.61684e-32, 1.41421, -6.73046e-09, 3.61684e-32, 0, 3.61684e-32, 3.61684e-32, 3.61684e-32, 3.61684e-32, 3.61684e-32, 3.61684e-32, 3.61684e-32, 3.61684e-32, 3.61684e-32, 3.91244e-12, 3.61684e-32, 3.61684e-32, 1.08954e-13, 3.61684e-32, 3.61684e-32, 6.72644e-09, 3.61684e-32, 3.61684e-32
0.417416, 0, 9.95018e-09, 1.92439e-31, 1.41421, -9.95018e-09, 1.92439e-31, 0, 1.92439e-31, 1.92439e-31, 1.92439e-31, 1.92439e-31, 1.92439e-31, 1.92439e-31, 1.92439e-31, 1.92439e-31, 1.92439e-31, 5.79802e-12, 1.92439e-31, 1.92439e-31, 1.7765e-13, 1.92439e-31, 1.92439e-31, 9.94421e-09, 1.92439e-31, 1.92439e-31
0.425312, 0, 1.46014e-08, 1.0069e-30, 1.41421, -1.46014e-08, 1.0069e-30, 0, 1.0069e-30, 1.0069e-30, 1.0069e-30, 1.0069e-30, 1.0069e-30, 1.0069e-30, 1.0069e-30, 1.0069e-30, 1.0069e-30, 8.53251e-12, 1.0069e-30, 1.0069e-30, 2.89509e-13, 1.0069e-30, 1.0069e-30, 1.45926e-08, 1.0069e-30, 1.0069e-30
0.433207, 0, 2.12699e-08, 5.03704e-30, 1.41421, -2.12699e-08, 5.03704e-30, 0, 5.03704e-30, 5.03704e-30, 5.03704e-30, 5.03704e-30, 5.03704e-30, 5.03704e-30, 5.03704e-30, 5.03704e-30, 5.03704e-30, 1.24708e-11, 5.03704e-30, 5.03704e-30, 4.71509e-13, 5.03704e-30, 5.03704e-30, 2.12569e-08, 5.03704e-30, 5.03704e-30
0.441102, 0, 3.07588e-08, 2.38587e-29, 1.41421, -3.07588e-08, 2.38587e-29, 0, 2.38587e-29, 2.38587e-29, 2.38587e-29, 2.38587e-29, 2.38587e-29, 2.38587e-29, 2.38587e-29, 2.38587e-29, 2.38587e-29, 1.81043e-11, 2.38587e-29, 2.38587e-29, 7.67274e-13, 2.38587e-29, 2.38587e-29, 3.07399e-08, 2.38587e-29, 2.38587e-29
0.448998, 0, 4.41607e-08, 1.09285e-28, 1.41421, -4.41607e-08, 1.09285e-28, 0, 1.09285e-28, 1.09285e-28, 1.09285e-28, 1.09285e-28, 1.09285e-28, 1.09285e-28, 1.09285e-28, 1.09285e-28, 1.09285e-28, 2.61097e-11, 1.09285e-28, 1.09285e-28, 1.2471e-12, 1.09285e-28, 1.09285e-28, 4.41334e-08, 1.09285e-28, 1.09285e-28
0.456893, 0, 6.29504e-08, 4.80407e-28, 1.41421, -6.29504e-08, 4.80407e-28, 0, 4.80407e-28, 4.80407e-28, 4.80407e-28, 4.80407e-28, 4.80407e-28, 4.80407e-28, 4.80407e-28, 4.80407e-28, 4.80407e-28, 3.74122e-11, 4.80407e-28, 4.80407e-28, 2.02378e-12, 4.80407e-28, 4.80407e-28, 6.2911e-08, 4.80407e-28, 4.80407e-28
0.464788, 0, 8.91021e-08, 2.01574e-27, 1.41421, -8.91021e-08, 2.01574e-27, 0, 2.01574e-27, 2.01574e-27, 2.01574e-27, 2.01574e-27, 2.01574e-27, 2.01574e-27, 2.01574e-27, 2.01574e-27, 2.01574e-27, 5.32692e-11, 2.01574e-27, 2.01574e-27, 3.27741e-12, 2.01574e-27, 2.01574e-27, 8.90455e-08, 2.01574e-27, 2.01574e-27
0.472684, 0, 1.25238e-07, 8.07297e-27, 1.41421, -1.25238e-07, 8.07297e-27, 0, 8.07297e-27, 8.07297e-27, 8.07297e-27, 8.07297e-27, 8.07297e-27, 8.07297e-27, 8.07297e-27, 8.07297e-27, 8.07297e-27, 7.53795e-11, 8.07297e-27, 8.07297e-27, 5.29393e-12, 8.07297e-27, 8.07297e-27, 1.25158e-07, 8.07297e-27, 8.07297e-27
0.480579, 0, 1.74816e-07, 3.08864e-26, 1.41421, -1.74816e-07, 3.08864e-26, 0, 3.08864e-26, 3.08864e-26, 3.08864e-26, 3.08864e-26, 3.08864e-26, 5.30757e-13, 3.08864e-26, 3.08864e-26, 3.08864e-26, 1.06024e-10, 3.08864e-26, 3.08864e-26, 8.52453e-12, 3.08864e-26, 3.08864e-26, 1.74701e-07, 3.08864e-26, 3.08864e-26
0.488474, 0, 2.42357e-07, 1.13069e-25, 1.41421, -2.42357e-07, 1.13069e-25, 0, 1.13069e-25, 1.13069e-25, 1.13069e-25, 1.13069e-25, 1.13069e-25, 1.8115e-12, 1.13069e-25, 1.13069e-25, 1.13069e-25, 1.48248e-10, 1.13069e-25, 1.13069e-25, 1.36765e-11, 1.13069e-25, 1.13069e-25, 2.42193e-07, 1.13069e-25, 1.13069e-25
0.49637, 0, 3.33728e-07, 3.99415e-25, 1.41421, -3.33728e-07, 3.99415e-25, 0, 3.99415e-25, 3.99415e-25, 3.99415e-25, 3.99415e-25, 3.99415e-25, 4.80427e-12, 3.99415e-25, 3.99415e-25, 3.99415e-25, 2.06092e-10, 3.99415e-25, 3.99415e-25, 2.18506e-11, 3.99415e-25, 3.99415e-25, 3.33495e-07, 3.99415e-25, 3.99415e-25
0.504265, 0, 4.5864e-07, 1.3104e-10, 1.41421, -4.5864e-07, 2.08185e-10, 1.3104e-10, 1.31041e-10, 1.31051e-10, 9.20964e-10, 1.51807e-10, 1.44132e-10, 1.67561e-10, 1.99468e-10, 1.32532e-10, 1.0841e-09, 4.15939e-10, 1.31243e-10, 1.34727e-10, 1.65788e-10, 1.3104e-10, 1.31042e-10, 4.56356e-07, 1.3104e-10, 1.3104e-10
0.512161, 0, 6.27605e-07, 4.42869e-10, 1.41421, -6.27605e-07, 7.04755e-10, 4.42869e-10, 4.42873e-10, 4.42905e-10, 3.12443e-09, 5.13365e-10, 4.87311e-10, 5.54127e-10, 6.75162e-10, 4.47933e-10, 3.67824e-09, 8.34536e-10, 4.43556e-10, 4.55383e-10, 4.97851e-10, 4.42869e-10, 4.42874e-10, 6.20502e-07, 4.42869e-10, 4.42869e-10
0.520056, 0, 8.56866e-07, 1.16594e-09, 1.41421, -8.56866e-07, 1.85717e-09, 1.16594e-09, 1.16595e-09, 1.16604e-09, 8.24372e-09, 1.35201e-09, 1.28324e-09, 1.44845e-09, 1.77906e-09, 1.17931e-09, 9.70545e-09, 1.70147e-09, 1.16775e-09, 1.19897e-09, 1.25246e-09, 1.16594e-09, 1.16595e-09, 8.38688e-07, 1.16594e-09, 1.16594e-09
0.527951, 0, 1.17024e-06, 2.80027e-09, 1.41421, -1.17024e-06, 4.46323e-09, 2.80027e-09, 2.8003e-09, 2.8005e-09, 1.98281e-08, 3.24792e-09, 3.08247e-09, 3.4654e-09, 4.27532e-09, 2.83242e-09, 2.33447e-08, 3.5286e-09, 2.80463e-09, 2.87974e-09, 2.93562e-09, 2.80027e-09, 2.8003e-09, 1.12715e-06, 2.80027e-09, 2.80027e-09
0.535847, 0, 1.60488e-06, 6.40445e-09, 1.41421, -1.60488e-06, 1.02123e-08, 6.40445e-09, 6.4045e-09, 6.40496e-09, 4.53948e-08, 7.42947e-09, 7.05063e-09, 7.90336e-09, 9.78201e-09, 6.47807e-09, 5.34472e-08, 7.38978e-09, 6.41443e-09, 6.5864e-09, 6.61486e-09, 6.40445e-09, 6.40451e-09, 1.50703e-06, 6.40445e-09, 6.40445e-09
0.543742, 0, 2.22308e-06, 1.4219e-08, 1.41421, -2.22308e-06, 2.2684e-08, 1.4219e-08, 1.42191e-08, 1.42202e-08, 1.00895e-07, 1.64977e-08, 1.56555e-08, 1.77899e-08, 2.17274e-08, 1.43827e-08, 1.18796e-07, 1.55452e-08, 1.42412e-08, 1.46235e-08, 1.45441e-08, 1.4219e-08, 1.42192e-08, 2.00632e-06, 1.4219e-08, 1.4219e-08
0.551637, 0, 3.12875e-06, 3.05243e-08, 1.41421, -3.12875e-06, 4.8707e-08, 3.05243e-08, 3.05246e-08, 3.05268e-08, 2.16705e-07, 3.54188e-08, 3.36099e-08, 4.05626e-08, 4.66524e-08, 3.08759e-08, 2.55156e-07, 3.23e-08, 3.0572e-08, 3.13932e-08, 3.1023e-08, 3.05243e-08, 3.05246e-08, 2.66206e-06, 3.05243e-08, 3.05243e-08
0.559533, 0, 4.5065e-06, 6.39874e-08, 1.41421, -4.5065e-06, 1.02124e-07, 6.39874e-08, 6.39879e-08, 6.39925e-08, 4.54488e-07, 7.42533e-08, 7.04591e-08, 8.82515e-08, 9.78148e-08, 6.47247e-08, 5.35136e-07, 6.63528e-08, 6.40874e-08, 6.58097e-08, 6.47473e-08, 6.39874e-08, 6.3988e-08, 3.52609e-06, 6.39874e-08, 6.39874e-08
0.567428, 0, 6.68464e-06, 1.31056e-07, 1.41421, -6.68464e-06, 2.09209e-07, 1.31056e-07, 1.31057e-07, 1.31067e-07, 9.31298e-07, 1.52094e-07, 1.44319e-07, 1.86013e-07, 2.00378e-07, 1.32567e-07, 1.09657e-06, 1.34192e-07, 1.31261e-07, 1.34791e-07, 1.32207e-07, 1.31056e-07, 1.31058e-07, 4.67241e-06, 1.31056e-07, 1.31056e-07
0.575323, 0, 1.02477e-05, 2.62345e-07, 1.41421, -1.02477e-05, 4.18876e-07, 2.62345e-07, 2.62347e-07, 2.62366e-07, 1.86513e-06, 3.04481e-07, 2.88908e-07, 3.82082e-07, 4.01188e-07, 2.65371e-07, 2.19615e-06, 2.66481e-07, 2.62756e-07, 2.69825e-07, 2.64074e-07, 2.62345e-07, 2.62348e-07, 6.21053e-06, 2.62345e-07, 2.62345e-07
0.583219, 0, 1.62286e-05, 5.13387e-07, 1.41421, -1.62286e-05, 8.19881e-07, 5.13387e-07, 5.13391e-07, 5.13428e-07, 3.65171e-06, 5.9589e-07, 5.65398e-07, 7.6699e-07, 7.85247e-07, 5.19312e-07, 4.29985e-06, 5.18815e-07, 5.1419e-07, 5.28032e-07, 5.15967e-07, 5.13387e-07, 5.13392e-07, 8.30793e-06, 5.13387e-07, 5.13387e-07
