   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_136.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.346267, 0, 3.52626e-10, 4.91126e-40, 1.41421, -3.52626e-10, 0, 4.91126e-40, 4.91126e-40, 4.91126e-40, 4.91126e-40, 4.91126e-40, 4.91126e-40, 4.91126e-40, 4.91126e-40, 4.91126e-40, 4.91126e-40, 4.91126e-40, 4.77575e-12, 4.91126e-40, 9.97083e-15, 4.91126e-40, 6.74031e-14, 4.91126e-40, 3.47773e-10, 4.91126e-40, 4.91126e-40, 4.91126e-40
0.354155, 0, 5.59661e-10, 5.76336e-39, 1.41421, -5.59661e-10, 0, 5.76336e-39, 5.76336e-39, 5.76336e-39, 5.76336e-39, 5.76336e-39, 5.76336e-39, 5.76336e-39, 5.76336e-39, 5.76336e-39, 5.76336e-39, 5.76336e-39, 7.58316e-12, 5.76336e-39, 1.65911e-14, 5.76336e-39, 1.12541e-13, 5.76336e-39, 5.51948e-10, 5.76336e-39, 5.76336e-39, 5.76336e-39
0.362044, 0, 8.81175e-10, 6.10224e-38, 1.41421, -8.81175e-10, 0, 6.10224e-38, 6.10224e-38, 6.10224e-38, 6.10224e-38, 6.10224e-38, 6.10224e-38, 6.10224e-38, 6.10224e-38, 6.10224e-38, 6.10224e-38, 6.10224e-38, 1.19463e-11, 6.10224e-38, 2.75071e-14, 6.10224e-38, 1.87115e-13, 6.10224e-38, 8.69014e-10, 6.10224e-38, 6.10224e-38, 6.10224e-38
0.369933, 0, 1.37655e-09, 2.09585e-36, 1.41421, -1.37655e-09, 0, 2.09585e-36, 2.09585e-36, 2.09585e-36, 2.09585e-36, 2.09585e-36, 2.09585e-36, 2.09585e-36, 2.09585e-36, 2.09585e-36, 2.09585e-36, 2.09585e-36, 1.86759e-11, 2.09585e-36, 4.55425e-14, 2.09585e-36, 3.10449e-13, 2.09585e-36, 1.35752e-09, 2.09585e-36, 2.09585e-36, 2.09585e-36
0.377821, 0, 2.13324e-09, 1.6867e-35, 1.41421, -2.13324e-09, 0, 1.6867e-35, 1.6867e-35, 1.6867e-35, 1.6867e-35, 1.6867e-35, 1.6867e-35, 1.6867e-35, 1.6867e-35, 1.6867e-35, 1.6867e-35, 1.6867e-35, 2.89672e-11, 1.6867e-35, 7.50806e-14, 1.6867e-35, 5.1251e-13, 1.6867e-35, 2.10368e-09, 1.6867e-35, 1.6867e-35, 1.6867e-35
0.38571, 0, 3.28002e-09, 1.2499e-34, 1.41421, -3.28002e-09, 0, 1.2499e-34, 1.2499e-34, 1.2499e-34, 1.2499e-34, 1.2499e-34, 1.2499e-34, 1.2499e-34, 1.2499e-34, 1.2499e-34, 1.2499e-34, 1.2499e-34, 4.45866e-11, 1.2499e-34, 1.23524e-13, 1.2499e-34, 8.43669e-13, 1.2499e-34, 3.23447e-09, 1.2499e-34, 1.2499e-34, 1.2499e-34
0.393598, 0, 5.00412e-09, 8.6664e-34, 1.41421, -5.00412e-09, 0, 8.6664e-34, 8.6664e-34, 8.6664e-34, 8.6664e-34, 8.6664e-34, 8.6664e-34, 8.6664e-34, 8.6664e-34, 8.6664e-34, 8.6664e-34, 8.6664e-34, 6.81105e-11, 8.6664e-34, 2.02907e-13, 8.6664e-34, 1.38548e-12, 8.6664e-34, 4.93442e-09, 8.6664e-34, 8.6664e-34, 8.6664e-34
0.401487, 0, 7.57556e-09, 5.49291e-33, 1.41421, -7.57556e-09, 0, 5.49291e-33, 5.49291e-33, 5.49291e-33, 5.49291e-33, 5.49291e-33, 5.49291e-33, 5.49291e-33, 5.49291e-33, 5.49291e-33, 5.49291e-33, 5.49291e-33, 1.0327e-10, 5.49291e-33, 3.32921e-13, 5.49291e-33, 2.27075e-12, 5.49291e-33, 7.46968e-09, 5.49291e-33, 5.49291e-33, 5.49291e-33
0.409376, 0, 1.13804e-08, 3.43024e-32, 1.41421, -1.13804e-08, 0, 3.43024e-32, 3.43024e-32, 3.43024e-32, 3.43024e-32, 3.43024e-32, 3.43024e-32, 3.43024e-32, 3.43024e-32, 3.43024e-32, 3.43024e-32, 3.43024e-32, 1.55428e-10, 3.43024e-32, 5.45779e-13, 3.43024e-32, 3.71573e-12, 3.43024e-32, 1.12208e-08, 3.43024e-32, 3.43024e-32, 3.43024e-32
0.417264, 0, 1.69664e-08, 1.943e-31, 1.41421, -1.69664e-08, 0, 1.943e-31, 1.943e-31, 1.943e-31, 1.943e-31, 1.943e-31, 1.943e-31, 1.943e-31, 1.943e-31, 1.943e-31, 1.943e-31, 1.943e-31, 2.32234e-10, 1.943e-31, 8.94171e-13, 1.943e-31, 6.07239e-12, 1.943e-31, 1.67272e-08, 1.943e-31, 1.943e-31, 1.943e-31
