   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_31.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0673675, 0, 4.51641e-18, 0, 1.41421, -4.51641e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09295e-22, 0, 4.5155e-18, 0, 0, 0
0.0752779, 0, 9.10553e-18, 0, 1.41421, -9.10553e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86338e-21, 0, 9.10367e-18, 0, 0, 0
0.0831883, 0, 1.81713e-17, 0, 1.41421, -1.81713e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78047e-21, 0, 1.81676e-17, 0, 0, 0
0.0910987, 0, 3.59041e-17, 0, 1.41421, -3.59041e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59537e-21, 0, 3.58965e-17, 0, 0, 0
0.099009, 0, 7.02541e-17, 0, 1.41421, -7.02541e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51151e-20, 0, 7.0239e-17, 0, 0, 0
0.106919, 0, 1.36163e-16, 0, 1.41421, -1.36163e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98005e-20, 0, 1.36133e-16, 0, 0, 0
0.11483, 0, 2.61451e-16, 0, 1.41421, -2.61451e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82206e-20, 0, 2.61393e-16, 0, 0, 0
0.12274, 0, 4.97434e-16, 0, 1.41421, -4.97434e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12732e-19, 0, 4.97322e-16, 0, 0, 0
0.130651, 0, 9.37921e-16, 0, 1.41421, -9.37921e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16374e-19, 0, 9.37705e-16, 0, 0, 0
0.138561, 0, 1.75285e-15, 0, 1.41421, -1.75285e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1174e-19, 0, 1.75244e-15, 0, 0, 0
0.146471, 0, 3.24734e-15, 0, 1.41421, -3.24734e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76897e-19, 0, 3.24656e-15, 0, 0, 0
0.154382, 0, 5.96446e-15, 0, 1.41421, -5.96446e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45374e-18, 0, 5.96301e-15, 0, 0, 0
0.162292, 0, 1.08624e-14, 0, 1.41421, -1.08624e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69804e-18, 0, 1.08597e-14, 0, 0, 0
0.170202, 0, 1.96173e-14, 0, 1.41421, -1.96173e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9671e-18, 0, 1.96123e-14, 0, 0, 0
0.178113, 0, 3.51362e-14, 0, 1.41421, -3.51362e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.07229e-18, 0, 3.51271e-14, 0, 0, 0
0.186023, 0, 6.2418e-14, 0, 1.41421, -6.2418e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64414e-17, 0, 6.24016e-14, 0, 0, 0
0.193934, 0, 1.09988e-13, 0, 1.41421, -1.09988e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95682e-17, 0, 1.09959e-13, 0, 0, 0
0.201844, 0, 1.92265e-13, 0, 1.41421, -1.92265e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27744e-17, 0, 1.92212e-13, 0, 0, 0
0.209754, 0, 3.33425e-13, 0, 1.41421, -3.33425e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.34946e-17, 0, 3.33332e-13, 0, 0, 0
0.217665, 0, 5.73688e-13, 0, 1.41421, -5.73688e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64425e-16, 0, 5.73523e-13, 0, 0, 0
0.225575, 0, 9.79399e-13, 0, 1.41421, -9.79399e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87096e-16, 0, 9.79112e-13, 0, 0, 0
0.233486, 0, 1.65912e-12, 0, 1.41421, -1.65912e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97762e-16, 0, 1.65862e-12, 0, 0, 0
0.241396, 0, 2.78901e-12, 0, 1.41421, -2.78901e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.57065e-16, 0, 2.78816e-12, 0, 0, 0
0.249306, 0, 4.65271e-12, 0, 1.41421, -4.65271e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4658e-15, 0, 4.65124e-12, 0, 0, 0
0.257217, 0, 7.70304e-12, 0, 1.41421, -7.70304e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49046e-15, 0, 7.70055e-12, 0, 0, 0
0.265127, 0, 1.26573e-11, 0, 1.41421, -1.26573e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20461e-15, 0, 1.26531e-11, 0, 0, 0
0.273037, 0, 2.06425e-11, 0, 1.41421, -2.06425e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05508e-15, 0, 2.06355e-11, 0, 0, 0
0.280948, 0, 3.34152e-11, 0, 1.41421, -3.34152e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17683e-14, 0, 3.34034e-11, 0, 0, 0
0.288858, 0, 5.36912e-11, 0, 1.41421, -5.36912e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95199e-14, 0, 5.36716e-11, 0, 0, 0
0.296769, 0, 8.56363e-11, 0, 1.41421, -8.56363e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22056e-14, 0, 8.56041e-11, 0, 0, 0
0.304679, 0, 1.35589e-10, 8.68805e-44, 1.41421, -1.35589e-10, 0, 8.68805e-44, 8.68805e-44, 8.68805e-44, 8.68805e-44, 8.68805e-44, 8.68805e-44, 8.68805e-44, 8.68805e-44, 5.28708e-14, 8.68805e-44, 1.35536e-10, 8.68805e-44, 8.68805e-44, 8.68805e-44
0.312589, 0, 2.13118e-10, 1.57366e-42, 1.41421, -2.13118e-10, 0, 1.57366e-42, 1.57366e-42, 1.57366e-42, 1.57366e-42, 1.57366e-42, 1.57366e-42, 1.57366e-42, 1.57366e-42, 8.63964e-14, 1.57366e-42, 2.13031e-10, 1.57366e-42, 1.57366e-42, 1.57366e-42
0.3205, 0, 3.32551e-10, 2.39188e-41, 1.41421, -3.32551e-10, 0, 2.39188e-41, 2.39188e-41, 2.39188e-41, 2.39188e-41, 2.39188e-41, 2.39188e-41, 2.39188e-41, 2.39188e-41, 1.40586e-13, 2.39188e-41, 3.3241e-10, 2.39188e-41, 2.39188e-41, 2.39188e-41
0.32841, 0, 5.15181e-10, 3.19958e-40, 1.41421, -5.15181e-10, 0, 3.19958e-40, 3.19958e-40, 3.19958e-40, 3.19958e-40, 3.19958e-40, 3.19958e-40, 3.19958e-40, 3.19958e-40, 2.27902e-13, 3.19958e-40, 5.14953e-10, 3.19958e-40, 3.19958e-40, 3.19958e-40
0.33632, 0, 7.92392e-10, 3.826e-39, 1.41421, -7.92392e-10, 0, 3.826e-39, 3.826e-39, 3.826e-39, 3.826e-39, 3.826e-39, 3.826e-39, 3.826e-39, 3.826e-39, 3.68221e-13, 3.826e-39, 7.92024e-10, 3.826e-39, 3.826e-39, 3.826e-39
0.344231, 0, 1.2102e-09, 1.71795e-37, 1.41421, -1.2102e-09, 0, 1.71795e-37, 1.71795e-37, 1.71795e-37, 1.71795e-37, 1.71795e-37, 1.71795e-37, 1.71795e-37, 1.71795e-37, 5.94255e-13, 1.71795e-37, 1.20961e-09, 1.71795e-37, 1.71795e-37, 1.71795e-37
0.352141, 0, 1.83501e-09, 1.53003e-36, 1.41421, -1.83501e-09, 0, 1.53003e-36, 1.53003e-36, 1.53003e-36, 1.53003e-36, 1.53003e-36, 1.53003e-36, 1.53003e-36, 1.53003e-36, 9.5512e-13, 1.53003e-36, 1.83405e-09, 1.53003e-36, 1.53003e-36, 1.53003e-36
0.360052, 0, 2.7628e-09, 1.24777e-35, 1.41421, -2.7628e-09, 0, 1.24777e-35, 1.24777e-35, 1.24777e-35, 1.24777e-35, 1.24777e-35, 1.24777e-35, 1.24777e-35, 1.24777e-35, 1.53218e-12, 1.24777e-35, 2.76127e-09, 1.24777e-35, 1.24777e-35, 1.24777e-35
0.367962, 0, 4.13059e-09, 9.35835e-35, 1.41421, -4.13059e-09, 0, 9.35835e-35, 9.35835e-35, 9.35835e-35, 9.35835e-35, 9.35835e-35, 9.35835e-35, 9.35835e-35, 9.35835e-35, 2.45425e-12, 9.35835e-35, 4.12813e-09, 9.35835e-35, 9.35835e-35, 9.35835e-35
0.375872, 0, 6.13258e-09, 6.49522e-34, 1.41421, -6.13258e-09, 0, 6.49522e-34, 6.49522e-34, 6.49522e-34, 6.49522e-34, 6.49522e-34, 6.49522e-34, 6.49522e-34, 6.49522e-34, 3.92697e-12, 6.49522e-34, 6.12865e-09, 6.49522e-34, 6.49522e-34, 6.49522e-34
0.383783, 0, 9.04197e-09, 3.88961e-33, 1.41421, -9.04197e-09, 0, 3.88961e-33, 3.88961e-33, 3.88961e-33, 3.88961e-33, 3.88961e-33, 3.88961e-33, 3.88961e-33, 3.88961e-33, 6.27867e-12, 3.88961e-33, 9.03569e-09, 3.88961e-33, 3.88961e-33, 3.88961e-33
0.391693, 0, 1.32402e-08, 2.37593e-32, 1.41421, -1.32402e-08, 0, 2.37593e-32, 2.37593e-32, 2.37593e-32, 2.37593e-32, 2.37593e-32, 2.37593e-32, 2.37593e-32, 2.37593e-32, 1.00337e-11, 2.37593e-32, 1.32301e-08, 2.37593e-32, 2.37593e-32, 2.37593e-32
0.399604, 0, 1.92556e-08, 1.29304e-31, 1.41421, -1.92556e-08, 0, 1.29304e-31, 1.29304e-31, 1.29304e-31, 1.29304e-31, 1.29304e-31, 1.29304e-31, 1.29304e-31, 1.29304e-31, 1.60287e-11, 1.29304e-31, 1.92396e-08, 1.29304e-31, 1.29304e-31, 1.29304e-31
0.407514, 0, 2.78148e-08, 6.89702e-31, 1.41421, -2.78148e-08, 0, 6.89702e-31, 6.89702e-31, 6.89702e-31, 6.89702e-31, 6.89702e-31, 6.89702e-31, 6.89702e-31, 6.89702e-31, 2.55979e-11, 6.89702e-31, 2.77892e-08, 6.89702e-31, 6.89702e-31, 6.89702e-31
0.415424, 0, 3.99094e-08, 3.50617e-30, 1.41421, -3.99094e-08, 0, 3.50617e-30, 3.50617e-30, 3.50617e-30, 3.50617e-30, 3.50617e-30, 3.50617e-30, 3.50617e-30, 3.50617e-30, 4.0865e-11, 3.50617e-30, 3.98686e-08, 3.50617e-30, 3.50617e-30, 3.50617e-30
0.423335, 0, 5.68829e-08, 1.68388e-29, 1.41421, -5.68829e-08, 0, 1.68388e-29, 1.68388e-29, 1.68388e-29, 1.68388e-29, 1.68388e-29, 1.68388e-29, 1.68388e-29, 1.68388e-29, 6.52029e-11, 1.68388e-29, 5.68177e-08, 1.68388e-29, 1.68388e-29, 1.68388e-29
0.431245, 0, 8.05416e-08, 7.76885e-29, 1.41421, -8.05416e-08, 0, 7.76885e-29, 7.76885e-29, 7.76885e-29, 7.76885e-29, 7.76885e-29, 7.76885e-29, 7.76885e-29, 7.76885e-29, 1.03952e-10, 7.76885e-29, 8.04376e-08, 7.76885e-29, 7.76885e-29, 7.76885e-29
0.439155, 0, 1.13298e-07, 3.44103e-28, 1.41421, -1.13298e-07, 0, 3.44103e-28, 3.44103e-28, 3.44103e-28, 3.44103e-28, 3.44103e-28, 3.44103e-28, 3.44103e-28, 3.44103e-28, 1.65542e-10, 3.44103e-28, 1.13132e-07, 3.44103e-28, 3.44103e-28, 3.44103e-28
0.447066, 0, 1.58348e-07, 1.45402e-27, 1.41421, -1.58348e-07, 0, 1.45402e-27, 1.45402e-27, 1.45402e-27, 1.45402e-27, 1.45402e-27, 1.45402e-27, 1.45402e-27, 1.45402e-27, 2.63213e-10, 1.45402e-27, 1.58085e-07, 1.45402e-27, 1.45402e-27, 1.45402e-27
0.454976, 0, 2.19902e-07, 5.8608e-27, 1.41421, -2.19902e-07, 0, 5.8608e-27, 5.8608e-27, 5.8608e-27, 5.8608e-27, 5.8608e-27, 5.8608e-27, 5.8608e-27, 5.8608e-27, 4.17672e-10, 5.8608e-27, 2.19484e-07, 5.8608e-27, 5.8608e-27, 5.8608e-27
0.462887, 0, 3.03458e-07, 2.25505e-26, 1.41421, -3.03458e-07, 0, 2.25505e-26, 2.25505e-26, 2.25505e-26, 2.25505e-26, 1.28294e-12, 2.25505e-26, 2.25505e-26, 2.25505e-26, 6.61119e-10, 2.25505e-26, 3.02795e-07, 2.25505e-26, 2.25505e-26, 2.25505e-26
0.470797, 0, 4.16156e-07, 8.2966e-26, 1.41421, -4.16156e-07, 0, 8.2966e-26, 8.2966e-26, 8.2966e-26, 8.2966e-26, 4.29392e-12, 8.2966e-26, 8.2966e-26, 8.2966e-26, 1.04334e-09, 8.2966e-26, 4.15109e-07, 8.2966e-26, 8.2966e-26, 8.2966e-26
0.478707, 0, 5.67201e-07, 2.93843e-25, 1.41421, -5.67201e-07, 0, 2.93843e-25, 2.93843e-25, 2.93843e-25, 2.93843e-25, 1.11543e-11, 2.93843e-25, 2.93843e-25, 2.93843e-25, 1.64083e-09, 2.93843e-25, 5.65549e-07, 2.93843e-25, 2.93843e-25, 2.93843e-25
0.486618, 0, 7.70134e-07, 1.2339e-10, 1.41421, -7.70134e-07, 1.2339e-10, 1.24028e-10, 6.20041e-10, 1.37695e-10, 1.39682e-10, 2.09561e-10, 3.03494e-10, 8.80341e-10, 1.25322e-10, 2.6937e-09, 1.23391e-10, 7.65995e-07, 1.2339e-10, 1.2339e-10, 1.39379e-10
0.494528, 0, 1.04053e-06, 4.10345e-10, 1.41421, -1.04053e-06, 4.10345e-10, 4.12469e-10, 2.06422e-09, 4.5798e-10, 4.64597e-10, 6.68869e-10, 1.0101e-09, 2.93104e-09, 4.16777e-10, 4.4194e-09, 4.10349e-10, 1.03132e-06, 4.10345e-10, 4.10345e-10, 4.63591e-10
0.502438, 0, 1.40041e-06, 1.0605e-09, 1.41421, -1.40041e-06, 1.0605e-09, 1.066e-09, 5.33786e-09, 1.1837e-09, 1.20081e-09, 1.70494e-09, 2.61163e-09, 7.57966e-09, 1.07714e-09, 7.28375e-09, 1.06051e-09, 1.38077e-06, 1.0605e-09, 1.0605e-09, 1.19821e-09
0.510349, 0, 1.87971e-06, 2.49817e-09, 1.41421, -1.87971e-06, 2.49817e-09, 2.51112e-09, 1.25799e-08, 2.78854e-09, 2.82888e-09, 3.98674e-09, 6.15415e-09, 1.78638e-08, 2.53738e-09, 1.21087e-08, 2.49819e-09, 1.8385e-06, 2.49817e-09, 2.49817e-09, 2.82274e-09
0.518259, 0, 2.52109e-06, 5.60638e-09, 1.41421, -2.52109e-06, 5.60638e-09, 5.63544e-09, 2.82378e-08, 6.25821e-09, 6.34875e-09, 8.8992e-09, 1.38133e-08, 4.00991e-08, 5.69439e-09, 2.03666e-08, 5.60643e-09, 2.43547e-06, 5.60638e-09, 5.60638e-09, 6.33498e-09
0.52617, 0, 3.3879e-06, 1.21774e-08, 1.41421, -3.3879e-06, 1.21774e-08, 1.22405e-08, 6.13417e-08, 1.35934e-08, 1.37901e-08, 1.93694e-08, 3.00061e-08, 8.71092e-08, 1.23686e-08, 3.4716e-08, 1.21775e-08, 3.21138e-06, 1.21774e-08, 1.21774e-08, 1.37602e-08
0.53408, 0, 4.57916e-06, 2.57655e-08, 1.41421, -4.57916e-06, 2.57655e-08, 2.58991e-08, 1.298e-07, 2.87619e-08, 2.91781e-08, 4.21822e-08, 6.34922e-08, 1.84326e-07, 2.61701e-08, 5.99746e-08, 2.57657e-08, 4.21791e-06, 2.57655e-08, 2.57655e-08, 2.91148e-08
0.54199, 0, 6.2639e-06, 5.32545e-08, 1.41421, -6.2639e-06, 5.32545e-08, 5.35307e-08, 2.68302e-07, 5.94483e-08, 6.03087e-08, 9.98263e-08, 1.31238e-07, 3.81011e-07, 5.40908e-08, 1.04854e-07, 5.32549e-08, 5.52365e-06, 5.32545e-08, 5.32545e-08, 6.01778e-08
0.549901, 0, 8.70848e-06, 1.07668e-07, 1.41421, -8.70848e-06, 1.07668e-07, 1.08227e-07, 5.42481e-07, 1.20192e-07, 1.21931e-07, 2.18431e-07, 2.65347e-07, 7.70371e-07, 1.09359e-07, 1.85002e-07, 1.07669e-07, 7.22215e-06, 1.07668e-07, 1.07668e-07, 1.21667e-07
0.557811, 0, 1.23743e-05, 2.13067e-07, 1.41421, -1.23743e-05, 2.13067e-07, 2.14172e-07, 1.0736e-06, 2.37852e-07, 2.41295e-07, 4.57948e-07, 5.25128e-07, 1.52461e-06, 2.16414e-07, 3.28288e-07, 2.13069e-07, 9.44486e-06, 2.13067e-07, 2.13067e-07, 2.40772e-07
0.565722, 0, 1.80505e-05, 4.12862e-07, 1.41421, -1.80505e-05, 4.12862e-07, 4.15004e-07, 2.08047e-06, 4.60893e-07, 4.67565e-07, 9.3168e-07, 1.0176e-06, 2.95447e-06, 4.19348e-07, 5.83345e-07, 4.12866e-07, 1.23822e-05, 4.12862e-07, 4.12862e-07, 4.6655e-07
0.573632, 0, 2.70908e-05, 7.83545e-07, 1.41421, -2.70908e-05, 7.83545e-07, 7.8761e-07, 3.94866e-06, 8.74707e-07, 8.8737e-07, 1.85508e-06, 1.93133e-06, 5.60752e-06, 7.95854e-07, 1.03415e-06, 7.83552e-07, 1.63186e-05, 7.83545e-07, 7.83545e-07, 8.85444e-07
0.581542, 0, 4.17784e-05, 1.45669e-06, 1.41421, -4.17784e-05, 1.45669e-06, 1.46425e-06, 7.34149e-06, 1.62619e-06, 1.64973e-06, 3.61197e-06, 3.59073e-06, 1.04258e-05, 1.47958e-06, 1.8227e-06, 1.45671e-06, 2.16868e-05, 1.45669e-06, 1.45669e-06, 1.64615e-06
0.589453, 0, 6.5957e-05, 2.6533e-06, 1.41421, -6.5957e-05, 2.6533e-06, 2.66707e-06, 1.33731e-05, 2.96205e-06, 3.00494e-06, 6.91852e-06, 6.54069e-06, 1.89915e-05, 2.69499e-06, 3.18444e-06, 2.65332e-06, 2.91542e-05, 2.6533e-06, 2.6533e-06, 2.99842e-06
0.597363, 0, 0.000105955, 4.73568e-06, 1.41421, -0.000105955, 4.73568e-06, 4.76025e-06, 2.38704e-05, 5.2868e-06, 5.36335e-06, 1.30388e-05, 1.16746e-05, 3.3899e-05, 4.8101e-06, 5.50166e-06, 4.73572e-06, 3.97547e-05, 4.73568e-06, 4.73568e-06, 5.35171e-06
0.605273, 0, 0.000172025, 8.28358e-06, 1.41421, -0.000172025, 8.28358e-06, 8.32657e-06, 4.17566e-05, 9.24767e-06, 9.38159e-06, 2.41809e-05, 2.04221e-05, 5.93001e-05, 8.41376e-06, 9.38155e-06, 8.28365e-06, 5.50887e-05, 8.28358e-06, 8.28358e-06, 9.36123e-06
0.613184, 0, 0.000280447, 1.42021e-05, 1.41421, -0.000280447, 1.42021e-05, 1.42758e-05, 7.15962e-05, 1.58552e-05, 1.60848e-05, 4.41308e-05, 3.50153e-05, 0.000101677, 1.44253e-05, 1.57669e-05, 1.42023e-05, 7.75915e-05, 1.42021e-05, 1.42021e-05, 1.60499e-05
0.621094, 0, 0.000456586, 2.38699e-05, 1.41421, -0.000456586, 2.38699e-05, 2.39938e-05, 0.000120342, 2.66485e-05, 2.70345e-05, 7.92606e-05, 5.8854e-05, 0.000170903, 2.42451e-05, 2.60876e-05, 2.38701e-05, 0.000110941, 2.38699e-05, 2.38699e-05, 2.69758e-05
0.629005, 0, 0.000739165, 3.9335e-05, 1.41421, -0.000739165, 3.9335e-05, 3.95391e-05, 0.000198322, 4.39141e-05, 4.45502e-05, 0.000140093, 9.69891e-05, 0.000281648, 3.99533e-05, 4.24618e-05, 3.93353e-05, 0.00016059, 3.9335e-05, 3.9335e-05, 4.44535e-05
0.636915, 0, 0.00118609, 6.35624e-05, 1.41421, -0.00118609, 6.35624e-05, 6.38924e-05, 0.000320492, 7.09625e-05, 7.19904e-05, 0.000243667, 0.000156734, 0.000455151, 6.45617e-05, 6.79498e-05, 6.3563e-05, 0.000234475, 6.35624e-05, 6.35624e-05, 7.18342e-05
0.644825, 0, 0.00188215, 0.000100736, 1.41421, -0.00188215, 0.000100736, 0.000101259, 0.000507953, 0.000112465, 0.000114094, 0.00041702, 0.000248407, 0.000721379, 0.00010232, 0.000106865, 0.000100737, 0.0003439, 0.000100736, 0.000100736, 0.000113846
0.652736, 0, 0.00294899, 0.000156605, 1.41421, -0.00294899, 0.000156605, 0.000157418, 0.000789704, 0.00017484, 0.000177373, 0.000702188, 0.000386189, 0.00112152, 0.000159068, 0.000165131, 0.000156607, 0.00050463, 0.000156605, 0.000156605, 0.000176988
0.660646, 0, 0.00455743, 0.000238858, 1.41421, -0.00455743, 0.000238858, 0.000240098, 0.00120452, 0.000266671, 0.000270535, 0.00116313, 0.00058904, 0.00171063, 0.000242615, 0.000250673, 0.00023886, 0.00073815, 0.000238858, 0.000238858, 0.000269948
0.668556, 0, 0.00694221, 0.00035749, 1.41421, -0.00694221, 0.00035749, 0.000359346, 0.0018028, 0.000399118, 0.0004049, 0.00189502, 0.000881608, 0.0025603, 0.000363112, 0.000373804, 0.000357493, 0.00107307, 0.00035749, 0.00035749, 0.000404024
0.676467, 0, 0.0104192, 0.000525126, 1.41421, -0.0104192, 0.000525126, 0.000527853, 0.00264821, 0.000586275, 0.000594769, 0.00303631, 0.00129503, 0.00376094, 0.000533387, 0.000547577, 0.000525131, 0.00154665, 0.000525126, 0.000525126, 0.000593484
0.684377, 0, 0.0154041, 0.000757228, 1.41421, -0.0154041, 0.000757228, 0.00076116, 0.00381867, 0.000845404, 0.000857652, 0.00478358, 0.0018674, 0.00542321, 0.000769142, 0.000788017, 0.000757234, 0.00220629, 0.000757228, 0.000757228, 0.000855802
0.692288, 0, 0.0224313, 0.00107212, 1.41421, -0.0224313, 0.00107212, 0.00107769, 0.00540654, 0.00119696, 0.00121431, 0.00740901, 0.00264391, 0.00767825, 0.001089, 0.0011142, 0.00107213, 0.00311097, 0.00107212, 0.00107212, 0.00121169
0.700198, 0, 0.0321729, 0.0014908, 1.41421, -0.0321729, 0.0014908, 0.00149854, 0.00751746, 0.00166438, 0.00168849, 0.0112798, 0.00367624, 0.0106761, 0.00151427, 0.00154809, 0.00149082, 0.00433265, 0.0014908, 0.0014908, 0.00168488
0.708108, 0, 0.0454529, 0.00203637, 1.41421, -0.0454529, 0.00203637, 0.00204694, 0.0102677, 0.00227345, 0.00230638, 0.0168777, 0.00502126, 0.0145818, 0.00206845, 0.00211405, 0.00203639, 0.00595746, 0.00203637, 0.00203637, 0.00230147
0.716019, 2, 0.0632557, 0.00273318, 2, 1.93674, 0.00273318, 0.00274737, 0.0137794, 0.00305133, 0.00309553, 0.0248158, 0.00673881, 0.0195689, 0.00277626, 0.00283802, 0.0027332, 0.00808706, 0.00273318, 0.00273318, 0.00308899
0.723929, 0, 0.0867252, 0.00360556, 1.41421, -0.0867252, 0.00360556, 0.00362427, 0.0181746, 0.00402518, 0.00408347, 0.0358502, 0.0088886, 0.0258104, 0.00366245, 0.00374637, 0.00360559, 0.0108403, 0.00360556, 0.00360556, 0.00407495
0.73184, 0, 0.117151, 0.00467632, 1.41421, -0.117151, 0.00467632, 0.00470058, 0.0235669, 0.00522041, 0.00529599, 0.050881, 0.0115263, 0.0334676, 0.00475021, 0.00486435, 0.00467636, 0.0143555, 0.00467632, 0.00467632, 0.00528512
0.73975, 2, 0.155935, 0.00596486, 2, 1.84406, 0.00596486, 0.00599579, 0.0300522, 0.00665862, 0.00675499, 0.0709369, 0.0146992, 0.0426767, 0.0060593, 0.00621442, 0.00596491, 0.0187944, 0.00596486, 0.00596486, 0.00674147
0.74766, 2, 0.204545, 0.00748532, 2, 1.79545, 0.00748532, 0.00752413, 0.0376992, 0.00835554, 0.00847643, 0.097141, 0.018441, 0.0535346, 0.00760419, 0.00781436, 0.00748539, 0.0243479, 0.00748532, 0.00748532, 0.00846004
0.755571, 0, 0.26444, 0.00924484, 1.41421, -0.26444, 0.00924484, 0.00929274, 0.04654, 0.010319, 0.0104682, 0.130652, 0.0227678, 0.0660869, 0.00939227, 0.00967561, 0.00924492, 0.0312443, 0.00924484, 0.00924484, 0.010449
0.763481, 0, 0.336979, 0.0112419, 1.41421, -0.336979, 0.0112419, 0.0113002, 0.0565624, 0.0125473, 0.0127286, 0.172578, 0.0276743, 0.0803153, 0.0114223, 0.0118018, 0.011242, 0.0397611, 0.0112419, 0.0112419, 0.0127069
0.771391, 0, 0.423315, 0.0134656, 1.41421, -0.423315, 0.0134656, 0.0135353, 0.0677043, 0.0150278, 0.0152448, 0.223866, 0.0331308, 0.0961313, 0.0136835, 0.014188, 0.0134657, 0.0502386, 0.0134656, 0.0134656, 0.0152216
