   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_296.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.299766, 0, 2.23388e-12, 0, 1.41421, -2.23388e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23388e-12, 0, 0, 0
0.307649, 0, 3.83635e-12, 0, 1.41421, -3.83635e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83635e-12, 0, 0, 0
0.315532, 0, 6.53e-12, 0, 1.41421, -6.53e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53e-12, 0, 0, 0
0.323415, 0, 1.10171e-11, 0, 1.41421, -1.10171e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10171e-11, 0, 0, 0
0.331298, 0, 1.84249e-11, 1.54143e-43, 1.41421, -1.84249e-11, 0, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.84249e-11, 1.54143e-43, 1.54143e-43, 1.54143e-43
0.339181, 0, 3.05457e-11, 2.76616e-42, 1.41421, -3.05457e-11, 0, 2.76616e-42, 2.76616e-42, 2.76616e-42, 2.76616e-42, 2.76616e-42, 2.76616e-42, 2.76616e-42, 2.76616e-42, 2.76616e-42, 2.76616e-42, 2.76616e-42, 2.76616e-42, 3.05457e-11, 2.76616e-42, 2.76616e-42, 2.76616e-42
0.347064, 0, 5.02021e-11, 4.0782e-41, 1.41421, -5.02021e-11, 0, 4.0782e-41, 4.0782e-41, 4.0782e-41, 4.0782e-41, 4.0782e-41, 4.0782e-41, 4.0782e-41, 4.0782e-41, 4.0782e-41, 4.0782e-41, 4.0782e-41, 4.0782e-41, 5.02021e-11, 4.0782e-41, 4.0782e-41, 4.0782e-41
0.354946, 0, 8.17985e-11, 5.3213e-40, 1.41421, -8.17985e-11, 0, 5.3213e-40, 5.3213e-40, 5.3213e-40, 5.3213e-40, 5.3213e-40, 5.3213e-40, 5.3213e-40, 5.3213e-40, 5.3213e-40, 5.3213e-40, 5.3213e-40, 5.3213e-40, 8.17985e-11, 5.3213e-40, 5.3213e-40, 5.3213e-40
0.362829, 0, 1.32142e-10, 6.20364e-39, 1.41421, -1.32142e-10, 0, 6.20364e-39, 6.20364e-39, 6.20364e-39, 6.20364e-39, 6.20364e-39, 6.20364e-39, 6.20364e-39, 6.20364e-39, 6.20364e-39, 6.20364e-39, 6.20364e-39, 6.20364e-39, 1.32142e-10, 6.20364e-39, 6.20364e-39, 6.20364e-39
0.370712, 0, 2.11656e-10, 6.52689e-38, 1.41421, -2.11656e-10, 0, 6.52689e-38, 6.52689e-38, 6.52689e-38, 6.52689e-38, 6.52689e-38, 6.52689e-38, 6.52689e-38, 6.52689e-38, 6.52689e-38, 6.52689e-38, 6.52689e-38, 6.52689e-38, 2.11656e-10, 6.52689e-38, 6.52689e-38, 6.52689e-38
0.378595, 0, 3.36153e-10, 6.22848e-37, 1.41421, -3.36153e-10, 0, 6.22848e-37, 6.22848e-37, 6.22848e-37, 6.22848e-37, 6.22848e-37, 6.22848e-37, 6.22848e-37, 6.22848e-37, 6.22848e-37, 6.22848e-37, 6.22848e-37, 6.22848e-37, 3.36153e-10, 6.22848e-37, 6.22848e-37, 6.22848e-37
