   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_195.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.246803, 0, 3.22219e-13, 0, 1.41421, -3.22219e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18297e-15, 0, 1.65978e-17, 4.5011e-17, 0, 3.18974e-13, 0, 0, 0
0.254686, 0, 5.79716e-13, 0, 1.41421, -5.79716e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72663e-15, 0, 3.0434e-17, 8.31128e-17, 0, 5.73876e-13, 0, 0, 0
0.262568, 0, 1.03349e-12, 0, 1.41421, -1.03349e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02093e-14, 0, 5.53399e-17, 1.52209e-16, 0, 1.02308e-12, 0, 0, 0
0.270451, 0, 1.82584e-12, 0, 1.41421, -1.82584e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80366e-14, 0, 9.98071e-17, 2.76506e-16, 0, 1.80742e-12, 0, 0, 0
0.278333, 0, 3.19674e-12, 0, 1.41421, -3.19674e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15799e-14, 0, 1.7857e-16, 4.98383e-16, 0, 3.16449e-12, 0, 0, 0
0.286215, 0, 5.54719e-12, 0, 1.41421, -5.54719e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48013e-14, 0, 3.17003e-16, 8.91399e-16, 0, 5.49118e-12, 0, 0, 0
0.294098, 0, 9.54083e-12, 0, 1.41421, -9.54083e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.42596e-14, 0, 5.5851e-16, 1.58238e-15, 0, 9.44443e-12, 0, 0, 0
0.30198, 0, 1.62657e-11, 0, 1.41421, -1.62657e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60709e-13, 0, 9.7684e-16, 2.78847e-15, 0, 1.61012e-11, 0, 0, 0
0.309862, 0, 2.75015e-11, 0, 1.41421, -2.75015e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71752e-13, 0, 1.69962e-15, 4.88775e-15, 0, 2.72232e-11, 0, 0, 0
0.317745, 0, 4.60709e-11, 0, 1.41421, -4.60709e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55302e-13, 0, 2.93213e-15, 8.49283e-15, 0, 4.56042e-11, 0, 0, 0
