   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_211.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.402675, 0, 1.25832e-11, 5.85743e-42, 1.41421, -1.25832e-11, 0, 5.85743e-42, 5.85743e-42, 5.85743e-42, 5.85743e-42, 5.85743e-42, 5.85743e-42, 5.85743e-42, 5.85743e-42, 2.12652e-14, 5.85743e-42, 5.85743e-42, 1.116e-16, 5.85743e-42, 5.85743e-42, 1.25619e-11, 5.85743e-42, 5.85743e-42, 5.85743e-42
0.41057, 0, 2.55862e-11, 8.97125e-41, 1.41421, -2.55862e-11, 0, 8.97125e-41, 8.97125e-41, 8.97125e-41, 8.97125e-41, 8.97125e-41, 8.97125e-41, 8.97125e-41, 8.97125e-41, 4.32386e-14, 8.97125e-41, 8.97125e-41, 2.33208e-16, 8.97125e-41, 8.97125e-41, 2.55427e-11, 8.97125e-41, 8.97125e-41, 8.97125e-41
0.418464, 0, 5.1214e-11, 1.21189e-39, 1.41421, -5.1214e-11, 0, 1.21189e-39, 1.21189e-39, 1.21189e-39, 1.21189e-39, 1.21189e-39, 1.21189e-39, 1.21189e-39, 1.21189e-39, 8.65468e-14, 1.21189e-39, 1.21189e-39, 4.81153e-16, 1.21189e-39, 1.21189e-39, 5.11269e-11, 1.21189e-39, 1.21189e-39, 1.21189e-39
0.426358, 0, 1.00929e-10, 1.45853e-38, 1.41421, -1.00929e-10, 0, 1.45853e-38, 1.45853e-38, 1.45853e-38, 1.45853e-38, 1.45853e-38, 1.45853e-38, 1.45853e-38, 1.45853e-38, 1.70564e-13, 1.45853e-38, 1.45853e-38, 9.80972e-16, 1.45853e-38, 1.45853e-38, 1.00757e-10, 1.45853e-38, 1.45853e-38, 1.45853e-38
0.434253, 0, 1.95862e-10, 1.58537e-37, 1.41421, -1.95862e-10, 0, 1.58537e-37, 1.58537e-37, 1.58537e-37, 1.58537e-37, 1.58537e-37, 1.58537e-37, 1.58537e-37, 1.58537e-37, 3.3102e-13, 1.58537e-37, 1.58537e-37, 1.97832e-15, 1.58537e-37, 1.58537e-37, 1.95529e-10, 1.58537e-37, 1.58537e-37, 1.58537e-37
0.442147, 0, 3.74338e-10, 1.56443e-36, 1.41421, -3.74338e-10, 0, 1.56443e-36, 1.56443e-36, 1.56443e-36, 1.56443e-36, 1.56443e-36, 1.56443e-36, 1.56443e-36, 1.56443e-36, 6.32741e-13, 1.56443e-36, 1.56443e-36, 3.9509e-15, 1.56443e-36, 1.56443e-36, 3.73702e-10, 1.56443e-36, 1.56443e-36, 1.56443e-36
0.450041, 0, 7.04857e-10, 3.52171e-35, 1.41421, -7.04857e-10, 0, 3.52171e-35, 3.52171e-35, 3.52171e-35, 3.52171e-35, 3.52171e-35, 3.52171e-35, 3.52171e-35, 3.52171e-35, 1.19171e-12, 3.52171e-35, 3.52171e-35, 7.83942e-15, 3.52171e-35, 3.52171e-35, 7.03657e-10, 3.52171e-35, 3.52171e-35, 3.52171e-35
0.457936, 0, 1.30724e-09, 2.71199e-34, 1.41421, -1.30724e-09, 0, 2.71199e-34, 2.71199e-34, 2.71199e-34, 2.71199e-34, 2.71199e-34, 2.71199e-34, 2.71199e-34, 2.71199e-34, 2.21095e-12, 2.71199e-34, 2.71199e-34, 1.54143e-14, 2.71199e-34, 2.71199e-34, 1.30501e-09, 2.71199e-34, 2.71199e-34, 2.71199e-34
0.46583, 0, 2.38884e-09, 1.9689e-33, 1.41421, -2.38884e-09, 0, 1.9689e-33, 1.9689e-33, 1.9689e-33, 1.9689e-33, 1.9689e-33, 1.9689e-33, 1.9689e-33, 1.9689e-33, 4.0424e-12, 1.9689e-33, 1.9689e-33, 3.01363e-14, 1.9689e-33, 1.9689e-33, 2.38477e-09, 1.9689e-33, 1.9689e-33, 1.9689e-33
0.473724, 0, 4.30195e-09, 1.14732e-32, 1.41421, -4.30195e-09, 0, 1.14732e-32, 1.14732e-32, 1.14732e-32, 1.14732e-32, 1.14732e-32, 1.14732e-32, 1.14732e-32, 1.14732e-32, 7.28514e-12, 1.14732e-32, 1.14732e-32, 5.86661e-14, 1.14732e-32, 1.14732e-32, 4.2946e-09, 1.14732e-32, 1.14732e-32, 1.14732e-32
