   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_297.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.362326, 0, 9.89797e-11, 4.4452e-39, 1.41421, -9.89797e-11, 0, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.4452e-39, 4.45832e-15, 4.4452e-39, 1.12597e-13, 4.4452e-39, 9.88627e-11, 4.4452e-39, 4.4452e-39, 4.4452e-39
0.37021, 0, 1.59239e-10, 4.70857e-38, 1.41421, -1.59239e-10, 0, 4.70857e-38, 4.70857e-38, 4.70857e-38, 4.70857e-38, 4.70857e-38, 4.70857e-38, 4.70857e-38, 4.70857e-38, 4.70857e-38, 4.70857e-38, 4.70857e-38, 4.70857e-38, 7.55005e-15, 4.70857e-38, 1.90519e-13, 4.70857e-38, 1.59041e-10, 4.70857e-38, 4.70857e-38, 4.70857e-38
0.378093, 0, 2.53998e-10, 4.52212e-37, 1.41421, -2.53998e-10, 0, 4.52212e-37, 4.52212e-37, 4.52212e-37, 4.52212e-37, 4.52212e-37, 4.52212e-37, 4.52212e-37, 4.52212e-37, 4.52212e-37, 4.52212e-37, 4.52212e-37, 4.52212e-37, 1.27418e-14, 4.52212e-37, 3.20948e-13, 4.52212e-37, 2.53665e-10, 4.52212e-37, 4.52212e-37, 4.52212e-37
0.385976, 0, 4.01711e-10, 3.96678e-36, 1.41421, -4.01711e-10, 0, 3.96678e-36, 3.96678e-36, 3.96678e-36, 3.96678e-36, 3.96678e-36, 3.96678e-36, 3.96678e-36, 3.96678e-36, 3.96678e-36, 3.96678e-36, 3.96678e-36, 3.96678e-36, 2.14426e-14, 3.96678e-36, 5.38577e-13, 3.96678e-36, 4.01151e-10, 3.96678e-36, 3.96678e-36, 3.96678e-36
0.39386, 0, 6.29977e-10, 3.19025e-35, 1.41421, -6.29977e-10, 0, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.19025e-35, 3.6003e-14, 3.19025e-35, 9.00795e-13, 3.19025e-35, 6.2904e-10, 3.19025e-35, 3.19025e-35, 3.19025e-35
0.401743, 0, 9.79686e-10, 2.36287e-34, 1.41421, -9.79686e-10, 0, 2.36287e-34, 2.36287e-34, 2.36287e-34, 2.36287e-34, 2.36287e-34, 2.36287e-34, 2.36287e-34, 2.36287e-34, 2.36287e-34, 2.36287e-34, 2.36287e-34, 2.36287e-34, 6.03452e-14, 2.36287e-34, 1.5025e-12, 2.36287e-34, 9.78123e-10, 2.36287e-34, 2.36287e-34, 2.36287e-34
0.409627, 0, 1.51087e-09, 1.63728e-33, 1.41421, -1.51087e-09, 0, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.63728e-33, 1.01015e-13, 1.63728e-33, 2.50063e-12, 1.63728e-33, 1.50827e-09, 1.63728e-33, 1.63728e-33, 1.63728e-33
0.41751, 0, 2.31087e-09, 9.60412e-33, 1.41421, -2.31087e-09, 0, 9.60412e-33, 9.60412e-33, 9.60412e-33, 9.60412e-33, 9.60412e-33, 9.60412e-33, 9.60412e-33, 9.60412e-33, 9.60412e-33, 9.60412e-33, 9.60412e-33, 9.60412e-33, 1.68933e-13, 9.60412e-33, 4.15488e-12, 9.60412e-33, 2.30655e-09, 9.60412e-33, 9.60412e-33, 9.60412e-33
0.425393, 0, 3.50556e-09, 5.75169e-32, 1.41421, -3.50556e-09, 0, 5.75169e-32, 5.75169e-32, 5.75169e-32, 5.75169e-32, 5.75169e-32, 5.75169e-32, 5.75169e-32, 5.75169e-32, 5.75169e-32, 5.75169e-32, 5.75169e-32, 5.75169e-32, 2.82307e-13, 5.75169e-32, 6.89489e-12, 5.75169e-32, 3.49839e-09, 5.75169e-32, 5.75169e-32, 5.75169e-32
0.433277, 0, 5.275e-09, 6.49134e-31, 1.41421, -5.275e-09, 0, 6.49134e-31, 6.49134e-31, 6.49134e-31, 6.49134e-31, 6.49134e-31, 6.49134e-31, 6.49134e-31, 6.49134e-31, 6.49134e-31, 6.49134e-31, 6.49134e-31, 6.49134e-31, 4.72017e-13, 6.49134e-31, 1.1445e-11, 6.49134e-31, 5.26308e-09, 6.49134e-31, 6.49134e-31, 6.49134e-31
0.44116, 0, 7.87355e-09, 3.26875e-30, 1.41421, -7.87355e-09, 0, 3.26875e-30, 3.26875e-30, 3.26875e-30, 3.26875e-30, 3.26875e-30, 3.26875e-30, 3.26875e-30, 3.26875e-30, 3.26875e-30, 3.26875e-30, 3.26875e-30, 3.26875e-30, 7.87603e-13, 3.26875e-30, 1.89602e-11, 3.26875e-30, 7.8538e-09, 3.26875e-30, 3.26875e-30, 3.26875e-30
0.449044, 0, 1.16588e-08, 1.55961e-29, 1.41421, -1.16588e-08, 0, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.55961e-29, 1.31291e-12, 1.55961e-29, 3.13903e-11, 1.55961e-29, 1.16261e-08, 1.55961e-29, 1.55961e-29, 1.55961e-29
0.456927, 0, 1.71281e-08, 7.18329e-29, 1.41421, -1.71281e-08, 0, 7.18329e-29, 7.18329e-29, 7.18329e-29, 7.18329e-29, 7.18329e-29, 7.18329e-29, 7.18329e-29, 7.18329e-29, 7.18329e-29, 7.18329e-29, 7.18329e-29, 7.18329e-29, 2.1857e-12, 7.18329e-29, 5.19326e-11, 7.18329e-29, 1.7074e-08, 7.18329e-29, 7.18329e-29, 7.18329e-29
0.464811, 0, 2.49675e-08, 3.17802e-28, 1.41421, -2.49675e-08, 0, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.17802e-28, 3.63224e-12, 3.17802e-28, 8.58348e-11, 3.17802e-28, 2.4878e-08, 3.17802e-28, 3.17802e-28, 3.17802e-28
0.472694, 0, 3.61156e-08, 1.34334e-27, 1.41421, -3.61156e-08, 0, 1.34334e-27, 1.34334e-27, 1.34334e-27, 1.34334e-27, 1.34334e-27, 1.34334e-27, 1.34334e-27, 1.34334e-27, 1.34334e-27, 1.34334e-27, 1.34334e-27, 1.34334e-27, 6.02229e-12, 1.34334e-27, 1.41675e-10, 1.34334e-27, 3.59679e-08, 1.34334e-27, 1.34334e-27, 1.34334e-27
0.480577, 0, 5.18455e-08, 5.42354e-27, 1.41421, -5.18455e-08, 0, 5.42354e-27, 5.42354e-27, 5.42354e-27, 5.42354e-27, 5.42354e-27, 5.42354e-27, 5.42354e-27, 5.42354e-27, 5.42354e-27, 5.42354e-27, 5.42354e-27, 5.42354e-27, 9.95625e-12, 5.42354e-27, 2.33399e-10, 5.42354e-27, 5.16022e-08, 5.42354e-27, 5.42354e-27, 5.42354e-27
0.488461, 0, 7.38704e-08, 2.09309e-26, 1.41421, -7.38704e-08, 0, 2.09309e-26, 2.09309e-26, 2.09309e-26, 2.09309e-26, 2.09309e-26, 2.09309e-26, 3.00647e-13, 2.09309e-26, 2.09309e-26, 2.09309e-26, 2.09309e-26, 2.09309e-26, 1.64027e-11, 2.09309e-26, 3.83527e-10, 2.09309e-26, 7.34701e-08, 2.09309e-26, 2.09309e-26, 2.09309e-26
0.496344, 0, 1.04477e-07, 7.73327e-26, 1.41421, -1.04477e-07, 0, 7.73327e-26, 7.73327e-26, 7.73327e-26, 7.73327e-26, 7.73327e-26, 7.73327e-26, 1.06655e-12, 7.73327e-26, 7.73327e-26, 7.73327e-26, 7.73327e-26, 7.73327e-26, 2.6913e-11, 7.73327e-26, 6.28171e-10, 7.73327e-26, 1.03821e-07, 7.73327e-26, 7.73327e-26, 7.73327e-26
0.504228, 0, 1.46694e-07, 2.75515e-25, 1.41421, -1.46694e-07, 0, 2.75515e-25, 2.75515e-25, 2.75515e-25, 2.75515e-25, 2.75515e-25, 2.75515e-25, 2.9506e-12, 2.75515e-25, 2.75515e-25, 2.75515e-25, 2.75515e-25, 2.75515e-25, 4.39527e-11, 2.75515e-25, 1.02473e-09, 2.75515e-25, 1.45623e-07, 2.75515e-25, 2.75515e-25, 2.75515e-25
0.512111, 0, 2.0594e-07, 1.08713e-10, 1.41421, -2.0594e-07, 1.08713e-10, 1.08731e-10, 1.08765e-10, 6.688e-10, 1.23737e-10, 1.09147e-10, 1.18802e-10, 1.30398e-10, 1.21482e-10, 1.0986e-10, 7.86389e-10, 1.08868e-10, 1.11372e-10, 1.80122e-10, 1.08713e-10, 1.77236e-09, 1.08715e-10, 2.02891e-07, 1.08713e-10, 1.08713e-10, 1.21044e-10
0.519995, 0, 2.88162e-07, 3.8052e-10, 1.41421, -2.88162e-07, 3.8052e-10, 3.80583e-10, 3.80702e-10, 2.35604e-09, 4.33511e-10, 3.82049e-10, 4.16102e-10, 4.48625e-10, 4.25558e-10, 3.84565e-10, 2.77079e-09, 3.81066e-10, 3.89898e-10, 4.95893e-10, 3.8052e-10, 3.06647e-09, 3.80524e-10, 2.80734e-07, 3.8052e-10, 3.8052e-10, 4.24011e-10
0.527878, 0, 4.0319e-07, 1.04315e-09, 1.41421, -4.0319e-07, 1.04315e-09, 1.04333e-09, 1.04365e-09, 6.48017e-09, 1.18899e-09, 1.04736e-09, 1.14108e-09, 1.22285e-09, 1.16711e-09, 1.05429e-09, 7.62165e-09, 1.04466e-09, 1.06896e-09, 1.22842e-09, 1.04315e-09, 5.3524e-09, 1.04316e-09, 3.8597e-07, 1.04315e-09, 1.04315e-09, 1.16285e-09
0.535761, 0, 5.66663e-07, 2.61525e-09, 1.41421, -5.66663e-07, 2.61525e-09, 2.61569e-09, 2.61651e-09, 1.62764e-08, 2.98169e-09, 2.62582e-09, 2.86131e-09, 3.05598e-09, 2.9267e-09, 2.64322e-09, 1.91445e-08, 2.61902e-09, 2.6801e-09, 2.91083e-09, 2.61525e-09, 9.48079e-09, 2.61528e-09, 5.27537e-07, 2.61525e-09, 2.61525e-09, 2.916e-09
0.543645, 0, 8.05181e-07, 6.24614e-09, 1.41421, -8.05181e-07, 6.24614e-09, 6.24719e-09, 6.24915e-09, 3.8921e-08, 7.1226e-09, 6.27142e-09, 6.83467e-09, 7.28128e-09, 6.99106e-09, 6.31305e-09, 4.57809e-08, 6.25517e-09, 6.40126e-09, 6.71453e-09, 6.24614e-09, 1.71021e-08, 6.24621e-09, 7.17422e-07, 6.24614e-09, 6.24614e-09, 6.96548e-09
0.551528, 0, 1.16638e-06, 1.44146e-08, 1.41421, -1.16638e-06, 1.44146e-08, 1.4417e-08, 1.44216e-08, 8.98942e-08, 1.64393e-08, 1.4473e-08, 1.57741e-08, 1.67998e-08, 1.61354e-08, 1.45692e-08, 1.05741e-07, 1.44355e-08, 1.47729e-08, 1.51516e-08, 1.44146e-08, 3.14614e-08, 1.44148e-08, 9.72033e-07, 1.44146e-08, 1.44146e-08, 1.60763e-08
0.559412, 0, 1.73866e-06, 3.23159e-08, 1.41421, -1.73866e-06, 3.23159e-08, 3.23213e-08, 3.23315e-08, 2.01665e-07, 3.68585e-08, 3.2447e-08, 3.53662e-08, 3.79296e-08, 3.61767e-08, 3.26627e-08, 2.37219e-07, 3.23627e-08, 3.31199e-08, 3.34672e-08, 3.23159e-08, 5.88412e-08, 3.23163e-08, 1.31458e-06, 3.23159e-08, 3.23159e-08, 3.60441e-08
