   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_160.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.487873, 0, 8.05349e-08, 2.61178e-26, 1.41421, -8.05349e-08, 0, 2.61178e-26, 2.61178e-26, 2.61178e-26, 2.61178e-26, 2.61178e-26, 5.74581e-13, 2.61178e-26, 2.61178e-26, 2.61178e-26, 2.61178e-26, 2.61178e-26, 4.90458e-12, 2.61178e-26, 2.61178e-26, 8.05294e-08, 2.61178e-26, 2.61178e-26, 2.61178e-26
0.49576, 0, 1.12846e-07, 9.64159e-26, 1.41421, -1.12846e-07, 0, 9.64159e-26, 9.64159e-26, 9.64159e-26, 9.64159e-26, 9.64159e-26, 2.00178e-12, 9.64159e-26, 9.64159e-26, 9.64159e-26, 9.64159e-26, 9.64159e-26, 7.98075e-12, 9.64159e-26, 9.64159e-26, 1.12836e-07, 9.64159e-26, 9.64159e-26, 9.64159e-26
0.503646, 0, 1.56987e-07, 3.42938e-25, 1.41421, -1.56987e-07, 0, 3.42938e-25, 3.42938e-25, 3.42938e-25, 3.42938e-25, 3.42938e-25, 5.42802e-12, 3.42938e-25, 3.42938e-25, 3.42938e-25, 3.42938e-25, 3.42938e-25, 1.29251e-11, 3.42938e-25, 3.42938e-25, 1.56969e-07, 3.42938e-25, 3.42938e-25, 3.42938e-25
0.511533, 0, 2.18684e-07, 1.40439e-10, 1.41421, -2.18684e-07, 1.40439e-10, 1.40446e-10, 8.69737e-10, 1.5816e-10, 1.41954e-10, 1.53148e-10, 1.80975e-10, 1.68078e-10, 1.4063e-10, 9.65902e-10, 1.40592e-10, 1.43635e-10, 1.61263e-10, 1.40439e-10, 1.4044e-10, 2.16988e-07, 1.40439e-10, 1.40439e-10, 1.56954e-10
0.51942, 0, 3.03803e-07, 4.86195e-10, 1.41421, -3.03803e-07, 4.86195e-10, 4.86217e-10, 3.01264e-09, 5.47583e-10, 4.91442e-10, 5.3022e-10, 6.11688e-10, 5.81941e-10, 4.86856e-10, 3.34577e-09, 4.86724e-10, 4.97266e-10, 5.19559e-10, 4.86195e-10, 4.86198e-10, 2.97982e-07, 4.86195e-10, 4.86195e-10, 5.43405e-10
0.527306, 0, 4.22418e-07, 1.31185e-09, 1.41421, -4.22418e-07, 1.31185e-09, 1.31191e-09, 8.12786e-09, 1.47747e-09, 1.32601e-09, 1.43063e-09, 1.63694e-09, 1.57016e-09, 1.31363e-09, 9.02662e-09, 1.31328e-09, 1.34172e-09, 1.36498e-09, 1.31185e-09, 1.31186e-09, 4.06764e-07, 1.31185e-09, 1.31185e-09, 1.4662e-09
0.535193, 0, 5.90673e-07, 3.22843e-09, 1.41421, -5.90673e-07, 3.22843e-09, 3.22858e-09, 1.99988e-08, 3.63592e-09, 3.26326e-09, 3.52067e-09, 4.01006e-09, 3.86399e-09, 3.23282e-09, 2.22102e-08, 3.23194e-09, 3.30192e-09, 3.3125e-09, 3.22843e-09, 3.22845e-09, 5.52224e-07, 3.22843e-09, 3.22843e-09, 3.60819e-09
0.54308, 0, 8.3625e-07, 7.56033e-09, 1.41421, -8.3625e-07, 7.56033e-09, 7.56067e-09, 4.68253e-08, 8.51439e-09, 7.64187e-09, 8.24455e-09, 9.35919e-09, 9.04838e-09, 7.5706e-09, 5.20027e-08, 7.56854e-09, 7.73239e-09, 7.69246e-09, 7.56033e-09, 7.56038e-09, 7.46324e-07, 7.56033e-09, 7.56033e-09, 8.44946e-09
0.550966, 0, 1.2088e-06, 1.71004e-08, 1.41421, -1.2088e-06, 1.71004e-08, 1.71011e-08, 1.059e-07, 1.9258e-08, 1.72848e-08, 1.86478e-08, 2.1168e-08, 2.04656e-08, 1.71236e-08, 1.17609e-07, 1.71189e-08, 1.74895e-08, 1.73066e-08, 1.71004e-08, 1.71005e-08, 1.00552e-06, 1.71004e-08, 1.71004e-08, 1.91112e-08
0.558853, 0, 1.80032e-06, 3.75811e-08, 1.41421, -1.80032e-06, 3.75811e-08, 3.75828e-08, 2.32709e-07, 4.23224e-08, 3.79864e-08, 4.09814e-08, 4.70392e-08, 4.4976e-08, 3.76322e-08, 2.58438e-07, 3.7622e-08, 3.84362e-08, 3.79008e-08, 3.75811e-08, 3.75814e-08, 1.35325e-06, 3.75811e-08, 3.75811e-08, 4.19997e-08
