   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_200.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.425928, 0, 4.01475e-08, 4.12698e-31, 1.41421, -4.01475e-08, 0, 4.12698e-31, 4.12698e-31, 4.12698e-31, 4.12698e-31, 4.12698e-31, 4.12698e-31, 4.12698e-31, 4.12698e-31, 4.12698e-31, 4.12698e-31, 4.12698e-31, 1.5815e-12, 2.43849e-12, 4.12698e-31, 4.01435e-08, 4.12698e-31, 4.12698e-31, 4.12698e-31
0.433812, 0, 5.95433e-08, 2.21403e-30, 1.41421, -5.95433e-08, 0, 2.21403e-30, 2.21403e-30, 2.21403e-30, 2.21403e-30, 2.21403e-30, 2.21403e-30, 2.21403e-30, 2.21403e-30, 2.21403e-30, 2.21403e-30, 2.21403e-30, 2.61607e-12, 4.00778e-12, 2.21403e-30, 5.95366e-08, 2.21403e-30, 2.21403e-30, 2.21403e-30
0.441696, 0, 8.7629e-08, 1.12744e-29, 1.41421, -8.7629e-08, 0, 1.12744e-29, 1.12744e-29, 1.12744e-29, 1.12744e-29, 1.12744e-29, 1.12744e-29, 1.12744e-29, 1.12744e-29, 1.12744e-29, 1.12744e-29, 1.12744e-29, 4.32371e-12, 6.58149e-12, 1.12744e-29, 8.76181e-08, 1.12744e-29, 1.12744e-29, 1.12744e-29
0.44958, 0, 1.27978e-07, 5.42078e-29, 1.41421, -1.27978e-07, 0, 5.42078e-29, 5.42078e-29, 5.42078e-29, 5.42078e-29, 5.42078e-29, 5.42078e-29, 5.42078e-29, 5.42078e-29, 5.42078e-29, 5.42078e-29, 5.42078e-29, 7.1376e-12, 1.0798e-11, 5.42078e-29, 1.2796e-07, 5.42078e-29, 5.42078e-29, 5.42078e-29
0.457464, 0, 1.85492e-07, 2.50273e-28, 1.41421, -1.85492e-07, 0, 2.50273e-28, 2.50273e-28, 2.50273e-28, 2.50273e-28, 2.50273e-28, 2.50273e-28, 2.50273e-28, 2.50273e-28, 2.50273e-28, 2.50273e-28, 2.50273e-28, 1.17642e-11, 1.76955e-11, 2.50273e-28, 1.85462e-07, 2.50273e-28, 2.50273e-28, 2.50273e-28
0.465348, 0, 2.66841e-07, 1.1043e-27, 1.41421, -2.66841e-07, 0, 1.1043e-27, 1.1043e-27, 1.1043e-27, 1.1043e-27, 1.1043e-27, 1.1043e-27, 1.1043e-27, 1.1043e-27, 1.1043e-27, 1.1043e-27, 1.1043e-27, 1.93494e-11, 2.89552e-11, 1.1043e-27, 2.66793e-07, 1.1043e-27, 1.1043e-27, 1.1043e-27
0.473233, 0, 3.81026e-07, 4.64335e-27, 1.41421, -3.81026e-07, 0, 4.64335e-27, 4.64335e-27, 4.64335e-27, 4.64335e-27, 4.64335e-27, 4.64335e-27, 4.64335e-27, 4.64335e-27, 4.64335e-27, 4.64335e-27, 4.64335e-27, 3.17421e-11, 4.72856e-11, 4.64335e-27, 3.80947e-07, 4.64335e-27, 4.64335e-27, 4.64335e-27
0.481117, 0, 5.40088e-07, 1.86212e-26, 1.41421, -5.40088e-07, 0, 1.86212e-26, 1.86212e-26, 1.86212e-26, 1.86212e-26, 1.86212e-26, 1.86212e-26, 1.86212e-26, 1.86212e-26, 1.86212e-26, 1.86212e-26, 1.86212e-26, 5.19061e-11, 7.70223e-11, 1.86212e-26, 5.3996e-07, 1.86212e-26, 1.86212e-26, 1.86212e-26
0.489001, 0, 7.60017e-07, 7.13226e-26, 1.41421, -7.60017e-07, 0, 7.13226e-26, 7.13226e-26, 7.13226e-26, 7.13226e-26, 7.13226e-26, 5.02666e-12, 7.13226e-26, 7.13226e-26, 7.13226e-26, 7.13226e-26, 7.13226e-26, 8.45598e-11, 1.25057e-10, 7.13226e-26, 7.59803e-07, 7.13226e-26, 7.13226e-26, 7.13226e-26
0.496885, 0, 1.06186e-06, 2.61406e-25, 1.41421, -1.06186e-06, 0, 2.61406e-25, 2.61406e-25, 2.61406e-25, 2.61406e-25, 2.61406e-25, 1.73924e-11, 2.61406e-25, 2.61406e-25, 2.61406e-25, 2.61406e-25, 2.61406e-25, 1.37161e-10, 2.02258e-10, 2.61406e-25, 1.0615e-06, 2.61406e-25, 2.61406e-25, 2.61406e-25
0.504769, 0, 1.47311e-06, 9.24461e-25, 1.41421, -1.47311e-06, 0, 9.24461e-25, 9.24461e-25, 9.24461e-25, 9.24461e-25, 9.24461e-25, 4.68088e-11, 9.24461e-25, 9.24461e-25, 9.24461e-25, 9.24461e-25, 9.24461e-25, 2.21403e-10, 3.25611e-10, 9.24461e-25, 1.47252e-06, 9.24461e-25, 9.24461e-25, 9.24461e-25
0.512653, 0, 2.03406e-06, 7.55181e-10, 1.41421, -2.03406e-06, 7.55181e-10, 7.55308e-10, 7.55203e-10, 1.50462e-09, 7.73204e-10, 8.18421e-10, 1.1062e-09, 9.23912e-10, 7.57204e-10, 3.05281e-09, 7.55858e-10, 7.58247e-10, 1.11066e-09, 1.2766e-09, 7.55186e-10, 2.02949e-06, 7.55181e-10, 7.55181e-10, 7.9423e-10
0.520537, 0, 2.7949e-06, 2.90888e-09, 1.41421, -2.7949e-06, 2.90888e-09, 2.90938e-09, 2.90897e-09, 5.80529e-09, 2.97854e-09, 3.15329e-09, 4.09202e-09, 3.56099e-09, 2.91671e-09, 1.17887e-08, 2.9115e-09, 2.92074e-09, 3.47656e-09, 3.73893e-09, 2.9089e-09, 2.7794e-06, 2.90888e-09, 2.90888e-09, 3.0598e-09
0.528421, 0, 3.81916e-06, 7.25657e-09, 1.41421, -3.81916e-06, 7.25657e-09, 7.2578e-09, 7.25678e-09, 1.44881e-08, 7.43048e-09, 7.86679e-09, 1.01418e-08, 8.8847e-09, 7.27609e-09, 2.94271e-08, 7.2631e-09, 7.28616e-09, 8.15727e-09, 8.56908e-09, 7.25662e-09, 3.78181e-06, 7.25657e-09, 7.25657e-09, 7.63337e-09
0.536305, 0, 5.20293e-06, 1.72454e-08, 1.41421, -5.20293e-06, 1.72454e-08, 1.72483e-08, 1.72459e-08, 3.44408e-08, 1.76589e-08, 1.86964e-08, 2.39863e-08, 2.11168e-08, 1.72918e-08, 6.9963e-08, 1.72609e-08, 1.73158e-08, 1.86653e-08, 1.93059e-08, 1.72455e-08, 5.11603e-06, 1.72454e-08, 1.72454e-08, 1.81413e-08
0.54419, 0, 7.08285e-06, 3.9615e-08, 1.41421, -7.08285e-06, 3.9615e-08, 3.96217e-08, 3.96161e-08, 7.9131e-08, 4.05653e-08, 4.29494e-08, 5.50818e-08, 4.85117e-08, 3.97216e-08, 1.60763e-07, 3.96506e-08, 3.97766e-08, 4.18381e-08, 4.28281e-08, 3.96152e-08, 6.88573e-06, 3.9615e-08, 3.9615e-08, 4.16739e-08
0.552074, 0, 9.66802e-06, 8.84603e-08, 1.41421, -9.66802e-06, 8.84603e-08, 8.84754e-08, 8.8463e-08, 1.76729e-07, 9.05831e-08, 9.59087e-08, 1.24792e-07, 1.08333e-07, 8.86986e-08, 3.59073e-07, 8.854e-08, 8.88215e-08, 9.1917e-08, 9.34278e-08, 8.84609e-08, 9.22964e-06, 8.84603e-08, 8.84603e-08, 9.30595e-08
0.559958, 0, 1.3309e-05, 1.9247e-07, 1.41421, -1.3309e-05, 1.9247e-07, 1.92503e-07, 1.92476e-07, 3.8458e-07, 1.9709e-07, 2.08681e-07, 2.93655e-07, 2.35722e-07, 1.92989e-07, 7.81441e-07, 1.92643e-07, 1.93256e-07, 1.97806e-07, 2.00086e-07, 1.92471e-07, 1.23382e-05, 1.9247e-07, 1.9247e-07, 2.0248e-07
0.567842, 0, 1.8566e-05, 4.08489e-07, 1.41421, -1.8566e-05, 4.08489e-07, 4.08559e-07, 4.08502e-07, 8.16333e-07, 4.18298e-07, 4.42905e-07, 6.53763e-07, 5.00312e-07, 4.09591e-07, 1.65886e-06, 4.08858e-07, 4.10158e-07, 4.16668e-07, 4.20066e-07, 4.08492e-07, 1.64822e-05, 4.08489e-07, 4.08489e-07, 4.2974e-07
0.575726, 0, 2.64188e-05, 8.46143e-07, 1.41421, -2.64188e-05, 8.46143e-07, 8.46287e-07, 8.46168e-07, 1.69119e-06, 8.66465e-07, 9.1745e-07, 1.4053e-06, 1.0364e-06, 8.48424e-07, 3.43689e-06, 8.46906e-07, 8.496e-07, 8.58588e-07, 8.63588e-07, 8.46148e-07, 2.20614e-05, 8.46143e-07, 8.46143e-07, 8.90174e-07
0.58361, 0, 3.85823e-05, 1.71116e-06, 1.41421, -3.85823e-05, 1.71116e-06, 1.71145e-06, 1.71121e-06, 3.42061e-06, 1.75227e-06, 1.85541e-06, 2.93922e-06, 2.09603e-06, 1.71578e-06, 6.95199e-06, 1.71271e-06, 1.71816e-06, 1.72996e-06, 1.73723e-06, 1.71117e-06, 2.96863e-05, 1.71116e-06, 1.71116e-06, 1.80023e-06
0.591494, 0, 5.80676e-05, 3.37928e-06, 1.41421, -5.80676e-05, 3.37928e-06, 3.37985e-06, 3.37938e-06, 6.7562e-06, 3.46049e-06, 3.66423e-06, 6.00287e-06, 4.13957e-06, 3.38839e-06, 1.37323e-05, 3.38233e-06, 3.39309e-06, 3.40746e-06, 3.41788e-06, 3.3793e-06, 4.03182e-05, 3.37928e-06, 3.37928e-06, 3.55523e-06
0.599378, 0, 9.01358e-05, 6.5182e-06, 1.41421, -9.01358e-05, 6.5182e-06, 6.51932e-06, 6.5184e-06, 1.3034e-05, 6.6749e-06, 7.06803e-06, 1.20021e-05, 7.98518e-06, 6.5358e-06, 2.64943e-05, 6.52409e-06, 6.54487e-06, 6.56015e-06, 6.57492e-06, 6.51825e-06, 5.54969e-05, 6.5182e-06, 6.5182e-06, 6.85771e-06
0.607263, 0, 0.000143887, 1.22824e-05, 1.41421, -0.000143887, 1.22824e-05, 1.22845e-05, 1.22828e-05, 2.45645e-05, 1.25778e-05, 1.33188e-05, 2.35468e-05, 1.50477e-05, 1.23156e-05, 4.99368e-05, 1.22935e-05, 1.23327e-05, 1.23444e-05, 1.23651e-05, 1.22825e-05, 7.77075e-05, 1.22824e-05, 1.22824e-05, 1.29224e-05
0.615147, 0, 0.000234766, 2.26134e-05, 1.41421, -0.000234766, 2.26134e-05, 2.26172e-05, 2.2614e-05, 4.52342e-05, 2.31574e-05, 2.45222e-05, 4.53465e-05, 2.77063e-05, 2.26744e-05, 9.19643e-05, 2.26338e-05, 2.27059e-05, 2.27043e-05, 2.2733e-05, 2.26135e-05, 0.000110947, 2.26134e-05, 2.26134e-05, 2.3792e-05
0.623031, 0, 0.000388531, 4.06862e-05, 1.41421, -0.000388531, 4.06862e-05, 4.06931e-05, 4.06874e-05, 8.14016e-05, 4.16653e-05, 4.41219e-05, 8.57503e-05, 4.98529e-05, 4.07961e-05, 0.000165511, 4.07229e-05, 4.08528e-05, 4.08188e-05, 4.08581e-05, 4.06864e-05, 0.000161596, 4.06862e-05, 4.06862e-05, 4.28076e-05
0.630915, 0, 0.000647232, 7.15501e-05, 1.41421, -0.000647232, 7.15501e-05, 7.15623e-05, 7.15522e-05, 0.000143181, 7.32727e-05, 7.75945e-05, 0.000159269, 8.76772e-05, 7.17435e-05, 0.000291156, 7.16147e-05, 7.18432e-05, 7.17422e-05, 7.17957e-05, 7.15505e-05, 0.000239646, 7.15501e-05, 7.15501e-05, 7.52824e-05
0.638799, 0, 0.0010781, 0.000123007, 1.41421, -0.0010781, 0.000123007, 0.000123028, 0.000123011, 0.000246208, 0.00012597, 0.000133403, 0.000290617, 0.000150745, 0.00012334, 0.000500715, 0.000123118, 0.000123511, 0.000123284, 0.000123356, 0.000123008, 0.000360468, 0.000123007, 0.000123007, 0.000129426
