   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_229.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0688204, 0, 1.2168e-20, 0, 1.41421, -1.2168e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.78128e-23, 0, 0, 0, 5.36246e-25, 0, 1.20797e-20, 0, 0, 0
0.0767076, 0, 2.91029e-20, 0, 1.41421, -2.91029e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10026e-22, 0, 0, 0, 1.30949e-24, 0, 2.88916e-20, 0, 0, 0
0.0845948, 0, 6.84874e-20, 0, 1.41421, -6.84874e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94252e-22, 0, 0, 0, 3.1442e-24, 0, 6.799e-20, 0, 0, 0
0.0924819, 0, 1.58698e-19, 0, 1.41421, -1.58698e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14527e-21, 0, 0, 0, 7.4296e-24, 0, 1.57546e-19, 0, 0, 0
0.100369, 0, 3.62332e-19, 0, 1.41421, -3.62332e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61483e-21, 0, 0, 0, 1.72903e-23, 0, 3.597e-19, 0, 0, 0
0.108256, 0, 8.15587e-19, 0, 1.41421, -8.15587e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88582e-21, 0, 0, 0, 3.96568e-23, 0, 8.09662e-19, 0, 0, 0
0.116143, 0, 1.81088e-18, 0, 1.41421, -1.81088e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30685e-20, 0, 0, 0, 8.96961e-23, 0, 1.79772e-18, 0, 0, 0
0.124031, 0, 3.96794e-18, 0, 1.41421, -3.96794e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86352e-20, 0, 0, 0, 2.00173e-22, 0, 3.93911e-18, 0, 0, 0
0.131918, 0, 8.58431e-18, 0, 1.41421, -8.58431e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19499e-20, 0, 0, 0, 4.4106e-22, 0, 8.52192e-18, 0, 0, 0
0.139805, 0, 1.83418e-17, 0, 1.41421, -1.83418e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32366e-19, 0, 0, 0, 9.59762e-22, 0, 1.82085e-17, 0, 0, 0
0.147692, 0, 3.93567e-17, 0, 1.41421, -3.93567e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84023e-19, 0, 0, 0, 2.1068e-21, 0, 3.90706e-17, 0, 0, 0
0.155579, 0, 8.19496e-17, 0, 1.41421, -8.19496e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91399e-19, 0, 0, 0, 4.46668e-21, 0, 8.13537e-17, 0, 0, 0
0.163467, 0, 1.6872e-16, 0, 1.41421, -1.6872e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21759e-18, 0, 0, 0, 9.36489e-21, 0, 1.67493e-16, 0, 0, 0
0.171354, 0, 3.43543e-16, 0, 1.41421, -3.43543e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47921e-18, 0, 0, 0, 1.94223e-20, 0, 3.41044e-16, 0, 0, 0
