   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_263.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.504785, 0, 1.01488e-06, 2.61005e-10, 1.41421, -1.01488e-06, 2.71137e-10, 2.61005e-10, 2.61008e-10, 8.35336e-10, 2.76947e-10, 2.70831e-10, 3.28059e-10, 5.95779e-10, 2.65098e-10, 1.33366e-09, 1.52905e-09, 2.61565e-10, 2.63474e-10, 2.61005e-10, 2.61006e-10, 1.01151e-06, 2.61005e-10, 2.61005e-10, 2.70963e-10
0.512668, 0, 1.39432e-06, 8.96854e-10, 1.41421, -1.39432e-06, 9.31814e-10, 8.96854e-10, 8.96867e-10, 2.87851e-09, 9.5186e-10, 9.30759e-10, 1.10379e-09, 2.05195e-09, 9.10979e-10, 4.59792e-09, 2.65253e-09, 8.98786e-10, 9.05376e-10, 8.96854e-10, 8.96859e-10, 1.38533e-06, 8.96854e-10, 8.96854e-10, 9.31214e-10
0.520551, 0, 1.90736e-06, 2.40276e-09, 1.41421, -1.90736e-06, 2.49673e-09, 2.40276e-09, 2.4028e-09, 7.729e-09, 2.55061e-09, 2.49389e-09, 2.9371e-09, 5.50739e-09, 2.44073e-09, 1.23504e-08, 4.82002e-09, 2.40796e-09, 2.42567e-09, 2.40276e-09, 2.40278e-09, 1.88554e-06, 2.40276e-09, 2.40276e-09, 2.49511e-09
0.528435, 0, 2.60193e-06, 5.88066e-09, 1.41421, -2.60193e-06, 6.11111e-09, 5.88066e-09, 5.88075e-09, 1.89432e-08, 6.24324e-09, 6.10415e-09, 7.16183e-09, 1.34947e-08, 5.97377e-09, 3.02771e-08, 9.19053e-09, 5.8934e-09, 5.93683e-09, 5.88066e-09, 5.88069e-09, 2.55106e-06, 5.88066e-09, 5.88066e-09, 6.10715e-09
0.536318, 0, 3.5482e-06, 1.37138e-08, 1.41421, -3.5482e-06, 1.42519e-08, 1.37138e-08, 1.3714e-08, 4.42182e-08, 1.45605e-08, 1.42357e-08, 1.66558e-08, 3.14946e-08, 1.39312e-08, 7.06856e-08, 1.82214e-08, 1.37435e-08, 1.38449e-08, 1.37138e-08, 1.37138e-08, 3.43268e-06, 1.37138e-08, 1.37138e-08, 1.42427e-08
0.544201, 0, 4.85397e-06, 3.09252e-08, 1.41421, -4.85397e-06, 3.214e-08, 3.09252e-08, 3.09256e-08, 9.97839e-08, 3.28365e-08, 3.21033e-08, 3.75686e-08, 7.10625e-08, 3.1416e-08, 1.5953e-07, 3.70312e-08, 3.09923e-08, 3.12213e-08, 3.09252e-08, 3.09253e-08, 4.59727e-06, 3.09252e-08, 3.09252e-08, 3.21191e-08
0.552085, 0, 6.69378e-06, 6.78255e-08, 1.41421, -6.69378e-06, 7.0492e-08, 6.78255e-08, 6.78266e-08, 2.18974e-07, 7.2021e-08, 7.04116e-08, 8.32675e-08, 1.55929e-07, 6.89029e-08, 3.50119e-07, 7.60533e-08, 6.79729e-08, 6.84755e-08, 6.78255e-08, 6.78259e-08, 6.13462e-06, 6.78255e-08, 6.78255e-08, 7.04463e-08
0.559968, 0, 9.36894e-06, 1.4503e-07, 1.41421, -9.36894e-06, 1.50736e-07, 1.4503e-07, 1.45032e-07, 4.68463e-07, 1.54008e-07, 1.50564e-07, 1.88398e-07, 3.33558e-07, 1.47336e-07, 7.49093e-07, 1.56059e-07, 1.45346e-07, 1.46421e-07, 1.4503e-07, 1.45031e-07, 8.16868e-06, 1.4503e-07, 1.4503e-07, 1.50638e-07
0.567851, 0, 1.33893e-05, 3.02687e-07, 1.41421, -1.33893e-05, 3.14604e-07, 3.02687e-07, 3.02692e-07, 9.78176e-07, 3.21437e-07, 3.14244e-07, 4.07319e-07, 6.96426e-07, 3.07502e-07, 1.56427e-06, 3.17395e-07, 3.03346e-07, 3.05592e-07, 3.02687e-07, 3.02689e-07, 1.08768e-05, 3.02687e-07, 3.02687e-07, 3.14399e-07
0.575735, 0, 1.96587e-05, 6.16926e-07, 1.41421, -1.96587e-05, 6.41231e-07, 6.16926e-07, 6.16935e-07, 1.99462e-06, 6.55167e-07, 6.40497e-07, 8.53362e-07, 1.41998e-06, 6.26746e-07, 3.18999e-06, 6.36439e-07, 6.18269e-07, 6.2285e-07, 6.16926e-07, 6.16929e-07, 1.45218e-05, 6.16926e-07, 6.16926e-07, 6.40814e-07
0.583618, 0, 2.97715e-05, 1.22837e-06, 1.41421, -2.97715e-05, 1.27679e-06, 1.22837e-06, 1.22838e-06, 3.97342e-06, 1.30456e-06, 1.27533e-06, 1.74215e-06, 2.82844e-06, 1.24793e-06, 6.3552e-06, 1.25413e-06, 1.23104e-06, 1.24017e-06, 1.22837e-06, 1.22837e-06, 1.95067e-05, 1.22837e-06, 1.22837e-06, 1.27596e-06
0.591502, 0, 4.65182e-05, 2.38983e-06, 1.41421, -4.65182e-05, 2.48412e-06, 2.38983e-06, 2.38987e-06, 7.73434e-06, 2.53818e-06, 2.48127e-06, 3.47481e-06, 5.50512e-06, 2.42793e-06, 1.23716e-05, 2.42367e-06, 2.39504e-06, 2.41282e-06, 2.38983e-06, 2.38984e-06, 2.64648e-05, 2.38983e-06, 2.38983e-06, 2.4825e-06
0.599385, 0, 7.4721e-05, 4.54396e-06, 1.41421, -7.4721e-05, 4.72337e-06, 4.54396e-06, 4.54403e-06, 1.47137e-05, 4.82625e-06, 4.71796e-06, 6.7848e-06, 1.04718e-05, 4.61645e-06, 2.35375e-05, 4.5882e-06, 4.55388e-06, 4.5877e-06, 4.54396e-06, 4.54399e-06, 3.64065e-05, 4.54396e-06, 4.54396e-06, 4.72029e-06
0.607268, 0, 0.000122575, 8.44518e-06, 1.41421, -0.000122575, 8.77889e-06, 8.44518e-06, 8.44531e-06, 2.73614e-05, 8.97025e-06, 8.76882e-06, 1.2994e-05, 1.94714e-05, 8.58001e-06, 4.37743e-05, 8.50276e-06, 8.46363e-06, 8.52653e-06, 8.44518e-06, 8.44522e-06, 5.0952e-05, 8.44518e-06, 8.44518e-06, 8.77317e-06
0.615152, 0, 0.000203705, 1.53446e-05, 1.41421, -0.000203705, 1.59514e-05, 1.53446e-05, 1.53448e-05, 4.97444e-05, 1.62994e-05, 1.59331e-05, 2.44181e-05, 3.5396e-05, 1.55898e-05, 7.95917e-05, 1.54192e-05, 1.53781e-05, 1.54925e-05, 1.53446e-05, 1.53447e-05, 7.26845e-05, 1.53446e-05, 1.53446e-05, 1.5941e-05
0.623035, 0, 0.000340282, 2.72611e-05, 1.41421, -0.000340282, 2.83402e-05, 2.72611e-05, 2.72615e-05, 8.84318e-05, 2.8959e-05, 2.83077e-05, 4.5041e-05, 6.29172e-05, 2.76971e-05, 0.000141507, 2.73574e-05, 2.73207e-05, 2.75241e-05, 2.72611e-05, 2.72612e-05, 0.000105689, 2.72611e-05, 2.72611e-05, 2.83217e-05
0.630918, 0, 0.000567537, 4.73646e-05, 1.41421, -0.000567537, 4.92414e-05, 4.73646e-05, 4.73653e-05, 0.000153749, 5.03175e-05, 4.91847e-05, 8.15813e-05, 0.000109376, 4.81228e-05, 0.000246055, 4.74884e-05, 4.74683e-05, 4.78221e-05, 4.73646e-05, 4.73648e-05, 0.000156295, 4.73646e-05, 4.73646e-05, 4.92092e-05
