   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_346.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.657714, 0, 0.00266821, 8.10718e-05, 1.41421, -0.00266821, 8.10718e-05, 8.10961e-05, 8.1086e-05, 0.0006568, 9.40985e-05, 8.14518e-05, 8.86337e-05, 0.000466536, 0.000141573, 0.00108661, 8.25738e-05, 8.13613e-05, 8.31538e-05, 8.11865e-05, 8.39553e-05, 8.10725e-05, 0.000563627, 8.10718e-05, 8.10718e-05, 0.000130543
0.665602, 0, 0.0041716, 0.000128532, 1.41421, -0.0041716, 0.000128532, 0.00012857, 0.000128554, 0.00102337, 0.000148779, 0.000129123, 0.000140285, 0.000802997, 0.000222567, 0.00169141, 0.000130434, 0.000128982, 0.000131768, 0.000128693, 0.000133212, 0.000128533, 0.000825406, 0.000128532, 0.000128532, 0.000205424
0.67349, 0, 0.00643249, 0.000199544, 1.41421, -0.00643249, 0.000199544, 0.000199602, 0.000199578, 0.00156177, 0.000230367, 0.000200444, 0.000217437, 0.00135843, 0.000342694, 0.00257874, 0.000201946, 0.000200229, 0.000204471, 0.00019977, 0.000206992, 0.000199546, 0.0012066, 0.000199544, 0.000199544, 0.000316599
0.681378, 0, 0.00977454, 0.000303421, 1.41421, -0.00977454, 0.000303421, 0.000303507, 0.000303471, 0.00233495, 0.000349387, 0.000304762, 0.000330104, 0.00225811, 0.000516904, 0.00385159, 0.000306445, 0.000304442, 0.000310768, 0.000303735, 0.000315046, 0.000303423, 0.00175465, 0.000303421, 0.000303421, 0.000477989
0.689266, 2, 0.01463, 0.000451981, 2, 1.98537, 0.000451981, 0.000452106, 0.000452054, 0.00342068, 0.000519152, 0.00045394, 0.000490973, 0.00368738, 0.000763946, 0.00563696, 0.000455778, 0.000453474, 0.000462719, 0.000452418, 0.000469784, 0.000451985, 0.00253131, 0.000451981, 0.000451981, 0.000707083
0.697154, 0, 0.0215639, 0.000659729, 1.41421, -0.0215639, 0.000659729, 0.000659909, 0.000659834, 0.00491165, 0.000755935, 0.000662536, 0.000715576, 0.00591342, 0.00110654, 0.00808592, 0.000664478, 0.000661867, 0.000675111, 0.000660333, 0.000686484, 0.000659734, 0.00361517, 0.000659729, 0.000659729, 0.0010251
0.705042, 0, 0.0312976, 0.000943813, 1.41421, -0.0312976, 0.000943813, 0.000944065, 0.000943961, 0.00691406, 0.0010789, 0.000947754, 0.00102223, 0.0093108, 0.00157119, 0.0113711, 0.000949727, 0.000946815, 0.000965415, 0.000944644, 0.000983287, 0.000943821, 0.00510392, 0.000943813, 0.000943813, 0.00145686
0.71293, 0, 0.0447308, 0.00132371, 1.41421, -0.0447308, 0.00132371, 0.00132406, 0.00132392, 0.00954434, 0.00150972, 0.00132914, 0.00143169, 0.0143895, 0.00218757, 0.0156814, 0.00133104, 0.00132785, 0.00135347, 0.00132485, 0.00138091, 0.00132372, 0.00711676, 0.00132371, 0.00132371, 0.00203017
0.720818, 0, 0.0629589, 0.00182059, 1.41421, -0.0629589, 0.00182059, 0.00182105, 0.00182086, 0.0129239, 0.00207182, 0.00182791, 0.00196642, 0.0218229, 0.00298736, 0.0212131, 0.0018296, 0.00182617, 0.00186079, 0.00182214, 0.00190203, 0.0018206, 0.00979679, 0.00182059, 0.00182059, 0.00277483
0.728706, 0, 0.0872812, 0.00245624, 1.41421, -0.0872812, 0.00245624, 0.00245686, 0.0024566, 0.0171719, 0.0027892, 0.00246595, 0.00264952, 0.0324703, 0.00400258, 0.0281578, 0.00246725, 0.00246363, 0.00250955, 0.00245834, 0.00257022, 0.00245625, 0.0133141, 0.00245624, 0.00245624, 0.00372104
0.736594, 2, 0.119194, 0.00325167, 2, 1.88081, 0.00325167, 0.00325248, 0.00325214, 0.0223953, 0.00368482, 0.0032643, 0.00350311, 0.0473885, 0.0052633, 0.0366869, 0.00326502, 0.00326129, 0.00332109, 0.0032545, 0.00340854, 0.00325169, 0.0178701, 0.00325167, 0.00325167, 0.00489726
0.744482, 0, 0.160367, 0.00422546, 1.41421, -0.160367, 0.00422546, 0.00422649, 0.00422606, 0.0286795, 0.00477877, 0.0042416, 0.00454665, 0.0678261, 0.00679507, 0.0469356, 0.00424151, 0.00423775, 0.00431426, 0.00422924, 0.00443789, 0.00422549, 0.0237046, 0.00422546, 0.00422546, 0.00632793
0.75237, 0, 0.2126, 0.00539183, 1.41421, -0.2126, 0.00539183, 0.00539313, 0.00539259, 0.0360772, 0.00608613, 0.00541208, 0.00579487, 0.095189, 0.00861617, 0.0589853, 0.00541094, 0.00540725, 0.00550349, 0.00539685, 0.00567512, 0.00539187, 0.0311068, 0.00539183, 0.00539183, 0.00803078
0.760258, 0, 0.277747, 0.00675886, 1.41421, -0.277747, 0.00675886, 0.00676045, 0.00675979, 0.044599, 0.00761504, 0.00678383, 0.00725587, 0.130974, 0.0107349, 0.0728485, 0.00678138, 0.00677786, 0.00689697, 0.00676546, 0.00713116, 0.0067589, 0.0404313, 0.00675886, 0.00675886, 0.0100144
0.768146, 0, 0.357616, 0.00832678, 1.41421, -0.357616, 0.00832678, 0.00832872, 0.00832792, 0.054206, 0.00936487, 0.00835706, 0.00892938, 0.17666, 0.0131474, 0.0884572, 0.00835305, 0.00834981, 0.00849497, 0.0083354, 0.00880955, 0.00832684, 0.0521202, 0.00832678, 0.00832678, 0.0122763
0.776034, 0, 0.453848, 0.0100869, 1.41421, -0.453848, 0.0100869, 0.0100892, 0.0100883, 0.064806, 0.011325, 0.010123, 0.0108056, 0.233564, 0.0158361, 0.105656, 0.0101172, 0.0101144, 0.0102888, 0.0100981, 0.0107055, 0.010087, 0.0667322, 0.0100869, 0.0100869, 0.0148015
0.783922, 0, 0.567773, 0.0120212, 1.41421, -0.567773, 0.0120212, 0.0120239, 0.0120228, 0.076254, 0.0134746, 0.0120636, 0.0128649, 0.302663, 0.0187697, 0.124207, 0.0120558, 0.0120534, 0.0122604, 0.0120355, 0.0128058, 0.0120213, 0.0849754, 0.0120212, 0.0120212, 0.0175623
0.791811, 0, 0.70026, 0.0141026, 1.41421, -0.70026, 0.0141026, 0.0141057, 0.0141044, 0.0883571, 0.0157827, 0.0141516, 0.0150779, 0.384388, 0.0219034, 0.143792, 0.0141416, 0.0141397, 0.0143827, 0.0141207, 0.0150902, 0.0141026, 0.107742, 0.0141026, 0.0141026, 0.0205195
0.799698, 0, 0.851575, 0.0162959, 1.41421, -0.851575, 0.0162959, 0.0162995, 0.016298, 0.100885, 0.0182098, 0.0163517, 0.0174069, 0.478435, 0.0251817, 0.164034, 0.0163395, 0.0163381, 0.016621, 0.0163188, 0.0175342, 0.016296, 0.136137, 0.0162959, 0.0162959, 0.0236242
0.807587, 0, 1.02127, 0.0185604, 1.41421, -1.02127, 0.0185604, 0.0185645, 0.0185628, 0.113581, 0.0207104, 0.0186232, 0.0198085, 0.583593, 0.0285411, 0.184519, 0.0186085, 0.0186078, 0.0189353, 0.0185891, 0.0201134, 0.0185606, 0.171495, 0.0185604, 0.0185604, 0.0268216
0.815475, 2, 1.20808, 0.020852, 2, 0.791916, 0.020852, 0.0208564, 0.0208546, 0.126182, 0.0232352, 0.0209215, 0.0222354, 0.697631, 0.0319141, 0.204817, 0.0209045, 0.0209042, 0.0212828, 0.0208877, 0.0228102, 0.0208521, 0.215371, 0.020852, 0.020852, 0.0300549
0.823363, 2, 1.40997, 0.023126, 2, 0.590034, 0.023126, 0.0231309, 0.0231289, 0.138433, 0.025735, 0.0232021, 0.0246405, 0.817288, 0.0352341, 0.224515, 0.0231827, 0.023183, 0.0236212, 0.0231704, 0.0256233, 0.0231262, 0.269499, 0.023126, 0.023126, 0.0332699
0.831251, 2, 1.62409, 0.0253409, 2, 0.375907, 0.0253409, 0.0253462, 0.025344, 0.1501, 0.0281638, 0.0254233, 0.0269796, 0.938355, 0.0384393, 0.243239, 0.0254016, 0.0254022, 0.0259124, 0.0253958, 0.0285797, 0.0253411, 0.335705, 0.0253409, 0.0253409, 0.0364203
0.839139, 2, 1.84699, 0.0274604, 2, 0.153014, 0.0274604, 0.027466, 0.0274637, 0.16099, 0.0304817, 0.0275485, 0.0292142, 1.05589, 0.0414765, 0.260676, 0.0275245, 0.0275254, 0.028125, 0.0275282, 0.0317502, 0.0274605, 0.415765, 0.0274604, 0.0274604, 0.0394715
