   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_257.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.22075, 0, 8.05501e-14, 0, 1.41421, -8.05501e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02514e-16, 0, 0, 1.95472e-17, 0, 8.03281e-14, 0, 0, 0
0.228634, 0, 1.45899e-13, 0, 1.41421, -1.45899e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66808e-16, 0, 0, 3.62261e-17, 0, 1.45496e-13, 0, 0, 0
0.236518, 0, 2.61934e-13, 0, 1.41421, -2.61934e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5853e-16, 0, 0, 6.65987e-17, 0, 2.61208e-13, 0, 0, 0
0.244402, 0, 4.66143e-13, 0, 1.41421, -4.66143e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17193e-15, 0, 0, 1.21473e-16, 0, 4.6485e-13, 0, 0, 0
0.252286, 0, 8.22383e-13, 0, 1.41421, -8.22383e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06756e-15, 0, 0, 2.19854e-16, 0, 8.20095e-13, 0, 0, 0
0.26017, 0, 1.43842e-12, 0, 1.41421, -1.43842e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61636e-15, 0, 0, 3.94924e-16, 0, 1.43441e-12, 0, 0, 0
0.268054, 0, 2.49449e-12, 0, 1.41421, -2.49449e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27153e-15, 0, 0, 7.04162e-16, 0, 2.48752e-12, 0, 0, 0
0.275938, 0, 4.28937e-12, 0, 1.41421, -4.28937e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07844e-14, 0, 0, 1.24648e-15, 0, 4.27734e-12, 0, 0, 0
0.283821, 0, 7.31382e-12, 0, 1.41421, -7.31382e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83891e-14, 0, 0, 2.19088e-15, 0, 7.29324e-12, 0, 0, 0
0.291705, 0, 1.23668e-11, 0, 1.41421, -1.23668e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10954e-14, 0, 0, 3.82435e-15, 0, 1.23319e-11, 0, 0, 0
0.299589, 0, 2.07376e-11, 0, 1.41421, -2.07376e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21468e-14, 0, 0, 6.63116e-15, 0, 2.06788e-11, 0, 0, 0
0.307473, 0, 3.44878e-11, 0, 1.41421, -3.44878e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.67314e-14, 0, 0, 1.14237e-14, 0, 3.43896e-11, 0, 0, 0
0.315357, 0, 5.68854e-11, 0, 1.41421, -5.68854e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43077e-13, 0, 0, 1.95579e-14, 0, 5.67228e-11, 0, 0, 0
0.323241, 0, 9.30644e-11, 1.76564e-43, 1.41421, -9.30644e-11, 0, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 2.34114e-13, 1.76564e-43, 1.76564e-43, 3.3285e-14, 1.76564e-43, 9.2797e-11, 1.76564e-43, 1.76564e-43, 1.76564e-43
0.331125, 0, 1.5102e-10, 3.12349e-42, 1.41421, -1.5102e-10, 0, 3.12349e-42, 3.12349e-42, 3.12349e-42, 3.12349e-42, 3.12349e-42, 3.12349e-42, 3.12349e-42, 3.12349e-42, 3.12349e-42, 3.12349e-42, 3.79995e-13, 3.12349e-42, 3.12349e-42, 5.63273e-14, 3.12349e-42, 1.50584e-10, 3.12349e-42, 3.12349e-42, 3.12349e-42
0.339009, 0, 2.43094e-10, 4.61167e-41, 1.41421, -2.43094e-10, 0, 4.61167e-41, 4.61167e-41, 4.61167e-41, 4.61167e-41, 4.61167e-41, 4.61167e-41, 4.61167e-41, 4.61167e-41, 4.61167e-41, 4.61167e-41, 6.1185e-13, 4.61167e-41, 4.61167e-41, 9.48154e-14, 4.61167e-41, 2.42387e-10, 4.61167e-41, 4.61167e-41, 4.61167e-41
0.346893, 0, 3.88231e-10, 2.85452e-39, 1.41421, -3.88231e-10, 0, 2.85452e-39, 2.85452e-39, 2.85452e-39, 2.85452e-39, 2.85452e-39, 2.85452e-39, 2.85452e-39, 2.85452e-39, 2.85452e-39, 2.85452e-39, 9.77538e-13, 2.85452e-39, 2.85452e-39, 1.59086e-13, 2.85452e-39, 3.87095e-10, 2.85452e-39, 2.85452e-39, 2.85452e-39
