   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_49.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.201903, 0, 5.29362e-15, 0, 1.41421, -5.29362e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11328e-19, 0, 9.0521e-20, 0, 5.29332e-15, 0, 0, 0
0.209808, 0, 9.89279e-15, 0, 1.41421, -9.89279e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02431e-19, 0, 1.72902e-19, 0, 9.89221e-15, 0, 0, 0
0.217714, 0, 1.83156e-14, 0, 1.41421, -1.83156e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59569e-19, 0, 3.27395e-19, 0, 1.83145e-14, 0, 0, 0
0.225619, 0, 3.35972e-14, 0, 1.41421, -3.35972e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42115e-18, 0, 6.14662e-19, 0, 3.35951e-14, 0, 0, 0
0.233524, 0, 6.10668e-14, 0, 1.41421, -6.10668e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63615e-18, 0, 1.14434e-18, 0, 6.1063e-14, 0, 0, 0
0.24143, 0, 1.09993e-13, 0, 1.41421, -1.09993e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84857e-18, 0, 2.11295e-18, 0, 1.09986e-13, 0, 0, 0
0.249335, 0, 1.96344e-13, 0, 1.41421, -1.96344e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.8437e-18, 0, 3.86998e-18, 0, 1.96331e-13, 0, 0, 0
0.25724, 0, 3.47372e-13, 0, 1.41421, -3.47372e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59991e-17, 0, 7.03207e-18, 0, 3.47349e-13, 0, 0, 0
0.265146, 0, 6.09153e-13, 0, 1.41421, -6.09153e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8712e-17, 0, 1.26788e-17, 0, 6.09111e-13, 0, 0, 0
0.273051, 0, 1.05887e-12, 0, 1.41421, -1.05887e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11233e-17, 0, 2.26863e-17, 0, 1.0588e-12, 0, 0, 0
