   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_62.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0458338, 0, 1.12496e-22, 0, 1.41421, -1.12496e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11766e-25, 0, 0, 0, 1.52996e-26, 0, 1.11869e-22, 0, 0, 0
0.0537321, 0, 2.86261e-22, 0, 1.41421, -2.86261e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55672e-24, 0, 0, 0, 3.98011e-26, 0, 2.84665e-22, 0, 0, 0
0.0616304, 0, 7.14457e-22, 0, 1.41421, -7.14457e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88529e-24, 0, 0, 0, 1.01442e-25, 0, 7.10471e-22, 0, 0, 0
0.0695287, 0, 1.75098e-21, 0, 1.41421, -1.75098e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.52196e-24, 0, 0, 0, 2.53652e-25, 0, 1.7412e-21, 0, 0, 0
0.077427, 0, 4.21797e-21, 0, 1.41421, -4.21797e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29376e-23, 0, 0, 0, 6.22953e-25, 0, 4.19441e-21, 0, 0, 0
0.0853252, 0, 9.99593e-21, 0, 1.41421, -9.99593e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43584e-23, 0, 0, 0, 1.5042e-24, 0, 9.94007e-21, 0, 0, 0
0.0932235, 0, 2.3322e-20, 0, 1.41421, -2.3322e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26826e-22, 0, 0, 0, 3.57412e-24, 0, 2.31916e-20, 0, 0, 0
0.101122, 0, 5.36073e-20, 0, 1.41421, -5.36073e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91518e-22, 0, 0, 0, 8.36331e-24, 0, 5.33074e-20, 0, 0, 0
0.10902, 0, 1.21464e-19, 0, 1.41421, -1.21464e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60525e-22, 0, 0, 0, 1.92852e-23, 0, 1.20785e-19, 0, 0, 0
0.116918, 0, 2.71438e-19, 0, 1.41421, -2.71438e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47608e-21, 0, 0, 0, 4.38505e-23, 0, 2.69918e-19, 0, 0, 0
0.124817, 0, 5.98542e-19, 0, 1.41421, -5.98542e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25486e-21, 0, 0, 0, 9.83701e-23, 0, 5.95188e-19, 0, 0, 0
0.132715, 0, 1.30287e-18, 0, 1.41421, -1.30287e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08494e-21, 0, 0, 0, 2.17821e-22, 0, 1.29556e-18, 0, 0, 0
0.140613, 0, 2.8006e-18, 0, 1.41421, -2.8006e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52295e-20, 0, 0, 0, 4.76295e-22, 0, 2.78489e-18, 0, 0, 0
0.148512, 0, 5.94695e-18, 0, 1.41421, -5.94695e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23391e-20, 0, 0, 0, 1.02888e-21, 0, 5.91359e-18, 0, 0, 0
0.15641, 0, 1.24786e-17, 0, 1.41421, -1.24786e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78576e-20, 0, 0, 0, 2.19646e-21, 0, 1.24085e-17, 0, 0, 0
0.164308, 0, 2.58816e-17, 0, 1.41421, -2.58816e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40742e-19, 0, 0, 0, 4.6358e-21, 0, 2.57362e-17, 0, 0, 0
0.172206, 0, 5.30734e-17, 0, 1.41421, -5.30734e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88607e-19, 0, 0, 0, 9.67556e-21, 0, 5.27751e-17, 0, 0, 0
0.180105, 0, 1.07627e-16, 0, 1.41421, -1.07627e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8526e-19, 0, 0, 0, 1.99756e-20, 0, 1.07022e-16, 0, 0, 0
0.188003, 0, 2.17686e-16, 0, 1.41421, -2.17686e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18374e-18, 0, 0, 0, 4.12739e-20, 0, 2.16461e-16, 0, 0, 0
0.195901, 0, 4.31525e-16, 0, 1.41421, -4.31525e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34655e-18, 0, 0, 0, 8.334e-20, 0, 4.29095e-16, 0, 0, 0
0.2038, 0, 8.46542e-16, 0, 1.41421, -8.46542e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6033e-18, 0, 0, 0, 1.66605e-19, 0, 8.41772e-16, 0, 0, 0
0.211698, 0, 1.6437e-15, 0, 1.41421, -1.6437e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.93798e-18, 0, 0, 0, 3.29808e-19, 0, 1.63443e-15, 0, 0, 0
0.219596, 0, 3.15927e-15, 0, 1.41421, -3.15927e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71792e-17, 0, 0, 0, 6.46636e-19, 0, 3.14145e-15, 0, 0, 0
0.227494, 0, 6.01173e-15, 0, 1.41421, -6.01173e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26897e-17, 0, 0, 0, 1.25592e-18, 0, 5.97778e-15, 0, 0, 0
0.235393, 0, 1.13269e-14, 0, 1.41421, -1.13269e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15914e-17, 0, 0, 0, 2.41683e-18, 0, 1.12629e-14, 0, 0, 0
0.243291, 0, 2.11333e-14, 0, 1.41421, -2.11333e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14914e-16, 0, 0, 0, 4.60871e-18, 0, 2.10138e-14, 0, 0, 0
0.251189, 0, 3.90493e-14, 0, 1.41421, -3.90493e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12333e-16, 0, 0, 0, 8.71034e-18, 0, 3.88283e-14, 0, 0, 0
0.259088, 0, 7.14644e-14, 0, 1.41421, -7.14644e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8859e-16, 0, 0, 0, 1.63185e-17, 0, 7.10595e-14, 0, 0, 0
0.266986, 0, 1.29548e-13, 0, 1.41421, -1.29548e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.04421e-16, 0, 0, 0, 3.03098e-17, 0, 1.28813e-13, 0, 0, 0
0.274884, 0, 2.32636e-13, 0, 1.41421, -2.32636e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26497e-15, 0, 0, 0, 5.58257e-17, 0, 2.31316e-13, 0, 0, 0
0.282782, 0, 4.13863e-13, 0, 1.41421, -4.13863e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25042e-15, 0, 0, 0, 1.01975e-16, 0, 4.11511e-13, 0, 0, 0
0.290681, 0, 7.29462e-13, 0, 1.41421, -7.29462e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96658e-15, 0, 0, 0, 1.84775e-16, 0, 7.25311e-13, 0, 0, 0
0.298579, 0, 1.27393e-12, 0, 1.41421, -1.27393e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92742e-15, 0, 0, 0, 3.32173e-16, 0, 1.26667e-12, 0, 0, 0
0.306477, 0, 2.20449e-12, 0, 1.41421, -2.20449e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19882e-14, 0, 0, 0, 5.9257e-16, 0, 2.19191e-12, 0, 0, 0
0.314375, 0, 3.78026e-12, 0, 1.41421, -3.78026e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05587e-14, 0, 0, 0, 1.04923e-15, 0, 3.75865e-12, 0, 0, 0
0.322274, 0, 6.42407e-12, 0, 1.41421, -6.42407e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.494e-14, 0, 0, 0, 1.84446e-15, 0, 6.38729e-12, 0, 0, 0
0.330172, 0, 1.08193e-11, 1.24716e-43, 1.41421, -1.08193e-11, 0, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 5.88525e-14, 1.24716e-43, 1.24716e-43, 1.24716e-43, 3.21998e-15, 1.24716e-43, 1.07572e-11, 1.24716e-43, 1.24716e-43, 1.24716e-43
0.33807, 0, 1.80597e-11, 2.26029e-42, 1.41421, -1.80597e-11, 0, 2.26029e-42, 2.26029e-42, 2.26029e-42, 2.26029e-42, 2.26029e-42, 2.26029e-42, 2.26029e-42, 2.26029e-42, 2.26029e-42, 2.26029e-42, 2.26029e-42, 9.82538e-14, 2.26029e-42, 2.26029e-42, 2.26029e-42, 5.58414e-15, 2.26029e-42, 1.79559e-11, 2.26029e-42, 2.26029e-42, 2.26029e-42
0.345969, 0, 2.98793e-11, 3.39815e-41, 1.41421, -2.98793e-11, 0, 3.39815e-41, 3.39815e-41, 3.39815e-41, 3.39815e-41, 3.39815e-41, 3.39815e-41, 3.39815e-41, 3.39815e-41, 3.39815e-41, 3.39815e-41, 3.39815e-41, 1.62594e-13, 3.39815e-41, 3.39815e-41, 3.39815e-41, 9.62349e-15, 3.39815e-41, 2.9707e-11, 3.39815e-41, 3.39815e-41, 3.39815e-41
0.353867, 0, 4.90004e-11, 4.49218e-40, 1.41421, -4.90004e-11, 0, 4.49218e-40, 4.49218e-40, 4.49218e-40, 4.49218e-40, 4.49218e-40, 4.49218e-40, 4.49218e-40, 4.49218e-40, 4.49218e-40, 4.49218e-40, 4.49218e-40, 2.66722e-13, 4.49218e-40, 4.49218e-40, 4.49218e-40, 1.64873e-14, 4.49218e-40, 4.87172e-11, 4.49218e-40, 4.49218e-40, 4.49218e-40
0.361765, 0, 7.96568e-11, 5.31315e-39, 1.41421, -7.96568e-11, 0, 5.31315e-39, 5.31315e-39, 5.31315e-39, 5.31315e-39, 5.31315e-39, 5.31315e-39, 5.31315e-39, 5.31315e-39, 5.31315e-39, 5.31315e-39, 5.31315e-39, 4.33752e-13, 5.31315e-39, 5.31315e-39, 5.31315e-39, 2.80929e-14, 5.31315e-39, 7.9195e-11, 5.31315e-39, 5.31315e-39, 5.31315e-39
0.369663, 0, 1.28371e-10, 5.66842e-38, 1.41421, -1.28371e-10, 0, 5.66842e-38, 5.66842e-38, 5.66842e-38, 5.66842e-38, 5.66842e-38, 5.66842e-38, 5.66842e-38, 5.66842e-38, 5.66842e-38, 5.66842e-38, 5.66842e-38, 6.9934e-13, 5.66842e-38, 5.66842e-38, 5.66842e-38, 4.76298e-14, 5.66842e-38, 1.27624e-10, 5.66842e-38, 5.66842e-38, 5.66842e-38
0.377562, 0, 2.05092e-10, 5.4816e-37, 1.41421, -2.05092e-10, 0, 5.4816e-37, 5.4816e-37, 5.4816e-37, 5.4816e-37, 5.4816e-37, 5.4816e-37, 5.4816e-37, 5.4816e-37, 5.4816e-37, 5.4816e-37, 5.4816e-37, 1.11797e-12, 5.4816e-37, 5.4816e-37, 5.4816e-37, 8.03933e-14, 5.4816e-37, 2.03893e-10, 5.4816e-37, 5.4816e-37, 5.4816e-37
0.38546, 0, 3.2486e-10, 4.83676e-36, 1.41421, -3.2486e-10, 0, 4.83676e-36, 4.83676e-36, 4.83676e-36, 4.83676e-36, 4.83676e-36, 4.83676e-36, 4.83676e-36, 4.83676e-36, 4.83676e-36, 4.83676e-36, 4.83676e-36, 1.77215e-12, 4.83676e-36, 4.83676e-36, 4.83676e-36, 1.35162e-13, 4.83676e-36, 3.22953e-10, 4.83676e-36, 4.83676e-36, 4.83676e-36
0.393358, 0, 5.10194e-10, 3.91089e-35, 1.41421, -5.10194e-10, 0, 3.91089e-35, 3.91089e-35, 3.91089e-35, 3.91089e-35, 3.91089e-35, 3.91089e-35, 3.91089e-35, 3.91089e-35, 3.91089e-35, 3.91089e-35, 3.91089e-35, 2.78572e-12, 3.91089e-35, 3.91089e-35, 3.91089e-35, 2.26482e-13, 3.91089e-35, 5.07182e-10, 3.91089e-35, 3.91089e-35, 3.91089e-35
0.401257, 0, 7.94492e-10, 2.91128e-34, 1.41421, -7.94492e-10, 0, 2.91128e-34, 2.91128e-34, 2.91128e-34, 2.91128e-34, 2.91128e-34, 2.91128e-34, 2.91128e-34, 2.91128e-34, 2.91128e-34, 2.91128e-34, 2.91128e-34, 4.34296e-12, 2.91128e-34, 2.91128e-34, 2.91128e-34, 3.78444e-13, 2.91128e-34, 7.89771e-10, 2.91128e-34, 2.91128e-34, 2.91128e-34
0.409155, 0, 1.22684e-09, 2.02423e-33, 1.41421, -1.22684e-09, 0, 2.02423e-33, 2.02423e-33, 2.02423e-33, 2.02423e-33, 2.02423e-33, 2.02423e-33, 2.02423e-33, 2.02423e-33, 2.02423e-33, 2.02423e-33, 2.02423e-33, 6.7156e-12, 2.02423e-33, 2.02423e-33, 2.02423e-33, 6.30958e-13, 2.02423e-33, 1.21949e-09, 2.02423e-33, 2.02423e-33, 2.02423e-33
0.417053, 0, 1.87868e-09, 1.20556e-32, 1.41421, -1.87868e-09, 0, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.03011e-11, 1.20556e-32, 1.20556e-32, 1.20556e-32, 1.05015e-12, 1.20556e-32, 1.86733e-09, 1.20556e-32, 1.20556e-32, 1.20556e-32
0.424951, 0, 2.85311e-09, 7.2939e-32, 1.41421, -2.85311e-09, 0, 7.2939e-32, 7.2939e-32, 7.2939e-32, 7.2939e-32, 7.2939e-32, 7.2939e-32, 7.2939e-32, 7.2939e-32, 7.2939e-32, 7.2939e-32, 7.2939e-32, 1.56758e-11, 7.2939e-32, 7.2939e-32, 7.2939e-32, 1.74562e-12, 7.2939e-32, 2.83569e-09, 7.2939e-32, 7.2939e-32, 7.2939e-32
0.43285, 0, 4.29749e-09, 3.94434e-31, 1.41421, -4.29749e-09, 0, 3.94434e-31, 3.94434e-31, 3.94434e-31, 3.94434e-31, 3.94434e-31, 3.94434e-31, 3.94434e-31, 3.94434e-31, 3.94434e-31, 3.94434e-31, 3.94434e-31, 2.36692e-11, 3.94434e-31, 3.94434e-31, 3.94434e-31, 2.89894e-12, 3.94434e-31, 4.27092e-09, 3.94434e-31, 3.94434e-31, 3.94434e-31
0.440748, 0, 6.42054e-09, 2.08898e-30, 1.41421, -6.42054e-09, 0, 2.08898e-30, 2.08898e-30, 2.08898e-30, 2.08898e-30, 2.08898e-30, 2.08898e-30, 2.08898e-30, 2.08898e-30, 2.08898e-30, 2.08898e-30, 2.08898e-30, 3.54648e-11, 2.08898e-30, 2.08898e-30, 2.08898e-30, 4.81073e-12, 2.08898e-30, 6.38026e-09, 2.08898e-30, 2.08898e-30, 2.08898e-30
0.448646, 0, 9.51548e-09, 2.03726e-29, 1.41421, -9.51548e-09, 0, 2.03726e-29, 2.03726e-29, 2.03726e-29, 2.03726e-29, 2.03726e-29, 2.03726e-29, 2.03726e-29, 2.03726e-29, 2.03726e-29, 2.03726e-29, 2.03726e-29, 5.27411e-11, 2.03726e-29, 2.03726e-29, 2.03726e-29, 7.98518e-12, 2.03726e-29, 9.45476e-09, 2.03726e-29, 2.03726e-29, 2.03726e-29
0.456545, 0, 1.39898e-08, 9.43485e-29, 1.41421, -1.39898e-08, 0, 9.43485e-29, 9.43485e-29, 9.43485e-29, 9.43485e-29, 9.43485e-29, 9.43485e-29, 9.43485e-29, 9.43485e-29, 9.43485e-29, 9.43485e-29, 9.43485e-29, 7.78528e-11, 9.43485e-29, 9.43485e-29, 9.43485e-29, 1.32307e-11, 9.43485e-29, 1.38987e-08, 9.43485e-29, 9.43485e-29, 9.43485e-29
0.464443, 0, 2.0406e-08, 4.1921e-28, 1.41421, -2.0406e-08, 0, 4.1921e-28, 4.1921e-28, 4.1921e-28, 4.1921e-28, 4.1921e-28, 4.1921e-28, 4.1921e-28, 4.1921e-28, 4.1921e-28, 4.1921e-28, 4.1921e-28, 1.14092e-10, 4.1921e-28, 4.1921e-28, 4.1921e-28, 2.18998e-11, 4.1921e-28, 2.027e-08, 4.1921e-28, 4.1921e-28, 4.1921e-28
0.472341, 0, 2.95332e-08, 1.77862e-27, 1.41421, -2.95332e-08, 0, 1.77862e-27, 1.77862e-27, 1.77862e-27, 1.77862e-27, 1.77862e-27, 1.77862e-27, 1.77862e-27, 1.77862e-27, 1.77862e-27, 1.77862e-27, 1.77862e-27, 1.66021e-10, 1.77862e-27, 1.77862e-27, 1.77862e-27, 3.61973e-11, 1.77862e-27, 2.9331e-08, 1.77862e-27, 1.77862e-27, 1.77862e-27
0.480239, 0, 4.24141e-08, 7.20466e-27, 1.41421, -4.24141e-08, 0, 7.20466e-27, 7.20466e-27, 7.20466e-27, 7.20466e-27, 7.20466e-27, 7.20466e-27, 7.20466e-27, 7.20466e-27, 7.20466e-27, 7.20466e-27, 7.20466e-27, 2.39922e-10, 7.20466e-27, 7.20466e-27, 7.20466e-27, 5.97113e-11, 7.20466e-27, 4.21144e-08, 7.20466e-27, 7.20466e-27, 7.20466e-27
0.488138, 0, 6.04503e-08, 2.7888e-26, 1.41421, -6.04503e-08, 0, 2.7888e-26, 2.7888e-26, 2.7888e-26, 2.7888e-26, 2.7888e-26, 2.7888e-26, 2.7888e-26, 5.36872e-13, 2.7888e-26, 2.7888e-26, 2.7888e-26, 3.44386e-10, 2.7888e-26, 2.7888e-26, 2.7888e-26, 9.82423e-11, 2.7888e-26, 6.00071e-08, 2.7888e-26, 2.7888e-26, 2.7888e-26
0.496036, 0, 8.55104e-08, 1.0333e-25, 1.41421, -8.55104e-08, 0, 1.0333e-25, 1.0333e-25, 1.0333e-25, 1.0333e-25, 1.0333e-25, 1.0333e-25, 1.0333e-25, 1.91028e-12, 1.0333e-25, 1.0333e-25, 1.0333e-25, 4.9109e-10, 1.0333e-25, 1.0333e-25, 1.0333e-25, 1.61097e-10, 1.0333e-25, 8.48563e-08, 1.0333e-25, 1.0333e-25, 1.0333e-25
0.503934, 0, 1.20065e-07, 3.69231e-25, 1.41421, -1.20065e-07, 0, 3.69231e-25, 3.69231e-25, 3.69231e-25, 3.69231e-25, 3.69231e-25, 3.69231e-25, 3.69231e-25, 5.30067e-12, 3.69231e-25, 3.69231e-25, 3.69231e-25, 6.95804e-10, 3.69231e-25, 3.69231e-25, 3.69231e-25, 2.63084e-10, 3.69231e-25, 1.19101e-07, 3.69231e-25, 3.69231e-25, 3.69231e-25
0.511833, 0, 1.68752e-07, 1.15536e-10, 1.41421, -1.68752e-07, 1.15536e-10, 1.15538e-10, 1.15548e-10, 5.81968e-10, 1.25321e-10, 1.59353e-10, 1.29276e-10, 1.20392e-10, 1.54499e-10, 1.30048e-10, 1.20042e-10, 7.78821e-10, 1.09524e-09, 1.19094e-10, 1.17498e-10, 1.15536e-10, 5.43074e-10, 1.15536e-10, 1.66068e-07, 1.15536e-10, 1.15536e-10, 1.26892e-10
0.519731, 0, 2.36535e-07, 4.06714e-10, 1.41421, -2.36535e-07, 4.06714e-10, 4.06723e-10, 4.06759e-10, 2.05646e-09, 4.41323e-10, 5.61694e-10, 4.55314e-10, 4.23891e-10, 5.2939e-10, 4.58042e-10, 4.22653e-10, 2.75272e-09, 1.77772e-09, 4.193e-10, 4.13654e-10, 4.06714e-10, 1.0976e-09, 4.06715e-10, 2.29972e-07, 4.06714e-10, 4.06714e-10, 4.46881e-10
0.527629, 0, 3.31905e-07, 1.11999e-09, 1.41421, -3.31905e-07, 1.11999e-09, 1.12001e-09, 1.12011e-09, 5.67295e-09, 1.2155e-09, 1.5477e-09, 1.25411e-09, 1.16739e-09, 1.44452e-09, 1.26164e-09, 1.16397e-09, 7.59448e-09, 3.02711e-09, 1.15472e-09, 1.13914e-09, 1.11999e-09, 2.22931e-09, 1.11999e-09, 3.16481e-07, 1.11999e-09, 1.11999e-09, 1.23084e-09
0.535527, 0, 4.68726e-07, 2.81841e-09, 1.41421, -4.68726e-07, 2.81841e-09, 2.81847e-09, 2.81872e-09, 1.42889e-08, 3.05905e-09, 3.89597e-09, 3.15632e-09, 2.93784e-09, 3.61637e-09, 3.17529e-09, 2.92923e-09, 1.91299e-08, 5.4557e-09, 2.90592e-09, 2.86666e-09, 2.81841e-09, 4.58707e-09, 2.81842e-09, 4.33082e-07, 2.81841e-09, 2.81841e-09, 3.09769e-09
0.543426, 0, 6.71239e-07, 6.75345e-09, 1.41421, -6.71239e-07, 6.75345e-09, 6.7536e-09, 6.7542e-09, 3.42583e-08, 7.33047e-09, 9.33732e-09, 7.56372e-09, 7.03983e-09, 8.63221e-09, 7.60921e-09, 7.01919e-09, 4.58665e-08, 1.03794e-08, 6.96328e-09, 6.86916e-09, 6.75345e-09, 9.5518e-09, 6.75347e-09, 5.89943e-07, 6.75345e-09, 6.75345e-09, 7.42312e-09
0.551324, 0, 9.8394e-07, 1.56306e-08, 1.41421, -9.8394e-07, 1.56306e-08, 1.56309e-08, 1.56323e-08, 7.9319e-08, 1.69667e-08, 2.16136e-08, 1.75068e-08, 1.62937e-08, 1.99693e-08, 1.76121e-08, 1.62459e-08, 1.06198e-07, 2.05874e-08, 1.61164e-08, 1.58985e-08, 1.56306e-08, 2.0027e-08, 1.56306e-08, 8.0123e-07, 1.56306e-08, 1.56306e-08, 1.71812e-08
0.559222, 0, 1.49131e-06, 3.51335e-08, 1.41421, -1.49131e-06, 3.51335e-08, 3.51343e-08, 3.51374e-08, 1.78342e-07, 3.81379e-08, 4.85869e-08, 3.93523e-08, 3.66246e-08, 4.53633e-08, 3.95892e-08, 3.65171e-08, 2.38782e-07, 4.18716e-08, 3.62261e-08, 3.5736e-08, 3.51335e-08, 4.19772e-08, 3.51336e-08, 1.08745e-06, 3.51335e-08, 3.51335e-08, 3.86203e-08
0.56712, 0, 2.35939e-06, 7.68727e-08, 1.41421, -2.35939e-06, 7.68727e-08, 7.68744e-08, 7.68812e-08, 3.90324e-07, 8.34485e-08, 1.06319e-07, 8.61067e-08, 8.01363e-08, 1.05117e-07, 8.66251e-08, 7.99011e-08, 5.22613e-07, 8.59811e-08, 7.9264e-08, 7.81913e-08, 7.68727e-08, 8.74327e-08, 7.6873e-08, 1.47963e-06, 7.68727e-08, 7.68727e-08, 8.45044e-08
0.575019, 0, 3.89786e-06, 1.63904e-07, 1.41421, -3.89786e-06, 1.63904e-07, 1.63908e-07, 1.63922e-07, 8.32454e-07, 1.77929e-07, 2.26709e-07, 1.83599e-07, 1.70865e-07, 2.32325e-07, 1.84705e-07, 1.70363e-07, 1.11461e-06, 1.76149e-07, 1.69004e-07, 1.66716e-07, 1.63904e-07, 1.80052e-07, 1.63904e-07, 2.02683e-06, 1.63904e-07, 1.63904e-07, 1.80181e-07
0.582917, 0, 6.69605e-06, 3.40736e-07, 1.41421, -6.69605e-06, 3.40736e-07, 3.40744e-07, 3.40774e-07, 1.73104e-06, 3.69903e-07, 4.71345e-07, 3.81694e-07, 3.55212e-07, 4.96966e-07, 3.83993e-07, 3.54169e-07, 2.31781e-06, 3.57108e-07, 3.51343e-07, 3.46585e-07, 3.40736e-07, 3.65209e-07, 3.40738e-07, 2.80935e-06, 3.40736e-07, 3.40736e-07, 3.74587e-07
0.590815, 0, 1.18477e-05, 6.90876e-07, 1.41421, -1.18477e-05, 6.90876e-07, 6.90892e-07, 6.90953e-07, 3.51085e-06, 7.50036e-07, 9.5579e-07, 7.7395e-07, 7.20237e-07, 1.03476e-06, 7.78614e-07, 7.18121e-07, 4.70099e-06, 7.1265e-07, 7.12389e-07, 7.02739e-07, 6.90876e-07, 7.2763e-07, 6.90878e-07, 3.96154e-06, 6.90876e-07, 6.90876e-07, 7.59535e-07
0.598714, 0, 2.13403e-05, 1.36663e-06, 1.41421, -2.13403e-05, 1.36663e-06, 1.36666e-06, 1.36678e-06, 6.94685e-06, 1.48369e-06, 1.89085e-06, 1.53102e-06, 1.42473e-06, 2.10382e-06, 1.54025e-06, 1.42054e-06, 9.30193e-06, 1.39543e-06, 1.4092e-06, 1.3901e-06, 1.36663e-06, 1.42135e-06, 1.36663e-06, 5.7107e-06, 1.36663e-06, 1.36663e-06, 1.50249e-06
