   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_39.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.425095, 0, 7.77716e-08, 7.47468e-30, 1.41421, -7.77716e-08, 7.47468e-30, 0, 7.47468e-30, 7.47468e-30, 7.47468e-30, 7.47468e-30, 7.47468e-30, 7.47468e-30, 7.47468e-30, 7.47468e-30, 7.47468e-30, 7.47468e-30, 7.47468e-30, 6.13256e-13, 7.47468e-30, 1.68998e-11, 7.47468e-30, 7.77541e-08, 7.47468e-30, 7.47468e-30, 7.47468e-30
0.433002, 0, 1.11637e-07, 3.57215e-29, 1.41421, -1.11637e-07, 3.57215e-29, 0, 3.57215e-29, 3.57215e-29, 3.57215e-29, 3.57215e-29, 3.57215e-29, 3.57215e-29, 3.57215e-29, 3.57215e-29, 3.57215e-29, 3.57215e-29, 3.57215e-29, 9.88741e-13, 3.57215e-29, 2.71174e-11, 3.57215e-29, 1.11609e-07, 3.57215e-29, 3.57215e-29, 3.57215e-29
0.440909, 0, 1.59145e-07, 1.64395e-28, 1.41421, -1.59145e-07, 1.64395e-28, 0, 1.64395e-28, 1.64395e-28, 1.64395e-28, 1.64395e-28, 1.64395e-28, 1.64395e-28, 1.64395e-28, 1.64395e-28, 1.64395e-28, 1.64395e-28, 1.64395e-28, 1.5925e-12, 1.64395e-28, 4.34426e-11, 1.64395e-28, 1.591e-07, 1.64395e-28, 1.64395e-28, 1.64395e-28
0.448816, 0, 2.25325e-07, 7.23668e-28, 1.41421, -2.25325e-07, 7.23668e-28, 0, 7.23668e-28, 7.23668e-28, 7.23668e-28, 7.23668e-28, 7.23668e-28, 7.23668e-28, 7.23668e-28, 7.23668e-28, 7.23668e-28, 7.23668e-28, 7.23668e-28, 2.56131e-12, 7.23668e-28, 6.94632e-11, 7.23668e-28, 2.25253e-07, 7.23668e-28, 7.23668e-28, 7.23668e-28
0.456723, 0, 3.16871e-07, 3.0354e-27, 1.41421, -3.16871e-07, 3.0354e-27, 0, 3.0354e-27, 3.0354e-27, 3.0354e-27, 3.0354e-27, 3.0354e-27, 3.0354e-27, 3.0354e-27, 3.0354e-27, 3.0354e-27, 3.0354e-27, 3.0354e-27, 4.11179e-12, 3.0354e-27, 1.10815e-10, 3.0354e-27, 3.16756e-07, 3.0354e-27, 3.0354e-27, 3.0354e-27
0.46463, 0, 4.42637e-07, 1.21418e-26, 1.41421, -4.42637e-07, 1.21418e-26, 0, 1.21418e-26, 1.21418e-26, 1.21418e-26, 1.21418e-26, 1.21418e-26, 1.21418e-26, 1.21418e-26, 1.21418e-26, 1.21418e-26, 1.21418e-26, 1.21418e-26, 6.58526e-12, 1.21418e-26, 1.76301e-10, 1.21418e-26, 4.42454e-07, 1.21418e-26, 1.21418e-26, 1.21418e-26
0.472537, 0, 6.14237e-07, 4.63732e-26, 1.41421, -6.14237e-07, 4.63732e-26, 0, 4.63732e-26, 4.63732e-26, 4.63732e-26, 4.63732e-26, 4.63732e-26, 1.65825e-12, 4.63732e-26, 4.63732e-26, 4.63732e-26, 4.63732e-26, 4.63732e-26, 1.05162e-11, 4.63732e-26, 2.79575e-10, 4.63732e-26, 6.13945e-07, 4.63732e-26, 4.63732e-26, 4.63732e-26
0.480444, 0, 8.46799e-07, 1.69422e-25, 1.41421, -8.46799e-07, 1.69422e-25, 0, 1.69422e-25, 1.69422e-25, 1.69422e-25, 1.69422e-25, 1.69422e-25, 5.60388e-12, 1.69422e-25, 1.69422e-25, 1.69422e-25, 1.69422e-25, 1.69422e-25, 1.67365e-11, 1.69422e-25, 4.41667e-10, 1.69422e-25, 8.46335e-07, 1.69422e-25, 1.69422e-25, 1.69422e-25
0.48835, 0, 1.15988e-06, 5.97517e-25, 1.41421, -1.15988e-06, 5.97517e-25, 0, 5.97517e-25, 5.97517e-25, 5.97517e-25, 5.97517e-25, 5.97517e-25, 1.4707e-11, 5.97517e-25, 5.97517e-25, 5.97517e-25, 5.97517e-25, 5.97517e-25, 2.65317e-11, 5.97517e-25, 6.94703e-10, 5.97517e-25, 1.15914e-06, 5.97517e-25, 5.97517e-25, 5.97517e-25
0.496257, 0, 1.5815e-06, 3.89452e-10, 1.41421, -1.5815e-06, 3.98889e-10, 3.89452e-10, 3.89463e-10, 3.89485e-10, 1.01842e-09, 4.09401e-10, 4.13757e-10, 5.02143e-10, 6.80977e-10, 3.94881e-10, 1.6372e-09, 3.91645e-10, 3.92804e-10, 4.31326e-10, 3.89452e-10, 1.4768e-09, 3.89453e-10, 1.57802e-06, 3.89452e-10, 3.89452e-10, 3.96634e-10
0.504164, 0, 2.14472e-06, 1.30767e-09, 1.41421, -2.14472e-06, 1.3394e-09, 1.30767e-09, 1.30771e-09, 1.30778e-09, 3.42217e-09, 1.37474e-09, 1.38938e-09, 1.64833e-09, 2.28774e-09, 1.32592e-09, 5.50242e-09, 1.31504e-09, 1.31894e-09, 1.37345e-09, 1.30767e-09, 3.00032e-09, 1.30767e-09, 2.13509e-06, 1.30767e-09, 1.30767e-09, 1.33182e-09
0.512071, 0, 2.89547e-06, 3.41203e-09, 1.41421, -2.89547e-06, 3.49491e-09, 3.41203e-09, 3.41213e-09, 3.41232e-09, 8.93596e-09, 3.58723e-09, 3.62549e-09, 4.26901e-09, 5.97237e-09, 3.45971e-09, 1.43704e-08, 3.43129e-09, 3.44148e-09, 3.51481e-09, 3.41203e-09, 6.03119e-09, 3.41204e-09, 2.87222e-06, 3.41203e-09, 3.41203e-09, 3.47511e-09
0.519978, 0, 3.89546e-06, 8.11926e-09, 1.41421, -3.89546e-06, 8.31661e-09, 8.11926e-09, 8.1195e-09, 8.11995e-09, 2.12721e-08, 8.53643e-09, 8.62752e-09, 1.01176e-08, 1.42156e-08, 8.23279e-09, 3.4212e-08, 8.16512e-09, 8.18937e-09, 8.27896e-09, 8.11926e-09, 1.21459e-08, 8.11929e-09, 3.84243e-06, 8.11926e-09, 8.11926e-09, 8.26946e-09
0.527885, 0, 5.23135e-06, 1.84004e-08, 1.41421, -5.23135e-06, 1.88478e-08, 1.84004e-08, 1.8401e-08, 1.8402e-08, 4.8219e-08, 1.93462e-08, 1.95527e-08, 2.28621e-08, 3.22213e-08, 1.86578e-08, 7.75546e-08, 1.85044e-08, 1.85594e-08, 1.86471e-08, 1.84004e-08, 2.4548e-08, 1.84005e-08, 5.11429e-06, 1.84004e-08, 1.84004e-08, 1.8741e-08
0.535792, 0, 7.03009e-06, 4.0338e-08, 1.41421, -7.03009e-06, 4.1319e-08, 4.0338e-08, 4.03392e-08, 4.03415e-08, 1.05722e-07, 4.24118e-08, 4.28646e-08, 5.07824e-08, 7.06435e-08, 4.09024e-08, 1.70047e-07, 4.0566e-08, 4.06865e-08, 4.07166e-08, 4.0338e-08, 4.96681e-08, 4.03382e-08, 6.77707e-06, 4.0338e-08, 4.0338e-08, 4.10847e-08
0.543699, 0, 9.48472e-06, 8.60808e-08, 1.41421, -9.48472e-06, 8.81748e-08, 8.60808e-08, 8.60834e-08, 8.60882e-08, 2.25636e-07, 9.05071e-08, 9.14736e-08, 1.09878e-07, 1.50765e-07, 8.72855e-08, 3.62932e-07, 8.65675e-08, 8.68247e-08, 8.66583e-08, 8.60808e-08, 1.00123e-07, 8.60812e-08, 8.94926e-06, 8.60808e-08, 8.60808e-08, 8.76745e-08
0.551606, 0, 1.29169e-05, 1.79311e-07, 1.41421, -1.29169e-05, 1.83673e-07, 1.79311e-07, 1.79316e-07, 1.79326e-07, 4.70059e-07, 1.88532e-07, 1.90546e-07, 2.46705e-07, 3.14072e-07, 1.8182e-07, 7.56099e-07, 1.80325e-07, 1.80861e-07, 1.80186e-07, 1.79311e-07, 2.00282e-07, 1.79311e-07, 1.17921e-05, 1.79311e-07, 1.79311e-07, 1.82631e-07
0.559513, 0, 1.78342e-05, 3.65055e-07, 1.41421, -1.78342e-05, 3.73938e-07, 3.65055e-07, 3.65066e-07, 3.65086e-07, 9.57074e-07, 3.83832e-07, 3.87932e-07, 5.26167e-07, 6.39455e-07, 3.70165e-07, 1.53951e-06, 3.67119e-07, 3.68211e-07, 3.66372e-07, 3.65055e-07, 3.9613e-07, 3.65057e-07, 1.55321e-05, 3.65055e-07, 3.65055e-07, 3.71816e-07
0.56742, 0, 2.51036e-05, 7.26844e-07, 1.41421, -2.51036e-05, 7.44533e-07, 7.26844e-07, 7.26865e-07, 7.26906e-07, 1.90577e-06, 7.64236e-07, 7.724e-07, 1.08556e-06, 1.27327e-06, 7.3702e-07, 3.0656e-06, 7.30955e-07, 7.33128e-07, 7.28812e-07, 7.26844e-07, 7.72527e-07, 7.26847e-07, 2.04984e-05, 7.26844e-07, 7.26844e-07, 7.40307e-07
0.575327, 0, 3.62002e-05, 1.41586e-06, 1.41421, -3.62002e-05, 1.45033e-06, 1.41586e-06, 1.41591e-06, 1.41599e-06, 3.71272e-06, 1.48871e-06, 1.50462e-06, 2.18205e-06, 2.48046e-06, 1.43569e-06, 5.97239e-06, 1.42387e-06, 1.42811e-06, 1.41879e-06, 1.41586e-06, 1.4825e-06, 1.41587e-06, 2.71839e-05, 1.41586e-06, 1.41586e-06, 1.44209e-06
0.583234, 0, 5.36325e-05, 2.69901e-06, 1.41421, -5.36325e-05, 2.76472e-06, 2.69901e-06, 2.69909e-06, 2.69924e-06, 7.07814e-06, 2.8379e-06, 2.86823e-06, 4.2869e-06, 4.72873e-06, 2.73681e-06, 1.13863e-05, 2.71428e-06, 2.72235e-06, 2.70332e-06, 2.69901e-06, 2.79546e-06, 2.69902e-06, 3.63471e-05, 2.69901e-06, 2.69901e-06, 2.74902e-06
0.591141, 0, 8.1638e-05, 5.03582e-06, 1.41421, -8.1638e-05, 5.15843e-06, 5.03582e-06, 5.03597e-06, 5.03625e-06, 1.32078e-05, 5.29501e-06, 5.3516e-06, 8.25218e-06, 8.8235e-06, 5.10636e-06, 2.12474e-05, 5.06431e-06, 5.07938e-06, 5.04213e-06, 5.03582e-06, 5.17439e-06, 5.03584e-06, 4.91714e-05, 5.03582e-06, 5.03582e-06, 5.12914e-06
