   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_138.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.173473, 0, 8.59151e-16, 0, 1.41421, -8.59151e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51343e-17, 0, 0, 6.20347e-20, 0, 8.33955e-16, 0, 0, 0
0.181359, 0, 1.65704e-15, 0, 1.41421, -1.65704e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84761e-17, 0, 0, 1.21927e-19, 0, 1.60844e-15, 0, 0, 0
0.189246, 0, 3.16521e-15, 0, 1.41421, -3.16521e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25968e-17, 0, 0, 2.37455e-19, 0, 3.07237e-15, 0, 0, 0
0.197133, 0, 5.98874e-15, 0, 1.41421, -5.98874e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75197e-16, 0, 0, 4.583e-19, 0, 5.81309e-15, 0, 0, 0
0.205019, 0, 1.12251e-14, 0, 1.41421, -1.12251e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28382e-16, 0, 0, 8.76771e-19, 0, 1.08958e-14, 0, 0, 0
0.212906, 0, 2.08453e-14, 0, 1.41421, -2.08453e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09813e-16, 0, 0, 1.66287e-18, 0, 2.02338e-14, 0, 0, 0
0.220792, 0, 3.83567e-14, 0, 1.41421, -3.83567e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12209e-15, 0, 0, 3.12708e-18, 0, 3.72314e-14, 0, 0, 0
0.228679, 0, 6.99407e-14, 0, 1.41421, -6.99407e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04605e-15, 0, 0, 5.83165e-18, 0, 6.78888e-14, 0, 0, 0
0.236566, 0, 1.2639e-13, 0, 1.41421, -1.2639e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69743e-15, 0, 0, 1.07865e-17, 0, 1.22682e-13, 0, 0, 0
0.244452, 0, 2.26376e-13, 0, 1.41421, -2.26376e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6224e-15, 0, 0, 1.9791e-17, 0, 2.19733e-13, 0, 0, 0
0.252339, 0, 4.01894e-13, 0, 1.41421, -4.01894e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17571e-14, 0, 0, 3.60265e-17, 0, 3.90101e-13, 0, 0, 0
0.260225, 0, 7.07282e-13, 0, 1.41421, -7.07282e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06911e-14, 0, 0, 6.50771e-17, 0, 6.86526e-13, 0, 0, 0
0.268112, 0, 1.23395e-12, 0, 1.41421, -1.23395e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60991e-14, 0, 0, 1.16665e-16, 0, 1.19774e-12, 0, 0, 0
0.275999, 0, 2.13434e-12, 0, 1.41421, -2.13434e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2441e-14, 0, 0, 2.07603e-16, 0, 2.07169e-12, 0, 0, 0
0.283885, 0, 3.66023e-12, 0, 1.41421, -3.66023e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07085e-13, 0, 0, 3.66758e-16, 0, 3.55277e-12, 0, 0, 0
0.291772, 0, 6.22388e-12, 0, 1.41421, -6.22388e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82097e-13, 0, 0, 6.43371e-16, 0, 6.04114e-12, 0, 0, 0
