   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.260171, 0, 2.31159e-11, 0, 1.41421, -2.31159e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.05558e-14, 0, 0, 8.49679e-16, 0, 0, 2.30245e-11, 0, 0, 0
0.268097, 0, 3.81402e-11, 0, 1.41421, -3.81402e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49424e-13, 0, 0, 1.43922e-15, 0, 0, 3.79893e-11, 0, 0, 0
0.276023, 0, 6.24466e-11, 0, 1.41421, -6.24466e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44675e-13, 0, 0, 2.42256e-15, 0, 0, 6.21995e-11, 0, 0, 0
0.283949, 0, 1.01462e-10, 0, 1.41421, -1.01462e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97596e-13, 0, 0, 4.05326e-15, 0, 0, 1.01061e-10, 0, 0, 0
0.291875, 0, 1.63604e-10, 0, 1.41421, -1.63604e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41211e-13, 0, 0, 6.74283e-15, 0, 0, 1.62956e-10, 0, 0, 0
0.299801, 0, 2.61811e-10, 0, 1.41421, -2.61811e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02633e-12, 0, 0, 1.11564e-14, 0, 0, 2.60774e-10, 0, 0, 0
0.307728, 0, 4.15822e-10, 3.76949e-43, 1.41421, -4.15822e-10, 0, 3.76949e-43, 3.76949e-43, 3.76949e-43, 3.76949e-43, 3.76949e-43, 3.76949e-43, 3.76949e-43, 3.76949e-43, 3.76949e-43, 1.63048e-12, 3.76949e-43, 3.76949e-43, 1.83653e-14, 3.76949e-43, 3.76949e-43, 4.14173e-10, 3.76949e-43, 3.76949e-43, 3.76949e-43
0.315654, 0, 6.55495e-10, 6.5875e-42, 1.41421, -6.55495e-10, 0, 6.5875e-42, 6.5875e-42, 6.5875e-42, 6.5875e-42, 6.5875e-42, 6.5875e-42, 6.5875e-42, 6.5875e-42, 6.5875e-42, 2.5711e-12, 6.5875e-42, 6.5875e-42, 3.00912e-14, 6.5875e-42, 6.5875e-42, 6.52894e-10, 6.5875e-42, 6.5875e-42, 6.5875e-42
0.32358, 0, 1.02563e-09, 9.5144e-41, 1.41421, -1.02563e-09, 0, 9.5144e-41, 9.5144e-41, 9.5144e-41, 9.5144e-41, 9.5144e-41, 9.5144e-41, 9.5144e-41, 9.5144e-41, 9.5144e-41, 4.02452e-12, 9.5144e-41, 9.5144e-41, 4.90946e-14, 9.5144e-41, 9.5144e-41, 1.02155e-09, 9.5144e-41, 9.5144e-41, 9.5144e-41
0.331506, 0, 1.5929e-09, 1.21918e-39, 1.41421, -1.5929e-09, 0, 1.21918e-39, 1.21918e-39, 1.21918e-39, 1.21918e-39, 1.21918e-39, 1.21918e-39, 1.21918e-39, 1.21918e-39, 1.21918e-39, 6.25356e-12, 1.21918e-39, 1.21918e-39, 7.97964e-14, 1.21918e-39, 1.21918e-39, 1.58656e-09, 1.21918e-39, 1.21918e-39, 1.21918e-39
0.339432, 0, 2.45573e-09, 1.39451e-38, 1.41421, -2.45573e-09, 0, 1.39451e-38, 1.39451e-38, 1.39451e-38, 1.39451e-38, 1.39451e-38, 1.39451e-38, 1.39451e-38, 1.39451e-38, 1.39451e-38, 9.64681e-12, 1.39451e-38, 1.39451e-38, 1.29271e-13, 1.39451e-38, 1.39451e-38, 2.44596e-09, 1.39451e-38, 1.39451e-38, 1.39451e-38
0.347358, 0, 3.75825e-09, 1.44071e-37, 1.41421, -3.75825e-09, 0, 1.44071e-37, 1.44071e-37, 1.44071e-37, 1.44071e-37, 1.44071e-37, 1.44071e-37, 1.44071e-37, 1.44071e-37, 1.44071e-37, 1.47744e-11, 1.44071e-37, 1.44071e-37, 2.08839e-13, 1.44071e-37, 1.44071e-37, 3.74327e-09, 1.44071e-37, 1.44071e-37, 1.44071e-37
0.355285, 0, 5.70982e-09, 1.35129e-36, 1.41421, -5.70982e-09, 0, 1.35129e-36, 1.35129e-36, 1.35129e-36, 1.35129e-36, 1.35129e-36, 1.35129e-36, 1.35129e-36, 1.35129e-36, 1.35129e-36, 2.24664e-11, 1.35129e-36, 1.35129e-36, 3.3662e-13, 1.35129e-36, 1.35129e-36, 5.68701e-09, 1.35129e-36, 1.35129e-36, 1.35129e-36
0.363211, 0, 8.61208e-09, 1.15844e-35, 1.41421, -8.61208e-09, 0, 1.15844e-35, 1.15844e-35, 1.15844e-35, 1.15844e-35, 1.15844e-35, 1.15844e-35, 1.15844e-35, 1.15844e-35, 1.15844e-35, 3.39226e-11, 1.15844e-35, 1.15844e-35, 5.41636e-13, 1.15844e-35, 1.15844e-35, 8.57761e-09, 1.15844e-35, 1.15844e-35, 1.15844e-35
0.371137, 0, 1.28963e-08, 9.10958e-35, 1.41421, -1.28963e-08, 0, 9.10958e-35, 9.10958e-35, 9.10958e-35, 9.10958e-35, 9.10958e-35, 9.10958e-35, 9.10958e-35, 9.10958e-35, 9.10958e-35, 5.08638e-11, 9.10958e-35, 9.10958e-35, 8.70421e-13, 9.10958e-35, 9.10958e-35, 1.28446e-08, 9.10958e-35, 9.10958e-35, 9.10958e-35
0.379063, 0, 1.91741e-08, 6.6002e-34, 1.41421, -1.91741e-08, 0, 6.6002e-34, 6.6002e-34, 6.6002e-34, 6.6002e-34, 6.6002e-34, 6.6002e-34, 6.6002e-34, 6.6002e-34, 6.6002e-34, 7.57404e-11, 6.6002e-34, 6.6002e-34, 1.39762e-12, 6.6002e-34, 6.6002e-34, 1.9097e-08, 6.6002e-34, 6.6002e-34, 6.6002e-34
0.386989, 0, 2.83059e-08, 4.57887e-33, 1.41421, -2.83059e-08, 0, 4.57887e-33, 4.57887e-33, 4.57887e-33, 4.57887e-33, 4.57887e-33, 4.57887e-33, 4.57887e-33, 4.57887e-33, 4.57887e-33, 1.12017e-10, 4.57887e-33, 4.57887e-33, 2.24309e-12, 4.57887e-33, 4.57887e-33, 2.81916e-08, 4.57887e-33, 4.57887e-33, 4.57887e-33
0.394915, 0, 4.1493e-08, 2.52351e-32, 1.41421, -4.1493e-08, 0, 2.52351e-32, 2.52351e-32, 2.52351e-32, 2.52351e-32, 2.52351e-32, 2.52351e-32, 2.52351e-32, 2.52351e-32, 2.52351e-32, 1.64559e-10, 2.52351e-32, 2.52351e-32, 3.59929e-12, 2.52351e-32, 2.52351e-32, 4.13249e-08, 2.52351e-32, 2.52351e-32, 2.52351e-32
0.402842, 0, 6.03995e-08, 1.44832e-31, 1.41421, -6.03995e-08, 0, 1.44832e-31, 1.44832e-31, 1.44832e-31, 1.44832e-31, 1.44832e-31, 1.44832e-31, 1.44832e-31, 1.44832e-31, 1.44832e-31, 2.4015e-10, 1.44832e-31, 1.44832e-31, 5.77524e-12, 1.44832e-31, 1.44832e-31, 6.01536e-08, 1.44832e-31, 1.44832e-31, 1.44832e-31
0.410768, 0, 8.73123e-08, 7.3497e-31, 1.41421, -8.73123e-08, 0, 7.3497e-31, 7.3497e-31, 7.3497e-31, 7.3497e-31, 7.3497e-31, 7.3497e-31, 7.3497e-31, 7.3497e-31, 7.3497e-31, 3.48186e-10, 7.3497e-31, 7.3497e-31, 9.2666e-12, 7.3497e-31, 7.3497e-31, 8.69549e-08, 7.3497e-31, 7.3497e-31, 7.3497e-31
0.418694, 0, 1.25351e-07, 3.71233e-30, 1.41421, -1.25351e-07, 0, 3.71233e-30, 3.71233e-30, 3.71233e-30, 3.71233e-30, 3.71233e-30, 3.71233e-30, 3.71233e-30, 3.71233e-30, 3.71233e-30, 5.01605e-10, 3.71233e-30, 3.71233e-30, 1.48673e-11, 3.71233e-30, 3.71233e-30, 1.24835e-07, 3.71233e-30, 3.71233e-30, 3.71233e-30
0.42662, 0, 1.78739e-07, 1.80312e-29, 1.41421, -1.78739e-07, 0, 1.80312e-29, 1.80312e-29, 1.80312e-29, 1.80312e-29, 1.80312e-29, 1.80312e-29, 1.80312e-29, 1.80312e-29, 1.80312e-29, 7.18097e-10, 1.80312e-29, 1.80312e-29, 2.38462e-11, 1.80312e-29, 1.80312e-29, 1.77997e-07, 1.80312e-29, 1.80312e-29, 1.80312e-29
0.434546, 0, 2.5315e-07, 8.36801e-29, 1.41421, -2.5315e-07, 0, 8.36801e-29, 8.36801e-29, 8.36801e-29, 8.36801e-29, 8.36801e-29, 8.36801e-29, 8.36801e-29, 8.36801e-29, 8.36801e-29, 1.02171e-09, 8.36801e-29, 8.36801e-29, 3.82247e-11, 8.36801e-29, 8.36801e-29, 2.5209e-07, 8.36801e-29, 8.36801e-29, 8.36801e-29
0.442472, 0, 3.56148e-07, 3.77755e-28, 1.41421, -3.56148e-07, 0, 3.77755e-28, 3.77755e-28, 3.77755e-28, 3.77755e-28, 3.77755e-28, 3.77755e-28, 3.77755e-28, 3.77755e-28, 3.77755e-28, 1.44496e-09, 3.77755e-28, 3.77755e-28, 6.12113e-11, 3.77755e-28, 3.77755e-28, 3.54642e-07, 3.77755e-28, 3.77755e-28, 3.77755e-28
0.450399, 0, 4.97747e-07, 1.636e-27, 1.41421, -4.97747e-07, 0, 1.636e-27, 1.636e-27, 1.636e-27, 1.636e-27, 1.636e-27, 1.636e-27, 1.636e-27, 1.636e-27, 1.636e-27, 2.03149e-09, 1.636e-27, 1.636e-27, 9.78764e-11, 1.636e-27, 1.636e-27, 4.95618e-07, 1.636e-27, 1.636e-27, 1.636e-27
0.458325, 0, 6.91107e-07, 6.76143e-27, 1.41421, -6.91107e-07, 0, 6.76143e-27, 6.76143e-27, 6.76143e-27, 6.76143e-27, 6.76143e-27, 6.76143e-27, 6.76143e-27, 6.76143e-27, 6.76143e-27, 2.83967e-09, 6.76143e-27, 6.76143e-27, 1.56192e-10, 6.76143e-27, 6.76143e-27, 6.88111e-07, 6.76143e-27, 6.76143e-27, 6.76143e-27
0.466251, 0, 9.53389e-07, 2.66747e-26, 1.41421, -9.53389e-07, 0, 2.66747e-26, 2.66747e-26, 2.66747e-26, 2.66747e-26, 2.66747e-26, 2.66747e-26, 2.66747e-26, 2.66747e-26, 2.66747e-26, 3.94701e-09, 2.66747e-26, 2.66747e-26, 2.4862e-10, 2.66747e-26, 2.66747e-26, 9.49193e-07, 2.66747e-26, 2.66747e-26, 2.66747e-26
0.474177, 0, 1.30684e-06, 1.58642e-25, 1.41421, -1.30684e-06, 0, 1.58642e-25, 1.58642e-25, 1.58642e-25, 1.58642e-25, 1.58642e-25, 1.58642e-25, 1.25532e-11, 1.58642e-25, 1.58642e-25, 5.45598e-09, 1.58642e-25, 1.58642e-25, 3.9466e-10, 1.58642e-25, 1.58642e-25, 1.30098e-06, 1.58642e-25, 1.58642e-25, 1.58642e-25
0.482103, 0, 1.78129e-06, 5.5673e-25, 1.41421, -1.78129e-06, 0, 1.61985e-14, 1.37482e-13, 4.44174e-10, 1.27615e-11, 2.75481e-13, 2.98299e-11, 2.02037e-10, 1.81577e-10, 2.26823e-10, 7.50124e-09, 2.39078e-12, 1.76589e-12, 6.23959e-10, 5.5673e-25, 9.34311e-16, 1.77205e-06, 5.5673e-25, 5.5673e-25, 7.62889e-12
