   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_290.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.126502, 0, 1.38472e-18, 0, 1.41421, -1.38472e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66346e-20, 0, 5.35157e-23, 0, 0, 1.36804e-18, 0, 0, 0
0.134384, 0, 3.02369e-18, 0, 1.41421, -3.02369e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63234e-20, 0, 1.18623e-22, 0, 0, 2.98725e-18, 0, 0, 0
0.142266, 0, 6.52024e-18, 0, 1.41421, -6.52024e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83273e-20, 0, 2.5973e-22, 0, 0, 6.44166e-18, 0, 0, 0
0.150147, 0, 1.38896e-17, 0, 1.41421, -1.38896e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66855e-19, 0, 5.6194e-22, 0, 0, 1.37222e-17, 0, 0, 0
0.158029, 0, 2.92381e-17, 0, 1.41421, -2.92381e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51235e-19, 0, 1.20175e-21, 0, 0, 2.88856e-17, 0, 0, 0
0.165911, 0, 6.08362e-17, 0, 1.41421, -6.08362e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30819e-19, 0, 2.5411e-21, 0, 0, 6.01028e-17, 0, 0, 0
0.173793, 0, 1.25152e-16, 0, 1.41421, -1.25152e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50344e-18, 0, 5.31408e-21, 0, 0, 1.23644e-16, 0, 0, 0
0.181674, 0, 2.54613e-16, 0, 1.41421, -2.54613e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05863e-18, 0, 1.09936e-20, 0, 0, 2.51543e-16, 0, 0, 0
0.189556, 0, 5.12361e-16, 0, 1.41421, -5.12361e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15492e-18, 0, 2.25037e-20, 0, 0, 5.06183e-16, 0, 0, 0
0.197438, 0, 1.02003e-15, 0, 1.41421, -1.02003e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22534e-17, 0, 4.55894e-20, 0, 0, 1.00773e-15, 0, 0, 0
