   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_103.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.266374, 0, 5.82451e-12, 0, 1.41421, -5.82451e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52435e-14, 0, 0, 2.77387e-16, 6.06055e-16, 0, 5.79839e-12, 0, 0, 0
0.274269, 0, 9.81824e-12, 0, 1.41421, -9.81824e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25542e-14, 0, 0, 4.7984e-16, 1.05456e-15, 0, 9.77415e-12, 0, 0, 0
0.282164, 0, 1.64177e-11, 0, 1.41421, -1.64177e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.11618e-14, 0, 0, 8.24444e-16, 1.82294e-15, 0, 1.63439e-11, 0, 0, 0
0.29006, 0, 2.72343e-11, 0, 1.41421, -2.72343e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18056e-13, 0, 0, 1.40728e-15, 3.13105e-15, 0, 2.71117e-11, 0, 0, 0
0.297955, 0, 4.48195e-11, 0, 1.41421, -4.48195e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94305e-13, 0, 0, 2.38709e-15, 5.34462e-15, 0, 4.46174e-11, 0, 0, 0
0.305851, 0, 7.31777e-11, 0, 1.41421, -7.31777e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17291e-13, 0, 0, 4.02491e-15, 9.06872e-15, 0, 7.28473e-11, 0, 0, 0
0.313746, 0, 1.18543e-10, 1.10703e-43, 1.41421, -1.18543e-10, 0, 1.10703e-43, 1.10703e-43, 1.10703e-43, 1.10703e-43, 1.10703e-43, 1.10703e-43, 1.10703e-43, 1.10703e-43, 1.10703e-43, 1.10703e-43, 1.10703e-43, 5.14084e-13, 1.10703e-43, 1.10703e-43, 6.7482e-15, 1.52999e-14, 1.10703e-43, 1.18006e-10, 1.10703e-43, 1.10703e-43, 1.10703e-43
0.321641, 0, 1.90533e-10, 1.99125e-42, 1.41421, -1.90533e-10, 0, 1.99125e-42, 1.99125e-42, 1.99125e-42, 1.99125e-42, 1.99125e-42, 1.99125e-42, 1.99125e-42, 1.99125e-42, 1.99125e-42, 1.99125e-42, 1.99125e-42, 8.26484e-13, 1.99125e-42, 1.99125e-42, 1.12545e-14, 2.56723e-14, 1.99125e-42, 1.8967e-10, 1.99125e-42, 1.99125e-42, 1.99125e-42
0.329537, 0, 3.03869e-10, 2.99738e-41, 1.41421, -3.03869e-10, 0, 2.99738e-41, 2.99738e-41, 2.99738e-41, 2.99738e-41, 2.99738e-41, 2.99738e-41, 2.99738e-41, 2.99738e-41, 2.99738e-41, 2.99738e-41, 2.99738e-41, 1.31851e-12, 2.99738e-41, 2.99738e-41, 1.86787e-14, 4.28552e-14, 2.99738e-41, 3.02489e-10, 2.99738e-41, 2.99738e-41, 2.99738e-41
0.337432, 0, 4.80883e-10, 3.97958e-40, 1.41421, -4.80883e-10, 0, 3.97958e-40, 3.97958e-40, 3.97958e-40, 3.97958e-40, 3.97958e-40, 3.97958e-40, 3.97958e-40, 3.97958e-40, 3.97958e-40, 3.97958e-40, 3.97958e-40, 2.08738e-12, 3.97958e-40, 3.97958e-40, 3.08633e-14, 7.1195e-14, 3.97958e-40, 4.78694e-10, 3.97958e-40, 3.97958e-40, 3.97958e-40
