   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_219.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.330622, 0, 7.11419e-11, 1.23314e-43, 1.41421, -7.11419e-11, 0, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 2.58003e-13, 1.23314e-43, 1.23314e-43, 6.99745e-16, 1.08175e-14, 1.23314e-43, 7.08724e-11, 1.23314e-43, 1.23314e-43, 1.23314e-43
0.338507, 0, 1.19047e-10, 2.23367e-42, 1.41421, -1.19047e-10, 0, 2.23367e-42, 2.23367e-42, 2.23367e-42, 2.23367e-42, 2.23367e-42, 2.23367e-42, 2.23367e-42, 2.23367e-42, 2.23367e-42, 2.23367e-42, 2.23367e-42, 2.23367e-42, 4.31805e-13, 2.23367e-42, 2.23367e-42, 1.21327e-15, 1.87929e-14, 2.23367e-42, 1.18596e-10, 2.23367e-42, 2.23367e-42, 2.23367e-42
0.346391, 0, 1.97444e-10, 3.34658e-41, 1.41421, -1.97444e-10, 0, 3.34658e-41, 3.34658e-41, 3.34658e-41, 3.34658e-41, 3.34658e-41, 3.34658e-41, 3.34658e-41, 3.34658e-41, 3.34658e-41, 3.34658e-41, 3.34658e-41, 3.34658e-41, 7.16317e-13, 3.34658e-41, 3.34658e-41, 2.09129e-15, 3.244e-14, 3.34658e-41, 1.96693e-10, 3.34658e-41, 3.34658e-41, 3.34658e-41
0.354276, 0, 3.24585e-10, 4.4084e-40, 1.41421, -3.24585e-10, 0, 4.4084e-40, 4.4084e-40, 4.4084e-40, 4.4084e-40, 4.4084e-40, 4.4084e-40, 4.4084e-40, 4.4084e-40, 4.4084e-40, 4.4084e-40, 4.4084e-40, 4.4084e-40, 1.1779e-12, 4.4084e-40, 4.4084e-40, 3.58538e-15, 5.56619e-14, 4.4084e-40, 3.23348e-10, 4.4084e-40, 4.4084e-40, 4.4084e-40
0.36216, 0, 5.28919e-10, 5.19805e-39, 1.41421, -5.28919e-10, 0, 5.19805e-39, 5.19805e-39, 5.19805e-39, 5.19805e-39, 5.19805e-39, 5.19805e-39, 5.19805e-39, 5.19805e-39, 5.19805e-39, 5.19805e-39, 5.19805e-39, 5.19805e-39, 1.92011e-12, 5.19805e-39, 5.19805e-39, 6.1172e-15, 9.49737e-14, 5.19805e-39, 5.26898e-10, 5.19805e-39, 5.19805e-39, 5.19805e-39
0.370045, 0, 8.54384e-10, 5.53163e-38, 1.41421, -8.54384e-10, 0, 5.53163e-38, 5.53163e-38, 5.53163e-38, 5.53163e-38, 5.53163e-38, 5.53163e-38, 5.53163e-38, 5.53163e-38, 5.53163e-38, 5.53163e-38, 5.53163e-38, 5.53163e-38, 3.10304e-12, 5.53163e-38, 5.53163e-38, 1.03927e-14, 1.61222e-13, 5.53163e-38, 8.5111e-10, 5.53163e-38, 5.53163e-38, 5.53163e-38
0.377929, 0, 1.36818e-09, 5.33711e-37, 1.41421, -1.36818e-09, 0, 5.33711e-37, 5.33711e-37, 5.33711e-37, 5.33711e-37, 5.33711e-37, 5.33711e-37, 5.33711e-37, 5.33711e-37, 5.33711e-37, 5.33711e-37, 5.33711e-37, 5.33711e-37, 4.97196e-12, 5.33711e-37, 5.33711e-37, 1.75922e-14, 2.72421e-13, 5.33711e-37, 1.36292e-09, 5.33711e-37, 5.33711e-37, 5.33711e-37
0.385814, 0, 2.17211e-09, 4.70058e-36, 1.41421, -2.17211e-09, 0, 4.70058e-36, 4.70058e-36, 4.70058e-36, 4.70058e-36, 4.70058e-36, 4.70058e-36, 4.70058e-36, 4.70058e-36, 4.70058e-36, 4.70058e-36, 4.70058e-36, 4.70058e-36, 7.89913e-12, 4.70058e-36, 4.70058e-36, 2.96893e-14, 4.58447e-13, 4.70058e-36, 2.16372e-09, 4.70058e-36, 4.70058e-36, 4.70058e-36
0.393698, 0, 3.41897e-09, 3.79533e-35, 1.41421, -3.41897e-09, 0, 3.79533e-35, 3.79533e-35, 3.79533e-35, 3.79533e-35, 3.79533e-35, 3.79533e-35, 3.79533e-35, 3.79533e-35, 3.79533e-35, 3.79533e-35, 3.79533e-35, 3.79533e-35, 1.24446e-11, 3.79533e-35, 3.79533e-35, 4.99831e-14, 7.68807e-13, 3.79533e-35, 3.4057e-09, 3.79533e-35, 3.79533e-35, 3.79533e-35
0.401583, 0, 5.33591e-09, 2.82179e-34, 1.41421, -5.33591e-09, 0, 2.82179e-34, 2.82179e-34, 2.82179e-34, 2.82179e-34, 2.82179e-34, 2.82179e-34, 2.82179e-34, 2.82179e-34, 2.82179e-34, 2.82179e-34, 2.82179e-34, 2.82179e-34, 1.94435e-11, 2.82179e-34, 2.82179e-34, 8.39901e-14, 1.28552e-12, 2.82179e-34, 5.31509e-09, 2.82179e-34, 2.82179e-34, 2.82179e-34
