   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_220.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.380709, 0, 4.92916e-10, 8.88414e-39, 1.41421, -4.92916e-10, 0, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 2.30229e-12, 8.88414e-39, 8.88414e-39, 1.48662e-15, 8.88414e-39, 4.90613e-10, 8.88414e-39, 8.88414e-39, 8.88414e-39
0.388591, 0, 8.28075e-10, 9.2073e-38, 1.41421, -8.28075e-10, 0, 9.2073e-38, 9.2073e-38, 9.2073e-38, 9.2073e-38, 9.2073e-38, 9.2073e-38, 9.2073e-38, 9.2073e-38, 9.2073e-38, 3.8694e-12, 9.2073e-38, 9.2073e-38, 2.61148e-15, 9.2073e-38, 8.24203e-10, 9.2073e-38, 9.2073e-38, 9.2073e-38
0.396472, 0, 1.37716e-09, 8.67392e-37, 1.41421, -1.37716e-09, 0, 8.67392e-37, 8.67392e-37, 8.67392e-37, 8.67392e-37, 8.67392e-37, 8.67392e-37, 8.67392e-37, 8.67392e-37, 8.67392e-37, 6.43872e-12, 8.67392e-37, 8.67392e-37, 4.56563e-15, 8.67392e-37, 1.37072e-09, 8.67392e-37, 8.67392e-37, 8.67392e-37
0.404354, 0, 2.26749e-09, 7.47628e-36, 1.41421, -2.26749e-09, 0, 7.47628e-36, 7.47628e-36, 7.47628e-36, 7.47628e-36, 7.47628e-36, 7.47628e-36, 7.47628e-36, 7.47628e-36, 7.47628e-36, 1.06089e-11, 7.47628e-36, 7.47628e-36, 7.95026e-15, 7.47628e-36, 2.25687e-09, 7.47628e-36, 7.47628e-36, 7.47628e-36
0.412235, 0, 3.69646e-09, 5.91855e-35, 1.41421, -3.69646e-09, 0, 5.91855e-35, 5.91855e-35, 5.91855e-35, 5.91855e-35, 5.91855e-35, 5.91855e-35, 5.91855e-35, 5.91855e-35, 5.91855e-35, 1.731e-11, 5.91855e-35, 5.91855e-35, 1.37998e-14, 5.91855e-35, 3.67914e-09, 5.91855e-35, 5.91855e-35, 5.91855e-35
0.420117, 0, 5.96677e-09, 4.32203e-34, 1.41421, -5.96677e-09, 0, 4.32203e-34, 4.32203e-34, 4.32203e-34, 4.32203e-34, 4.32203e-34, 4.32203e-34, 4.32203e-34, 4.32203e-34, 4.32203e-34, 2.79727e-11, 4.32203e-34, 4.32203e-34, 2.38951e-14, 4.32203e-34, 5.93877e-09, 4.32203e-34, 4.32203e-34, 4.32203e-34
0.427998, 0, 9.53759e-09, 3.01641e-33, 1.41421, -9.53759e-09, 0, 3.01641e-33, 3.01641e-33, 3.01641e-33, 3.01641e-33, 3.01641e-33, 3.01641e-33, 3.01641e-33, 3.01641e-33, 3.01641e-33, 4.47751e-11, 3.01641e-33, 3.01641e-33, 4.13038e-14, 3.01641e-33, 9.49277e-09, 3.01641e-33, 3.01641e-33, 3.01641e-33
0.43588, 0, 1.5098e-08, 1.73921e-32, 1.41421, -1.5098e-08, 0, 1.73921e-32, 1.73921e-32, 1.73921e-32, 1.73921e-32, 1.73921e-32, 1.73921e-32, 1.73921e-32, 1.73921e-32, 1.73921e-32, 7.10003e-11, 1.73921e-32, 1.73921e-32, 7.13132e-14, 1.73921e-32, 1.50269e-08, 1.73921e-32, 1.73921e-32, 1.73921e-32
0.443761, 0, 2.36711e-08, 1.01898e-31, 1.41421, -2.36711e-08, 0, 1.01898e-31, 1.01898e-31, 1.01898e-31, 1.01898e-31, 1.01898e-31, 1.01898e-31, 1.01898e-31, 1.01898e-31, 1.01898e-31, 1.1155e-10, 1.01898e-31, 1.01898e-31, 1.23036e-13, 1.01898e-31, 2.35595e-08, 1.01898e-31, 1.01898e-31, 1.01898e-31
0.451643, 0, 3.67599e-08, 5.34307e-31, 1.41421, -3.67599e-08, 0, 5.34307e-31, 5.34307e-31, 5.34307e-31, 5.34307e-31, 5.34307e-31, 5.34307e-31, 5.34307e-31, 5.34307e-31, 5.34307e-31, 1.73671e-10, 5.34307e-31, 5.34307e-31, 2.12169e-13, 5.34307e-31, 3.6586e-08, 5.34307e-31, 5.34307e-31, 5.34307e-31
