   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_173.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.306816, 0, 1.20246e-11, 0, 1.41421, -1.20246e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59094e-15, 0, 8.71228e-17, 0, 0, 1.20149e-11, 0, 0, 0
0.314703, 0, 2.11025e-11, 0, 1.41421, -2.11025e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68324e-14, 0, 1.57071e-16, 0, 0, 2.10855e-11, 0, 0, 0
0.322589, 0, 3.66829e-11, 0, 1.41421, -3.66829e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92618e-14, 0, 2.80969e-16, 0, 0, 3.66534e-11, 0, 0, 0
0.330476, 0, 6.31667e-11, 0, 1.41421, -6.31667e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03923e-14, 0, 4.98869e-16, 0, 0, 6.31158e-11, 0, 0, 0
0.338362, 0, 1.07754e-10, 1.84971e-43, 1.41421, -1.07754e-10, 0, 1.84971e-43, 1.84971e-43, 1.84971e-43, 1.84971e-43, 1.84971e-43, 1.84971e-43, 1.84971e-43, 1.84971e-43, 1.84971e-43, 8.59731e-14, 1.84971e-43, 8.79522e-16, 1.84971e-43, 1.84971e-43, 1.07667e-10, 1.84971e-43, 1.84971e-43, 1.84971e-43
0.346249, 0, 1.82106e-10, 3.33649e-42, 1.41421, -1.82106e-10, 0, 3.33649e-42, 3.33649e-42, 3.33649e-42, 3.33649e-42, 3.33649e-42, 3.33649e-42, 3.33649e-42, 3.33649e-42, 3.33649e-42, 1.4532e-13, 3.33649e-42, 1.54039e-15, 3.33649e-42, 3.33649e-42, 1.8196e-10, 3.33649e-42, 3.33649e-42, 3.33649e-42
0.354135, 0, 3.04924e-10, 5.01301e-41, 1.41421, -3.04924e-10, 0, 5.01301e-41, 5.01301e-41, 5.01301e-41, 5.01301e-41, 5.01301e-41, 5.01301e-41, 5.01301e-41, 5.01301e-41, 5.01301e-41, 2.4338e-13, 5.01301e-41, 2.68139e-15, 5.01301e-41, 5.01301e-41, 3.04677e-10, 5.01301e-41, 5.01301e-41, 5.01301e-41
0.362022, 0, 5.05888e-10, 6.6184e-40, 1.41421, -5.05888e-10, 0, 6.6184e-40, 6.6184e-40, 6.6184e-40, 6.6184e-40, 6.6184e-40, 6.6184e-40, 6.6184e-40, 6.6184e-40, 6.6184e-40, 4.03897e-13, 6.6184e-40, 4.6416e-15, 6.6184e-40, 6.6184e-40, 5.05479e-10, 6.6184e-40, 6.6184e-40, 6.6184e-40
0.369908, 0, 8.31653e-10, 7.82152e-39, 1.41421, -8.31653e-10, 0, 7.82152e-39, 7.82152e-39, 7.82152e-39, 7.82152e-39, 7.82152e-39, 7.82152e-39, 7.82152e-39, 7.82152e-39, 7.82152e-39, 6.6423e-13, 7.82152e-39, 7.99488e-15, 7.82152e-39, 7.82152e-39, 8.3098e-10, 7.82152e-39, 7.82152e-39, 7.82152e-39
0.377795, 0, 1.35481e-09, 8.34103e-38, 1.41421, -1.35481e-09, 0, 8.34103e-38, 8.34103e-38, 8.34103e-38, 8.34103e-38, 8.34103e-38, 8.34103e-38, 8.34103e-38, 8.34103e-38, 8.34103e-38, 1.08258e-12, 8.34103e-38, 1.37108e-14, 8.34103e-38, 8.34103e-38, 1.35371e-09, 8.34103e-38, 8.34103e-38, 8.34103e-38
0.385682, 0, 2.18744e-09, 2.75347e-36, 1.41421, -2.18744e-09, 0, 2.75347e-36, 2.75347e-36, 2.75347e-36, 2.75347e-36, 2.75347e-36, 2.75347e-36, 2.75347e-36, 2.75347e-36, 2.75347e-36, 1.74899e-12, 2.75347e-36, 2.34693e-14, 2.75347e-36, 2.75347e-36, 2.18567e-09, 2.75347e-36, 2.75347e-36, 2.75347e-36
0.393568, 0, 3.49975e-09, 2.23483e-35, 1.41421, -3.49975e-09, 0, 2.23483e-35, 2.23483e-35, 2.23483e-35, 2.23483e-35, 2.23483e-35, 2.23483e-35, 2.23483e-35, 2.23483e-35, 2.23483e-35, 2.80036e-12, 2.23483e-35, 3.99759e-14, 2.23483e-35, 2.23483e-35, 3.49691e-09, 2.23483e-35, 2.23483e-35, 2.23483e-35
0.401455, 0, 5.54965e-09, 1.67041e-34, 1.41421, -5.54965e-09, 0, 1.67041e-34, 1.67041e-34, 1.67041e-34, 1.67041e-34, 1.67041e-34, 1.67041e-34, 1.67041e-34, 1.67041e-34, 1.67041e-34, 4.44475e-12, 1.67041e-34, 6.79253e-14, 1.67041e-34, 1.67041e-34, 5.54513e-09, 1.67041e-34, 1.67041e-34, 1.67041e-34
0.409341, 0, 8.7226e-09, 1.16613e-33, 1.41421, -8.7226e-09, 0, 1.16613e-33, 1.16613e-33, 1.16613e-33, 1.16613e-33, 1.16613e-33, 1.16613e-33, 1.16613e-33, 1.16613e-33, 1.16613e-33, 6.99409e-12, 1.16613e-33, 1.15198e-13, 1.16613e-33, 1.16613e-33, 8.71549e-09, 1.16613e-33, 1.16613e-33, 1.16613e-33
0.417228, 0, 1.35897e-08, 6.92045e-33, 1.41421, -1.35897e-08, 0, 6.92045e-33, 6.92045e-33, 6.92045e-33, 6.92045e-33, 6.92045e-33, 6.92045e-33, 6.92045e-33, 6.92045e-33, 6.92045e-33, 1.09122e-11, 6.92045e-33, 1.95095e-13, 6.92045e-33, 6.92045e-33, 1.35786e-08, 6.92045e-33, 6.92045e-33, 6.92045e-33
0.425114, 0, 2.09886e-08, 4.17831e-32, 1.41421, -2.09886e-08, 0, 4.17831e-32, 4.17831e-32, 4.17831e-32, 4.17831e-32, 4.17831e-32, 4.17831e-32, 4.17831e-32, 4.17831e-32, 4.17831e-32, 1.68825e-11, 4.17831e-32, 3.30061e-13, 4.17831e-32, 4.17831e-32, 2.09714e-08, 4.17831e-32, 4.17831e-32, 4.17831e-32
0.433001, 0, 3.21365e-08, 2.25654e-31, 1.41421, -3.21365e-08, 0, 2.25654e-31, 2.25654e-31, 2.25654e-31, 2.25654e-31, 2.25654e-31, 2.25654e-31, 2.25654e-31, 2.25654e-31, 2.25654e-31, 2.59039e-11, 2.25654e-31, 5.57941e-13, 2.25654e-31, 2.25654e-31, 3.21101e-08, 2.25654e-31, 2.25654e-31, 2.25654e-31
0.440887, 0, 4.87851e-08, 1.19505e-30, 1.41421, -4.87851e-08, 0, 1.19505e-30, 1.19505e-30, 1.19505e-30, 1.19505e-30, 1.19505e-30, 1.19505e-30, 1.19505e-30, 1.19505e-30, 1.19505e-30, 3.9423e-11, 1.19505e-30, 9.4244e-13, 1.19505e-30, 1.19505e-30, 4.87447e-08, 1.19505e-30, 1.19505e-30, 1.19505e-30
0.448774, 0, 7.34312e-08, 6.05166e-30, 1.41421, -7.34312e-08, 0, 6.05166e-30, 6.05166e-30, 6.05166e-30, 6.05166e-30, 6.05166e-30, 6.05166e-30, 6.05166e-30, 6.05166e-30, 6.05166e-30, 5.95186e-11, 6.05166e-30, 1.59055e-12, 6.05166e-30, 6.05166e-30, 7.33701e-08, 6.05166e-30, 6.05166e-30, 6.05166e-30
0.45666, 0, 1.09601e-07, 2.90369e-29, 1.41421, -1.09601e-07, 0, 2.90369e-29, 2.90369e-29, 2.90369e-29, 2.90369e-29, 2.90369e-29, 2.90369e-29, 2.90369e-29, 2.90369e-29, 2.90369e-29, 8.9154e-11, 2.90369e-29, 2.68139e-12, 2.90369e-29, 2.90369e-29, 1.09509e-07, 2.90369e-29, 2.90369e-29, 2.90369e-29
0.464547, 0, 1.62228e-07, 1.34382e-28, 1.41421, -1.62228e-07, 0, 1.34382e-28, 1.34382e-28, 1.34382e-28, 1.34382e-28, 1.34382e-28, 1.34382e-28, 1.34382e-28, 1.34382e-28, 1.34382e-28, 1.32521e-10, 1.34382e-28, 4.51358e-12, 1.34382e-28, 1.34382e-28, 1.62091e-07, 1.34382e-28, 1.34382e-28, 1.34382e-28
0.472433, 0, 2.38152e-07, 5.97439e-28, 1.41421, -2.38152e-07, 0, 5.97439e-28, 5.97439e-28, 5.97439e-28, 5.97439e-28, 5.97439e-28, 5.97439e-28, 5.97439e-28, 5.97439e-28, 5.97439e-28, 1.95502e-10, 5.97439e-28, 7.58247e-12, 5.97439e-28, 5.97439e-28, 2.37948e-07, 5.97439e-28, 5.97439e-28, 5.97439e-28
0.48032, 0, 3.46765e-07, 2.53783e-27, 1.41421, -3.46765e-07, 0, 2.53783e-27, 2.53783e-27, 2.53783e-27, 2.53783e-27, 2.53783e-27, 2.53783e-27, 2.53783e-27, 2.53783e-27, 2.53783e-27, 2.86301e-10, 2.53783e-27, 1.27051e-11, 2.53783e-27, 2.53783e-27, 3.46466e-07, 2.53783e-27, 2.53783e-27, 2.53783e-27
0.488207, 0, 5.00854e-07, 1.02974e-26, 1.41421, -5.00854e-07, 0, 1.02974e-26, 1.02974e-26, 1.02974e-26, 1.02974e-26, 1.02974e-26, 1.02974e-26, 1.02974e-26, 1.02974e-26, 1.02974e-26, 4.16263e-10, 1.02974e-26, 2.12199e-11, 1.02974e-26, 1.02974e-26, 5.00417e-07, 1.02974e-26, 1.02974e-26, 1.02974e-26
0.496093, 0, 7.17674e-07, 3.994e-26, 1.41421, -7.17674e-07, 0, 3.994e-26, 3.994e-26, 3.994e-26, 3.994e-26, 3.994e-26, 2.16696e-12, 3.994e-26, 3.994e-26, 3.994e-26, 6.00991e-10, 3.994e-26, 3.53049e-11, 3.994e-26, 3.994e-26, 7.17036e-07, 3.994e-26, 3.994e-26, 3.994e-26
