   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_86.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.306637, 0, 3.0057e-11, 0, 1.41421, -3.0057e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38968e-13, 0, 8.51156e-16, 0, 5.86763e-15, 0, 2.98113e-11, 0, 0, 0
0.314531, 0, 4.98827e-11, 0, 1.41421, -4.98827e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96642e-13, 0, 1.45835e-15, 0, 1.01013e-14, 0, 4.94745e-11, 0, 0, 0
0.322425, 0, 8.20976e-11, 9.66896e-44, 1.41421, -8.20976e-11, 0, 9.66896e-44, 9.66896e-44, 9.66896e-44, 9.66896e-44, 9.66896e-44, 9.66896e-44, 9.66896e-44, 9.66896e-44, 9.66896e-44, 9.66896e-44, 9.66896e-44, 6.52909e-13, 9.66896e-44, 2.48348e-15, 9.66896e-44, 1.72824e-14, 9.66896e-44, 8.14249e-11, 9.66896e-44, 9.66896e-44, 9.66896e-44
0.330318, 0, 1.34002e-10, 1.75302e-42, 1.41421, -1.34002e-10, 0, 1.75302e-42, 1.75302e-42, 1.75302e-42, 1.75302e-42, 1.75302e-42, 1.75302e-42, 1.75302e-42, 1.75302e-42, 1.75302e-42, 1.75302e-42, 1.75302e-42, 1.06593e-12, 1.75302e-42, 4.20514e-15, 1.75302e-42, 2.9395e-14, 1.75302e-42, 1.32902e-10, 1.75302e-42, 1.75302e-42, 1.75302e-42
0.338212, 0, 2.16926e-10, 2.61959e-41, 1.41421, -2.16926e-10, 0, 2.61959e-41, 2.61959e-41, 2.61959e-41, 2.61959e-41, 2.61959e-41, 2.61959e-41, 2.61959e-41, 2.61959e-41, 2.61959e-41, 2.61959e-41, 2.61959e-41, 1.72605e-12, 2.61959e-41, 7.08281e-15, 2.61959e-41, 4.97201e-14, 2.61959e-41, 2.15144e-10, 2.61959e-41, 2.61959e-41, 2.61959e-41
0.346106, 0, 3.48299e-10, 3.45356e-40, 1.41421, -3.48299e-10, 0, 3.45356e-40, 3.45356e-40, 3.45356e-40, 3.45356e-40, 3.45356e-40, 3.45356e-40, 3.45356e-40, 3.45356e-40, 3.45356e-40, 3.45356e-40, 3.45356e-40, 2.77236e-12, 3.45356e-40, 1.18725e-14, 3.45356e-40, 8.36627e-14, 3.45356e-40, 3.45431e-10, 3.45356e-40, 3.45356e-40, 3.45356e-40
0.354, 0, 5.54693e-10, 4.07562e-39, 1.41421, -5.54693e-10, 0, 4.07562e-39, 4.07562e-39, 4.07562e-39, 4.07562e-39, 4.07562e-39, 4.07562e-39, 4.07562e-39, 4.07562e-39, 4.07562e-39, 4.07562e-39, 4.07562e-39, 4.41721e-12, 4.07562e-39, 1.98156e-14, 4.07562e-39, 1.40103e-13, 4.07562e-39, 5.50116e-10, 4.07562e-39, 4.07562e-39, 4.07562e-39
0.361893, 0, 8.76263e-10, 4.33676e-38, 1.41421, -8.76263e-10, 0, 4.33676e-38, 4.33676e-38, 4.33676e-38, 4.33676e-38, 4.33676e-38, 4.33676e-38, 4.33676e-38, 4.33676e-38, 4.33676e-38, 4.33676e-38, 4.33676e-38, 6.98197e-12, 4.33676e-38, 3.29485e-14, 4.33676e-38, 2.33597e-13, 4.33676e-38, 8.69015e-10, 4.33676e-38, 4.33676e-38, 4.33676e-38
0.369787, 0, 1.37316e-09, 4.1829e-37, 1.41421, -1.37316e-09, 0, 4.1829e-37, 4.1829e-37, 4.1829e-37, 4.1829e-37, 4.1829e-37, 4.1829e-37, 4.1829e-37, 4.1829e-37, 4.1829e-37, 4.1829e-37, 4.1829e-37, 1.09489e-11, 4.1829e-37, 5.46094e-14, 4.1829e-37, 3.87958e-13, 4.1829e-37, 1.36176e-09, 4.1829e-37, 4.1829e-37, 4.1829e-37
0.377681, 0, 2.13466e-09, 3.67747e-36, 1.41421, -2.13466e-09, 0, 3.67747e-36, 3.67747e-36, 3.67747e-36, 3.67747e-36, 3.67747e-36, 3.67747e-36, 3.67747e-36, 3.67747e-36, 3.67747e-36, 3.67747e-36, 3.67747e-36, 1.70357e-11, 3.67747e-36, 9.0269e-14, 3.67747e-36, 6.42102e-13, 3.67747e-36, 2.11689e-09, 3.67747e-36, 3.67747e-36, 3.67747e-36
0.385574, 0, 3.29216e-09, 2.96197e-35, 1.41421, -3.29216e-09, 0, 2.96197e-35, 2.96197e-35, 2.96197e-35, 2.96197e-35, 2.96197e-35, 2.96197e-35, 2.96197e-35, 2.96197e-35, 2.96197e-35, 2.96197e-35, 2.96197e-35, 2.63013e-11, 2.96197e-35, 1.48895e-13, 2.96197e-35, 1.05958e-12, 2.96197e-35, 3.26465e-09, 2.96197e-35, 2.96197e-35, 2.96197e-35
0.393468, 0, 5.03737e-09, 2.19606e-34, 1.41421, -5.03737e-09, 0, 2.19606e-34, 2.19606e-34, 2.19606e-34, 2.19606e-34, 2.19606e-34, 2.19606e-34, 2.19606e-34, 2.19606e-34, 2.19606e-34, 2.19606e-34, 2.19606e-34, 4.02964e-11, 2.19606e-34, 2.45192e-13, 2.19606e-34, 1.74412e-12, 2.19606e-34, 4.99508e-09, 2.19606e-34, 2.19606e-34, 2.19606e-34
0.401362, 0, 7.64748e-09, 1.52506e-33, 1.41421, -7.64748e-09, 0, 1.52506e-33, 1.52506e-33, 1.52506e-33, 1.52506e-33, 1.52506e-33, 1.52506e-33, 1.52506e-33, 1.52506e-33, 1.52506e-33, 1.52506e-33, 1.52506e-33, 6.12725e-11, 1.52506e-33, 4.03275e-13, 1.52506e-33, 2.86501e-12, 1.52506e-33, 7.58294e-09, 1.52506e-33, 1.52506e-33, 1.52506e-33
0.409256, 0, 1.15203e-08, 2.68077e-32, 1.41421, -1.15203e-08, 0, 2.68077e-32, 2.68077e-32, 2.68077e-32, 2.68077e-32, 2.68077e-32, 2.68077e-32, 2.68077e-32, 2.68077e-32, 2.68077e-32, 2.68077e-32, 2.68077e-32, 9.24791e-11, 2.68077e-32, 6.63595e-13, 2.68077e-32, 4.70459e-12, 2.68077e-32, 1.14225e-08, 2.68077e-32, 2.68077e-32, 2.68077e-32
0.417149, 0, 1.72202e-08, 1.59278e-31, 1.41421, -1.72202e-08, 0, 1.59278e-31, 1.59278e-31, 1.59278e-31, 1.59278e-31, 1.59278e-31, 1.59278e-31, 1.59278e-31, 1.59278e-31, 1.59278e-31, 1.59278e-31, 1.59278e-31, 1.38547e-10, 1.59278e-31, 1.08964e-12, 1.59278e-31, 7.70404e-12, 1.59278e-31, 1.70728e-08, 1.59278e-31, 1.59278e-31, 1.59278e-31
0.425043, 0, 2.55434e-08, 8.94002e-31, 1.41421, -2.55434e-08, 0, 8.94002e-31, 8.94002e-31, 8.94002e-31, 8.94002e-31, 8.94002e-31, 8.94002e-31, 8.94002e-31, 8.94002e-31, 8.94002e-31, 8.94002e-31, 8.94002e-31, 2.06065e-10, 8.94002e-31, 1.78819e-12, 8.94002e-31, 1.26016e-11, 8.94002e-31, 2.5323e-08, 8.94002e-31, 8.94002e-31, 8.94002e-31
0.432937, 0, 3.76029e-08, 4.71827e-30, 1.41421, -3.76029e-08, 0, 4.71827e-30, 4.71827e-30, 4.71827e-30, 4.71827e-30, 4.71827e-30, 4.71827e-30, 4.71827e-30, 4.71827e-30, 4.71827e-30, 4.71827e-30, 4.71827e-30, 3.04314e-10, 4.71827e-30, 2.9328e-12, 4.71827e-30, 2.05919e-11, 4.71827e-30, 3.7275e-08, 4.71827e-30, 4.71827e-30, 4.71827e-30
0.440831, 0, 5.49404e-08, 2.3423e-29, 1.41421, -5.49404e-08, 0, 2.3423e-29, 2.3423e-29, 2.3423e-29, 2.3423e-29, 2.3423e-29, 2.3423e-29, 2.3423e-29, 2.3423e-29, 2.3423e-29, 2.3423e-29, 2.3423e-29, 4.46278e-10, 2.3423e-29, 4.80642e-12, 2.3423e-29, 3.36149e-11, 2.3423e-29, 5.44557e-08, 2.3423e-29, 2.3423e-29, 2.3423e-29
0.448724, 0, 7.96753e-08, 1.10254e-28, 1.41421, -7.96753e-08, 0, 1.10254e-28, 1.10254e-28, 1.10254e-28, 1.10254e-28, 1.10254e-28, 1.10254e-28, 1.10254e-28, 1.10254e-28, 1.10254e-28, 1.10254e-28, 1.10254e-28, 6.50004e-10, 1.10254e-28, 7.8688e-12, 1.10254e-28, 5.48116e-11, 1.10254e-28, 7.89626e-08, 1.10254e-28, 1.10254e-28, 1.10254e-28
0.456618, 0, 1.14696e-07, 4.92575e-28, 1.41421, -1.14696e-07, 0, 4.92575e-28, 4.92575e-28, 4.92575e-28, 4.92575e-28, 4.92575e-28, 4.92575e-28, 4.92575e-28, 4.92575e-28, 4.92575e-28, 4.92575e-28, 4.92575e-28, 9.40408e-10, 4.92575e-28, 1.28642e-11, 4.92575e-28, 8.92498e-11, 4.92575e-28, 1.13654e-07, 4.92575e-28, 4.92575e-28, 4.92575e-28
0.464512, 0, 1.63909e-07, 2.09078e-27, 1.41421, -1.63909e-07, 0, 2.09078e-27, 2.09078e-27, 2.09078e-27, 2.09078e-27, 2.09078e-27, 2.09078e-27, 2.09078e-27, 2.09078e-27, 2.09078e-27, 2.09078e-27, 2.09078e-27, 1.35167e-09, 2.09078e-27, 2.09914e-11, 2.09078e-27, 1.45068e-10, 2.09078e-27, 1.62391e-07, 2.09078e-27, 2.09078e-27, 2.09078e-27
0.472405, 0, 2.32553e-07, 8.44857e-27, 1.41421, -2.32553e-07, 0, 8.44857e-27, 8.44857e-27, 8.44857e-27, 8.44857e-27, 8.44857e-27, 8.44857e-27, 8.44857e-27, 8.44857e-27, 8.44857e-27, 8.44857e-27, 8.44857e-27, 1.93041e-09, 8.44857e-27, 3.41717e-11, 8.44857e-27, 2.35262e-10, 8.44857e-27, 2.30353e-07, 8.44857e-27, 8.44857e-27, 8.44857e-27
0.480299, 0, 3.27602e-07, 3.25731e-26, 1.41421, -3.27602e-07, 0, 3.25731e-26, 3.25731e-26, 3.25731e-26, 3.25731e-26, 3.25731e-26, 3.25731e-26, 3.25731e-26, 3.25731e-26, 2.76561e-12, 3.25731e-26, 3.25731e-26, 2.73976e-09, 3.25731e-26, 5.54649e-11, 3.25731e-26, 3.80455e-10, 3.25731e-26, 3.24423e-07, 3.25731e-26, 3.25731e-26, 3.25731e-26
