   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.361467, 0, 1.42449e-09, 7.21112e-38, 1.41421, -1.42449e-09, 0, 7.21112e-38, 7.21112e-38, 7.21112e-38, 7.21112e-38, 7.21112e-38, 7.21112e-38, 7.21112e-38, 7.21112e-38, 7.21112e-38, 7.21112e-38, 2.81697e-12, 7.21112e-38, 7.21112e-38, 5.45429e-15, 7.21112e-38, 7.21112e-38, 1.42167e-09, 7.21112e-38, 7.21112e-38, 7.21112e-38
0.369371, 0, 2.22654e-09, 6.96208e-37, 1.41421, -2.22654e-09, 0, 6.96208e-37, 6.96208e-37, 6.96208e-37, 6.96208e-37, 6.96208e-37, 6.96208e-37, 6.96208e-37, 6.96208e-37, 6.96208e-37, 6.96208e-37, 4.40615e-12, 6.96208e-37, 6.96208e-37, 9.02499e-15, 6.96208e-37, 6.96208e-37, 2.22212e-09, 6.96208e-37, 6.96208e-37, 6.96208e-37
0.377276, 0, 3.45273e-09, 2.02007e-35, 1.41421, -3.45273e-09, 0, 2.02007e-35, 2.02007e-35, 2.02007e-35, 2.02007e-35, 2.02007e-35, 2.02007e-35, 2.02007e-35, 2.02007e-35, 2.02007e-35, 2.02007e-35, 6.83877e-12, 2.02007e-35, 2.02007e-35, 1.49194e-14, 2.02007e-35, 2.02007e-35, 3.44588e-09, 2.02007e-35, 2.02007e-35, 2.02007e-35
0.38518, 0, 5.31136e-09, 1.50525e-34, 1.41421, -5.31136e-09, 0, 1.50525e-34, 1.50525e-34, 1.50525e-34, 1.50525e-34, 1.50525e-34, 1.50525e-34, 1.50525e-34, 1.50525e-34, 1.50525e-34, 1.50525e-34, 1.05313e-11, 1.50525e-34, 1.50525e-34, 2.45708e-14, 1.50525e-34, 1.50525e-34, 5.3008e-09, 1.50525e-34, 1.50525e-34, 1.50525e-34
0.393085, 0, 8.10629e-09, 1.04953e-33, 1.41421, -8.10629e-09, 0, 1.04953e-33, 1.04953e-33, 1.04953e-33, 1.04953e-33, 1.04953e-33, 1.04953e-33, 1.04953e-33, 1.04953e-33, 1.04953e-33, 1.04953e-33, 1.60937e-11, 1.04953e-33, 1.04953e-33, 4.04014e-14, 1.04953e-33, 1.04953e-33, 8.09016e-09, 1.04953e-33, 1.04953e-33, 1.04953e-33
0.400989, 0, 1.22755e-08, 6.24502e-33, 1.41421, -1.22755e-08, 0, 6.24502e-33, 6.24502e-33, 6.24502e-33, 6.24502e-33, 6.24502e-33, 6.24502e-33, 6.24502e-33, 6.24502e-33, 6.24502e-33, 6.24502e-33, 2.44087e-11, 6.24502e-33, 6.24502e-33, 6.63533e-14, 6.24502e-33, 6.24502e-33, 1.2251e-08, 6.24502e-33, 6.24502e-33, 6.24502e-33
0.408894, 0, 1.84448e-08, 3.77965e-32, 1.41421, -1.84448e-08, 0, 3.77965e-32, 3.77965e-32, 3.77965e-32, 3.77965e-32, 3.77965e-32, 3.77965e-32, 3.77965e-32, 3.77965e-32, 3.77965e-32, 3.77965e-32, 3.67443e-11, 3.77965e-32, 3.77965e-32, 1.08882e-13, 3.77965e-32, 3.77965e-32, 1.8408e-08, 3.77965e-32, 3.77965e-32, 3.77965e-32
0.416798, 0, 2.75018e-08, 2.04215e-31, 1.41421, -2.75018e-08, 0, 2.04215e-31, 2.04215e-31, 2.04215e-31, 2.04215e-31, 2.04215e-31, 2.04215e-31, 2.04215e-31, 2.04215e-31, 2.04215e-31, 2.04215e-31, 5.49087e-11, 2.04215e-31, 2.04215e-31, 1.78556e-13, 2.04215e-31, 2.04215e-31, 2.74467e-08, 2.04215e-31, 2.04215e-31, 2.04215e-31
0.424702, 0, 4.06934e-08, 1.08141e-30, 1.41421, -4.06934e-08, 0, 1.08141e-30, 1.08141e-30, 1.08141e-30, 1.08141e-30, 1.08141e-30, 1.08141e-30, 1.08141e-30, 1.08141e-30, 1.08141e-30, 1.08141e-30, 8.14607e-11, 1.08141e-30, 1.08141e-30, 2.92652e-13, 1.08141e-30, 1.08141e-30, 4.06116e-08, 1.08141e-30, 1.08141e-30, 1.08141e-30
0.432607, 0, 5.97573e-08, 5.46718e-30, 1.41421, -5.97573e-08, 0, 5.46718e-30, 5.46718e-30, 5.46718e-30, 5.46718e-30, 5.46718e-30, 5.46718e-30, 5.46718e-30, 5.46718e-30, 5.46718e-30, 5.46718e-30, 1.19995e-10, 5.46718e-30, 5.46718e-30, 4.79369e-13, 5.46718e-30, 5.46718e-30, 5.96368e-08, 5.46718e-30, 5.46718e-30, 5.46718e-30
