   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_74.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.526337, 0, 1.66053e-06, 2.7239e-09, 1.41421, -1.66053e-06, 3.40238e-09, 2.7239e-09, 2.72394e-09, 1.33296e-08, 3.00814e-09, 3.12242e-09, 3.31071e-09, 4.77532e-09, 2.78385e-09, 1.60817e-08, 4.50425e-09, 2.75683e-09, 2.77441e-09, 2.7239e-09, 2.72392e-09, 1.63064e-06, 2.7239e-09, 2.7239e-09
0.534235, 0, 2.27004e-06, 6.45677e-09, 1.41421, -2.27004e-06, 8.06132e-09, 6.45677e-09, 6.45686e-09, 3.15385e-08, 7.12899e-09, 7.39926e-09, 7.82071e-09, 1.13082e-08, 6.59857e-09, 3.80469e-08, 8.88989e-09, 6.53467e-09, 6.57623e-09, 6.45677e-09, 6.45683e-09, 2.20117e-06, 6.45677e-09, 6.45677e-09
0.542133, 0, 3.11117e-06, 1.47828e-08, 1.41421, -3.11117e-06, 1.84501e-08, 1.47828e-08, 1.4783e-08, 7.21082e-08, 1.63192e-08, 1.69369e-08, 1.78973e-08, 2.5871e-08, 1.51069e-08, 8.69835e-08, 1.80899e-08, 1.49608e-08, 1.50558e-08, 1.47828e-08, 1.4783e-08, 2.956e-06, 1.47828e-08, 1.47828e-08
0.550031, 0, 4.29514e-06, 3.28885e-08, 1.41421, -4.29514e-06, 4.10361e-08, 3.28885e-08, 3.2889e-08, 1.60248e-07, 3.63019e-08, 3.76743e-08, 4.01819e-08, 5.75232e-08, 3.36085e-08, 1.93297e-07, 3.73594e-08, 3.32841e-08, 3.34951e-08, 3.28885e-08, 3.28888e-08, 3.9529e-06, 3.28885e-08, 3.28885e-08
0.557929, 0, 6.01211e-06, 7.12877e-08, 1.41421, -6.01211e-06, 8.89266e-08, 7.12877e-08, 7.12887e-08, 3.47012e-07, 7.86774e-08, 8.16485e-08, 9.13388e-08, 1.2462e-07, 7.28464e-08, 4.18559e-07, 7.72995e-08, 7.2144e-08, 7.26009e-08, 7.12877e-08, 7.12883e-08, 5.2706e-06, 7.12877e-08, 7.12877e-08
0.565827, 0, 8.58732e-06, 1.50732e-07, 1.41421, -8.58732e-06, 1.87985e-07, 1.50732e-07, 1.50734e-07, 7.33059e-07, 1.66339e-07, 1.72614e-07, 1.98938e-07, 2.63369e-07, 1.54024e-07, 8.84167e-07, 1.58773e-07, 1.5254e-07, 1.53505e-07, 1.50732e-07, 1.50733e-07, 7.02005e-06, 1.50732e-07, 1.50732e-07
0.573725, 0, 1.25983e-05, 3.11095e-07, 1.41421, -1.25983e-05, 3.87894e-07, 3.11095e-07, 3.11099e-07, 1.51159e-06, 3.43269e-07, 3.56206e-07, 4.20226e-07, 5.43303e-07, 3.17881e-07, 1.82311e-06, 3.21795e-07, 3.14823e-07, 3.16812e-07, 3.11095e-07, 3.11098e-07, 9.36338e-06, 3.11095e-07, 3.11095e-07
0.581623, 0, 1.90688e-05, 6.2697e-07, 1.41421, -1.90688e-05, 7.81568e-07, 6.2697e-07, 6.26979e-07, 3.04359e-06, 6.91738e-07, 7.17779e-07, 8.65033e-07, 1.09441e-06, 6.40632e-07, 3.67068e-06, 6.41135e-07, 6.34475e-07, 6.3848e-07, 6.2697e-07, 6.26976e-07, 1.2546e-05, 6.2697e-07, 6.2697e-07
0.589521, 0, 2.98046e-05, 1.23418e-06, 1.41421, -2.98046e-05, 1.53814e-06, 1.23418e-06, 1.2342e-06, 5.98547e-06, 1.36152e-06, 1.41272e-06, 1.74114e-06, 2.15321e-06, 1.26104e-06, 7.21838e-06, 1.25284e-06, 1.24894e-06, 1.25681e-06, 1.23418e-06, 1.23419e-06, 1.69504e-05, 1.23418e-06, 1.23418e-06
0.597419, 0, 4.79411e-05, 2.37348e-06, 1.41421, -4.79411e-05, 2.95726e-06, 2.37348e-06, 2.37351e-06, 1.1499e-05, 2.61805e-06, 2.71638e-06, 3.42686e-06, 4.13858e-06, 2.42506e-06, 1.38669e-05, 2.39793e-06, 2.40182e-06, 2.41694e-06, 2.37348e-06, 2.3735e-06, 2.31845e-05, 2.37348e-06, 2.37348e-06
