   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_129.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.267402, 0, 1.19235e-14, 0, 1.41421, -1.19235e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54111e-17, 0, 0, 1.15953e-19, 0, 8.74044e-20, 0, 1.18379e-14, 0, 0, 0
0.27529, 0, 2.50869e-14, 0, 1.41421, -2.50869e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79703e-16, 0, 0, 2.48106e-19, 0, 1.87353e-19, 0, 2.49068e-14, 0, 0, 0
0.283179, 0, 5.20928e-14, 0, 1.41421, -5.20928e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73149e-16, 0, 0, 5.24216e-19, 0, 3.96484e-19, 0, 5.17187e-14, 0, 0, 0
0.291067, 0, 1.06778e-13, 0, 1.41421, -1.06778e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.6486e-16, 0, 0, 1.09403e-18, 0, 8.28609e-19, 0, 1.06011e-13, 0, 0, 0
0.298955, 0, 2.16094e-13, 0, 1.41421, -2.16094e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54789e-15, 0, 0, 2.25579e-18, 0, 1.71059e-18, 0, 2.14542e-13, 0, 0, 0
0.306844, 0, 4.31849e-13, 0, 1.41421, -4.31849e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09331e-15, 0, 0, 4.59641e-18, 0, 3.48914e-18, 0, 4.28747e-13, 0, 0, 0
0.314732, 0, 8.5236e-13, 0, 1.41421, -8.5236e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10535e-15, 0, 0, 9.25769e-18, 0, 7.03354e-18, 0, 8.46239e-13, 0, 0, 0
0.322621, 0, 1.66178e-12, 0, 1.41421, -1.66178e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19031e-14, 0, 0, 1.84356e-17, 0, 1.40155e-17, 0, 1.64985e-12, 0, 0, 0
0.330509, 0, 3.20074e-12, 0, 1.41421, -3.20074e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29262e-14, 0, 0, 3.63082e-17, 0, 2.76137e-17, 0, 3.17775e-12, 0, 0, 0
0.338397, 0, 6.09116e-12, 0, 1.41421, -6.09116e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36297e-14, 0, 0, 7.07416e-17, 0, 5.38073e-17, 0, 6.0474e-12, 0, 0, 0
0.346286, 0, 1.14545e-11, 0, 1.41421, -1.14545e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.20467e-14, 0, 0, 1.364e-16, 0, 1.0372e-16, 0, 1.13722e-11, 0, 0, 0
0.354174, 0, 2.12874e-11, 0, 1.41421, -2.12874e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52482e-13, 0, 0, 2.60368e-16, 0, 1.97832e-16, 0, 2.11344e-11, 0, 0, 0
0.362063, 0, 3.91009e-11, 2.41023e-43, 1.41421, -3.91009e-11, 0, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.80093e-13, 2.41023e-43, 2.41023e-43, 4.92244e-16, 2.41023e-43, 3.73488e-16, 2.41023e-43, 3.88199e-11, 2.41023e-43, 2.41023e-43, 2.41023e-43
0.369951, 0, 7.09922e-11, 4.47294e-42, 1.41421, -7.09922e-11, 0, 4.47294e-42, 4.47294e-42, 4.47294e-42, 4.47294e-42, 4.47294e-42, 4.47294e-42, 4.47294e-42, 4.47294e-42, 4.47294e-42, 4.47294e-42, 5.08576e-13, 4.47294e-42, 4.47294e-42, 9.22178e-16, 4.47294e-42, 6.98142e-16, 4.47294e-42, 7.04821e-11, 4.47294e-42, 4.47294e-42, 4.47294e-42
0.377839, 0, 1.27419e-10, 6.82152e-41, 1.41421, -1.27419e-10, 0, 6.82152e-41, 6.82152e-41, 6.82152e-41, 6.82152e-41, 6.82152e-41, 6.82152e-41, 6.82152e-41, 6.82152e-41, 6.82152e-41, 6.82152e-41, 9.12904e-13, 6.82152e-41, 6.82152e-41, 1.7129e-15, 6.82152e-41, 1.29258e-15, 6.82152e-41, 1.26503e-10, 6.82152e-41, 6.82152e-41, 6.82152e-41
