   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_261.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.206332, 0, 2.84399e-15, 0, 1.41421, -2.84399e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.69464e-18, 0, 2.23428e-20, 0, 7.85073e-20, 0, 2.83519e-15, 0, 0, 0
0.214214, 0, 5.58513e-15, 0, 1.41421, -5.58513e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70748e-17, 0, 4.46847e-20, 0, 1.56928e-19, 0, 5.56786e-15, 0, 0, 0
0.222097, 0, 1.08543e-14, 0, 1.41421, -1.08543e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31837e-17, 0, 8.84752e-20, 0, 3.10576e-19, 0, 1.08208e-14, 0, 0, 0
0.229979, 0, 2.08786e-14, 0, 1.41421, -2.08786e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38296e-17, 0, 1.73459e-19, 0, 6.08697e-19, 0, 2.0814e-14, 0, 0, 0
0.237861, 0, 3.97547e-14, 0, 1.41421, -3.97547e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21536e-16, 0, 3.36783e-19, 0, 1.18163e-18, 0, 3.96316e-14, 0, 0, 0
0.245743, 0, 7.49403e-14, 0, 1.41421, -7.49403e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29103e-16, 0, 6.47703e-19, 0, 2.27245e-18, 0, 7.47083e-14, 0, 0, 0
0.253626, 0, 1.39874e-13, 0, 1.41421, -1.39874e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27612e-16, 0, 1.23409e-18, 0, 4.33028e-18, 0, 1.39441e-13, 0, 0, 0
0.261508, 0, 2.59081e-13, 0, 1.41421, -2.59081e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.92045e-16, 0, 2.33858e-18, 0, 8.20892e-18, 0, 2.58279e-13, 0, 0, 0
0.26939, 0, 4.74064e-13, 0, 1.41421, -4.74064e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44928e-15, 0, 4.37366e-18, 0, 1.53591e-17, 0, 4.72595e-13, 0, 0, 0
0.277272, 0, 8.59174e-13, 0, 1.41421, -8.59174e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62662e-15, 0, 8.10819e-18, 0, 2.84916e-17, 0, 8.5651e-13, 0, 0, 0
0.285155, 0, 1.5424e-12, 0, 1.41421, -1.5424e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71539e-15, 0, 1.49028e-17, 0, 5.24082e-17, 0, 1.53762e-12, 0, 0, 0
0.293037, 0, 2.74298e-12, 0, 1.41421, -2.74298e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3859e-15, 0, 2.71623e-17, 0, 9.56081e-17, 0, 2.73447e-12, 0, 0, 0
0.300919, 0, 4.83267e-12, 0, 1.41421, -4.83267e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47749e-14, 0, 4.91048e-17, 0, 1.73016e-16, 0, 4.81767e-12, 0, 0, 0
0.308801, 0, 8.43559e-12, 0, 1.41421, -8.43559e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57912e-14, 0, 8.80744e-17, 0, 3.10638e-16, 0, 8.4094e-12, 0, 0, 0
0.316684, 0, 1.45894e-11, 0, 1.41421, -1.45894e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46088e-14, 0, 1.56775e-16, 0, 5.53479e-16, 0, 1.45441e-11, 0, 0, 0
0.324566, 0, 2.50023e-11, 0, 1.41421, -2.50023e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64536e-14, 0, 2.77042e-16, 0, 9.78882e-16, 0, 2.49246e-11, 0, 0, 0
0.332448, 0, 4.24588e-11, 1.61149e-43, 1.41421, -4.24588e-11, 0, 1.61149e-43, 1.61149e-43, 1.61149e-43, 1.61149e-43, 1.61149e-43, 1.61149e-43, 1.61149e-43, 1.61149e-43, 1.61149e-43, 1.61149e-43, 1.29848e-13, 1.61149e-43, 4.8621e-16, 1.61149e-43, 1.71895e-15, 1.61149e-43, 4.23268e-11, 1.61149e-43, 1.61149e-43, 1.61149e-43
0.34033, 0, 7.14536e-11, 2.82222e-42, 1.41421, -7.14536e-11, 0, 2.82222e-42, 2.82222e-42, 2.82222e-42, 2.82222e-42, 2.82222e-42, 2.82222e-42, 2.82222e-42, 2.82222e-42, 2.82222e-42, 2.82222e-42, 2.18553e-13, 2.82222e-42, 8.47792e-16, 2.82222e-42, 2.99796e-15, 2.82222e-42, 7.12312e-11, 2.82222e-42, 2.82222e-42, 2.82222e-42
0.348213, 0, 1.19171e-10, 4.11281e-41, 1.41421, -1.19171e-10, 0, 4.11281e-41, 4.11281e-41, 4.11281e-41, 4.11281e-41, 4.11281e-41, 4.11281e-41, 4.11281e-41, 4.11281e-41, 4.11281e-41, 4.11281e-41, 3.64581e-13, 4.11281e-41, 1.46942e-15, 4.11281e-41, 5.19479e-15, 4.11281e-41, 1.188e-10, 4.11281e-41, 4.11281e-41, 4.11281e-41
0.356095, 0, 1.96986e-10, 5.2973e-40, 1.41421, -1.96986e-10, 0, 5.2973e-40, 5.2973e-40, 5.2973e-40, 5.2973e-40, 5.2973e-40, 5.2973e-40, 5.2973e-40, 5.2973e-40, 5.2973e-40, 5.2973e-40, 6.028e-13, 5.2973e-40, 2.53293e-15, 5.2973e-40, 8.94661e-15, 5.2973e-40, 1.96372e-10, 5.2973e-40, 5.2973e-40, 5.2973e-40
0.363977, 0, 3.22729e-10, 6.10992e-39, 1.41421, -3.22729e-10, 0, 6.10992e-39, 6.10992e-39, 6.10992e-39, 6.10992e-39, 6.10992e-39, 6.10992e-39, 6.10992e-39, 6.10992e-39, 6.10992e-39, 6.10992e-39, 9.87924e-13, 6.10992e-39, 4.34467e-15, 6.10992e-39, 1.53207e-14, 6.10992e-39, 3.21721e-10, 6.10992e-39, 6.10992e-39, 6.10992e-39
0.371859, 0, 5.24086e-10, 6.36353e-38, 1.41421, -5.24086e-10, 0, 6.36353e-38, 6.36353e-38, 6.36353e-38, 6.36353e-38, 6.36353e-38, 6.36353e-38, 6.36353e-38, 6.36353e-38, 6.36353e-38, 6.36353e-38, 1.60501e-12, 6.36353e-38, 7.42014e-15, 6.36353e-38, 2.60998e-14, 6.36353e-38, 5.22447e-10, 6.36353e-38, 6.36353e-38, 6.36353e-38
0.379742, 0, 8.43629e-10, 6.01785e-37, 1.41421, -8.43629e-10, 0, 6.01785e-37, 6.01785e-37, 6.01785e-37, 6.01785e-37, 6.01785e-37, 6.01785e-37, 6.01785e-37, 6.01785e-37, 6.01785e-37, 6.01785e-37, 2.58505e-12, 6.01785e-37, 1.26257e-14, 6.01785e-37, 4.42545e-14, 6.01785e-37, 8.40988e-10, 6.01785e-37, 6.01785e-37, 6.01785e-37
0.387624, 0, 1.3462e-09, 5.1979e-36, 1.41421, -1.3462e-09, 0, 5.1979e-36, 5.1979e-36, 5.1979e-36, 5.1979e-36, 5.1979e-36, 5.1979e-36, 5.1979e-36, 5.1979e-36, 5.1979e-36, 5.1979e-36, 4.12789e-12, 5.1979e-36, 2.1417e-14, 5.1979e-36, 7.47272e-14, 5.1979e-36, 1.34197e-09, 5.1979e-36, 5.1979e-36, 5.1979e-36
0.395506, 0, 2.12961e-09, 4.11919e-35, 1.41421, -2.12961e-09, 0, 4.11919e-35, 4.11919e-35, 4.11919e-35, 4.11919e-35, 4.11919e-35, 4.11919e-35, 4.11919e-35, 4.11919e-35, 4.11919e-35, 4.11919e-35, 6.53576e-12, 4.11919e-35, 3.62398e-14, 4.11919e-35, 1.25735e-13, 4.11919e-35, 2.12291e-09, 4.11919e-35, 4.11919e-35, 4.11919e-35
0.403388, 0, 3.34001e-09, 3.00906e-34, 1.41421, -3.34001e-09, 0, 3.00906e-34, 3.00906e-34, 3.00906e-34, 3.00906e-34, 3.00906e-34, 3.00906e-34, 3.00906e-34, 3.00906e-34, 3.00906e-34, 3.00906e-34, 1.02615e-11, 3.00906e-34, 6.12046e-14, 3.00906e-34, 2.10939e-13, 3.00906e-34, 3.32948e-09, 3.00906e-34, 3.00906e-34, 3.00906e-34
0.411271, 0, 5.19372e-09, 2.08978e-33, 1.41421, -5.19372e-09, 0, 2.08978e-33, 2.08978e-33, 2.08978e-33, 2.08978e-33, 2.08978e-33, 2.08978e-33, 2.08978e-33, 2.08978e-33, 2.08978e-33, 2.08978e-33, 1.59776e-11, 2.08978e-33, 1.0322e-13, 2.08978e-33, 3.53045e-13, 2.08978e-33, 5.17729e-09, 2.08978e-33, 2.08978e-33, 2.08978e-33
0.419153, 0, 8.00792e-09, 1.31699e-32, 1.41421, -8.00792e-09, 0, 1.31699e-32, 1.31699e-32, 1.31699e-32, 1.31699e-32, 1.31699e-32, 1.31699e-32, 1.31699e-32, 1.31699e-32, 1.31699e-32, 1.31699e-32, 2.46747e-11, 1.31699e-32, 1.73896e-13, 1.31699e-32, 5.89828e-13, 1.31699e-32, 7.98248e-09, 1.31699e-32, 1.31699e-32, 1.31699e-32
0.427035, 0, 1.22433e-08, 8.13676e-32, 1.41421, -1.22433e-08, 0, 8.13676e-32, 8.13676e-32, 8.13676e-32, 8.13676e-32, 8.13676e-32, 8.13676e-32, 8.13676e-32, 8.13676e-32, 8.13676e-32, 8.13676e-32, 3.77984e-11, 8.13676e-32, 2.92735e-13, 8.13676e-32, 9.84148e-13, 8.13676e-32, 1.22042e-08, 8.13676e-32, 8.13676e-32, 8.13676e-32
0.434917, 0, 1.85629e-08, 4.5683e-31, 1.41421, -1.85629e-08, 0, 4.5683e-31, 4.5683e-31, 4.5683e-31, 4.5683e-31, 4.5683e-31, 4.5683e-31, 4.5683e-31, 4.5683e-31, 4.5683e-31, 4.5683e-31, 5.74427e-11, 4.5683e-31, 4.92455e-13, 4.5683e-31, 1.64064e-12, 4.5683e-31, 1.85033e-08, 4.5683e-31, 4.5683e-31, 4.5683e-31
0.4428, 0, 2.79119e-08, 2.46253e-30, 1.41421, -2.79119e-08, 0, 2.46253e-30, 2.46253e-30, 2.46253e-30, 2.46253e-30, 2.46253e-30, 2.46253e-30, 2.46253e-30, 2.46253e-30, 2.46253e-30, 2.46253e-30, 8.66149e-11, 2.46253e-30, 8.27832e-13, 2.46253e-30, 2.73341e-12, 2.46253e-30, 2.78217e-08, 2.46253e-30, 2.46253e-30, 2.46253e-30
0.450682, 0, 4.16259e-08, 1.2572e-29, 1.41421, -4.16259e-08, 0, 1.2572e-29, 1.2572e-29, 1.2572e-29, 1.2572e-29, 1.2572e-29, 1.2572e-29, 1.2572e-29, 1.2572e-29, 1.2572e-29, 1.2572e-29, 1.296e-10, 1.2572e-29, 1.39031e-12, 1.2572e-29, 4.55189e-12, 1.2572e-29, 4.14903e-08, 1.2572e-29, 1.2572e-29, 1.2572e-29
0.458564, 0, 6.15746e-08, 6.06008e-29, 1.41421, -6.15746e-08, 0, 6.06008e-29, 6.06008e-29, 6.06008e-29, 6.06008e-29, 6.06008e-29, 6.06008e-29, 6.06008e-29, 6.06008e-29, 6.06008e-29, 6.06008e-29, 1.92461e-10, 6.06008e-29, 2.332e-12, 6.06008e-29, 7.57633e-12, 6.06008e-29, 6.13723e-08, 6.06008e-29, 6.06008e-29, 6.06008e-29
0.466446, 0, 9.03522e-08, 2.80044e-28, 1.41421, -9.03522e-08, 0, 2.80044e-28, 2.80044e-28, 2.80044e-28, 2.80044e-28, 2.80044e-28, 2.80044e-28, 2.80044e-28, 2.80044e-28, 2.80044e-28, 2.80044e-28, 2.83705e-10, 2.80044e-28, 3.90473e-12, 2.80044e-28, 1.26011e-11, 2.80044e-28, 9.0052e-08, 2.80044e-28, 2.80044e-28, 2.80044e-28
0.474329, 0, 1.31526e-07, 1.23407e-27, 1.41421, -1.31526e-07, 0, 1.23407e-27, 1.23407e-27, 1.23407e-27, 1.23407e-27, 1.23407e-27, 1.23407e-27, 1.23407e-27, 1.23407e-27, 1.23407e-27, 1.23407e-27, 4.15195e-10, 1.23407e-27, 6.52324e-12, 1.23407e-27, 2.09354e-11, 1.23407e-27, 1.31084e-07, 1.23407e-27, 1.23407e-27, 1.23407e-27
0.482211, 0, 1.89959e-07, 5.17915e-27, 1.41421, -1.89959e-07, 0, 5.17915e-27, 5.17915e-27, 5.17915e-27, 5.17915e-27, 5.17915e-27, 5.17915e-27, 5.17915e-27, 5.17915e-27, 5.17915e-27, 5.17915e-27, 6.03351e-10, 5.17915e-27, 1.08663e-11, 5.17915e-27, 3.47247e-11, 5.17915e-27, 1.8931e-07, 5.17915e-27, 5.17915e-27, 5.17915e-27
0.490093, 0, 2.72221e-07, 2.07293e-26, 1.41421, -2.72221e-07, 0, 2.07293e-26, 2.07293e-26, 2.07293e-26, 2.07293e-26, 2.07293e-26, 2.07293e-26, 2.07293e-26, 2.07293e-26, 2.07293e-26, 2.07293e-26, 8.70749e-10, 2.07293e-26, 1.80372e-11, 2.07293e-26, 5.74642e-11, 2.07293e-26, 2.71274e-07, 2.07293e-26, 2.07293e-26, 2.07293e-26
0.497975, 0, 3.87114e-07, 7.92591e-26, 1.41421, -3.87114e-07, 0, 7.92591e-26, 7.92591e-26, 7.92591e-26, 7.92591e-26, 7.92591e-26, 7.92591e-26, 7.92591e-26, 2.56796e-12, 7.92591e-26, 7.92591e-26, 1.24823e-09, 7.92591e-26, 2.98164e-11, 7.92591e-26, 9.48054e-11, 7.92591e-26, 3.85739e-07, 7.92591e-26, 7.92591e-26, 7.92591e-26
0.505858, 0, 5.46331e-07, 2.90092e-25, 1.41421, -5.46331e-07, 0, 2.90092e-25, 2.90092e-25, 2.90092e-25, 2.90092e-25, 2.90092e-25, 2.90092e-25, 2.90092e-25, 9.05552e-12, 2.90092e-25, 2.90092e-25, 1.77765e-09, 2.90092e-25, 4.9054e-11, 2.90092e-25, 1.55812e-10, 2.90092e-25, 5.4434e-07, 2.90092e-25, 2.90092e-25, 2.90092e-25
0.51374, 0, 7.65266e-07, 1.0261e-24, 1.41421, -7.65266e-07, 0, 1.0261e-24, 1.0261e-24, 1.0261e-24, 1.0261e-24, 1.0261e-24, 1.0261e-24, 1.0261e-24, 2.48745e-11, 1.0261e-24, 1.0261e-24, 2.51543e-09, 1.0261e-24, 8.02742e-11, 1.0261e-24, 2.54881e-10, 1.0261e-24, 7.6239e-07, 1.0261e-24, 1.0261e-24, 1.0261e-24
0.521622, 0, 1.06907e-06, 4.35778e-10, 1.41421, -1.06907e-06, 4.35778e-10, 4.35797e-10, 4.3583e-10, 4.35799e-10, 1.06686e-09, 4.50202e-10, 4.53033e-10, 4.36113e-10, 6.19333e-10, 2.06024e-09, 2.41437e-09, 3.97306e-09, 4.40264e-10, 5.66375e-10, 4.35848e-10, 8.50437e-10, 4.35783e-10, 1.06049e-06, 4.35778e-10, 4.35778e-10, 4.77446e-10
0.529504, 0, 1.48637e-06, 1.51209e-09, 1.41421, -1.48637e-06, 1.51209e-09, 1.51216e-09, 1.51227e-09, 1.51216e-09, 3.72462e-09, 1.56266e-09, 1.57259e-09, 1.51326e-09, 2.08557e-09, 7.20732e-09, 8.44888e-09, 6.456e-09, 1.52782e-09, 1.72326e-09, 1.51389e-09, 2.18249e-09, 1.51211e-09, 1.46485e-06, 1.51209e-09, 1.51209e-09, 1.65817e-09
0.537387, 0, 2.0637e-06, 4.27691e-09, 1.41421, -2.0637e-06, 4.27691e-09, 4.2771e-09, 4.27742e-09, 4.27711e-09, 1.05909e-08, 4.42121e-09, 4.44954e-09, 4.28026e-09, 5.83228e-09, 2.05295e-08, 2.40725e-08, 1.11455e-08, 4.32179e-09, 4.61612e-09, 4.2839e-09, 5.35328e-09, 4.27695e-09, 2.01071e-06, 4.27691e-09, 4.27691e-09, 4.69379e-09
0.545269, 0, 2.86287e-06, 1.03697e-08, 1.41421, -2.86287e-06, 1.03697e-08, 1.03702e-08, 1.0371e-08, 1.03702e-08, 2.57136e-08, 1.07204e-08, 1.07893e-08, 1.03779e-08, 1.40785e-08, 4.9866e-08, 5.84762e-08, 1.9856e-08, 1.04788e-08, 1.09107e-08, 1.03879e-08, 1.20846e-08, 1.03699e-08, 2.74255e-06, 1.03697e-08, 1.03697e-08, 1.13828e-08
0.553151, 0, 3.99288e-06, 2.42954e-08, 1.41421, -3.99288e-06, 2.42954e-08, 2.42964e-08, 2.42983e-08, 2.42965e-08, 6.03029e-08, 2.51183e-08, 2.52799e-08, 2.43145e-08, 3.33535e-08, 1.16981e-07, 1.37187e-07, 3.73209e-08, 2.45513e-08, 2.51518e-08, 2.43399e-08, 2.70079e-08, 2.42956e-08, 3.72113e-06, 2.42954e-08, 2.42954e-08, 2.66728e-08
0.561033, 0, 5.63382e-06, 5.52838e-08, 1.41421, -5.63382e-06, 5.52838e-08, 5.52862e-08, 5.52905e-08, 5.52864e-08, 1.37326e-07, 5.71588e-08, 5.75269e-08, 5.53273e-08, 7.67694e-08, 2.66467e-07, 3.12505e-07, 7.30668e-08, 5.58669e-08, 5.66294e-08, 5.5389e-08, 5.9535e-08, 5.52844e-08, 5.02823e-06, 5.52838e-08, 5.52838e-08, 6.07007e-08
0.568916, 0, 8.11296e-06, 1.22433e-07, 1.41421, -8.11296e-06, 1.22433e-07, 1.22438e-07, 1.22448e-07, 1.22439e-07, 3.04342e-07, 1.2659e-07, 1.27406e-07, 1.22529e-07, 1.81268e-07, 5.90682e-07, 6.9276e-07, 1.46573e-07, 1.23726e-07, 1.24531e-07, 1.22674e-07, 1.29036e-07, 1.22434e-07, 6.778e-06, 1.22433e-07, 1.22433e-07, 1.34443e-07
0.576798, 0, 1.20103e-05, 2.64137e-07, 1.41421, -1.20103e-05, 2.64137e-07, 2.64148e-07, 2.64169e-07, 2.64149e-07, 6.57045e-07, 2.73117e-07, 2.74879e-07, 2.64345e-07, 4.07169e-07, 1.27551e-06, 1.49599e-06, 2.96725e-07, 2.6693e-07, 2.67383e-07, 2.64673e-07, 2.74301e-07, 2.6414e-07, 9.13586e-06, 2.64137e-07, 2.64137e-07, 2.90079e-07
0.58468, 0, 1.8398e-05, 5.5541e-07, 1.41421, -1.8398e-05, 5.5541e-07, 5.55435e-07, 5.55478e-07, 5.55437e-07, 1.38256e-06, 5.74314e-07, 5.78026e-07, 5.55849e-07, 8.84418e-07, 2.68456e-06, 3.14871e-06, 5.99159e-07, 5.6129e-07, 5.60395e-07, 5.56574e-07, 5.70909e-07, 5.55416e-07, 1.23514e-05, 5.5541e-07, 5.5541e-07, 6.10023e-07
0.592562, 0, 2.92386e-05, 1.13861e-06, 1.41421, -2.92386e-05, 1.13861e-06, 1.13866e-06, 1.13875e-06, 1.13867e-06, 2.83635e-06, 1.17741e-06, 1.18503e-06, 1.13951e-06, 1.86949e-06, 5.50873e-06, 6.46141e-06, 1.19702e-06, 1.15068e-06, 1.1462e-06, 1.14107e-06, 1.16203e-06, 1.13862e-06, 1.68146e-05, 1.13861e-06, 1.13861e-06, 1.25071e-06
0.600445, 0, 4.80843e-05, 2.27626e-06, 1.41421, -4.80843e-05, 2.27626e-06, 2.27636e-06, 2.27654e-06, 2.27637e-06, 5.67461e-06, 2.35393e-06, 2.36918e-06, 2.27806e-06, 3.85692e-06, 1.10239e-05, 1.29308e-05, 2.35384e-06, 2.30042e-06, 2.28774e-06, 2.28134e-06, 2.31132e-06, 2.27629e-06, 2.31526e-05, 2.27626e-06, 2.27626e-06, 2.50064e-06
