   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_26.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.264837, 0, 1.16005e-11, 0, 1.41421, -1.16005e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63564e-13, 0, 3.49066e-16, 0, 0, 1.14365e-11, 0, 0, 0
0.272751, 0, 1.90039e-11, 0, 1.41421, -1.90039e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67974e-13, 0, 5.88165e-16, 0, 0, 1.87354e-11, 0, 0, 0
0.280666, 0, 3.08982e-11, 0, 1.41421, -3.08982e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35742e-13, 0, 9.85069e-16, 0, 0, 3.04615e-11, 0, 0, 0
0.28858, 0, 4.98615e-11, 0, 1.41421, -4.98615e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03271e-13, 0, 1.64033e-15, 0, 0, 4.91566e-11, 0, 0, 0
0.296495, 0, 7.98644e-11, 0, 1.41421, -7.98644e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12665e-12, 0, 2.71654e-15, 0, 0, 7.8735e-11, 0, 0, 0
0.304409, 0, 1.26974e-10, 5.88545e-44, 1.41421, -1.26974e-10, 0, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 1.79164e-12, 5.88545e-44, 4.4758e-15, 5.88545e-44, 5.88545e-44, 1.25178e-10, 5.88545e-44, 5.88545e-44, 5.88545e-44
0.312324, 0, 2.00388e-10, 1.0762e-42, 1.41421, -2.00388e-10, 0, 1.0762e-42, 1.0762e-42, 1.0762e-42, 1.0762e-42, 1.0762e-42, 1.0762e-42, 1.0762e-42, 1.0762e-42, 1.0762e-42, 2.82835e-12, 1.0762e-42, 7.33927e-15, 1.0762e-42, 1.0762e-42, 1.97552e-10, 1.0762e-42, 1.0762e-42, 1.0762e-42
0.320238, 0, 3.1393e-10, 1.6454e-41, 1.41421, -3.1393e-10, 0, 1.6454e-41, 1.6454e-41, 1.6454e-41, 1.6454e-41, 1.6454e-41, 1.6454e-41, 1.6454e-41, 1.6454e-41, 1.6454e-41, 4.43254e-12, 1.6454e-41, 1.19821e-14, 1.6454e-41, 1.6454e-41, 3.09486e-10, 1.6454e-41, 1.6454e-41, 1.6454e-41
0.328153, 0, 4.88228e-10, 2.21673e-40, 1.41421, -4.88228e-10, 0, 2.21673e-40, 2.21673e-40, 2.21673e-40, 2.21673e-40, 2.21673e-40, 2.21673e-40, 2.21673e-40, 2.21673e-40, 2.21673e-40, 6.89663e-12, 2.21673e-40, 1.94853e-14, 2.21673e-40, 2.21673e-40, 4.81312e-10, 2.21673e-40, 2.21673e-40, 2.21673e-40
0.336067, 0, 7.53797e-10, 2.66841e-39, 1.41421, -7.53797e-10, 0, 2.66841e-39, 2.66841e-39, 2.66841e-39, 2.66841e-39, 2.66841e-39, 2.66841e-39, 2.66841e-39, 2.66841e-39, 2.66841e-39, 1.06539e-11, 2.66841e-39, 3.15764e-14, 2.66841e-39, 2.66841e-39, 7.43111e-10, 2.66841e-39, 2.66841e-39, 2.66841e-39
0.343982, 0, 1.15543e-09, 2.89192e-38, 1.41421, -1.15543e-09, 0, 2.89192e-38, 2.89192e-38, 2.89192e-38, 2.89192e-38, 2.89192e-38, 2.89192e-38, 2.89192e-38, 2.89192e-38, 2.89192e-38, 1.63415e-11, 2.89192e-38, 5.10166e-14, 2.89192e-38, 2.89192e-38, 1.13904e-09, 2.89192e-38, 2.89192e-38, 2.89192e-38
0.351897, 0, 1.75839e-09, 2.83671e-37, 1.41421, -1.75839e-09, 0, 2.83671e-37, 2.83671e-37, 2.83671e-37, 2.83671e-37, 2.83671e-37, 2.83671e-37, 2.83671e-37, 2.83671e-37, 2.83671e-37, 2.48897e-11, 2.83671e-37, 8.22172e-14, 2.83671e-37, 2.83671e-37, 1.73341e-09, 2.83671e-37, 2.83671e-37, 2.83671e-37
0.359811, 0, 2.65691e-09, 2.53263e-36, 1.41421, -2.65691e-09, 0, 2.53263e-36, 2.53263e-36, 2.53263e-36, 2.53263e-36, 2.53263e-36, 2.53263e-36, 2.53263e-36, 2.53263e-36, 2.53263e-36, 3.76457e-11, 2.53263e-36, 1.32227e-13, 2.53263e-36, 2.53263e-36, 2.61914e-09, 2.53263e-36, 2.53263e-36, 2.53263e-36
0.367726, 0, 3.98617e-09, 2.06888e-35, 1.41421, -3.98617e-09, 0, 2.06888e-35, 2.06888e-35, 2.06888e-35, 2.06888e-35, 2.06888e-35, 2.06888e-35, 2.06888e-35, 2.06888e-35, 2.06888e-35, 5.65476e-11, 2.06888e-35, 2.12317e-13, 2.06888e-35, 2.06888e-35, 3.92942e-09, 2.06888e-35, 2.06888e-35, 2.06888e-35
0.37564, 0, 5.93839e-09, 1.55375e-34, 1.41421, -5.93839e-09, 0, 1.55375e-34, 1.55375e-34, 1.55375e-34, 1.55375e-34, 1.55375e-34, 1.55375e-34, 1.55375e-34, 1.55375e-34, 1.55375e-34, 8.43625e-11, 1.55375e-34, 3.4051e-13, 1.55375e-34, 1.55375e-34, 5.85369e-09, 1.55375e-34, 1.55375e-34, 1.55375e-34
0.383555, 0, 8.78483e-09, 1.07913e-33, 1.41421, -8.78483e-09, 0, 1.07913e-33, 1.07913e-33, 1.07913e-33, 1.07913e-33, 1.07913e-33, 1.07913e-33, 1.07913e-33, 1.07913e-33, 1.07913e-33, 1.25013e-10, 1.07913e-33, 5.4564e-13, 1.07913e-33, 1.07913e-33, 8.65927e-09, 1.07913e-33, 1.07913e-33, 1.07913e-33
0.391469, 0, 1.29055e-08, 7.23616e-33, 1.41421, -1.29055e-08, 0, 7.23616e-33, 7.23616e-33, 7.23616e-33, 7.23616e-33, 7.23616e-33, 7.23616e-33, 7.23616e-33, 7.23616e-33, 7.23616e-33, 1.84024e-10, 7.23616e-33, 8.73845e-13, 7.23616e-33, 7.23616e-33, 1.27206e-08, 7.23616e-33, 7.23616e-33, 7.23616e-33
