   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_267.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.36185, 0, 2.53461e-10, 3.19064e-39, 1.41421, -2.53461e-10, 3.19064e-39, 0, 3.19064e-39, 3.19064e-39, 3.19064e-39, 3.19064e-39, 3.19064e-39, 3.19064e-39, 3.19064e-39, 3.19064e-39, 3.19064e-39, 6.9944e-13, 3.19064e-39, 3.19064e-39, 3.19064e-39, 2.91758e-14, 3.19064e-39, 2.52732e-10, 3.19064e-39, 3.19064e-39, 3.19064e-39
0.369734, 0, 4.11037e-10, 3.40783e-38, 1.41421, -4.11037e-10, 3.40783e-38, 0, 3.40783e-38, 3.40783e-38, 3.40783e-38, 3.40783e-38, 3.40783e-38, 3.40783e-38, 3.40783e-38, 3.40783e-38, 3.40783e-38, 1.13478e-12, 3.40783e-38, 3.40783e-38, 3.40783e-38, 4.96561e-14, 3.40783e-38, 4.09852e-10, 3.40783e-38, 3.40783e-38, 3.40783e-38
0.377618, 0, 6.60765e-10, 3.29942e-37, 1.41421, -6.60765e-10, 3.29942e-37, 0, 3.29942e-37, 3.29942e-37, 3.29942e-37, 3.29942e-37, 3.29942e-37, 3.29942e-37, 3.29942e-37, 3.29942e-37, 3.29942e-37, 1.82523e-12, 3.29942e-37, 3.29942e-37, 3.29942e-37, 8.41074e-14, 3.29942e-37, 6.58855e-10, 3.29942e-37, 3.29942e-37, 3.29942e-37
0.385502, 0, 1.05301e-09, 2.91558e-36, 1.41421, -1.05301e-09, 2.91558e-36, 0, 2.91558e-36, 2.91558e-36, 2.91558e-36, 2.91558e-36, 2.91558e-36, 2.91558e-36, 2.91558e-36, 2.91558e-36, 2.91558e-36, 2.91074e-12, 2.91558e-36, 2.91558e-36, 2.91558e-36, 1.41853e-13, 2.91558e-36, 1.04995e-09, 2.91558e-36, 2.91558e-36, 2.91558e-36
0.393386, 0, 1.66364e-09, 2.3615e-35, 1.41421, -1.66364e-09, 2.3615e-35, 0, 2.3615e-35, 2.3615e-35, 2.3615e-35, 2.3615e-35, 2.3615e-35, 2.3615e-35, 2.3615e-35, 2.3615e-35, 2.3615e-35, 4.60266e-12, 2.3615e-35, 2.3615e-35, 2.3615e-35, 2.38364e-13, 2.3615e-35, 1.6588e-09, 2.3615e-35, 2.3615e-35, 2.3615e-35
0.40127, 0, 2.60589e-09, 1.76102e-34, 1.41421, -2.60589e-09, 1.76102e-34, 0, 1.76102e-34, 1.76102e-34, 1.76102e-34, 1.76102e-34, 1.76102e-34, 1.76102e-34, 1.76102e-34, 1.76102e-34, 1.76102e-34, 7.21721e-12, 1.76102e-34, 1.76102e-34, 1.76102e-34, 3.9929e-13, 1.76102e-34, 2.59828e-09, 1.76102e-34, 1.76102e-34, 1.76102e-34
0.409155, 0, 4.04713e-09, 1.22382e-33, 1.41421, -4.04713e-09, 1.22382e-33, 0, 1.22382e-33, 1.22382e-33, 1.22382e-33, 1.22382e-33, 1.22382e-33, 1.22382e-33, 1.22382e-33, 1.22382e-33, 1.22382e-33, 1.12235e-11, 1.22382e-33, 1.22382e-33, 1.22382e-33, 6.67177e-13, 1.22382e-33, 4.03524e-09, 1.22382e-33, 1.22382e-33, 1.22382e-33
0.417039, 0, 6.23245e-09, 7.36637e-33, 1.41421, -6.23245e-09, 7.36637e-33, 0, 7.36637e-33, 7.36637e-33, 7.36637e-33, 7.36637e-33, 7.36637e-33, 7.36637e-33, 7.36637e-33, 7.36637e-33, 7.36637e-33, 1.73115e-11, 7.36637e-33, 7.36637e-33, 7.36637e-33, 1.11261e-12, 7.36637e-33, 6.21403e-09, 7.36637e-33, 7.36637e-33, 7.36637e-33
0.424923, 0, 9.51743e-09, 4.48558e-32, 1.41421, -9.51743e-09, 4.48558e-32, 0, 4.48558e-32, 4.48558e-32, 4.48558e-32, 4.48558e-32, 4.48558e-32, 4.48558e-32, 4.48558e-32, 4.48558e-32, 4.48558e-32, 2.64871e-11, 4.48558e-32, 4.48558e-32, 4.48558e-32, 1.85273e-12, 4.48558e-32, 9.48909e-09, 4.48558e-32, 4.48558e-32, 4.48558e-32
0.432807, 0, 1.44131e-08, 2.44721e-31, 1.41421, -1.44131e-08, 2.44721e-31, 0, 2.44721e-31, 2.44721e-31, 2.44721e-31, 2.44721e-31, 2.44721e-31, 2.44721e-31, 2.44721e-31, 2.44721e-31, 2.44721e-31, 4.02051e-11, 2.44721e-31, 2.44721e-31, 2.44721e-31, 3.08198e-12, 2.44721e-31, 1.43698e-08, 2.44721e-31, 2.44721e-31, 2.44721e-31
0.440691, 0, 2.16474e-08, 1.30405e-30, 1.41421, -2.16474e-08, 1.30405e-30, 0, 1.30405e-30, 1.30405e-30, 1.30405e-30, 1.30405e-30, 1.30405e-30, 1.30405e-30, 1.30405e-30, 1.30405e-30, 1.30405e-30, 6.05528e-11, 1.30405e-30, 1.30405e-30, 1.30405e-30, 5.12307e-12, 1.30405e-30, 2.15818e-08, 1.30405e-30, 1.30405e-30, 1.30405e-30
0.448575, 0, 3.22474e-08, 6.62709e-30, 1.41421, -3.22474e-08, 6.62709e-30, 0, 6.62709e-30, 6.62709e-30, 6.62709e-30, 6.62709e-30, 6.62709e-30, 6.62709e-30, 6.62709e-30, 6.62709e-30, 6.62709e-30, 9.05007e-11, 6.62709e-30, 6.62709e-30, 6.62709e-30, 8.51099e-12, 6.62709e-30, 3.21484e-08, 6.62709e-30, 6.62709e-30, 6.62709e-30
