   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_259.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.189277, 0, 1.16009e-15, 0, 1.41421, -1.16009e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50082e-18, 0, 2.40945e-20, 0, 1.15756e-15, 0, 0, 0
0.19716, 0, 2.30779e-15, 0, 1.41421, -2.30779e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97494e-18, 0, 4.87734e-20, 0, 2.30277e-15, 0, 0, 0
0.205043, 0, 4.57165e-15, 0, 1.41421, -4.57165e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.85513e-18, 0, 9.85948e-20, 0, 4.56169e-15, 0, 0, 0
0.212927, 0, 8.89868e-15, 0, 1.41421, -8.89868e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91829e-17, 0, 1.95397e-19, 0, 8.8793e-15, 0, 0, 0
0.22081, 0, 1.71465e-14, 0, 1.41421, -1.71465e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69626e-17, 0, 3.83495e-19, 0, 1.71092e-14, 0, 0, 0
0.228694, 0, 3.27097e-14, 0, 1.41421, -3.27097e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0512e-17, 0, 7.45513e-19, 0, 3.26385e-14, 0, 0, 0
0.236577, 0, 6.17848e-14, 0, 1.41421, -6.17848e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33188e-16, 0, 1.43572e-18, 0, 6.16501e-14, 0, 0, 0
0.24446, 0, 1.15567e-13, 0, 1.41421, -1.15567e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49125e-16, 0, 2.73945e-18, 0, 1.15315e-13, 0, 0, 0
0.252344, 0, 2.1408e-13, 0, 1.41421, -2.1408e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61487e-16, 0, 5.17969e-18, 0, 2.13614e-13, 0, 0, 0
0.260227, 0, 3.92783e-13, 0, 1.41421, -3.92783e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46712e-16, 0, 9.70634e-18, 0, 3.91927e-13, 0, 0, 0
0.268111, 0, 7.13833e-13, 0, 1.41421, -7.13833e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5388e-15, 0, 1.80296e-17, 0, 7.12276e-13, 0, 0, 0
