   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_191.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0876452, 0, 1.35975e-19, 0, 1.41421, -1.35975e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33642e-23, 0, 0, 2.5131e-24, 0, 3.07137e-23, 0, 1.35899e-19, 0, 0, 0
0.0955289, 0, 3.05015e-19, 0, 1.41421, -3.05015e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.72728e-23, 0, 0, 5.72202e-24, 0, 7.00398e-23, 0, 3.04842e-19, 0, 0, 0
0.103413, 0, 6.74828e-19, 0, 1.41421, -6.74828e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15209e-22, 0, 0, 1.28522e-23, 0, 1.575e-22, 0, 6.74442e-19, 0, 0, 0
0.111296, 0, 1.47335e-18, 0, 1.41421, -1.47335e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69866e-22, 0, 0, 2.84927e-23, 0, 3.49469e-22, 0, 1.47251e-18, 0, 0, 0
0.11918, 0, 3.17595e-18, 0, 1.41421, -3.17595e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01283e-21, 0, 0, 6.23784e-23, 0, 7.65531e-22, 0, 3.17411e-18, 0, 0, 0
0.127064, 0, 6.76206e-18, 0, 1.41421, -6.76206e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15646e-21, 0, 0, 1.34919e-22, 0, 1.65637e-21, 0, 6.75811e-18, 0, 0, 0
0.134948, 0, 1.42261e-17, 0, 1.41421, -1.42261e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53677e-21, 0, 0, 2.88416e-22, 0, 3.54144e-21, 0, 1.42177e-17, 0, 0, 0
0.142831, 0, 2.9583e-17, 0, 1.41421, -2.9583e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43413e-21, 0, 0, 6.09572e-22, 0, 7.48515e-21, 0, 2.95655e-17, 0, 0, 0
0.150715, 0, 6.08248e-17, 0, 1.41421, -6.08248e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93971e-20, 0, 0, 1.27418e-21, 0, 1.56449e-20, 0, 6.07885e-17, 0, 0, 0
0.158599, 0, 1.23686e-16, 0, 1.41421, -1.23686e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94434e-20, 0, 0, 2.63486e-21, 0, 3.23475e-20, 0, 1.23611e-16, 0, 0, 0
0.166482, 0, 2.48809e-16, 0, 1.41421, -2.48809e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93447e-20, 0, 0, 5.39166e-21, 0, 6.61805e-20, 0, 2.48658e-16, 0, 0, 0
0.174366, 0, 4.95239e-16, 0, 1.41421, -4.95239e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5793e-19, 0, 0, 1.09201e-20, 0, 1.34017e-19, 0, 4.94936e-16, 0, 0, 0
0.18225, 0, 9.75561e-16, 0, 1.41421, -9.75561e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11101e-19, 0, 0, 2.18957e-20, 0, 2.68679e-19, 0, 9.74959e-16, 0, 0, 0
0.190134, 0, 1.90224e-15, 0, 1.41421, -1.90224e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06609e-19, 0, 0, 4.34719e-20, 0, 5.33406e-19, 0, 1.90105e-15, 0, 0, 0
0.198017, 0, 3.67212e-15, 0, 1.41421, -3.67212e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.171e-18, 0, 0, 8.54778e-20, 0, 1.04888e-18, 0, 3.66981e-15, 0, 0, 0
0.205901, 0, 7.01901e-15, 0, 1.41421, -7.01901e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23828e-18, 0, 0, 1.66481e-19, 0, 2.04327e-18, 0, 7.01457e-15, 0, 0, 0
0.213785, 0, 1.32863e-14, 0, 1.41421, -1.32863e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.23678e-18, 0, 0, 3.21224e-19, 0, 3.944e-18, 0, 1.32778e-14, 0, 0, 0
0.221669, 0, 2.49088e-14, 0, 1.41421, -2.49088e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94295e-18, 0, 0, 6.14111e-19, 0, 7.54469e-18, 0, 2.48927e-14, 0, 0, 0
0.229552, 0, 4.62569e-14, 0, 1.41421, -4.62569e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47503e-17, 0, 0, 1.1635e-18, 0, 1.43059e-17, 0, 4.62267e-14, 0, 0, 0
0.237436, 0, 8.50985e-14, 0, 1.41421, -8.50985e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71358e-17, 0, 0, 2.1849e-18, 0, 2.68926e-17, 0, 8.50423e-14, 0, 0, 0
0.24532, 0, 1.55106e-13, 0, 1.41421, -1.55106e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94591e-17, 0, 0, 4.0672e-18, 0, 5.01253e-17, 0, 1.55002e-13, 0, 0, 0
