   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.378359, 0, 2.51317e-10, 4.64998e-37, 1.41421, -2.51317e-10, 0, 4.64998e-37, 4.64998e-37, 4.64998e-37, 4.64998e-37, 4.64998e-37, 4.64998e-37, 4.64998e-37, 4.64998e-37, 4.64998e-37, 4.64998e-37, 2.19379e-12, 4.64998e-37, 4.64998e-37, 4.64998e-37, 4.64998e-37, 2.49123e-10, 4.64998e-37, 4.64998e-37, 4.64998e-37
0.386245, 0, 4.00747e-10, 4.07549e-36, 1.41421, -4.00747e-10, 0, 4.07549e-36, 4.07549e-36, 4.07549e-36, 4.07549e-36, 4.07549e-36, 4.07549e-36, 4.07549e-36, 4.07549e-36, 4.07549e-36, 4.07549e-36, 3.50065e-12, 4.07549e-36, 4.07549e-36, 4.07549e-36, 4.07549e-36, 3.97246e-10, 4.07549e-36, 4.07549e-36, 4.07549e-36
0.394131, 0, 6.33509e-10, 3.27528e-35, 1.41421, -6.33509e-10, 0, 3.27528e-35, 3.27528e-35, 3.27528e-35, 3.27528e-35, 3.27528e-35, 3.27528e-35, 3.27528e-35, 3.27528e-35, 3.27528e-35, 3.27528e-35, 5.53874e-12, 3.27528e-35, 3.27528e-35, 3.27528e-35, 3.27528e-35, 6.2797e-10, 3.27528e-35, 3.27528e-35, 3.27528e-35
0.402017, 0, 9.92872e-10, 2.42438e-34, 1.41421, -9.92872e-10, 0, 2.42438e-34, 2.42438e-34, 2.42438e-34, 2.42438e-34, 2.42438e-34, 2.42438e-34, 2.42438e-34, 2.42438e-34, 2.42438e-34, 2.42438e-34, 8.69003e-12, 2.42438e-34, 2.42438e-34, 2.42438e-34, 2.42438e-34, 9.84182e-10, 2.42438e-34, 2.42438e-34, 2.42438e-34
0.409903, 0, 1.54283e-09, 1.67961e-33, 1.41421, -1.54283e-09, 0, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.35214e-11, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.67961e-33, 1.52931e-09, 1.67961e-33, 1.67961e-33, 1.67961e-33
0.417789, 0, 2.37714e-09, 9.95198e-33, 1.41421, -2.37714e-09, 0, 9.95198e-33, 9.95198e-33, 9.95198e-33, 9.95198e-33, 9.95198e-33, 9.95198e-33, 9.95198e-33, 9.95198e-33, 9.95198e-33, 9.95198e-33, 2.08669e-11, 9.95198e-33, 9.95198e-33, 9.95198e-33, 9.95198e-33, 2.35627e-09, 9.95198e-33, 9.95198e-33, 9.95198e-33
0.425675, 0, 3.63186e-09, 5.9858e-32, 1.41421, -3.63186e-09, 0, 5.9858e-32, 5.9858e-32, 5.9858e-32, 5.9858e-32, 5.9858e-32, 5.9858e-32, 5.9858e-32, 5.9858e-32, 5.9858e-32, 5.9858e-32, 3.19434e-11, 5.9858e-32, 5.9858e-32, 5.9858e-32, 5.9858e-32, 3.59991e-09, 5.9858e-32, 5.9858e-32, 5.9858e-32
0.433561, 0, 5.50266e-09, 3.22143e-31, 1.41421, -5.50266e-09, 0, 3.22143e-31, 3.22143e-31, 3.22143e-31, 3.22143e-31, 3.22143e-31, 3.22143e-31, 3.22143e-31, 3.22143e-31, 3.22143e-31, 3.22143e-31, 4.85115e-11, 3.22143e-31, 3.22143e-31, 3.22143e-31, 3.22143e-31, 5.45415e-09, 3.22143e-31, 3.22143e-31, 3.22143e-31
0.441447, 0, 8.26832e-09, 1.69792e-30, 1.41421, -8.26832e-09, 0, 1.69792e-30, 1.69792e-30, 1.69792e-30, 1.69792e-30, 1.69792e-30, 1.69792e-30, 1.69792e-30, 1.69792e-30, 1.69792e-30, 1.69792e-30, 7.30982e-11, 1.69792e-30, 1.69792e-30, 1.69792e-30, 1.69792e-30, 8.19522e-09, 1.69792e-30, 1.69792e-30, 1.69792e-30
0.449333, 0, 1.23223e-08, 8.54909e-30, 1.41421, -1.23223e-08, 0, 8.54909e-30, 8.54909e-30, 8.54909e-30, 8.54909e-30, 8.54909e-30, 8.54909e-30, 8.54909e-30, 8.54909e-30, 8.54909e-30, 8.54909e-30, 1.09301e-10, 8.54909e-30, 8.54909e-30, 8.54909e-30, 8.54909e-30, 1.2213e-08, 8.54909e-30, 8.54909e-30, 8.54909e-30
