   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_185.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.255134, 0, 5.83527e-13, 0, 1.41421, -5.83527e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51839e-16, 0, 0, 3.14836e-18, 0, 0, 5.83372e-13, 0, 0, 0
0.263015, 0, 1.05217e-12, 0, 1.41421, -1.05217e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73786e-16, 0, 0, 5.78786e-18, 0, 0, 1.05189e-12, 0, 0, 0
0.270897, 0, 1.87964e-12, 0, 1.41421, -1.87964e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89111e-16, 0, 0, 1.05507e-17, 0, 0, 1.87914e-12, 0, 0, 0
0.278779, 0, 3.32708e-12, 0, 1.41421, -3.32708e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.65778e-16, 0, 0, 1.90745e-17, 0, 0, 3.3262e-12, 0, 0, 0
0.28666, 0, 5.83554e-12, 0, 1.41421, -5.83554e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51858e-15, 0, 0, 3.42074e-17, 0, 0, 5.83399e-12, 0, 0, 0
0.294542, 0, 1.01428e-11, 0, 1.41421, -1.01428e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63959e-15, 0, 0, 6.08668e-17, 0, 0, 1.01401e-11, 0, 0, 0
0.302423, 0, 1.74711e-11, 0, 1.41421, -1.74711e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54702e-15, 0, 0, 1.07483e-16, 0, 0, 1.74664e-11, 0, 0, 0
0.310305, 0, 2.98259e-11, 0, 1.41421, -2.98259e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76315e-15, 0, 0, 1.8842e-16, 0, 0, 2.98179e-11, 0, 0, 0
0.318186, 0, 5.04663e-11, 0, 1.41421, -5.04663e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3137e-14, 0, 0, 3.28004e-16, 0, 0, 5.04528e-11, 0, 0, 0
0.326068, 0, 8.46387e-11, 0, 1.41421, -8.46387e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2036e-14, 0, 0, 5.6722e-16, 0, 0, 8.46161e-11, 0, 0, 0
0.33395, 0, 1.40709e-10, 4.52619e-43, 1.41421, -1.40709e-10, 0, 4.52619e-43, 4.52619e-43, 4.52619e-43, 4.52619e-43, 4.52619e-43, 4.52619e-43, 4.52619e-43, 4.52619e-43, 4.52619e-43, 3.66413e-14, 4.52619e-43, 4.52619e-43, 9.74815e-16, 4.52619e-43, 4.52619e-43, 1.40671e-10, 4.52619e-43, 4.52619e-43, 4.52619e-43
0.341831, 0, 2.31887e-10, 7.7688e-42, 1.41421, -2.31887e-10, 0, 7.7688e-42, 7.7688e-42, 7.7688e-42, 7.7688e-42, 7.7688e-42, 7.7688e-42, 7.7688e-42, 7.7688e-42, 7.7688e-42, 6.04003e-14, 7.7688e-42, 7.7688e-42, 1.66566e-15, 7.7688e-42, 7.7688e-42, 2.31825e-10, 7.7688e-42, 7.7688e-42, 7.7688e-42
0.349713, 0, 3.78843e-10, 1.10193e-40, 1.41421, -3.78843e-10, 0, 1.10193e-40, 1.10193e-40, 1.10193e-40, 1.10193e-40, 1.10193e-40, 1.10193e-40, 1.10193e-40, 1.10193e-40, 1.10193e-40, 9.87109e-14, 1.10193e-40, 1.10193e-40, 2.83114e-15, 1.10193e-40, 1.10193e-40, 3.78742e-10, 1.10193e-40, 1.10193e-40, 1.10193e-40
0.357594, 0, 6.13612e-10, 1.38564e-39, 1.41421, -6.13612e-10, 0, 1.38564e-39, 1.38564e-39, 1.38564e-39, 1.38564e-39, 1.38564e-39, 1.38564e-39, 1.38564e-39, 1.38564e-39, 1.38564e-39, 1.59949e-13, 1.38564e-39, 1.38564e-39, 4.7895e-15, 1.38564e-39, 1.38564e-39, 6.13447e-10, 1.38564e-39, 1.38564e-39, 1.38564e-39
0.365476, 0, 9.85367e-10, 1.55965e-38, 1.41421, -9.85367e-10, 0, 1.55965e-38, 1.55965e-38, 1.55965e-38, 1.55965e-38, 1.55965e-38, 1.55965e-38, 1.55965e-38, 1.55965e-38, 1.55965e-38, 2.56988e-13, 1.55965e-38, 1.55965e-38, 8.06906e-15, 1.55965e-38, 1.55965e-38, 9.85102e-10, 1.55965e-38, 1.55965e-38, 1.55965e-38
0.373357, 0, 1.56891e-09, 1.58773e-37, 1.41421, -1.56891e-09, 0, 1.58773e-37, 1.58773e-37, 1.58773e-37, 1.58773e-37, 1.58773e-37, 1.58773e-37, 1.58773e-37, 1.58773e-37, 1.58773e-37, 4.09445e-13, 1.58773e-37, 1.58773e-37, 1.35467e-14, 1.58773e-37, 1.58773e-37, 1.56849e-09, 1.58773e-37, 1.58773e-37, 1.58773e-37
0.381239, 0, 2.47694e-09, 1.46959e-36, 1.41421, -2.47694e-09, 0, 1.46959e-36, 1.46959e-36, 1.46959e-36, 1.46959e-36, 1.46959e-36, 1.46959e-36, 1.46959e-36, 1.46959e-36, 1.46959e-36, 6.46939e-13, 1.46959e-36, 1.46959e-36, 2.26774e-14, 1.46959e-36, 1.46959e-36, 2.47627e-09, 1.46959e-36, 1.46959e-36, 1.46959e-36
0.38912, 0, 3.87767e-09, 1.24427e-35, 1.41421, -3.87767e-09, 0, 1.24427e-35, 1.24427e-35, 1.24427e-35, 1.24427e-35, 1.24427e-35, 1.24427e-35, 1.24427e-35, 1.24427e-35, 1.24427e-35, 1.0138e-12, 1.24427e-35, 1.24427e-35, 3.78766e-14, 1.24427e-35, 1.24427e-35, 3.87662e-09, 1.24427e-35, 1.24427e-35, 1.24427e-35
0.397002, 0, 6.01996e-09, 9.67703e-35, 1.41421, -6.01996e-09, 0, 9.67703e-35, 9.67703e-35, 9.67703e-35, 9.67703e-35, 9.67703e-35, 9.67703e-35, 9.67703e-35, 9.67703e-35, 9.67703e-35, 1.5758e-12, 9.67703e-35, 9.67703e-35, 6.31579e-14, 9.67703e-35, 9.67703e-35, 6.01832e-09, 9.67703e-35, 9.67703e-35, 9.67703e-35
0.404884, 0, 9.2684e-09, 6.94261e-34, 1.41421, -9.2684e-09, 0, 6.94261e-34, 6.94261e-34, 6.94261e-34, 6.94261e-34, 6.94261e-34, 6.94261e-34, 6.94261e-34, 6.94261e-34, 6.94261e-34, 2.42971e-12, 6.94261e-34, 6.94261e-34, 1.05193e-13, 6.94261e-34, 6.94261e-34, 9.26586e-09, 6.94261e-34, 6.94261e-34, 6.94261e-34
0.412765, 0, 1.4153e-08, 1.1346e-32, 1.41421, -1.4153e-08, 0, 1.1346e-32, 1.1346e-32, 1.1346e-32, 1.1346e-32, 1.1346e-32, 1.1346e-32, 1.1346e-32, 1.1346e-32, 1.1346e-32, 3.7169e-12, 1.1346e-32, 1.1346e-32, 1.75335e-13, 1.1346e-32, 1.1346e-32, 1.41491e-08, 1.1346e-32, 1.1346e-32, 1.1346e-32
0.420647, 0, 2.14346e-08, 6.32371e-32, 1.41421, -2.14346e-08, 0, 6.32371e-32, 6.32371e-32, 6.32371e-32, 6.32371e-32, 6.32371e-32, 6.32371e-32, 6.32371e-32, 6.32371e-32, 6.32371e-32, 5.64127e-12, 6.32371e-32, 6.32371e-32, 2.91677e-13, 6.32371e-32, 6.32371e-32, 2.14287e-08, 6.32371e-32, 6.32371e-32, 6.32371e-32
