   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_184.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.331173, 0, 3.20136e-11, 1.38729e-43, 1.41421, -3.20136e-11, 0, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.81716e-15, 1.38729e-43, 1.38729e-43, 3.20118e-11, 1.38729e-43, 1.38729e-43, 1.38729e-43
0.339059, 0, 5.34055e-11, 2.47189e-42, 1.41421, -5.34055e-11, 0, 2.47189e-42, 2.47189e-42, 2.47189e-42, 2.47189e-42, 2.47189e-42, 2.47189e-42, 2.47189e-42, 2.47189e-42, 2.47189e-42, 2.47189e-42, 2.47189e-42, 2.47189e-42, 3.14325e-15, 2.47189e-42, 2.47189e-42, 5.34023e-11, 2.47189e-42, 2.47189e-42, 2.47189e-42
0.346944, 0, 8.83076e-11, 3.65487e-41, 1.41421, -8.83076e-11, 0, 3.65487e-41, 3.65487e-41, 3.65487e-41, 3.65487e-41, 3.65487e-41, 3.65487e-41, 3.65487e-41, 3.65487e-41, 3.65487e-41, 3.65487e-41, 3.65487e-41, 3.65487e-41, 5.40588e-15, 3.65487e-41, 3.65487e-41, 8.83022e-11, 3.65487e-41, 3.65487e-41, 3.65487e-41
0.354829, 0, 1.44743e-10, 4.7827e-40, 1.41421, -1.44743e-10, 0, 4.7827e-40, 4.7827e-40, 4.7827e-40, 4.7827e-40, 4.7827e-40, 4.7827e-40, 4.7827e-40, 4.7827e-40, 4.7827e-40, 4.7827e-40, 4.7827e-40, 4.7827e-40, 9.24868e-15, 4.7827e-40, 4.7827e-40, 1.44733e-10, 4.7827e-40, 4.7827e-40, 4.7827e-40
0.362715, 0, 2.35181e-10, 5.59041e-39, 1.41421, -2.35181e-10, 0, 5.59041e-39, 5.59041e-39, 5.59041e-39, 5.59041e-39, 5.59041e-39, 5.59041e-39, 5.59041e-39, 5.59041e-39, 5.59041e-39, 5.59041e-39, 5.59041e-39, 5.59041e-39, 1.57492e-14, 5.59041e-39, 5.59041e-39, 2.35165e-10, 5.59041e-39, 5.59041e-39, 5.59041e-39
0.3706, 0, 3.78825e-10, 5.89711e-38, 1.41421, -3.78825e-10, 0, 5.89711e-38, 5.89711e-38, 5.89711e-38, 5.89711e-38, 5.89711e-38, 5.89711e-38, 5.89711e-38, 5.89711e-38, 5.89711e-38, 5.89711e-38, 5.89711e-38, 5.89711e-38, 2.67093e-14, 5.89711e-38, 5.89711e-38, 3.78799e-10, 5.89711e-38, 5.89711e-38, 5.89711e-38
0.378486, 0, 6.04964e-10, 5.64155e-37, 1.41421, -6.04964e-10, 0, 5.64155e-37, 5.64155e-37, 5.64155e-37, 5.64155e-37, 5.64155e-37, 5.64155e-37, 5.64155e-37, 5.64155e-37, 5.64155e-37, 5.64155e-37, 5.64155e-37, 5.64155e-37, 4.5139e-14, 5.64155e-37, 5.64155e-37, 6.04919e-10, 5.64155e-37, 5.64155e-37, 5.64155e-37
0.386371, 0, 9.57847e-10, 4.93015e-36, 1.41421, -9.57847e-10, 0, 4.93015e-36, 4.93015e-36, 4.93015e-36, 4.93015e-36, 4.93015e-36, 4.93015e-36, 4.93015e-36, 4.93015e-36, 4.93015e-36, 4.93015e-36, 4.93015e-36, 4.93015e-36, 7.60658e-14, 4.93015e-36, 4.93015e-36, 9.57771e-10, 4.93015e-36, 4.93015e-36, 4.93015e-36
0.394257, 0, 1.50372e-09, 3.95104e-35, 1.41421, -1.50372e-09, 0, 3.95104e-35, 3.95104e-35, 3.95104e-35, 3.95104e-35, 3.95104e-35, 3.95104e-35, 3.95104e-35, 3.95104e-35, 3.95104e-35, 3.95104e-35, 3.95104e-35, 3.95104e-35, 1.27889e-13, 3.95104e-35, 3.95104e-35, 1.50359e-09, 3.95104e-35, 3.95104e-35, 3.95104e-35
0.402142, 0, 2.34078e-09, 2.91662e-34, 1.41421, -2.34078e-09, 0, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.91662e-34, 2.14639e-13, 2.91662e-34, 2.91662e-34, 2.34057e-09, 2.91662e-34, 2.91662e-34, 2.91662e-34
0.410027, 0, 3.61333e-09, 2.02332e-33, 1.41421, -3.61333e-09, 0, 2.02332e-33, 2.02332e-33, 2.02332e-33, 2.02332e-33, 2.02332e-33, 2.02332e-33, 2.02332e-33, 2.02332e-33, 2.02332e-33, 2.02332e-33, 2.02332e-33, 2.02332e-33, 3.59762e-13, 2.02332e-33, 2.02332e-33, 3.61297e-09, 2.02332e-33, 2.02332e-33, 2.02332e-33
0.417913, 0, 5.53138e-09, 1.20027e-32, 1.41421, -5.53138e-09, 0, 1.20027e-32, 1.20027e-32, 1.20027e-32, 1.20027e-32, 1.20027e-32, 1.20027e-32, 1.20027e-32, 1.20027e-32, 1.20027e-32, 1.20027e-32, 1.20027e-32, 1.20027e-32, 6.02424e-13, 1.20027e-32, 1.20027e-32, 5.53077e-09, 1.20027e-32, 1.20027e-32, 1.20027e-32
0.425798, 0, 8.39779e-09, 7.21928e-32, 1.41421, -8.39779e-09, 0, 7.21928e-32, 7.21928e-32, 7.21928e-32, 7.21928e-32, 7.21928e-32, 7.21928e-32, 7.21928e-32, 7.21928e-32, 7.21928e-32, 7.21928e-32, 7.21928e-32, 7.21928e-32, 1.008e-12, 7.21928e-32, 7.21928e-32, 8.39678e-09, 7.21928e-32, 7.21928e-32, 7.21928e-32
0.433684, 0, 1.26454e-08, 3.88329e-31, 1.41421, -1.26454e-08, 0, 3.88329e-31, 3.88329e-31, 3.88329e-31, 3.88329e-31, 3.88329e-31, 3.88329e-31, 3.88329e-31, 3.88329e-31, 3.88329e-31, 3.88329e-31, 3.88329e-31, 3.88329e-31, 1.68549e-12, 3.88329e-31, 3.88329e-31, 1.26437e-08, 3.88329e-31, 3.88329e-31, 3.88329e-31
0.441569, 0, 1.88876e-08, 4.1357e-30, 1.41421, -1.88876e-08, 0, 4.1357e-30, 4.1357e-30, 4.1357e-30, 4.1357e-30, 4.1357e-30, 4.1357e-30, 4.1357e-30, 4.1357e-30, 4.1357e-30, 4.1357e-30, 4.1357e-30, 4.1357e-30, 2.81917e-12, 4.1357e-30, 4.1357e-30, 1.88848e-08, 4.1357e-30, 4.1357e-30, 4.1357e-30
0.449455, 0, 2.79839e-08, 1.97517e-29, 1.41421, -2.79839e-08, 0, 1.97517e-29, 1.97517e-29, 1.97517e-29, 1.97517e-29, 1.97517e-29, 1.97517e-29, 1.97517e-29, 1.97517e-29, 1.97517e-29, 1.97517e-29, 1.97517e-29, 1.97517e-29, 4.70518e-12, 1.97517e-29, 1.97517e-29, 2.79792e-08, 1.97517e-29, 1.97517e-29, 1.97517e-29
0.45734, 0, 4.11312e-08, 9.10754e-29, 1.41421, -4.11312e-08, 0, 9.10754e-29, 9.10754e-29, 9.10754e-29, 9.10754e-29, 9.10754e-29, 9.10754e-29, 9.10754e-29, 9.10754e-29, 9.10754e-29, 9.10754e-29, 9.10754e-29, 9.10754e-29, 7.84241e-12, 9.10754e-29, 9.10754e-29, 4.11234e-08, 9.10754e-29, 9.10754e-29, 9.10754e-29
0.465225, 0, 5.99793e-08, 4.02806e-28, 1.41421, -5.99793e-08, 0, 4.02806e-28, 4.02806e-28, 4.02806e-28, 4.02806e-28, 4.02806e-28, 4.02806e-28, 4.02806e-28, 4.02806e-28, 4.02806e-28, 4.02806e-28, 4.02806e-28, 4.02806e-28, 1.30478e-11, 4.02806e-28, 4.02806e-28, 5.99662e-08, 4.02806e-28, 4.02806e-28, 4.02806e-28
0.473111, 0, 8.67831e-08, 1.70095e-27, 1.41421, -8.67831e-08, 0, 1.70095e-27, 1.70095e-27, 1.70095e-27, 1.70095e-27, 1.70095e-27, 1.70095e-27, 1.70095e-27, 1.70095e-27, 1.70095e-27, 1.70095e-27, 1.70095e-27, 1.70095e-27, 2.16576e-11, 1.70095e-27, 1.70095e-27, 8.67614e-08, 1.70095e-27, 1.70095e-27, 1.70095e-27
0.480996, 0, 1.24598e-07, 6.85898e-27, 1.41421, -1.24598e-07, 0, 6.85898e-27, 6.85898e-27, 6.85898e-27, 6.85898e-27, 6.85898e-27, 6.85898e-27, 6.85898e-27, 6.85898e-27, 6.85898e-27, 6.85898e-27, 6.85898e-27, 6.85898e-27, 3.58436e-11, 6.85898e-27, 6.85898e-27, 1.24562e-07, 6.85898e-27, 6.85898e-27, 6.85898e-27
0.488882, 0, 1.77528e-07, 2.64366e-26, 1.41421, -1.77528e-07, 0, 2.64366e-26, 2.64366e-26, 2.64366e-26, 2.64366e-26, 2.64366e-26, 2.64366e-26, 7.0413e-13, 2.64366e-26, 2.64366e-26, 2.64366e-26, 2.64366e-26, 2.64366e-26, 5.91119e-11, 2.64366e-26, 2.64366e-26, 1.77468e-07, 2.64366e-26, 2.64366e-26, 2.64366e-26
0.496767, 0, 2.51042e-07, 9.75519e-26, 1.41421, -2.51042e-07, 0, 9.75519e-26, 9.75519e-26, 9.75519e-26, 9.75519e-26, 9.75519e-26, 9.75519e-26, 2.50318e-12, 9.75519e-26, 9.75519e-26, 9.75519e-26, 9.75519e-26, 9.75519e-26, 9.70823e-11, 9.75519e-26, 9.75519e-26, 2.50942e-07, 9.75519e-26, 9.75519e-26, 9.75519e-26
0.504653, 0, 3.5236e-07, 3.47371e-25, 1.41421, -3.5236e-07, 0, 3.47371e-25, 3.47371e-25, 3.47371e-25, 3.47371e-25, 3.47371e-25, 3.47371e-25, 6.94006e-12, 3.47371e-25, 3.47371e-25, 3.47371e-25, 3.47371e-25, 3.47371e-25, 1.58692e-10, 3.47371e-25, 3.47371e-25, 3.52194e-07, 3.47371e-25, 3.47371e-25, 3.47371e-25
0.512538, 0, 4.92711e-07, 1.49894e-10, 1.41421, -4.92711e-07, 1.49894e-10, 1.49957e-10, 6.63752e-10, 1.64813e-10, 1.49918e-10, 1.59777e-10, 1.51589e-10, 2.00846e-10, 5.16831e-10, 1.51958e-10, 7.53744e-10, 1.50634e-10, 1.52686e-10, 4.07932e-10, 1.49894e-10, 1.49895e-10, 4.90871e-07, 1.49894e-10, 1.49894e-10, 1.63966e-10
0.520423, 0, 6.85326e-07, 5.26697e-10, 1.41421, -6.85326e-07, 5.26697e-10, 5.26922e-10, 2.34276e-09, 5.79423e-10, 5.26781e-10, 5.61628e-10, 5.32687e-10, 6.86989e-10, 1.82352e-09, 5.33992e-10, 2.66081e-09, 5.29314e-10, 5.36564e-10, 9.43917e-10, 5.26697e-10, 5.26702e-10, 6.79338e-07, 5.26697e-10, 5.26697e-10, 5.76431e-10
0.528309, 0, 9.49964e-07, 1.44747e-09, 1.41421, -9.49964e-07, 1.44747e-09, 1.44809e-09, 6.45589e-09, 1.59288e-09, 1.44771e-09, 1.54381e-09, 1.46399e-09, 1.87121e-09, 5.0239e-09, 1.46759e-09, 7.33301e-09, 1.45469e-09, 1.47468e-09, 2.11791e-09, 1.44747e-09, 1.44749e-09, 9.33948e-07, 1.44747e-09, 1.44747e-09, 1.58463e-09
0.536194, 0, 1.31559e-06, 3.63649e-09, 1.41421, -1.31559e-06, 3.63649e-09, 3.63805e-09, 1.62463e-08, 4.00259e-09, 3.63707e-09, 3.87902e-09, 3.67808e-09, 4.67773e-09, 1.26409e-08, 3.68713e-09, 1.84547e-08, 3.65465e-09, 3.70499e-09, 4.70679e-09, 3.63649e-09, 3.63652e-09, 1.27591e-06, 3.63649e-09, 3.63649e-09, 3.98181e-09
0.54408, 0, 1.82738e-06, 8.70109e-09, 1.41421, -1.82738e-06, 8.70109e-09, 8.70483e-09, 3.89208e-08, 9.57846e-09, 8.70248e-09, 9.28233e-09, 8.80076e-09, 1.11512e-08, 3.02805e-08, 8.82247e-09, 4.42132e-08, 8.74462e-09, 8.86527e-09, 1.0398e-08, 8.70109e-09, 8.70116e-09, 1.73321e-06, 8.70109e-09, 8.70109e-09, 9.52867e-09
