   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_291.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.210101, 0, 5.13022e-15, 0, 1.41421, -5.13022e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13022e-15, 0, 0, 0
0.217988, 0, 9.66442e-15, 0, 1.41421, -9.66442e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.66442e-15, 0, 0, 0
0.225874, 0, 1.80316e-14, 0, 1.41421, -1.80316e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80316e-14, 0, 0, 0
0.233761, 0, 3.33243e-14, 0, 1.41421, -3.33243e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33243e-14, 0, 0, 0
0.241647, 0, 6.10097e-14, 0, 1.41421, -6.10097e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10097e-14, 0, 0, 0
0.249534, 0, 1.1066e-13, 0, 1.41421, -1.1066e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1066e-13, 0, 0, 0
0.257421, 0, 1.98873e-13, 0, 1.41421, -1.98873e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98873e-13, 0, 0, 0
0.265307, 0, 3.54147e-13, 0, 1.41421, -3.54147e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54147e-13, 0, 0, 0
0.273194, 0, 6.24961e-13, 0, 1.41421, -6.24961e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.24961e-13, 0, 0, 0
0.28108, 0, 1.09297e-12, 0, 1.41421, -1.09297e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09297e-12, 0, 0, 0
0.288967, 0, 1.89447e-12, 0, 1.41421, -1.89447e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89447e-12, 0, 0, 0
0.296853, 0, 3.25683e-12, 0, 1.41421, -3.25683e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25683e-12, 0, 0, 0
0.30474, 0, 5.54552e-12, 0, 1.41421, -5.54552e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54552e-12, 0, 0, 0
0.312626, 0, 9.36034e-12, 0, 1.41421, -9.36034e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.36034e-12, 0, 0, 0
