   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_222.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.4984, 0, 5.72999e-07, 4.26694e-26, 1.41421, -5.72999e-07, 0, 4.26694e-26, 4.26694e-26, 4.26694e-26, 4.26694e-26, 4.26694e-26, 4.26694e-26, 2.36718e-12, 4.26694e-26, 4.26694e-26, 4.26694e-26, 1.75194e-09, 4.26694e-26, 4.26694e-26, 1.16615e-11, 3.44857e-11, 4.26694e-26, 5.71199e-07, 4.26694e-26, 4.26694e-26, 4.26694e-26
0.506282, 0, 8.15498e-07, 1.56412e-25, 1.41421, -8.15498e-07, 0, 1.56412e-25, 1.56412e-25, 1.56412e-25, 1.56412e-25, 1.56412e-25, 1.56412e-25, 8.50545e-12, 1.56412e-25, 1.56412e-25, 1.56412e-25, 2.51461e-09, 1.56412e-25, 1.56412e-25, 1.93642e-11, 5.72162e-11, 1.56412e-25, 8.12899e-07, 1.56412e-25, 1.56412e-25, 1.56412e-25
0.514164, 0, 1.15164e-06, 5.54529e-25, 1.41421, -1.15164e-06, 0, 5.54529e-25, 5.54529e-25, 5.54529e-25, 5.54529e-25, 5.54529e-25, 5.54529e-25, 2.38497e-11, 5.54529e-25, 5.54529e-25, 5.54529e-25, 3.58521e-09, 5.54529e-25, 5.54529e-25, 3.19861e-11, 9.45264e-11, 5.54529e-25, 1.1479e-06, 5.54529e-25, 5.54529e-25, 5.54529e-25
0.522046, 0, 1.61565e-06, 1.67561e-10, 1.41421, -1.61565e-06, 1.67561e-10, 1.67575e-10, 1.67574e-10, 1.67566e-10, 6.49966e-10, 1.80019e-10, 1.97035e-10, 3.40754e-10, 4.60453e-10, 1.68257e-10, 5.92784e-10, 5.24604e-09, 1.69471e-10, 1.69044e-10, 2.2009e-10, 3.22929e-10, 1.67563e-10, 1.60894e-06, 1.67561e-10, 1.67561e-10, 1.76471e-10
0.529928, 0, 2.25095e-06, 5.98738e-10, 1.41421, -2.25095e-06, 5.98738e-10, 5.98788e-10, 5.98783e-10, 5.98755e-10, 2.32166e-09, 6.43231e-10, 7.04003e-10, 1.14787e-09, 1.64481e-09, 6.01221e-10, 2.11743e-09, 7.74672e-09, 6.05558e-10, 6.04033e-10, 6.84471e-10, 8.52588e-10, 5.98745e-10, 2.23843e-06, 5.98738e-10, 5.98738e-10, 6.3056e-10
0.537811, 0, 3.11674e-06, 1.66891e-09, 1.41421, -3.11674e-06, 1.66891e-09, 1.66905e-09, 1.66903e-09, 1.66896e-09, 6.47379e-09, 1.79299e-09, 1.96247e-09, 3.13489e-09, 4.58619e-09, 1.67583e-09, 5.90424e-09, 1.16671e-08, 1.68793e-09, 1.68368e-09, 1.80789e-09, 2.08086e-09, 1.66893e-09, 3.09222e-06, 1.66891e-09, 1.66891e-09, 1.75765e-09
0.545693, 0, 4.29268e-06, 4.24733e-09, 1.41421, -4.29268e-06, 4.24733e-09, 4.24769e-09, 4.24766e-09, 4.24746e-09, 1.64808e-08, 4.56325e-09, 4.99476e-09, 7.88628e-09, 1.16749e-08, 4.26497e-09, 1.50307e-08, 1.81466e-08, 4.29576e-09, 4.28494e-09, 4.47103e-09, 4.91082e-09, 4.24738e-09, 4.24242e-06, 4.24733e-09, 4.24733e-09, 4.47329e-09
0.553575, 0, 5.88973e-06, 1.02852e-08, 1.41421, -5.88973e-06, 1.02852e-08, 1.02861e-08, 1.0286e-08, 1.02855e-08, 3.99197e-08, 1.10505e-08, 1.20958e-08, 1.89324e-08, 2.82778e-08, 1.03279e-08, 3.6407e-08, 2.94916e-08, 1.04025e-08, 1.03763e-08, 1.06426e-08, 1.13451e-08, 1.02853e-08, 5.78334e-06, 1.02852e-08, 1.02852e-08, 1.08325e-08
0.561457, 0, 8.06881e-06, 2.40361e-08, 1.41421, -8.06881e-06, 2.40361e-08, 2.40381e-08, 2.40379e-08, 2.40368e-08, 9.33112e-08, 2.58251e-08, 2.82686e-08, 4.50901e-08, 6.60964e-08, 2.4136e-08, 8.50997e-08, 5.04187e-08, 2.43103e-08, 2.4249e-08, 2.46027e-08, 2.57167e-08, 2.40364e-08, 7.83884e-06, 2.40361e-08, 2.40361e-08, 2.53156e-08
0.569339, 0, 1.10727e-05, 5.45054e-08, 1.41421, -1.10727e-05, 5.45054e-08, 5.451e-08, 5.45095e-08, 5.4507e-08, 2.11635e-07, 5.85631e-08, 6.41055e-08, 1.04274e-07, 1.49907e-07, 5.47319e-08, 1.9301e-07, 9.0533e-08, 5.51274e-08, 5.49883e-08, 5.53966e-08, 5.7144e-08, 5.4506e-08, 1.05744e-05, 5.45054e-08, 5.45054e-08, 5.74076e-08
0.577222, 0, 1.53092e-05, 1.20204e-07, 1.41421, -1.53092e-05, 1.20204e-07, 1.20214e-07, 1.20213e-07, 1.20208e-07, 4.66806e-07, 1.29155e-07, 1.4138e-07, 2.56496e-07, 3.30643e-07, 1.20704e-07, 4.25722e-07, 1.69118e-07, 1.21576e-07, 1.21269e-07, 1.21595e-07, 1.24308e-07, 1.20205e-07, 1.42165e-05, 1.20204e-07, 1.20204e-07, 1.26606e-07
0.585104, 0, 2.14283e-05, 2.58082e-07, 1.41421, -2.14283e-05, 2.58082e-07, 2.58104e-07, 2.58102e-07, 2.5809e-07, 1.0024e-06, 2.77304e-07, 3.03558e-07, 5.88785e-07, 7.09996e-07, 2.59155e-07, 9.14174e-07, 3.24112e-07, 2.61029e-07, 2.6037e-07, 2.60235e-07, 2.64406e-07, 2.58085e-07, 1.9086e-05, 2.58082e-07, 2.58082e-07, 2.7183e-07
0.592986, 0, 3.05664e-05, 5.3974e-07, 1.41421, -3.05664e-05, 5.3974e-07, 5.39786e-07, 5.39781e-07, 5.39756e-07, 2.09669e-06, 5.79947e-07, 6.34865e-07, 1.29831e-06, 1.48504e-06, 5.41984e-07, 1.91214e-06, 6.28372e-07, 5.45904e-07, 5.44525e-07, 5.43046e-07, 5.4939e-07, 5.39746e-07, 2.56542e-05, 5.3974e-07, 5.3974e-07, 5.68497e-07
0.600868, 0, 4.47155e-05, 1.09988e-06, 1.41421, -4.47155e-05, 1.09988e-06, 1.09997e-06, 1.09996e-06, 1.09991e-06, 4.27332e-06, 1.18183e-06, 1.29377e-06, 2.77934e-06, 3.02664e-06, 1.10446e-06, 3.89716e-06, 1.2182e-06, 1.11244e-06, 1.10963e-06, 1.10492e-06, 1.11447e-06, 1.09989e-06, 3.46391e-05, 1.09988e-06, 1.09988e-06, 1.15849e-06
