   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_305.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.142654, 0, 2.65448e-17, 0, 1.41421, -2.65448e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99496e-20, 0, 0, 0, 1.01518e-20, 0, 2.65046e-17, 0, 0, 0
0.150535, 0, 5.49003e-17, 0, 1.41421, -5.49003e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19419e-20, 0, 0, 0, 2.13501e-20, 0, 5.4817e-17, 0, 0, 0
0.158417, 0, 1.12273e-16, 0, 1.41421, -1.12273e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26672e-19, 0, 0, 0, 4.44055e-20, 0, 1.12102e-16, 0, 0, 0
0.166298, 0, 2.27088e-16, 0, 1.41421, -2.27088e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5621e-19, 0, 0, 0, 9.1368e-20, 0, 2.2674e-16, 0, 0, 0
0.174179, 0, 4.54401e-16, 0, 1.41421, -4.54401e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12671e-19, 0, 0, 0, 1.86038e-19, 0, 4.53702e-16, 0, 0, 0
0.18206, 0, 8.99719e-16, 0, 1.41421, -8.99719e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01509e-18, 0, 0, 0, 3.74952e-19, 0, 8.98329e-16, 0, 0, 0
0.189942, 0, 1.76313e-15, 0, 1.41421, -1.76313e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9892e-18, 0, 0, 0, 7.48219e-19, 0, 1.7604e-15, 0, 0, 0
0.197823, 0, 3.42021e-15, 0, 1.41421, -3.42021e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8587e-18, 0, 0, 0, 1.47863e-18, 0, 3.41487e-15, 0, 0, 0
0.205704, 0, 6.56873e-15, 0, 1.41421, -6.56873e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.4108e-18, 0, 0, 0, 2.89444e-18, 0, 6.55843e-15, 0, 0, 0
0.213586, 0, 1.24921e-14, 0, 1.41421, -1.24921e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40934e-17, 0, 0, 0, 5.61345e-18, 0, 1.24724e-14, 0, 0, 0
0.221467, 0, 2.35275e-14, 0, 1.41421, -2.35275e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65429e-17, 0, 0, 0, 1.07879e-17, 0, 2.34902e-14, 0, 0, 0
0.229348, 0, 4.38888e-14, 0, 1.41421, -4.38888e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95133e-17, 0, 0, 0, 2.05478e-17, 0, 4.38188e-14, 0, 0, 0
0.23723, 0, 8.10999e-14, 0, 1.41421, -8.10999e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.14919e-17, 0, 0, 0, 3.87961e-17, 0, 8.09696e-14, 0, 0, 0
0.245111, 0, 1.48462e-13, 0, 1.41421, -1.48462e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67484e-16, 0, 0, 0, 7.2623e-17, 0, 1.48222e-13, 0, 0, 0
0.252992, 0, 2.6927e-13, 0, 1.41421, -2.6927e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03767e-16, 0, 0, 0, 1.34802e-16, 0, 2.68831e-13, 0, 0, 0
0.260873, 0, 4.83913e-13, 0, 1.41421, -4.83913e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45904e-16, 0, 0, 0, 2.48149e-16, 0, 4.83119e-13, 0, 0, 0
0.268755, 0, 8.61772e-13, 0, 1.41421, -8.61772e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.72162e-16, 0, 0, 0, 4.53102e-16, 0, 8.60347e-13, 0, 0, 0
0.276636, 0, 1.52088e-12, 0, 1.41421, -1.52088e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7157e-15, 0, 0, 0, 8.20819e-16, 0, 1.51835e-12, 0, 0, 0
0.284517, 0, 2.66015e-12, 0, 1.41421, -2.66015e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00092e-15, 0, 0, 0, 1.47544e-15, 0, 2.65567e-12, 0, 0, 0
0.292399, 0, 4.61159e-12, 0, 1.41421, -4.61159e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20245e-15, 0, 0, 0, 2.63205e-15, 0, 4.60376e-12, 0, 0, 0
0.30028, 0, 7.92428e-12, 0, 1.41421, -7.92428e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.93983e-15, 0, 0, 0, 4.66073e-15, 0, 7.91068e-12, 0, 0, 0
0.308161, 0, 1.35051e-11, 0, 1.41421, -1.35051e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52369e-14, 0, 0, 0, 8.20985e-15, 0, 1.34817e-11, 0, 0, 0
0.316043, 0, 2.28017e-11, 0, 1.41421, -2.28017e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57275e-14, 0, 0, 0, 1.43324e-14, 0, 2.27617e-11, 0, 0, 0
0.323924, 0, 3.81659e-11, 9.94922e-44, 1.41421, -3.81659e-11, 9.94922e-44, 0, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 4.30675e-14, 9.94922e-44, 9.94922e-44, 9.94922e-44, 2.48545e-14, 9.94922e-44, 3.8098e-11, 9.94922e-44, 9.94922e-44, 9.94922e-44
0.331805, 0, 6.33355e-11, 1.74462e-42, 1.41421, -6.33355e-11, 1.74462e-42, 0, 1.74462e-42, 1.74462e-42, 1.74462e-42, 1.74462e-42, 1.74462e-42, 1.74462e-42, 1.74462e-42, 1.74462e-42, 1.74462e-42, 1.74462e-42, 7.14796e-14, 1.74462e-42, 1.74462e-42, 1.74462e-42, 4.28274e-14, 1.74462e-42, 6.32212e-11, 1.74462e-42, 1.74462e-42, 1.74462e-42
0.339686, 0, 1.04208e-10, 2.55429e-41, 1.41421, -1.04208e-10, 2.55429e-41, 0, 2.55429e-41, 2.55429e-41, 2.55429e-41, 2.55429e-41, 2.55429e-41, 2.55429e-41, 2.55429e-41, 2.55429e-41, 2.55429e-41, 2.55429e-41, 1.1763e-13, 2.55429e-41, 2.55429e-41, 2.55429e-41, 7.33515e-14, 2.55429e-41, 1.04017e-10, 2.55429e-41, 2.55429e-41, 2.55429e-41
0.347568, 0, 1.70005e-10, 3.31191e-40, 1.41421, -1.70005e-10, 3.31191e-40, 0, 3.31191e-40, 3.31191e-40, 3.31191e-40, 3.31191e-40, 3.31191e-40, 3.31191e-40, 3.31191e-40, 3.31191e-40, 3.31191e-40, 3.31191e-40, 1.9195e-13, 3.31191e-40, 3.31191e-40, 3.31191e-40, 1.24918e-13, 3.31191e-40, 1.69688e-10, 3.31191e-40, 3.31191e-40, 3.31191e-40
0.355449, 0, 2.75008e-10, 3.83835e-39, 1.41421, -2.75008e-10, 3.83835e-39, 0, 3.83835e-39, 3.83835e-39, 3.83835e-39, 3.83835e-39, 3.83835e-39, 3.83835e-39, 3.83835e-39, 3.83835e-39, 3.83835e-39, 3.83835e-39, 3.10608e-13, 3.83835e-39, 3.83835e-39, 3.83835e-39, 2.11611e-13, 3.83835e-39, 2.74486e-10, 3.83835e-39, 3.83835e-39, 3.83835e-39
0.36333, 0, 4.4114e-10, 4.01641e-38, 1.41421, -4.4114e-10, 4.01641e-38, 0, 4.01641e-38, 4.01641e-38, 4.01641e-38, 4.01641e-38, 4.01641e-38, 4.01641e-38, 4.01641e-38, 4.01641e-38, 4.01641e-38, 4.01641e-38, 4.9845e-13, 4.01641e-38, 4.01641e-38, 4.01641e-38, 3.56732e-13, 4.01641e-38, 4.40285e-10, 4.01641e-38, 4.01641e-38, 4.01641e-38
0.371212, 0, 7.01739e-10, 3.81391e-37, 1.41421, -7.01739e-10, 3.81391e-37, 0, 3.81391e-37, 3.81391e-37, 3.81391e-37, 3.81391e-37, 3.81391e-37, 3.81391e-37, 3.81391e-37, 3.81391e-37, 3.81391e-37, 3.81391e-37, 7.9332e-13, 3.81391e-37, 3.81391e-37, 3.81391e-37, 5.98747e-13, 3.81391e-37, 7.00347e-10, 3.81391e-37, 3.81391e-37, 3.81391e-37
0.379093, 0, 1.10705e-09, 3.30961e-36, 1.41421, -1.10705e-09, 3.30961e-36, 0, 3.30961e-36, 3.30961e-36, 3.30961e-36, 3.30961e-36, 3.30961e-36, 3.30961e-36, 3.30961e-36, 3.30961e-36, 3.30961e-36, 3.30961e-36, 1.25234e-12, 3.30961e-36, 3.30961e-36, 3.30961e-36, 1.00106e-12, 3.30961e-36, 1.10479e-09, 3.30961e-36, 3.30961e-36, 3.30961e-36
0.386974, 0, 1.73207e-09, 2.63463e-35, 1.41421, -1.73207e-09, 2.63463e-35, 0, 2.63463e-35, 2.63463e-35, 2.63463e-35, 2.63463e-35, 2.63463e-35, 2.63463e-35, 2.63463e-35, 2.63463e-35, 2.63463e-35, 2.63463e-35, 1.961e-12, 2.63463e-35, 2.63463e-35, 2.63463e-35, 1.66809e-12, 2.63463e-35, 1.72845e-09, 2.63463e-35, 2.63463e-35, 2.63463e-35
0.394856, 0, 2.68784e-09, 1.93251e-34, 1.41421, -2.68784e-09, 1.93251e-34, 0, 1.93251e-34, 1.93251e-34, 1.93251e-34, 1.93251e-34, 1.93251e-34, 1.93251e-34, 1.93251e-34, 1.93251e-34, 1.93251e-34, 1.93251e-34, 3.04614e-12, 1.93251e-34, 1.93251e-34, 1.93251e-34, 2.77176e-12, 1.93251e-34, 2.68203e-09, 1.93251e-34, 1.93251e-34, 1.93251e-34
0.402737, 0, 4.13715e-09, 1.33737e-33, 1.41421, -4.13715e-09, 1.33737e-33, 0, 1.33737e-33, 1.33737e-33, 1.33737e-33, 1.33737e-33, 1.33737e-33, 1.33737e-33, 1.33737e-33, 1.33737e-33, 1.33737e-33, 1.33737e-33, 4.6944e-12, 1.33737e-33, 1.33737e-33, 1.33737e-33, 4.59504e-12, 1.33737e-33, 4.12786e-09, 1.33737e-33, 1.33737e-33, 1.33737e-33
0.410618, 0, 6.3166e-09, 7.81023e-33, 1.41421, -6.3166e-09, 7.81023e-33, 0, 7.81023e-33, 7.81023e-33, 7.81023e-33, 7.81023e-33, 7.81023e-33, 7.81023e-33, 7.81023e-33, 7.81023e-33, 7.81023e-33, 7.81023e-33, 7.17811e-12, 7.81023e-33, 7.81023e-33, 7.81023e-33, 7.60389e-12, 7.81023e-33, 6.30182e-09, 7.81023e-33, 7.81023e-33, 7.81023e-33
0.418499, 0, 9.56705e-09, 4.6429e-32, 1.41421, -9.56705e-09, 4.6429e-32, 0, 4.6429e-32, 4.6429e-32, 4.6429e-32, 4.6429e-32, 4.6429e-32, 4.6429e-32, 4.6429e-32, 4.6429e-32, 4.6429e-32, 4.6429e-32, 1.08915e-11, 4.6429e-32, 4.6429e-32, 4.6429e-32, 1.25655e-11, 4.6429e-32, 9.5436e-09, 4.6429e-32, 4.6429e-32, 4.6429e-32
0.426381, 0, 1.43752e-08, 2.46471e-31, 1.41421, -1.43752e-08, 2.46471e-31, 0, 2.46471e-31, 2.46471e-31, 2.46471e-31, 2.46471e-31, 2.46471e-31, 2.46471e-31, 2.46471e-31, 2.46471e-31, 2.46471e-31, 2.46471e-31, 1.64005e-11, 2.46471e-31, 2.46471e-31, 2.46471e-31, 2.07428e-11, 2.46471e-31, 1.4338e-08, 2.46471e-31, 2.46471e-31, 2.46471e-31
0.434262, 0, 2.14298e-08, 1.28459e-30, 1.41421, -2.14298e-08, 1.28459e-30, 0, 1.28459e-30, 1.28459e-30, 1.28459e-30, 1.28459e-30, 1.28459e-30, 1.28459e-30, 1.28459e-30, 1.28459e-30, 1.28459e-30, 1.28459e-30, 2.45117e-11, 1.28459e-30, 1.28459e-30, 1.28459e-30, 3.42136e-11, 1.28459e-30, 2.13711e-08, 1.28459e-30, 1.28459e-30, 1.28459e-30
0.442143, 0, 3.16975e-08, 6.40336e-30, 1.41421, -3.16975e-08, 6.40336e-30, 0, 6.40336e-30, 6.40336e-30, 6.40336e-30, 6.40336e-30, 6.40336e-30, 6.40336e-30, 6.40336e-30, 6.40336e-30, 6.40336e-30, 6.40336e-30, 3.63661e-11, 6.40336e-30, 6.40336e-30, 6.40336e-30, 5.63919e-11, 6.40336e-30, 3.16047e-08, 6.40336e-30, 6.40336e-30, 6.40336e-30
0.450025, 0, 4.65228e-08, 3.02466e-29, 1.41421, -4.65228e-08, 3.02466e-29, 0, 3.02466e-29, 3.02466e-29, 3.02466e-29, 3.02466e-29, 3.02466e-29, 3.02466e-29, 3.02466e-29, 3.02466e-29, 3.02466e-29, 3.02466e-29, 5.3565e-11, 3.02466e-29, 3.02466e-29, 3.02466e-29, 9.2875e-11, 3.02466e-29, 4.63764e-08, 3.02466e-29, 3.02466e-29, 3.02466e-29
0.457906, 0, 6.77607e-08, 1.38346e-28, 1.41421, -6.77607e-08, 1.38346e-28, 0, 1.38346e-28, 1.38346e-28, 1.38346e-28, 1.38346e-28, 1.38346e-28, 1.38346e-28, 1.38346e-28, 1.38346e-28, 1.38346e-28, 1.38346e-28, 7.83416e-11, 1.38346e-28, 1.38346e-28, 1.38346e-28, 1.52813e-10, 1.38346e-28, 6.75295e-08, 1.38346e-28, 1.38346e-28, 1.38346e-28
0.465787, 0, 9.7948e-08, 6.07097e-28, 1.41421, -9.7948e-08, 6.07097e-28, 0, 6.07097e-28, 6.07097e-28, 6.07097e-28, 6.07097e-28, 6.07097e-28, 6.07097e-28, 6.07097e-28, 6.07097e-28, 6.07097e-28, 6.07097e-28, 1.13788e-10, 6.07097e-28, 6.07097e-28, 6.07097e-28, 2.51104e-10, 6.07097e-28, 9.75831e-08, 6.07097e-28, 6.07097e-28, 6.07097e-28
0.473669, 0, 1.40527e-07, 2.54368e-27, 1.41421, -1.40527e-07, 2.54368e-27, 0, 2.54368e-27, 2.54368e-27, 2.54368e-27, 2.54368e-27, 2.54368e-27, 2.54368e-27, 2.54368e-27, 2.54368e-27, 2.54368e-27, 2.54368e-27, 1.64155e-10, 2.54368e-27, 2.54368e-27, 2.54368e-27, 4.11879e-10, 2.54368e-27, 1.39951e-07, 2.54368e-27, 2.54368e-27, 2.54368e-27
0.48155, 0, 2.00129e-07, 1.01776e-26, 1.41421, -2.00129e-07, 1.01776e-26, 0, 1.01776e-26, 1.01776e-26, 1.01776e-26, 1.01776e-26, 1.01776e-26, 1.01776e-26, 1.01776e-26, 1.01776e-26, 1.01776e-26, 1.01776e-26, 2.35255e-10, 1.01776e-26, 1.01776e-26, 1.01776e-26, 6.74002e-10, 1.01776e-26, 1.99219e-07, 1.01776e-26, 1.01776e-26, 1.01776e-26
0.489431, 0, 2.82937e-07, 3.89213e-26, 1.41421, -2.82937e-07, 3.89213e-26, 0, 3.89213e-26, 3.89213e-26, 3.89213e-26, 3.89213e-26, 3.89213e-26, 3.89213e-26, 1.03218e-12, 3.89213e-26, 3.89213e-26, 3.89213e-26, 3.34978e-10, 3.89213e-26, 3.89213e-26, 3.89213e-26, 1.09961e-09, 3.89213e-26, 2.81501e-07, 3.89213e-26, 3.89213e-26, 3.89213e-26
0.497312, 0, 3.97138e-07, 1.42495e-25, 1.41421, -3.97138e-07, 1.42495e-25, 0, 1.42495e-25, 1.42495e-25, 1.42495e-25, 1.42495e-25, 1.42495e-25, 1.42495e-25, 3.60167e-12, 1.42495e-25, 1.42495e-25, 1.42495e-25, 4.7397e-10, 1.42495e-25, 1.42495e-25, 1.42495e-25, 1.7873e-09, 1.42495e-25, 3.94873e-07, 1.42495e-25, 1.42495e-25, 1.42495e-25
0.505194, 0, 5.53494e-07, 5.03753e-25, 1.41421, -5.53494e-07, 5.03753e-25, 0, 5.03753e-25, 5.03753e-25, 5.03753e-25, 5.03753e-25, 5.03753e-25, 5.03753e-25, 9.78492e-12, 5.03753e-25, 5.03753e-25, 5.03753e-25, 6.66512e-10, 5.03753e-25, 5.03753e-25, 5.03753e-25, 2.89212e-09, 5.03753e-25, 5.49926e-07, 5.03753e-25, 5.03753e-25, 5.03753e-25
0.513075, 0, 7.68427e-07, 1.99199e-10, 1.41421, -7.68427e-07, 2.24004e-10, 1.99199e-10, 1.99202e-10, 1.99359e-10, 9.54961e-10, 2.18688e-10, 1.99608e-10, 2.25797e-10, 2.72024e-10, 4.40137e-10, 2.10077e-10, 1.14059e-09, 1.13086e-09, 2.01266e-10, 2.02307e-10, 1.99199e-10, 4.8548e-09, 1.992e-10, 7.6073e-07, 1.99199e-10, 1.99199e-10, 2.10895e-10
0.520956, 0, 1.06122e-06, 6.92944e-10, 1.41421, -1.06122e-06, 7.7902e-10, 6.92944e-10, 6.92955e-10, 6.93501e-10, 3.31547e-09, 7.60573e-10, 6.94366e-10, 7.8524e-10, 9.18667e-10, 1.52901e-09, 7.30693e-10, 3.95962e-09, 1.98757e-09, 7.00118e-10, 7.03731e-10, 6.92944e-10, 8.14328e-09, 6.92948e-10, 1.04518e-06, 6.92944e-10, 6.92944e-10, 7.33532e-10
0.528838, 0, 1.4602e-06, 1.8755e-09, 1.41421, -1.4602e-06, 2.10819e-09, 1.8755e-09, 1.87553e-09, 1.87701e-09, 8.96496e-09, 2.05832e-09, 1.87934e-09, 2.125e-09, 2.46129e-09, 4.13563e-09, 1.97755e-09, 1.07063e-08, 3.66412e-09, 1.89489e-09, 1.90466e-09, 1.8755e-09, 1.372e-08, 1.87551e-09, 1.42687e-06, 1.8755e-09, 1.8755e-09, 1.98522e-09
0.536719, 0, 2.00575e-06, 4.62875e-09, 1.41421, -2.00575e-06, 5.20255e-09, 4.62875e-09, 4.62882e-09, 4.63246e-09, 2.21112e-08, 5.07958e-09, 4.63823e-09, 5.24402e-09, 6.04018e-09, 1.02022e-08, 4.88039e-09, 2.64053e-08, 7.08587e-09, 4.67657e-09, 4.70065e-09, 4.62875e-09, 2.33242e-08, 4.62878e-09, 1.93606e-06, 4.62875e-09, 4.62875e-09, 4.89932e-09
0.5446, 0, 2.75897e-06, 1.08691e-08, 1.41421, -2.75897e-06, 1.22158e-08, 1.08691e-08, 1.08693e-08, 1.08778e-08, 5.18989e-08, 1.19272e-08, 1.08913e-08, 1.23131e-08, 1.41247e-08, 2.39495e-08, 1.14597e-08, 6.19767e-08, 1.42257e-08, 1.09813e-08, 1.10379e-08, 1.08691e-08, 4.01503e-08, 1.08692e-08, 2.61247e-06, 1.08691e-08, 1.08691e-08, 1.15041e-08
0.552482, 0, 3.81734e-06, 2.46505e-08, 1.41421, -3.81734e-06, 2.77036e-08, 2.46505e-08, 2.46509e-08, 2.46703e-08, 1.17669e-07, 2.70493e-08, 2.4701e-08, 2.79242e-08, 3.24216e-08, 5.43049e-08, 2.59895e-08, 1.40516e-07, 2.92107e-08, 2.4905e-08, 2.50331e-08, 2.46505e-08, 7.02035e-08, 2.46507e-08, 3.50871e-06, 2.46505e-08, 2.46505e-08, 2.60901e-08
0.560363, 0, 5.34275e-06, 5.43171e-08, 1.41421, -5.34275e-06, 6.10424e-08, 5.43171e-08, 5.4318e-08, 5.43607e-08, 2.59221e-07, 5.96012e-08, 5.44282e-08, 6.15285e-08, 7.23474e-08, 1.19641e-07, 5.72666e-08, 3.0955e-07, 6.04787e-08, 5.48776e-08, 5.51599e-08, 5.43171e-08, 1.24524e-07, 5.43175e-08, 4.69599e-06, 5.43171e-08, 5.43171e-08, 5.74884e-08
0.568244, 0, 7.62459e-06, 1.16581e-07, 1.41421, -7.62459e-06, 1.31012e-07, 1.16581e-07, 1.16583e-07, 1.16675e-07, 5.56256e-07, 1.2792e-07, 1.1682e-07, 1.32055e-07, 1.66566e-07, 2.56751e-07, 1.2291e-07, 6.64251e-07, 1.24862e-07, 1.17784e-07, 1.1839e-07, 1.16581e-07, 2.23851e-07, 1.16582e-07, 6.27382e-06, 1.16581e-07, 1.16581e-07, 1.23386e-07
0.576125, 0, 1.11603e-05, 2.44015e-07, 1.41421, -1.11603e-05, 2.74213e-07, 2.44015e-07, 2.44019e-07, 2.4421e-07, 1.16407e-06, 2.67741e-07, 2.44514e-07, 2.76395e-07, 3.64327e-07, 5.37329e-07, 2.57258e-07, 1.39005e-06, 2.55084e-07, 2.46532e-07, 2.47799e-07, 2.44015e-07, 4.06478e-07, 2.44016e-07, 8.3863e-06, 2.44015e-07, 2.44015e-07, 2.58254e-07
0.584007, 0, 1.6845e-05, 4.98381e-07, 1.41421, -1.6845e-05, 5.60042e-07, 4.98381e-07, 4.98389e-07, 4.9878e-07, 2.37705e-06, 5.46828e-07, 4.99399e-07, 5.64498e-07, 7.70403e-07, 1.0973e-06, 5.25423e-07, 2.8385e-06, 5.13099e-07, 5.0352e-07, 5.06108e-07, 4.98381e-07, 7.42276e-07, 4.98384e-07, 1.125e-05, 4.98381e-07, 4.98381e-07, 5.27456e-07
0.591888, 0, 2.62735e-05, 9.9372e-07, 1.41421, -2.62735e-05, 1.11663e-06, 9.9372e-07, 9.93736e-07, 9.94515e-07, 4.73864e-06, 1.09029e-06, 9.9575e-07, 1.12552e-06, 1.58867e-06, 2.18761e-06, 1.04762e-06, 5.65848e-06, 1.01319e-06, 1.00396e-06, 1.00912e-06, 9.9372e-07, 1.35668e-06, 9.93726e-07, 1.52009e-05, 9.9372e-07, 9.9372e-07, 1.05168e-06
