   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_117.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.331288, 0, 1.43528e-10, 1.36282e-40, 1.41421, -1.43528e-10, 1.36282e-40, 0, 1.36282e-40, 1.36282e-40, 1.36282e-40, 1.36282e-40, 1.36282e-40, 1.36282e-40, 1.36282e-40, 1.36282e-40, 1.36282e-40, 1.36282e-40, 9.96644e-13, 1.36282e-40, 1.36282e-40, 3.25006e-15, 9.41729e-12, 1.36282e-40, 1.33111e-10, 1.36282e-40, 1.36282e-40, 1.36282e-40
0.339175, 0, 2.24214e-10, 1.57345e-39, 1.41421, -2.24214e-10, 1.57345e-39, 0, 1.57345e-39, 1.57345e-39, 1.57345e-39, 1.57345e-39, 1.57345e-39, 1.57345e-39, 1.57345e-39, 1.57345e-39, 1.57345e-39, 1.57345e-39, 1.55234e-12, 1.57345e-39, 1.57345e-39, 5.29936e-15, 1.54307e-11, 1.57345e-39, 2.07226e-10, 1.57345e-39, 1.57345e-39, 1.57345e-39
0.347063, 0, 3.47893e-10, 1.63882e-38, 1.41421, -3.47893e-10, 1.63882e-38, 0, 1.63882e-38, 1.63882e-38, 1.63882e-38, 1.63882e-38, 1.63882e-38, 1.63882e-38, 1.63882e-38, 1.63882e-38, 1.63882e-38, 1.63882e-38, 2.4008e-12, 1.63882e-38, 1.63882e-38, 8.61362e-15, 2.51907e-11, 1.63882e-38, 3.20293e-10, 1.63882e-38, 1.63882e-38, 1.63882e-38
0.35495, 0, 5.36204e-10, 1.54834e-37, 1.41421, -5.36204e-10, 1.54834e-37, 0, 1.54834e-37, 1.54834e-37, 1.54834e-37, 1.54834e-37, 1.54834e-37, 1.54834e-37, 1.54834e-37, 1.54834e-37, 1.54834e-37, 1.54834e-37, 3.68697e-12, 1.54834e-37, 1.54834e-37, 1.39631e-14, 4.09873e-11, 1.54834e-37, 4.91516e-10, 1.54834e-37, 1.54834e-37, 1.54834e-37
0.362838, 0, 8.2105e-10, 1.33424e-36, 1.41421, -8.2105e-10, 1.33424e-36, 0, 1.33424e-36, 1.33424e-36, 1.33424e-36, 1.33424e-36, 1.33424e-36, 1.33424e-36, 1.33424e-36, 1.33424e-36, 1.33424e-36, 1.33424e-36, 5.62285e-12, 1.33424e-36, 1.33424e-36, 2.25848e-14, 6.64932e-11, 1.33424e-36, 7.48911e-10, 1.33424e-36, 1.33424e-36, 1.33424e-36
0.370725, 0, 1.24917e-09, 1.05384e-35, 1.41421, -1.24917e-09, 1.05384e-35, 0, 1.05384e-35, 1.05384e-35, 1.05384e-35, 1.05384e-35, 1.05384e-35, 1.05384e-35, 1.05384e-35, 1.05384e-35, 1.05384e-35, 1.05384e-35, 8.51613e-12, 1.05384e-35, 1.05384e-35, 3.6466e-14, 1.07594e-10, 1.05384e-35, 1.13302e-09, 1.05384e-35, 1.05384e-35, 1.05384e-35
0.378612, 0, 1.88867e-09, 7.66665e-35, 1.41421, -1.88867e-09, 7.66665e-35, 0, 7.66665e-35, 7.66665e-35, 7.66665e-35, 7.66665e-35, 7.66665e-35, 7.66665e-35, 7.66665e-35, 7.66665e-35, 7.66665e-35, 7.66665e-35, 1.28102e-11, 7.66665e-35, 7.66665e-35, 5.88006e-14, 1.73715e-10, 7.66665e-35, 1.70209e-09, 7.66665e-35, 7.66665e-35, 7.66665e-35
0.3865, 0, 2.83824e-09, 5.26267e-34, 1.41421, -2.83824e-09, 5.26267e-34, 0, 5.26267e-34, 5.26267e-34, 5.26267e-34, 5.26267e-34, 5.26267e-34, 5.26267e-34, 5.26267e-34, 5.26267e-34, 5.26267e-34, 5.26267e-34, 1.91396e-11, 5.26267e-34, 5.26267e-34, 9.47231e-14, 2.79947e-10, 5.26267e-34, 2.53906e-09, 5.26267e-34, 5.26267e-34, 5.26267e-34
0.394387, 0, 4.24024e-09, 3.56328e-33, 1.41421, -4.24024e-09, 3.56328e-33, 0, 3.56328e-33, 3.56328e-33, 3.56328e-33, 3.56328e-33, 3.56328e-33, 3.56328e-33, 3.56328e-33, 3.56328e-33, 3.56328e-33, 3.56328e-33, 2.84057e-11, 3.56328e-33, 3.56328e-33, 1.52489e-13, 4.5043e-10, 3.56328e-33, 3.76125e-09, 3.56328e-33, 3.56328e-33, 3.56328e-33
0.402275, 0, 6.29909e-09, 2.28057e-32, 1.41421, -6.29909e-09, 2.28057e-32, 0, 2.28057e-32, 2.28057e-32, 2.28057e-32, 2.28057e-32, 2.28057e-32, 2.28057e-32, 2.28057e-32, 2.28057e-32, 2.28057e-32, 2.28057e-32, 4.18805e-11, 2.28057e-32, 2.28057e-32, 2.45369e-13, 7.23767e-10, 2.28057e-32, 5.5332e-09, 2.28057e-32, 2.28057e-32, 2.28057e-32
