   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_101.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0788972, 0, 8.42779e-18, 0, 1.41421, -8.42779e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08377e-20, 0, 0, 1.39867e-22, 0, 2.06208e-19, 0, 8.1906e-18, 0, 0
0.0867837, 0, 1.6374e-17, 0, 1.41421, -1.6374e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98874e-20, 0, 0, 2.76296e-22, 0, 4.07513e-19, 0, 1.59063e-17, 0, 0
0.0946702, 0, 3.15227e-17, 0, 1.41421, -3.15227e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15242e-19, 0, 0, 5.40915e-22, 0, 7.98198e-19, 0, 3.06087e-17, 0, 0
0.102557, 0, 6.01457e-17, 0, 1.41421, -6.01457e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19782e-19, 0, 0, 1.04971e-21, 0, 1.54995e-18, 0, 5.83749e-17, 0, 0
0.110443, 0, 1.13757e-16, 0, 1.41421, -1.13757e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15488e-19, 0, 0, 2.01966e-21, 0, 2.9844e-18, 0, 1.10355e-16, 0, 0
0.11833, 0, 2.1532e-16, 0, 1.41421, -2.1532e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85964e-19, 0, 0, 3.90247e-21, 0, 5.77476e-18, 0, 2.08755e-16, 0, 0
0.126216, 0, 3.99935e-16, 0, 1.41421, -3.99935e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4591e-18, 0, 0, 7.37484e-21, 0, 1.09261e-17, 0, 3.87543e-16, 0, 0
0.134103, 0, 7.3678e-16, 0, 1.41421, -7.3678e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68658e-18, 0, 0, 1.38262e-20, 0, 2.05133e-17, 0, 7.13566e-16, 0, 0
0.141989, 0, 1.34642e-15, 0, 1.41421, -1.34642e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90678e-18, 0, 0, 2.57184e-20, 0, 3.82216e-17, 0, 1.30326e-15, 0, 0
0.149876, 0, 2.44096e-15, 0, 1.41421, -2.44096e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89041e-18, 0, 0, 4.74712e-20, 0, 7.06888e-17, 0, 2.36134e-15, 0, 0
0.157762, 0, 4.39066e-15, 0, 1.41421, -4.39066e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59817e-17, 0, 0, 8.69581e-20, 0, 1.29785e-16, 0, 4.24481e-15, 0, 0
0.165649, 0, 7.83656e-15, 0, 1.41421, -7.83656e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85058e-17, 0, 0, 1.58099e-19, 0, 2.36583e-16, 0, 7.57131e-15, 0, 0
0.173535, 0, 1.38799e-14, 0, 1.41421, -1.38799e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04541e-17, 0, 0, 2.85328e-19, 0, 4.2824e-16, 0, 1.34009e-14, 0, 0
