   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_96.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.111811, 0, 9.78641e-16, 0, 1.41421, -9.78641e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45471e-18, 0, 0, 1.36033e-20, 2.4522e-18, 0, 9.70721e-16, 0, 0
0.119692, 0, 1.72728e-15, 0, 1.41421, -1.72728e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62691e-18, 0, 0, 2.44507e-20, 4.41509e-18, 0, 1.71321e-15, 0, 0
0.127573, 0, 3.02737e-15, 0, 1.41421, -3.02737e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6872e-17, 0, 0, 4.36513e-20, 7.89828e-18, 0, 3.00256e-15, 0, 0
0.135454, 0, 5.26954e-15, 0, 1.41421, -5.26954e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93663e-17, 0, 0, 7.74109e-20, 1.40407e-17, 0, 5.22606e-15, 0, 0
0.143335, 0, 9.10999e-15, 0, 1.41421, -9.10999e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.07655e-17, 0, 0, 1.36379e-19, 2.4806e-17, 0, 9.03428e-15, 0, 0
0.151216, 0, 1.56434e-14, 0, 1.41421, -1.56434e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71675e-17, 0, 0, 2.38718e-19, 4.35596e-17, 0, 1.55124e-14, 0, 0
0.159097, 0, 2.66834e-14, 0, 1.41421, -2.66834e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48674e-16, 0, 0, 4.15198e-19, 7.60344e-17, 0, 2.64582e-14, 0, 0
0.166978, 0, 4.5214e-14, 0, 1.41421, -4.5214e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51906e-16, 0, 0, 7.17614e-19, 1.31941e-16, 0, 4.48294e-14, 0, 0
0.174859, 0, 7.61114e-14, 0, 1.41421, -7.61114e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24019e-16, 0, 0, 1.23262e-18, 2.27628e-16, 0, 7.54585e-14, 0, 0
0.18274, 0, 1.2729e-13, 0, 1.41421, -1.2729e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.09085e-16, 0, 0, 2.10432e-18, 3.90471e-16, 0, 1.26188e-13, 0, 0
0.190621, 0, 2.11506e-13, 0, 1.41421, -2.11506e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17814e-15, 0, 0, 3.57086e-18, 6.66046e-16, 0, 2.09658e-13, 0, 0
0.198502, 0, 3.49185e-13, 0, 1.41421, -3.49185e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94489e-15, 0, 0, 6.02357e-18, 1.12991e-15, 0, 3.46104e-13, 0, 0
0.206383, 0, 5.72807e-13, 0, 1.41421, -5.72807e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19019e-15, 0, 0, 1.01019e-17, 1.90647e-15, 0, 5.67701e-13, 0, 0
0.214264, 0, 9.33673e-13, 0, 1.41421, -9.33673e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19961e-15, 0, 0, 1.68446e-17, 3.1996e-15, 0, 9.25257e-13, 0, 0
0.222145, 0, 1.51227e-12, 0, 1.41421, -1.51227e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.42121e-15, 0, 0, 2.79308e-17, 5.34182e-15, 0, 1.49848e-12, 0, 0
0.230026, 0, 2.43403e-12, 0, 1.41421, -2.43403e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35531e-14, 0, 0, 4.60607e-17, 8.87262e-15, 0, 2.41156e-12, 0, 0
0.237907, 0, 3.89581e-12, 0, 1.41421, -3.89581e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16914e-14, 0, 0, 7.57175e-17, 1.46989e-14, 0, 3.85934e-12, 0, 0
0.245788, 0, 6.19162e-12, 0, 1.41421, -6.19162e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44724e-14, 0, 0, 1.23557e-16, 2.417e-14, 0, 6.13285e-12, 0, 0
0.253669, 0, 9.77938e-12, 0, 1.41421, -9.77938e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44453e-14, 0, 0, 2.00628e-16, 3.95556e-14, 0, 9.68518e-12, 0, 0
0.26155, 0, 1.53507e-11, 0, 1.41421, -1.53507e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54606e-14, 0, 0, 3.24232e-16, 6.44378e-14, 0, 1.52005e-11, 0, 0
0.269431, 0, 2.39476e-11, 0, 1.41421, -2.39476e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3332e-13, 0, 0, 5.21623e-16, 1.04505e-13, 0, 2.37093e-11, 0, 0
0.277312, 0, 3.71299e-11, 0, 1.41421, -3.71299e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06711e-13, 0, 0, 8.35616e-16, 1.68762e-13, 0, 3.67536e-11, 0, 0
0.285193, 0, 5.72163e-11, 3.78351e-44, 1.41421, -5.72163e-11, 0, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.1855e-13, 3.78351e-44, 3.78351e-44, 1.33328e-15, 2.71412e-13, 3.78351e-44, 5.6625e-11, 3.78351e-44, 3.78351e-44
0.293074, 0, 8.76315e-11, 6.34788e-43, 1.41421, -8.76315e-11, 0, 6.34788e-43, 6.34788e-43, 6.34788e-43, 6.34788e-43, 6.34788e-43, 6.34788e-43, 6.34788e-43, 6.34788e-43, 6.34788e-43, 6.34788e-43, 6.34788e-43, 4.87924e-13, 6.34788e-43, 6.34788e-43, 2.11953e-15, 4.34797e-13, 6.34788e-43, 8.67066e-11, 6.34788e-43, 6.34788e-43
0.300955, 0, 1.33399e-10, 9.00194e-42, 1.41421, -1.33399e-10, 0, 9.00194e-42, 9.00194e-42, 9.00194e-42, 9.00194e-42, 9.00194e-42, 9.00194e-42, 9.00194e-42, 9.00194e-42, 9.00194e-42, 9.00194e-42, 9.00194e-42, 7.42845e-13, 9.00194e-42, 9.00194e-42, 3.35814e-15, 6.93969e-13, 9.00194e-42, 1.31959e-10, 9.00194e-42, 9.00194e-42
0.308836, 0, 2.01841e-10, 1.12863e-40, 1.41421, -2.01841e-10, 0, 1.12863e-40, 1.12863e-40, 1.12863e-40, 1.12863e-40, 1.12863e-40, 1.12863e-40, 1.12863e-40, 1.12863e-40, 1.12863e-40, 1.12863e-40, 1.12863e-40, 1.12416e-12, 1.12863e-40, 1.12863e-40, 5.30461e-15, 1.10379e-12, 1.12863e-40, 1.99607e-10, 1.12863e-40, 1.12863e-40
0.316717, 0, 3.03553e-10, 1.26943e-39, 1.41421, -3.03553e-10, 0, 1.26943e-39, 1.26943e-39, 1.26943e-39, 1.26943e-39, 1.26943e-39, 1.26943e-39, 1.26943e-39, 1.26943e-39, 1.26943e-39, 1.26943e-39, 1.26943e-39, 1.69106e-12, 1.26943e-39, 1.26943e-39, 8.35726e-15, 1.74997e-12, 1.26943e-39, 3.00104e-10, 1.26943e-39, 1.26943e-39
0.324598, 0, 4.53779e-10, 1.28907e-38, 1.41421, -4.53779e-10, 0, 1.28907e-38, 1.28907e-38, 1.28907e-38, 1.28907e-38, 1.28907e-38, 1.28907e-38, 1.28907e-38, 1.28907e-38, 1.28907e-38, 1.28907e-38, 1.28907e-38, 2.52872e-12, 1.28907e-38, 1.28907e-38, 1.31371e-14, 2.76616e-12, 1.28907e-38, 4.4847e-10, 1.28907e-38, 1.28907e-38
0.332479, 0, 6.74287e-10, 1.18812e-37, 1.41421, -6.74287e-10, 0, 1.18812e-37, 1.18812e-37, 1.18812e-37, 1.18812e-37, 1.18812e-37, 1.18812e-37, 1.18812e-37, 1.18812e-37, 1.18812e-37, 1.18812e-37, 1.18812e-37, 3.75901e-12, 1.18812e-37, 1.18812e-37, 2.06121e-14, 4.36051e-12, 1.18812e-37, 6.66147e-10, 1.18812e-37, 1.18812e-37
0.34036, 0, 9.95981e-10, 9.99448e-37, 1.41421, -9.95981e-10, 0, 9.99448e-37, 9.99448e-37, 9.99448e-37, 9.99448e-37, 9.99448e-37, 9.99448e-37, 9.99448e-37, 9.99448e-37, 9.99448e-37, 9.99448e-37, 9.99448e-37, 5.55515e-12, 9.99448e-37, 9.99448e-37, 3.22927e-14, 6.85682e-12, 9.99448e-37, 9.83537e-10, 9.99448e-37, 9.99448e-37
0.348241, 0, 1.46243e-09, 7.71154e-36, 1.41421, -1.46243e-09, 0, 7.71154e-36, 7.71154e-36, 7.71154e-36, 7.71154e-36, 7.71154e-36, 7.71154e-36, 7.71154e-36, 7.71154e-36, 7.71154e-36, 7.71154e-36, 7.71154e-36, 8.16178e-12, 7.71154e-36, 7.71154e-36, 5.05356e-14, 1.07582e-11, 7.71154e-36, 1.44346e-09, 7.71154e-36, 7.71154e-36
0.356122, 0, 2.13466e-09, 5.48369e-35, 1.41421, -2.13466e-09, 0, 5.48369e-35, 5.48369e-35, 5.48369e-35, 5.48369e-35, 5.48369e-35, 5.48369e-35, 5.48369e-35, 5.48369e-35, 5.48369e-35, 5.48369e-35, 5.48369e-35, 1.19224e-11, 5.48369e-35, 5.48369e-35, 7.90217e-14, 1.68457e-11, 5.48369e-35, 2.10581e-09, 5.48369e-35, 5.48369e-35
0.364003, 0, 3.09763e-09, 3.71558e-34, 1.41421, -3.09763e-09, 0, 3.71558e-34, 3.71558e-34, 3.71558e-34, 3.71558e-34, 3.71558e-34, 3.71558e-34, 3.71558e-34, 3.71558e-34, 3.71558e-34, 3.71558e-34, 3.71558e-34, 1.73163e-11, 3.71558e-34, 3.71558e-34, 1.23501e-13, 2.63307e-11, 3.71558e-34, 3.05386e-09, 3.71558e-34, 3.71558e-34
0.371884, 0, 4.46882e-09, 2.46943e-33, 1.41421, -4.46882e-09, 0, 2.46943e-33, 2.46943e-33, 2.46943e-33, 2.46943e-33, 2.46943e-33, 2.46943e-33, 2.46943e-33, 2.46943e-33, 2.46943e-33, 2.46943e-33, 2.46943e-33, 2.50083e-11, 2.46943e-33, 2.46943e-33, 1.9296e-13, 4.10905e-11, 2.46943e-33, 4.40253e-09, 2.46943e-33, 2.46943e-33
0.379765, 0, 6.40971e-09, 1.54823e-32, 1.41421, -6.40971e-09, 0, 1.54823e-32, 1.54823e-32, 1.54823e-32, 1.54823e-32, 1.54823e-32, 1.54823e-32, 1.54823e-32, 1.54823e-32, 1.54823e-32, 1.54823e-32, 1.54823e-32, 3.59152e-11, 1.54823e-32, 1.54823e-32, 3.01439e-13, 6.40303e-11, 1.54823e-32, 6.30946e-09, 1.54823e-32, 1.54823e-32
0.387646, 0, 9.14083e-09, 9.07375e-32, 1.41421, -9.14083e-09, 0, 9.07375e-32, 9.07375e-32, 9.07375e-32, 9.07375e-32, 9.07375e-32, 9.07375e-32, 9.07375e-32, 9.07375e-32, 9.07375e-32, 9.07375e-32, 9.07375e-32, 5.12943e-11, 9.07375e-32, 9.07375e-32, 4.70864e-13, 9.96408e-11, 9.07375e-32, 8.98942e-09, 9.07375e-32, 9.07375e-32
0.395527, 0, 1.29615e-08, 4.97257e-31, 1.41421, -1.29615e-08, 0, 4.97257e-31, 4.97257e-31, 4.97257e-31, 4.97257e-31, 4.97257e-31, 4.97257e-31, 4.97257e-31, 4.97257e-31, 4.97257e-31, 4.97257e-31, 4.97257e-31, 7.28597e-11, 4.97257e-31, 4.97257e-31, 7.35442e-13, 1.5485e-10, 4.97257e-31, 1.27331e-08, 4.97257e-31, 4.97257e-31
0.403408, 0, 1.82758e-08, 2.55449e-30, 1.41421, -1.82758e-08, 0, 2.55449e-30, 2.55449e-30, 2.55449e-30, 2.55449e-30, 2.55449e-30, 2.55449e-30, 2.55449e-30, 2.55449e-30, 2.55449e-30, 2.55449e-30, 2.55449e-30, 1.02936e-10, 2.55449e-30, 2.55449e-30, 1.14845e-12, 2.40326e-10, 2.55449e-30, 1.79314e-08, 2.55449e-30, 2.55449e-30
0.411289, 0, 2.56253e-08, 1.23384e-29, 1.41421, -2.56253e-08, 0, 1.23384e-29, 1.23384e-29, 1.23384e-29, 1.23384e-29, 1.23384e-29, 1.23384e-29, 1.23384e-29, 1.23384e-29, 1.23384e-29, 1.23384e-29, 1.23384e-29, 1.44659e-10, 1.23384e-29, 1.23384e-29, 1.7927e-12, 3.72446e-10, 1.23384e-29, 2.51064e-08, 1.23384e-29, 1.23384e-29
0.41917, 0, 3.57329e-08, 5.62189e-29, 1.41421, -3.57329e-08, 0, 5.62189e-29, 5.62189e-29, 5.62189e-29, 5.62189e-29, 5.62189e-29, 5.62189e-29, 5.62189e-29, 5.62189e-29, 5.62189e-29, 5.62189e-29, 5.62189e-29, 2.02236e-10, 5.62189e-29, 5.62189e-29, 2.79652e-12, 5.76288e-10, 5.62189e-29, 3.49516e-08, 5.62189e-29, 5.62189e-29
0.427051, 0, 4.95567e-08, 2.42373e-28, 1.41421, -4.95567e-08, 0, 2.42373e-28, 2.42373e-28, 2.42373e-28, 2.42373e-28, 2.42373e-28, 2.42373e-28, 2.42373e-28, 2.42373e-28, 2.42373e-28, 2.42373e-28, 2.42373e-28, 2.81286e-10, 2.42373e-28, 2.42373e-28, 4.35821e-12, 8.90089e-10, 2.42373e-28, 4.8381e-08, 2.42373e-28, 2.42373e-28
0.434932, 0, 6.83607e-08, 9.91592e-28, 1.41421, -6.83607e-08, 0, 9.91592e-28, 9.91592e-28, 9.91592e-28, 9.91592e-28, 9.91592e-28, 9.91592e-28, 9.91592e-28, 9.91592e-28, 9.91592e-28, 9.91592e-28, 9.91592e-28, 3.89272e-10, 9.91592e-28, 9.91592e-28, 6.78292e-12, 1.37193e-09, 9.91592e-28, 6.65928e-08, 9.91592e-28, 9.91592e-28
0.442813, 0, 9.38032e-08, 3.86036e-27, 1.41421, -9.38032e-08, 0, 3.86036e-27, 3.86036e-27, 3.86036e-27, 3.86036e-27, 3.86036e-27, 3.86036e-27, 3.86036e-27, 3.86036e-27, 3.86036e-27, 3.86036e-27, 3.86036e-27, 5.36062e-10, 3.86036e-27, 3.86036e-27, 1.05382e-11, 2.10956e-09, 3.86036e-27, 9.1147e-08, 3.86036e-27, 3.86036e-27
0.450694, 0, 1.28049e-07, 1.43387e-26, 1.41421, -1.28049e-07, 0, 1.43387e-26, 1.43387e-26, 1.43387e-26, 1.43387e-26, 1.43387e-26, 1.43387e-26, 1.43387e-26, 8.27159e-14, 1.43387e-26, 1.43387e-26, 1.43387e-26, 7.3464e-10, 1.43387e-26, 1.43387e-26, 1.63371e-11, 3.23493e-09, 1.43387e-26, 1.24063e-07, 1.43387e-26, 1.43387e-26
0.458575, 0, 1.73908e-07, 5.09375e-26, 1.41421, -1.73908e-07, 0, 5.09375e-26, 5.09375e-26, 5.09375e-26, 5.09375e-26, 5.09375e-26, 5.09375e-26, 5.09375e-26, 2.66793e-13, 5.09375e-26, 5.09375e-26, 5.09375e-26, 1.00201e-09, 5.09375e-26, 5.09375e-26, 2.5261e-11, 4.94515e-09, 5.09375e-26, 1.67935e-07, 5.09375e-26, 5.09375e-26
0.466456, 0, 2.35016e-07, 1.74922e-25, 1.41421, -2.35016e-07, 0, 1.74922e-25, 1.74922e-25, 1.74922e-25, 1.74922e-25, 1.74922e-25, 1.74922e-25, 1.74922e-25, 6.67581e-13, 1.74922e-25, 1.74922e-25, 1.74922e-25, 1.36034e-09, 1.74922e-25, 1.74922e-25, 3.89413e-11, 7.53291e-09, 1.74922e-25, 2.26083e-07, 1.74922e-25, 1.74922e-25
0.474337, 0, 3.17745e-07, 4.13806e-10, 1.41421, -3.17745e-07, 4.13806e-10, 4.13817e-10, 4.13833e-10, 4.14347e-10, 4.14464e-10, 4.13905e-10, 4.14457e-10, 4.14e-10, 4.18999e-10, 4.23743e-10, 4.17666e-10, 1.63387e-09, 2.25224e-09, 4.14851e-10, 4.13851e-10, 4.7363e-10, 1.18434e-08, 4.13807e-10, 3.03162e-07, 4.13806e-10, 4.26325e-10
0.482218, 0, 4.28458e-07, 1.32939e-09, 1.41421, -4.28458e-07, 1.32939e-09, 1.32942e-09, 1.32947e-09, 1.33113e-09, 1.3315e-09, 1.3297e-09, 1.33148e-09, 1.33001e-09, 1.3445e-09, 1.36134e-09, 1.3418e-09, 5.25233e-09, 3.80282e-09, 1.33275e-09, 1.32953e-09, 1.42095e-09, 1.85962e-08, 1.32939e-09, 4.04593e-07, 1.32939e-09, 1.36964e-09
0.490099, 0, 5.77206e-07, 3.31625e-09, 1.41421, -5.77206e-07, 3.31625e-09, 3.31634e-09, 3.31646e-09, 3.32059e-09, 3.32153e-09, 3.31704e-09, 3.32147e-09, 3.3178e-09, 3.3527e-09, 3.39601e-09, 3.34723e-09, 1.31097e-08, 6.62937e-09, 3.32463e-09, 3.3166e-09, 3.4558e-09, 2.92772e-08, 3.31626e-09, 5.37725e-07, 3.31625e-09, 3.41673e-09
0.49798, 0, 7.78541e-07, 7.54513e-09, 1.41421, -7.78541e-07, 7.54513e-09, 7.54533e-09, 7.54562e-09, 7.55501e-09, 7.55716e-09, 7.54693e-09, 7.55702e-09, 7.54867e-09, 7.6266e-09, 7.72676e-09, 7.61567e-09, 2.98456e-08, 1.19638e-08, 7.56422e-09, 7.54594e-09, 7.75685e-09, 4.63772e-08, 7.54515e-09, 7.12156e-07, 7.54513e-09, 7.77394e-09
0.505861, 0, 1.05458e-06, 1.63808e-08, 1.41421, -1.05458e-06, 1.63808e-08, 1.63813e-08, 1.63819e-08, 1.64023e-08, 1.6407e-08, 1.63848e-08, 1.64067e-08, 1.63885e-08, 1.65555e-08, 1.67754e-08, 1.65341e-08, 6.48239e-08, 2.22487e-08, 1.64223e-08, 1.63826e-08, 1.67005e-08, 7.41448e-08, 1.63809e-08, 9.40837e-07, 1.63808e-08, 1.68779e-08
0.513742, 0, 1.44041e-06, 3.44976e-08, 1.41421, -1.44041e-06, 3.44976e-08, 3.44986e-08, 3.44999e-08, 3.45429e-08, 3.45527e-08, 3.45059e-08, 3.4552e-08, 3.45138e-08, 3.48955e-08, 3.53289e-08, 3.48205e-08, 1.3656e-07, 4.22571e-08, 3.4585e-08, 3.45013e-08, 3.49778e-08, 1.20016e-07, 3.44977e-08, 1.24171e-06, 3.44976e-08, 3.55448e-08
0.521623, 0, 1.99313e-06, 7.095e-08, 1.41421, -1.99313e-06, 7.095e-08, 7.09519e-08, 7.09546e-08, 7.1043e-08, 7.10632e-08, 7.0967e-08, 7.10619e-08, 7.09833e-08, 7.18339e-08, 7.26602e-08, 7.16142e-08, 2.80925e-07, 8.1168e-08, 7.11297e-08, 7.09576e-08, 7.16675e-08, 1.96704e-07, 7.09501e-08, 1.64049e-06, 7.095e-08, 7.31044e-08
0.529504, 0, 2.80956e-06, 1.42926e-07, 1.41421, -2.80956e-06, 1.42926e-07, 1.4293e-07, 1.42936e-07, 1.43114e-07, 1.43155e-07, 1.42961e-07, 1.43152e-07, 1.42994e-07, 1.45449e-07, 1.46372e-07, 1.44265e-07, 5.66027e-07, 1.56326e-07, 1.43289e-07, 1.42942e-07, 1.43993e-07, 3.26692e-07, 1.42927e-07, 2.17545e-06, 1.42926e-07, 1.47268e-07
0.537385, 0, 4.05375e-06, 2.82389e-07, 1.41421, -4.05375e-06, 2.82389e-07, 2.82397e-07, 2.82408e-07, 2.8276e-07, 2.8284e-07, 2.82457e-07, 2.82835e-07, 2.82522e-07, 2.88314e-07, 2.892e-07, 2.85034e-07, 1.11854e-06, 2.99889e-07, 2.83105e-07, 2.8242e-07, 2.83965e-07, 5.49206e-07, 2.8239e-07, 2.90551e-06, 2.82389e-07, 2.90969e-07
0.545266, 0, 6.00791e-06, 5.47574e-07, 1.41421, -6.00791e-06, 5.47574e-07, 5.47588e-07, 5.47609e-07, 5.48292e-07, 5.48448e-07, 5.47705e-07, 5.48438e-07, 5.47831e-07, 5.60452e-07, 5.60782e-07, 5.52704e-07, 2.16929e-06, 5.70336e-07, 5.48962e-07, 5.47633e-07, 5.49889e-07, 9.32445e-07, 5.47575e-07, 3.92403e-06, 5.47574e-07, 5.64213e-07
0.553147, 0, 9.15556e-06, 1.0424e-06, 1.41421, -9.15556e-06, 1.0424e-06, 1.04243e-06, 1.04247e-06, 1.04377e-06, 1.04407e-06, 1.04265e-06, 1.04405e-06, 1.04289e-06, 1.06921e-06, 1.06755e-06, 1.05217e-06, 4.13033e-06, 1.07189e-06, 1.04504e-06, 1.04251e-06, 1.04578e-06, 1.5939e-06, 1.0424e-06, 5.38158e-06, 1.0424e-06, 1.07409e-06
0.561028, 0, 1.43192e-05, 1.94852e-06, 1.41421, -1.43192e-05, 1.94852e-06, 1.94858e-06, 1.94865e-06, 1.95108e-06, 1.95164e-06, 1.94899e-06, 1.9516e-06, 1.94944e-06, 2.00266e-06, 1.99555e-06, 1.96679e-06, 7.72201e-06, 1.98657e-06, 1.95347e-06, 1.94873e-06, 1.95343e-06, 2.73361e-06, 1.94853e-06, 7.52354e-06, 1.94852e-06, 2.00776e-06
0.568909, 0, 2.28812e-05, 3.57686e-06, 1.41421, -2.28812e-05, 3.57686e-06, 3.57695e-06, 3.57709e-06, 3.58155e-06, 3.58258e-06, 3.57772e-06, 3.58251e-06, 3.57854e-06, 3.68386e-06, 3.6632e-06, 3.61039e-06, 1.41777e-05, 3.62575e-06, 3.58593e-06, 3.57724e-06, 3.58395e-06, 4.68723e-06, 3.57687e-06, 1.075e-05, 3.57686e-06, 3.68563e-06
0.57679, 0, 3.71316e-05, 6.44848e-06, 1.41421, -3.71316e-05, 6.44848e-06, 6.44866e-06, 6.4489e-06, 6.45696e-06, 6.4588e-06, 6.45003e-06, 6.45868e-06, 6.45152e-06, 6.65686e-06, 6.60418e-06, 6.50895e-06, 2.55649e-05, 6.51109e-06, 6.46485e-06, 6.44918e-06, 6.45866e-06, 8.00902e-06, 6.4485e-06, 1.57099e-05, 6.44848e-06, 6.64463e-06
0.584671, 0, 6.07991e-05, 1.14184e-05, 1.41421, -6.07991e-05, 1.14184e-05, 1.14187e-05, 1.14192e-05, 1.14334e-05, 1.14367e-05, 1.14212e-05, 1.14365e-05, 1.14238e-05, 1.18182e-05, 1.16942e-05, 1.15255e-05, 4.52772e-05, 1.14983e-05, 1.14474e-05, 1.14197e-05, 1.14329e-05, 1.35984e-05, 1.14184e-05, 2.34451e-05, 1.14184e-05, 1.17658e-05
0.592552, 0, 9.98476e-05, 1.98598e-05, 1.41421, -9.98476e-05, 1.98598e-05, 1.98604e-05, 1.98611e-05, 1.98859e-05, 1.98916e-05, 1.98646e-05, 1.98913e-05, 1.98692e-05, 2.06153e-05, 2.03396e-05, 2.00462e-05, 7.87667e-05, 1.99613e-05, 1.99103e-05, 1.9862e-05, 1.98804e-05, 2.28878e-05, 1.98599e-05, 3.56068e-05, 1.98598e-05, 2.04643e-05
