   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_200.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.172303, 0, 4.44111e-11, 0, 1.41421, -4.44111e-11, 0, 0, 0, 0, 0, 0, 0, 7.46915e-14, 0, 0, 4.01959e-16, 1.09901e-14, 0, 4.4325e-11, 0, 0
0.180029, 0, 7.05672e-11, 0, 1.41421, -7.05672e-11, 0, 0, 0, 0, 0, 0, 0, 1.18685e-13, 0, 0, 6.54756e-16, 1.81564e-14, 0, 7.04297e-11, 0, 0
0.187755, 0, 1.11379e-10, 0, 1.41421, -1.11379e-10, 0, 0, 0, 0, 0, 0, 0, 1.87333e-13, 0, 0, 1.06016e-15, 2.98257e-14, 0, 1.11161e-10, 0, 0
0.19548, 0, 1.74629e-10, 0, 1.41421, -1.74629e-10, 0, 0, 0, 0, 0, 0, 0, 2.93733e-13, 0, 0, 1.70658e-15, 4.87215e-14, 0, 1.74285e-10, 0, 0
0.203206, 0, 2.71996e-10, 0, 1.41421, -2.71996e-10, 0, 0, 0, 0, 0, 0, 0, 4.57545e-13, 0, 0, 2.73159e-15, 7.91514e-14, 0, 2.71457e-10, 0, 0
0.210932, 0, 4.20888e-10, 0, 1.41421, -4.20888e-10, 0, 0, 0, 0, 0, 0, 0, 7.08076e-13, 0, 0, 4.34825e-15, 1.27893e-13, 0, 4.20047e-10, 0, 0
0.218658, 0, 6.47065e-10, 0, 1.41421, -6.47065e-10, 0, 0, 0, 0, 0, 0, 0, 1.08872e-12, 0, 0, 6.88519e-15, 2.05555e-13, 0, 6.45763e-10, 0, 0
0.226383, 0, 9.8839e-10, 0, 1.41421, -9.8839e-10, 0, 0, 0, 0, 0, 0, 0, 1.66329e-12, 0, 0, 1.08472e-14, 3.28663e-13, 0, 9.86387e-10, 0, 0
0.234109, 0, 1.50013e-09, 0, 1.41421, -1.50013e-09, 0, 0, 0, 0, 0, 0, 0, 2.52498e-12, 0, 0, 1.70069e-14, 5.22835e-13, 0, 1.49706e-09, 0, 0
0.241835, 0, 2.26287e-09, 0, 1.41421, -2.26287e-09, 0, 0, 0, 0, 0, 0, 0, 3.80986e-12, 0, 0, 2.65851e-14, 8.28815e-13, 0, 2.2582e-09, 0, 0
0.249561, 0, 3.39115e-09, 0, 1.41421, -3.39115e-09, 0, 0, 0, 0, 0, 0, 0, 5.71129e-12, 0, 0, 4.13198e-14, 1.30559e-12, 0, 3.38409e-09, 0, 0
0.257286, 0, 5.05031e-09, 0, 1.41421, -5.05031e-09, 0, 0, 0, 0, 0, 0, 0, 8.50889e-12, 0, 0, 6.39714e-14, 2.04704e-12, 0, 5.03969e-09, 0, 0
0.265012, 0, 7.47462e-09, 6.99248e-43, 1.41421, -7.47462e-09, 0, 6.99248e-43, 6.99248e-43, 6.99248e-43, 6.99248e-43, 6.99248e-43, 6.99248e-43, 1.25994e-11, 6.99248e-43, 6.99248e-43, 9.86905e-14, 3.19508e-12, 6.99248e-43, 7.45873e-09, 6.99248e-43, 6.99248e-43
0.272738, 0, 1.09947e-08, 1.15747e-41, 1.41421, -1.09947e-08, 0, 1.15747e-41, 1.15747e-41, 1.15747e-41, 1.15747e-41, 1.15747e-41, 1.15747e-41, 1.85434e-11, 1.15747e-41, 1.15747e-41, 1.51772e-13, 4.96523e-12, 1.15747e-41, 1.0971e-08, 1.15747e-41, 1.15747e-41
0.280464, 0, 1.60738e-08, 1.61707e-40, 1.41421, -1.60738e-08, 0, 1.61707e-40, 1.61707e-40, 1.61707e-40, 1.61707e-40, 1.61707e-40, 1.61707e-40, 2.71282e-11, 1.61707e-40, 1.61707e-40, 2.32761e-13, 7.68382e-12, 1.61707e-40, 1.60387e-08, 1.61707e-40, 1.61707e-40
0.288189, 0, 2.33569e-08, 2.0049e-39, 1.41421, -2.33569e-08, 0, 2.0049e-39, 2.0049e-39, 2.0049e-39, 2.0049e-39, 2.0049e-39, 2.0049e-39, 3.94525e-11, 2.0049e-39, 2.0049e-39, 3.56129e-13, 1.18432e-11, 2.0049e-39, 2.33052e-08, 2.0049e-39, 2.0049e-39
0.295915, 0, 3.37361e-08, 2.23755e-38, 1.41421, -3.37361e-08, 0, 2.23755e-38, 2.23755e-38, 2.23755e-38, 2.23755e-38, 2.23755e-38, 2.23755e-38, 5.70397e-11, 2.23755e-38, 2.23755e-38, 5.43833e-13, 1.81842e-11, 2.23755e-38, 3.36603e-08, 2.23755e-38, 2.23755e-38
0.303641, 0, 4.8437e-08, 2.26167e-37, 1.41421, -4.8437e-08, 0, 2.26167e-37, 2.26167e-37, 2.26167e-37, 2.26167e-37, 2.26167e-37, 2.26167e-37, 8.19901e-11, 2.26167e-37, 2.26167e-37, 8.29203e-13, 2.78184e-11, 2.26167e-37, 4.83264e-08, 2.26167e-37, 2.26167e-37
0.311367, 0, 6.91329e-08, 2.0813e-36, 1.41421, -6.91329e-08, 0, 2.0813e-36, 2.0813e-36, 2.0813e-36, 2.0813e-36, 2.0813e-36, 2.0813e-36, 1.17182e-10, 2.0813e-36, 2.0813e-36, 1.26288e-12, 4.24094e-11, 2.0813e-36, 6.89721e-08, 2.0813e-36, 2.0813e-36
0.319093, 0, 9.80931e-08, 1.75287e-35, 1.41421, -9.80931e-08, 0, 1.75287e-35, 1.75287e-35, 1.75287e-35, 1.75287e-35, 1.75287e-35, 1.75287e-35, 1.66535e-10, 1.75287e-35, 1.75287e-35, 1.92185e-12, 6.44415e-11, 1.75287e-35, 9.78602e-08, 1.75287e-35, 1.75287e-35
0.326818, 0, 1.38376e-07, 1.35743e-34, 1.41421, -1.38376e-07, 0, 1.35743e-34, 1.35743e-34, 1.35743e-34, 1.35743e-34, 1.35743e-34, 1.35743e-34, 2.35362e-10, 1.35743e-34, 1.35743e-34, 2.92327e-12, 9.7615e-11, 1.35743e-34, 1.3804e-07, 1.35743e-34, 1.35743e-34
0.334544, 0, 1.94077e-07, 9.70765e-34, 1.41421, -1.94077e-07, 0, 9.70765e-34, 9.70765e-34, 9.70765e-34, 9.70765e-34, 9.70765e-34, 9.70765e-34, 3.30818e-10, 9.70765e-34, 9.70765e-34, 4.44544e-12, 1.4743e-10, 9.70765e-34, 1.93594e-07, 9.70765e-34, 9.70765e-34
0.34227, 0, 2.70645e-07, 6.54745e-33, 1.41421, -2.70645e-07, 0, 6.54745e-33, 6.54745e-33, 6.54745e-33, 6.54745e-33, 6.54745e-33, 6.54745e-33, 4.62492e-10, 6.54745e-33, 6.54745e-33, 6.75972e-12, 2.22041e-10, 6.54745e-33, 2.69953e-07, 6.54745e-33, 6.54745e-33
0.349996, 0, 3.75288e-07, 4.38179e-32, 1.41421, -3.75288e-07, 0, 4.38179e-32, 4.38179e-32, 4.38179e-32, 4.38179e-32, 4.38179e-32, 4.38179e-32, 6.43166e-10, 4.38179e-32, 4.38179e-32, 1.02789e-11, 3.33513e-10, 4.38179e-32, 3.74301e-07, 4.38179e-32, 4.38179e-32
0.357721, 0, 5.17477e-07, 2.77683e-31, 1.41421, -5.17477e-07, 0, 2.77683e-31, 2.77683e-31, 2.77683e-31, 2.77683e-31, 2.77683e-31, 2.77683e-31, 8.89789e-10, 2.77683e-31, 2.77683e-31, 1.56302e-11, 4.9965e-10, 2.77683e-31, 5.16072e-07, 2.77683e-31, 2.77683e-31
0.365447, 0, 7.09586e-07, 1.64833e-30, 1.41421, -7.09586e-07, 0, 1.64833e-30, 1.64833e-30, 1.64833e-30, 1.64833e-30, 1.64833e-30, 1.64833e-30, 1.22474e-09, 1.64833e-30, 1.64833e-30, 2.37653e-11, 7.46649e-10, 1.64833e-30, 7.07591e-07, 1.64833e-30, 1.64833e-30
0.373173, 0, 9.67682e-07, 9.16086e-30, 1.41421, -9.67682e-07, 0, 9.16086e-30, 9.16086e-30, 9.16086e-30, 9.16086e-30, 9.16086e-30, 9.16086e-30, 1.67739e-09, 9.16086e-30, 9.16086e-30, 3.61247e-11, 1.11295e-09, 9.16086e-30, 9.64855e-07, 9.16086e-30, 9.16086e-30
0.380899, 0, 1.31251e-06, 1.10742e-28, 1.41421, -1.31251e-06, 0, 1.10742e-28, 1.10742e-28, 1.10742e-28, 1.10742e-28, 1.10742e-28, 1.10742e-28, 2.28622e-09, 1.10742e-28, 1.10742e-28, 5.49271e-11, 1.65536e-09, 1.10742e-28, 1.30852e-06, 1.10742e-28, 1.10742e-28
0.388624, 0, 1.77066e-06, 5.14576e-28, 1.41421, -1.77066e-06, 0, 5.14576e-28, 5.14576e-28, 5.14576e-28, 5.14576e-28, 5.14576e-28, 5.14576e-28, 3.10114e-09, 5.14576e-28, 5.14576e-28, 8.3372e-11, 2.45478e-09, 5.14576e-28, 1.76502e-06, 5.14576e-28, 5.14576e-28
0.39635, 0, 2.37608e-06, 2.26366e-27, 1.41421, -2.37608e-06, 0, 2.26366e-27, 2.26366e-27, 2.26366e-27, 2.26366e-27, 2.26366e-27, 2.26366e-27, 4.18701e-09, 2.26366e-27, 2.26366e-27, 1.26395e-10, 3.63056e-09, 2.26366e-27, 2.36813e-06, 2.26366e-27, 2.26366e-27
0.404076, 0, 3.17181e-06, 9.45375e-27, 1.41421, -3.17181e-06, 0, 9.45375e-27, 9.45375e-27, 9.45375e-27, 9.45375e-27, 9.45375e-27, 9.45375e-27, 5.62745e-09, 9.45375e-27, 9.45375e-27, 1.91312e-10, 5.3545e-09, 9.45375e-27, 3.16064e-06, 9.45375e-27, 9.45375e-27
0.411802, 0, 4.21216e-06, 3.75794e-26, 1.41421, -4.21216e-06, 0, 3.75794e-26, 3.75794e-26, 3.75794e-26, 3.75794e-26, 3.75794e-26, 3.75794e-26, 7.52993e-09, 3.75794e-26, 3.75794e-26, 2.88984e-10, 7.87362e-09, 3.75794e-26, 4.19647e-06, 3.75794e-26, 3.75794e-26
0.419528, 0, 5.5652e-06, 1.4254e-25, 1.41421, -5.5652e-06, 0, 1.4254e-25, 1.4254e-25, 1.4254e-25, 1.4254e-25, 1.4254e-25, 1.4254e-25, 1.0032e-08, 1.4254e-25, 1.4254e-25, 4.35451e-10, 1.15414e-08, 1.4254e-25, 5.54319e-06, 1.4254e-25, 1.4254e-25
0.427253, 0, 7.31586e-06, 5.17094e-25, 1.41421, -7.31586e-06, 0, 5.17094e-25, 5.17094e-25, 5.17094e-25, 5.17094e-25, 5.17094e-25, 5.17094e-25, 1.3309e-08, 5.17094e-25, 5.17094e-25, 6.54268e-10, 1.68605e-08, 5.17094e-25, 7.28503e-06, 5.17094e-25, 5.17094e-25
0.434979, 0, 9.56945e-06, 1.8045e-24, 1.41421, -9.56945e-06, 0, 1.8045e-24, 1.8045e-24, 1.8045e-24, 1.8045e-24, 1.8045e-24, 1.8045e-24, 1.75833e-08, 1.8045e-24, 1.8045e-24, 9.79817e-10, 2.45418e-08, 1.8045e-24, 9.52634e-06, 1.8045e-24, 1.8045e-24
0.442705, 0, 1.24581e-05, 6.11575e-24, 1.41421, -1.24581e-05, 0, 1.55217e-13, 4.67685e-13, 1.35322e-12, 5.25696e-11, 4.63239e-12, 2.12421e-10, 2.31369e-08, 7.21396e-12, 3.34444e-13, 1.46198e-09, 3.55843e-08, 5.64878e-15, 1.2397e-05, 6.11575e-24, 7.02107e-10
0.450431, 0, 1.61567e-05, 1.49899e-08, 1.41421, -1.61567e-05, 1.49899e-08, 1.49904e-08, 1.49914e-08, 1.49941e-08, 1.51555e-08, 1.50045e-08, 1.5659e-08, 4.53138e-08, 1.50126e-08, 1.49909e-08, 1.71627e-08, 6.6372e-08, 1.49899e-08, 1.60698e-05, 1.49899e-08, 1.72014e-08
0.458156, 0, 2.08647e-05, 4.70132e-08, 1.41421, -2.08647e-05, 4.70132e-08, 4.70144e-08, 4.70168e-08, 4.70236e-08, 4.74148e-08, 4.70486e-08, 4.8636e-08, 8.66018e-08, 4.70683e-08, 4.70158e-08, 5.02284e-08, 1.2088e-07, 4.70133e-08, 2.07406e-05, 4.70132e-08, 5.23769e-08
0.465882, 0, 2.68442e-05, 1.13607e-07, 1.41421, -2.68442e-05, 1.13607e-07, 1.13609e-07, 1.13615e-07, 1.1363e-07, 1.1449e-07, 1.13685e-07, 1.17175e-07, 1.65092e-07, 1.13728e-07, 1.13612e-07, 1.18343e-07, 2.19302e-07, 1.13607e-07, 2.66658e-05, 1.13607e-07, 1.254e-07
0.473608, 0, 3.44255e-05, 2.49024e-07, 1.41421, -3.44255e-05, 2.49024e-07, 2.49029e-07, 2.4904e-07, 2.49071e-07, 2.50868e-07, 2.49186e-07, 2.56478e-07, 3.15728e-07, 2.49277e-07, 2.49035e-07, 2.55965e-07, 3.9953e-07, 2.49024e-07, 3.41669e-05, 2.49024e-07, 2.73663e-07
0.481334, 0, 4.40399e-05, 5.18788e-07, 1.41421, -4.40399e-05, 5.18788e-07, 5.18799e-07, 5.18821e-07, 5.18884e-07, 5.22517e-07, 5.19117e-07, 5.33857e-07, 6.04887e-07, 5.193e-07, 5.18812e-07, 5.28911e-07, 7.32091e-07, 5.18789e-07, 4.36607e-05, 5.18788e-07, 5.68594e-07
0.489059, 0, 5.62632e-05, 1.04608e-06, 1.41421, -5.62632e-05, 1.04608e-06, 1.0461e-06, 1.04614e-06, 1.04627e-06, 1.05343e-06, 1.04672e-06, 1.07578e-06, 1.1568e-06, 1.04708e-06, 1.04612e-06, 1.06076e-06, 1.34685e-06, 1.04608e-06, 5.56997e-05, 1.04608e-06, 1.14427e-06
0.496785, 0, 7.18871e-05, 2.05766e-06, 1.41421, -7.18871e-05, 2.05766e-06, 2.0577e-06, 2.05778e-06, 2.05802e-06, 2.07185e-06, 2.05891e-06, 2.115e-06, 2.19952e-06, 2.0596e-06, 2.05775e-06, 2.07884e-06, 2.47933e-06, 2.05766e-06, 7.10375e-05, 2.05766e-06, 2.24718e-06
0.504511, 0, 9.20383e-05, 3.96311e-06, 1.41421, -9.20383e-05, 3.96311e-06, 3.96319e-06, 3.96335e-06, 3.96381e-06, 3.98998e-06, 3.96548e-06, 4.07167e-06, 4.14421e-06, 3.9668e-06, 3.96329e-06, 3.99352e-06, 4.551e-06, 3.96312e-06, 9.07374e-05, 3.96311e-06, 4.32193e-06
0.512237, 0, 0.00011838, 7.49716e-06, 1.41421, -0.00011838, 7.49716e-06, 7.49731e-06, 7.49761e-06, 7.49845e-06, 7.54714e-06, 7.50157e-06, 7.69912e-06, 7.72751e-06, 7.50402e-06, 7.49748e-06, 7.54058e-06, 8.31219e-06, 7.49717e-06, 0.000116359, 7.49716e-06, 8.16469e-06
0.519962, 0, 0.000153368, 1.39023e-05, 1.41421, -0.000153368, 1.39023e-05, 1.39026e-05, 1.39031e-05, 1.39046e-05, 1.39935e-05, 1.39103e-05, 1.4271e-05, 1.41942e-05, 1.39148e-05, 1.39029e-05, 1.39639e-05, 1.50258e-05, 1.39023e-05, 0.000150187, 1.39023e-05, 1.51211e-05
0.527688, 0, 0.00020081, 2.53357e-05, 1.41421, -0.00020081, 2.53357e-05, 2.53362e-05, 2.53371e-05, 2.53399e-05, 2.54995e-05, 2.53501e-05, 2.59975e-05, 2.57044e-05, 2.53582e-05, 2.53367e-05, 2.54227e-05, 2.68758e-05, 2.53357e-05, 0.000195757, 2.53357e-05, 2.75231e-05
0.535414, 0, 0.000266576, 4.53888e-05, 1.41421, -0.000266576, 4.53888e-05, 4.53896e-05, 4.53914e-05, 4.53962e-05, 4.56778e-05, 4.54143e-05, 4.65566e-05, 4.58528e-05, 4.54284e-05, 4.53906e-05, 4.55109e-05, 4.74882e-05, 4.53888e-05, 0.000258496, 4.53888e-05, 4.92488e-05
0.54314, 0, 0.000359762, 7.99507e-05, 1.41421, -0.000359762, 7.99507e-05, 7.99522e-05, 7.99551e-05, 7.99636e-05, 8.04522e-05, 7.99949e-05, 8.19772e-05, 8.05326e-05, 8.00195e-05, 7.99539e-05, 8.01211e-05, 8.27969e-05, 7.99507e-05, 0.000346802, 7.99507e-05, 8.6649e-05
0.550866, 0, 0.000494416, 0.000138493, 1.41421, -0.000494416, 0.000138493, 0.000138496, 0.000138501, 0.000138515, 0.000139349, 0.000138568, 0.000141952, 0.00013922, 0.00013861, 0.000138498, 0.00013873, 0.000142332, 0.000138493, 0.000473636, 0.000138493, 0.000149925
0.558591, 0, 0.000692141, 0.000235961, 1.41421, -0.000692141, 0.000235961, 0.000235966, 0.000235974, 0.000235998, 0.000237399, 0.000236088, 0.000241769, 0.000236868, 0.000236159, 0.000235971, 0.000236288, 0.000241113, 0.000235962, 0.000658931, 0.000235961, 0.000255156
0.566317, 0, 0.000985581, 0.000395486, 1.41421, -0.000985581, 0.000395486, 0.000395493, 0.000395507, 0.000395547, 0.00039786, 0.000395695, 0.000405078, 0.000396611, 0.000395811, 0.000395501, 0.000395935, 0.000402366, 0.000395486, 0.000932812, 0.000395486, 0.000427192
0.574043, 0, 0.00142362, 0.000652173, 1.41421, -0.00142362, 0.000652173, 0.000652185, 0.000652208, 0.000652273, 0.000656032, 0.000652513, 0.000667766, 0.000653568, 0.000652703, 0.000652198, 0.000652789, 0.000661324, 0.000652174, 0.00134043, 0.000652173, 0.00070371
0.581769, 0, 0.00207832, 0.0010583, 1.41421, -0.00207832, 0.0010583, 0.00105831, 0.00105835, 0.00105845, 0.00106447, 0.00105884, 0.00108324, 0.00106002, 0.00105914, 0.00105833, 0.00105913, 0.00107042, 0.0010583, 0.00194841, 0.0010583, 0.00114074
0.589494, 0, 0.00305413, 0.00169016, 1.41421, -0.00305413, 0.00169016, 0.00169019, 0.00169025, 0.00169041, 0.00169988, 0.00169102, 0.00172944, 0.00169228, 0.00169149, 0.00169022, 0.0016913, 0.00170617, 0.00169016, 0.00285342, 0.00169016, 0.00181999
0.59722, 0, 0.00449993, 0.00265703, 1.41421, -0.00449993, 0.00265703, 0.00265708, 0.00265717, 0.00265742, 0.0026721, 0.00265836, 0.00271792, 0.00265964, 0.0026591, 0.00265713, 0.00265857, 0.0026781, 0.00265704, 0.00419343, 0.00265703, 0.0028583
0.604946, 0, 0.00662412, 0.00411224, 1.41421, -0.00662412, 0.00411224, 0.00411231, 0.00411245, 0.00411283, 0.00413524, 0.00411427, 0.00420519, 0.00411544, 0.0041154, 0.00411239, 0.00411431, 0.00413991, 0.00411224, 0.00616182, 0.00411224, 0.00441947
0.612672, 0, 0.00971321, 0.00626678, 1.41421, -0.00971321, 0.00626678, 0.00626688, 0.00626708, 0.00626767, 0.00630136, 0.00626982, 0.0064065, 0.00627069, 0.00627152, 0.006267, 0.00626955, 0.00630301, 0.00626678, 0.00902482, 0.00626678, 0.00672862
0.620397, 0, 0.0141535, 0.00940504, 1.41421, -0.0141535, 0.00940504, 0.0094052, 0.0094055, 0.00940636, 0.00945624, 0.00940956, 0.00961192, 0.00940983, 0.00941207, 0.00940537, 0.00940876, 0.00945241, 0.00940505, 0.013142, 0.00940504, 0.0100889
0.628123, 0, 0.0204569, 0.0139028, 1.41421, -0.0204569, 0.0139028, 0.013903, 0.0139034, 0.0139047, 0.0139775, 0.0139094, 0.0142045, 0.0139086, 0.013913, 0.0139033, 0.0139077, 0.0139646, 0.0139028, 0.0189902, 0.0139028, 0.0149003
0.635849, 0, 0.0292874, 0.0202458, 1.41421, -0.0292874, 0.0202458, 0.0202461, 0.0202468, 0.0202486, 0.0203532, 0.0202553, 0.0206795, 0.0202529, 0.0202606, 0.0202465, 0.0202524, 0.0203263, 0.0202458, 0.0271895, 0.0202458, 0.0216796
0.643575, 0, 0.0414914, 0.0290494, 1.41421, -0.0414914, 0.0290494, 0.0290499, 0.0290508, 0.0290533, 0.0292014, 0.0290628, 0.0296637, 0.0290581, 0.0290703, 0.0290504, 0.0290581, 0.0291539, 0.0290494, 0.0385314, 0.0290494, 0.0310803
0.6513, 0, 0.0581253, 0.0410753, 1.41421, -0.0581253, 0.0410753, 0.0410759, 0.0410772, 0.0410807, 0.0412875, 0.041094, 0.0419328, 0.0410858, 0.0411044, 0.0410766, 0.0410868, 0.0412106, 0.0410753, 0.0540056, 0.0410753, 0.0439107
0.659026, 0, 0.0804828, 0.0572452, 1.41421, -0.0804828, 0.0572452, 0.057246, 0.0572478, 0.0572527, 0.0575372, 0.0572709, 0.0584254, 0.0572578, 0.0572852, 0.057247, 0.0572604, 0.0574199, 0.0572452, 0.0748265, 0.0572452, 0.0611478
0.666752, 0, 0.110117, 0.0786487, 1.41421, -0.110117, 0.0786487, 0.0786498, 0.0786522, 0.0786589, 0.079045, 0.0786836, 0.0802503, 0.078664, 0.078703, 0.0786512, 0.0786686, 0.0788735, 0.0786487, 0.102455, 0.0786487, 0.0839455
0.674478, 0, 0.148855, 0.106541, 1.41421, -0.148855, 0.106541, 0.106542, 0.106546, 0.106555, 0.107071, 0.106588, 0.108684, 0.106559, 0.106614, 0.106544, 0.106567, 0.106829, 0.106541, 0.138616, 0.106541, 0.113631
0.682204, 0, 0.198806, 0.14233, 1.41421, -0.198806, 0.14233, 0.142332, 0.142336, 0.142348, 0.14303, 0.142392, 0.14516, 0.142352, 0.142426, 0.142334, 0.142364, 0.142696, 0.14233, 0.185302, 0.14233, 0.151692
0.689929, 0.983581, 0.262355, 0.187548, 1.7273, 0.721227, 0.187548, 0.187551, 0.187556, 0.187572, 0.18846, 0.187628, 0.191234, 0.187574, 0.187673, 0.187554, 0.187592, 0.188012, 0.187548, 0.244779, 0.187548, 0.199746
0.697655, 0.0164186, 0.342152, 0.243811, 1.42001, -0.325733, 0.243811, 0.243815, 0.243822, 0.243841, 0.244983, 0.243914, 0.248548, 0.243843, 0.243972, 0.243819, 0.243869, 0.244394, 0.243811, 0.319571, 0.243811, 0.259496
0.705381, 0, 0.441085, 0.312756, 1.41421, -0.441085, 0.312756, 0.31276, 0.312769, 0.312794, 0.314243, 0.312887, 0.318766, 0.312793, 0.31296, 0.312766, 0.31283, 0.313483, 0.312756, 0.412441, 0.312756, 0.332665
0.713107, 0, 0.562252, 0.39597, 1.41421, -0.562252, 0.39597, 0.395976, 0.395987, 0.396018, 0.397833, 0.396135, 0.403497, 0.396014, 0.396225, 0.395983, 0.396066, 0.396869, 0.395971, 0.52637, 0.39597, 0.420924
0.720832, 0, 0.708923, 0.494902, 1.41421, -0.708923, 0.494902, 0.494909, 0.494923, 0.494961, 0.497206, 0.495105, 0.504211, 0.494953, 0.495217, 0.494917, 0.495023, 0.496002, 0.494902, 0.664525, 0.494902, 0.525795
0.728558, 0.971515, 0.884509, 0.610764, 1.72381, 0.0870063, 0.610764, 0.610772, 0.610789, 0.610836, 0.613578, 0.611012, 0.622137, 0.610824, 0.611149, 0.610783, 0.610918, 0.612098, 0.610764, 0.830229, 0.610764, 0.648551
0.736284, 0.997599, 1.09254, 0.744439, 1.73136, -0.0949362, 0.744439, 0.744449, 0.744469, 0.744526, 0.747836, 0.744738, 0.758166, 0.744508, 0.744903, 0.744462, 0.744634, 0.746041, 0.744439, 1.02695, 0.744439, 0.790121
0.74401, 0.0308855, 1.33662, 0.89638, 1.42509, -1.30573, 0.89638, 0.896392, 0.896416, 0.896485, 0.900433, 0.896737, 0.912755, 0.896459, 0.896933, 0.896408, 0.896626, 0.898283, 0.896381, 1.25827, 0.89638, 0.950985
0.751735, 0, 1.62047, 1.06654, 1.41421, -1.62047, 1.06654, 1.06655, 1.06658, 1.06666, 1.07132, 1.06696, 1.08585, 1.06663, 1.06719, 1.06657, 1.06684, 1.06877, 1.06654, 1.5279, 1.06654, 1.1311
