   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_88.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.163452, 0, 6.00245e-28, 0, 1.41421, -6.00245e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75463e-30, 0, 0, 9.96051e-33, 2.30783e-32, 0, 5.98458e-28, 0, 0
0.171347, 0, 3.59658e-27, 0, 1.41421, -3.59658e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05134e-29, 0, 0, 5.9709e-32, 1.71734e-31, 0, 3.58583e-27, 0, 0
0.179241, 0, 1.87337e-26, 0, 1.41421, -1.87337e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47611e-29, 0, 0, 3.11492e-31, 1.02428e-30, 0, 1.86776e-26, 0, 0
0.187136, 0, 8.83654e-26, 0, 1.41421, -8.83654e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58303e-28, 0, 0, 1.47291e-30, 5.31858e-30, 0, 8.81003e-26, 0, 0
0.195031, 0, 3.8624e-25, 0, 1.41421, -3.8624e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12902e-27, 0, 0, 6.45792e-30, 2.50262e-29, 0, 3.85079e-25, 0, 0
0.202925, 0, 1.587e-24, 0, 1.41421, -1.587e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63895e-27, 0, 0, 2.66286e-29, 1.09174e-28, 0, 1.58222e-24, 0, 0
0.21082, 0, 6.18927e-24, 0, 1.41421, -6.18927e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80918e-26, 0, 0, 1.04256e-28, 4.47855e-28, 0, 6.17062e-24, 0, 0
0.218715, 0, 2.30692e-23, 0, 1.41421, -2.30692e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74331e-26, 0, 0, 3.90224e-28, 1.74426e-27, 0, 2.29997e-23, 0, 0
0.226609, 0, 8.26012e-23, 0, 1.41421, -8.26012e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41449e-25, 0, 0, 1.40349e-27, 6.49395e-27, 0, 8.23519e-23, 0, 0
0.234504, 0, 2.85245e-22, 0, 1.41421, -2.85245e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.33787e-25, 0, 0, 4.86969e-27, 2.32298e-26, 0, 2.84383e-22, 0, 0
0.242399, 0, 1.03294e-21, 0, 1.41421, -1.03294e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01933e-24, 0, 0, 1.77744e-26, 8.81417e-26, 0, 1.02982e-21, 0, 0
0.250293, 0, 3.30905e-21, 0, 1.41421, -3.30905e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67247e-24, 0, 0, 5.724e-26, 2.90356e-25, 0, 3.29903e-21, 0, 0
0.258188, 0, 1.03204e-20, 0, 1.41421, -1.03204e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01669e-23, 0, 0, 1.79513e-25, 9.29716e-25, 0, 1.02891e-20, 0, 0
0.266083, 0, 3.13833e-20, 0, 1.41421, -3.13833e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17343e-23, 0, 0, 5.49069e-25, 2.89867e-24, 0, 3.12882e-20, 0, 0
0.273977, 0, 9.31658e-20, 0, 1.41421, -9.31658e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72325e-22, 0, 0, 1.64001e-24, 8.81296e-24, 0, 9.2883e-20, 0, 0
0.281872, 0, 2.70296e-19, 0, 1.41421, -2.70296e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.90079e-22, 0, 0, 4.78891e-24, 2.61619e-23, 0, 2.69475e-19, 0, 0
0.289767, 0, 7.67103e-19, 0, 1.41421, -7.67103e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24224e-21, 0, 0, 1.36837e-23, 7.59125e-23, 0, 7.64771e-19, 0, 0
0.297661, 0, 2.13135e-18, 0, 1.41421, -2.13135e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.22991e-21, 0, 0, 3.82928e-23, 2.15509e-22, 0, 2.12486e-18, 0, 0
0.305556, 0, 5.80158e-18, 0, 1.41421, -5.80158e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69579e-20, 0, 0, 1.05024e-22, 5.99071e-22, 0, 5.78391e-18, 0, 0
0.313451, 0, 1.5481e-17, 0, 1.41421, -1.5481e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52502e-20, 0, 0, 2.82487e-22, 1.6318e-21, 0, 1.54339e-17, 0, 0
0.321345, 0, 4.05187e-17, 0, 1.41421, -4.05187e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18432e-19, 0, 0, 7.45587e-22, 4.35819e-21, 0, 4.03951e-17, 0, 0
0.32924, 0, 1.04069e-16, 0, 1.41421, -1.04069e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04178e-19, 0, 0, 1.932e-21, 1.14193e-20, 0, 1.03751e-16, 0, 0
