   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_185.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.34275, 0, 6.90163e-08, 2.61149e-35, 1.41421, -6.90163e-08, 0, 2.61149e-35, 2.61149e-35, 2.61149e-35, 2.61149e-35, 2.61149e-35, 2.61149e-35, 2.61149e-35, 1.27561e-10, 2.61149e-35, 2.61149e-35, 1.24333e-12, 3.61386e-11, 2.61149e-35, 6.88514e-08, 2.61149e-35, 2.61149e-35
0.350531, 0, 9.97671e-08, 6.51097e-34, 1.41421, -9.97671e-08, 0, 6.51097e-34, 6.51097e-34, 6.51097e-34, 6.51097e-34, 6.51097e-34, 6.51097e-34, 6.51097e-34, 1.84719e-10, 6.51097e-34, 6.51097e-34, 1.93661e-12, 5.63049e-11, 6.51097e-34, 9.95241e-08, 6.51097e-34, 6.51097e-34
0.358312, 0, 1.43307e-07, 4.41707e-33, 1.41421, -1.43307e-07, 0, 4.41707e-33, 4.41707e-33, 4.41707e-33, 4.41707e-33, 4.41707e-33, 4.41707e-33, 4.41707e-33, 2.65872e-10, 4.41707e-33, 4.41707e-33, 3.01014e-12, 8.74017e-11, 4.41707e-33, 1.42951e-07, 4.41707e-33, 4.41707e-33
0.366093, 0, 2.04569e-07, 2.95922e-32, 1.41421, -2.04569e-07, 0, 2.95922e-32, 2.95922e-32, 2.95922e-32, 2.95922e-32, 2.95922e-32, 2.95922e-32, 2.95922e-32, 3.80429e-10, 2.95922e-32, 2.95922e-32, 4.6773e-12, 1.35352e-10, 2.95922e-32, 2.04049e-07, 2.95922e-32, 2.95922e-32
0.373874, 0, 2.90218e-07, 1.87655e-31, 1.41421, -2.90218e-07, 0, 1.87655e-31, 1.87655e-31, 1.87655e-31, 1.87655e-31, 1.87655e-31, 1.87655e-31, 1.87655e-31, 5.41198e-10, 1.87655e-31, 1.87655e-31, 7.26663e-12, 2.09143e-10, 1.87655e-31, 2.89461e-07, 1.87655e-31, 1.87655e-31
0.381655, 0, 4.0921e-07, 1.11421e-30, 1.41421, -4.0921e-07, 0, 1.11421e-30, 1.11421e-30, 1.11421e-30, 1.11421e-30, 1.11421e-30, 1.11421e-30, 1.11421e-30, 7.65535e-10, 1.11421e-30, 1.11421e-30, 1.12882e-11, 3.22472e-10, 1.11421e-30, 4.08111e-07, 1.11421e-30, 1.11421e-30
0.389436, 0, 5.73494e-07, 6.19444e-30, 1.41421, -5.73494e-07, 0, 6.19444e-30, 6.19444e-30, 6.19444e-30, 6.19444e-30, 6.19444e-30, 6.19444e-30, 6.19444e-30, 1.07683e-09, 6.19444e-30, 6.19444e-30, 1.75329e-11, 4.96169e-10, 6.19444e-30, 5.71903e-07, 6.19444e-30, 6.19444e-30
0.397217, 0, 7.98908e-07, 3.23127e-29, 1.41421, -7.98908e-07, 0, 3.23127e-29, 3.23127e-29, 3.23127e-29, 3.23127e-29, 3.23127e-29, 3.23127e-29, 3.23127e-29, 1.50642e-09, 3.23127e-29, 3.23127e-29, 2.72243e-11, 7.61817e-10, 3.23127e-29, 7.96613e-07, 3.23127e-29, 3.23127e-29
0.404998, 0, 1.10632e-06, 1.58603e-28, 1.41421, -1.10632e-06, 0, 1.58603e-28, 1.58603e-28, 1.58603e-28, 1.58603e-28, 1.58603e-28, 1.58603e-28, 1.58603e-28, 2.09613e-09, 1.58603e-28, 1.58603e-28, 4.22515e-11, 1.16715e-09, 1.58603e-28, 1.10301e-06, 1.58603e-28, 1.58603e-28
0.412778, 0, 1.523e-06, 7.34857e-28, 1.41421, -1.523e-06, 0, 7.34857e-28, 7.34857e-28, 7.34857e-28, 7.34857e-28, 7.34857e-28, 7.34857e-28, 7.34857e-28, 2.90143e-09, 7.34857e-28, 7.34857e-28, 6.552e-11, 1.78404e-09, 7.34857e-28, 1.51825e-06, 7.34857e-28, 7.34857e-28
