   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_181.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.385587, 0, 4.84278e-07, 4.48108e-30, 1.41421, -4.84278e-07, 4.48108e-30, 0, 4.48108e-30, 4.48108e-30, 4.48108e-30, 4.48108e-30, 4.48108e-30, 2.94511e-09, 4.48108e-30, 4.67154e-11, 1.74271e-09, 4.48108e-30, 4.79543e-07, 4.48108e-30, 4.48108e-30
0.393639, 0, 6.82649e-07, 2.63077e-29, 1.41421, -6.82649e-07, 2.63077e-29, 0, 2.63077e-29, 2.63077e-29, 2.63077e-29, 2.63077e-29, 2.63077e-29, 4.17071e-09, 2.63077e-29, 7.43371e-11, 2.72248e-09, 2.63077e-29, 6.75681e-07, 2.63077e-29, 2.63077e-29
0.401691, 0, 9.55425e-07, 1.44467e-28, 1.41421, -9.55425e-07, 1.44467e-28, 0, 1.44467e-28, 1.44467e-28, 1.44467e-28, 1.44467e-28, 1.44467e-28, 5.86833e-09, 1.44467e-28, 1.18166e-10, 4.23796e-09, 1.44467e-28, 9.452e-07, 1.44467e-28, 1.44467e-28
0.409743, 0, 1.32784e-06, 7.44633e-28, 1.41421, -1.32784e-06, 7.44633e-28, 0, 7.44633e-28, 7.44633e-28, 7.44633e-28, 7.44633e-28, 7.44633e-28, 8.20532e-09, 7.44633e-28, 1.87555e-10, 6.57274e-09, 7.44633e-28, 1.31288e-06, 7.44633e-28, 7.44633e-28
0.417796, 0, 1.83275e-06, 3.61406e-27, 1.41421, -1.83275e-06, 3.61406e-27, 0, 3.61406e-27, 3.61406e-27, 3.61406e-27, 3.61406e-27, 3.61406e-27, 1.14034e-08, 3.61406e-27, 2.97085e-10, 1.01544e-08, 3.61406e-27, 1.8109e-06, 3.61406e-27, 3.61406e-27
0.425848, 0, 2.51262e-06, 1.6569e-26, 1.41421, -2.51262e-06, 1.6569e-26, 0, 1.6569e-26, 1.6569e-26, 1.6569e-26, 1.6569e-26, 1.6569e-26, 1.57548e-08, 1.6569e-26, 4.69357e-10, 1.56234e-08, 1.6569e-26, 2.48077e-06, 1.6569e-26, 1.6569e-26
0.4339, 0, 3.42193e-06, 7.19664e-26, 1.41421, -3.42193e-06, 7.19664e-26, 0, 7.19664e-26, 7.19664e-26, 7.19664e-26, 7.19664e-26, 7.19664e-26, 2.16426e-08, 7.19664e-26, 7.39154e-10, 2.39321e-08, 7.19664e-26, 3.37562e-06, 7.19664e-26, 7.19664e-26
0.441952, 0, 4.63014e-06, 2.96961e-25, 1.41421, -4.63014e-06, 2.96961e-25, 0, 2.96961e-25, 2.96961e-25, 2.96961e-25, 2.96961e-25, 2.96961e-25, 2.9566e-08, 2.96961e-25, 1.15962e-09, 3.64864e-08, 2.96961e-25, 4.56293e-06, 2.96961e-25, 2.96961e-25
0.450004, 0, 6.22522e-06, 1.16716e-24, 1.41421, -6.22522e-06, 1.16716e-24, 0, 1.16716e-24, 1.16716e-24, 1.16716e-24, 1.16716e-24, 1.16716e-24, 4.01732e-08, 1.16716e-24, 1.81135e-09, 5.53439e-08, 1.16716e-24, 6.12789e-06, 1.16716e-24, 1.16716e-24
0.458057, 0, 8.33265e-06, 1.32271e-08, 1.41421, -8.33265e-06, 1.32605e-08, 1.32271e-08, 1.32272e-08, 1.32276e-08, 1.32289e-08, 1.32482e-08, 1.3327e-08, 6.75285e-08, 1.32291e-08, 1.60432e-08, 9.67224e-08, 1.32271e-08, 8.19107e-06, 1.32271e-08, 1.40338e-08
