   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_194.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.530993, 0, 9.45096e-07, 3.42403e-26, 1.41421, -9.45096e-07, 3.42403e-26, 0, 3.42403e-26, 3.42403e-26, 3.42403e-26, 3.42403e-26, 3.42403e-26, 3.42403e-26, 3.05126e-09, 3.42403e-26, 3.42403e-26, 1.16594e-11, 8.07195e-10, 3.42403e-26, 9.41226e-07, 3.42403e-26, 3.42403e-26
0.539219, 0, 1.50587e-06, 1.46226e-25, 1.41421, -1.50587e-06, 1.46226e-25, 0, 1.46226e-25, 1.46226e-25, 1.46226e-25, 1.46226e-25, 1.46226e-25, 1.46226e-25, 4.90987e-09, 1.46226e-25, 1.46226e-25, 2.21545e-11, 1.51848e-09, 1.46226e-25, 1.49942e-06, 1.46226e-25, 1.46226e-25
0.547444, 0, 2.37028e-06, 5.95708e-25, 1.41421, -2.37028e-06, 5.95708e-25, 0, 5.95708e-25, 5.95708e-25, 5.95708e-25, 5.95708e-25, 5.95708e-25, 5.95708e-25, 7.81894e-09, 5.95708e-25, 5.95708e-25, 4.18221e-11, 2.86493e-09, 5.95708e-25, 2.35955e-06, 5.95708e-25, 5.95708e-25
0.555669, 0, 3.68628e-06, 2.32607e-24, 1.41421, -3.68628e-06, 2.32607e-24, 0, 2.32607e-24, 2.32607e-24, 2.32607e-24, 2.32607e-24, 2.32607e-24, 2.32607e-24, 1.23271e-08, 2.32607e-24, 2.32607e-24, 7.83275e-11, 5.41156e-09, 2.32607e-24, 3.66847e-06, 2.32607e-24, 2.32607e-24
0.563895, 0, 5.68124e-06, 1.42371e-08, 1.41421, -5.68124e-06, 1.44675e-08, 1.42371e-08, 1.42372e-08, 1.42372e-08, 1.42387e-08, 1.42751e-08, 1.42502e-08, 1.43929e-08, 3.34839e-08, 1.42428e-08, 1.42372e-08, 1.43825e-08, 2.44483e-08, 1.42371e-08, 5.6507e-06, 1.42371e-08, 1.47284e-08
0.57212, 0, 8.67361e-06, 6.06244e-08, 1.41421, -8.67361e-06, 6.16075e-08, 6.06244e-08, 6.06249e-08, 6.06249e-08, 6.06312e-08, 6.07863e-08, 6.06804e-08, 6.12892e-08, 9.03932e-08, 6.06485e-08, 6.06247e-08, 6.08915e-08, 7.98258e-08, 6.06244e-08, 8.62037e-06, 6.06244e-08, 6.27207e-08
0.580346, 0, 1.31538e-05, 2.05122e-07, 1.41421, -1.31538e-05, 2.08453e-07, 2.05122e-07, 2.05124e-07, 2.05124e-07, 2.05145e-07, 2.05671e-07, 2.05312e-07, 2.07374e-07, 2.50745e-07, 2.05204e-07, 2.05123e-07, 2.05608e-07, 2.41018e-07, 2.05123e-07, 1.30582e-05, 2.05122e-07, 2.12224e-07
0.588571, 0, 1.99042e-05, 6.36344e-07, 1.41421, -1.99042e-05, 6.46683e-07, 6.36344e-07, 6.36349e-07, 6.36349e-07, 6.36415e-07, 6.38046e-07, 6.36933e-07, 6.43336e-07, 7.05637e-07, 6.36597e-07, 6.36347e-07, 6.37216e-07, 7.02902e-07, 6.36344e-07, 1.97255e-05, 6.36344e-07, 6.58391e-07
0.596797, 0, 3.02793e-05, 1.87049e-06, 1.41421, -3.02793e-05, 1.9009e-06, 1.87049e-06, 1.8705e-06, 1.8705e-06, 1.8707e-06, 1.87549e-06, 1.87222e-06, 1.89105e-06, 1.97481e-06, 1.87123e-06, 1.8705e-06, 1.87204e-06, 1.99266e-06, 1.87049e-06, 2.99277e-05, 1.87049e-06, 1.93533e-06
0.605022, 0, 4.6833e-05, 5.25842e-06, 1.41421, -4.6833e-05, 5.34394e-06, 5.25842e-06, 5.25846e-06, 5.25846e-06, 5.25901e-06, 5.2725e-06, 5.26329e-06, 5.31625e-06, 5.41411e-06, 5.26052e-06, 5.25844e-06, 5.26114e-06, 5.48033e-06, 5.25842e-06, 4.61052e-05, 5.25842e-06, 5.44077e-06
0.613248, 0.985982, 7.47335e-05, 1.41811e-05, 1.728, 0.985907, 1.44118e-05, 1.41811e-05, 1.41812e-05, 1.41812e-05, 1.41827e-05, 1.42191e-05, 1.41942e-05, 1.43371e-05, 1.44114e-05, 1.41868e-05, 1.41812e-05, 1.41858e-05, 1.45787e-05, 1.41811e-05, 7.31634e-05, 1.41811e-05, 1.46731e-05
0.621473, 0.0140178, 0.000124863, 3.67294e-05, 1.41916, 0.0138929, 3.73272e-05, 3.67294e-05, 3.67297e-05, 3.67297e-05, 3.67335e-05, 3.68278e-05, 3.67634e-05, 3.71336e-05, 3.70673e-05, 3.67441e-05, 3.67296e-05, 3.67375e-05, 3.74321e-05, 3.67294e-05, 0.000121386, 3.67294e-05, 3.8004e-05
0.629698, 0, 0.000220352, 9.14141e-05, 1.41421, -0.000220352, 9.29025e-05, 9.14141e-05, 9.14149e-05, 9.14149e-05, 9.14244e-05, 9.16592e-05, 9.14989e-05, 9.24206e-05, 9.19056e-05, 9.14506e-05, 9.14145e-05, 9.14278e-05, 9.26385e-05, 9.14142e-05, 0.000212575, 9.14141e-05, 9.45877e-05
0.637924, 0, 0.000409721, 0.000218708, 1.41421, -0.000409721, 0.00022227, 0.000218708, 0.000218709, 0.000218709, 0.000218732, 0.000219294, 0.00021891, 0.000221117, 0.000219416, 0.000218795, 0.000218708, 0.00021873, 0.000220811, 0.000218708, 0.000392413, 0.000218708, 0.000226304
