   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_79.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.349337, 0, 5.7937e-15, 0, 1.41421, -5.7937e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38133e-17, 0, 0, 8.40273e-20, 5.19831e-19, 0, 5.73929e-15, 0, 0, 0
0.357206, 0, 1.2775e-14, 0, 1.41421, -1.2775e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18652e-16, 0, 0, 1.87983e-19, 1.16494e-18, 0, 1.2655e-14, 0, 0, 0
0.365076, 0, 2.77735e-14, 0, 1.41421, -2.77735e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57944e-16, 0, 0, 4.14975e-19, 2.57442e-18, 0, 2.75126e-14, 0, 0, 0
0.372945, 0, 5.95428e-14, 0, 1.41421, -5.95428e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5297e-16, 0, 0, 9.04158e-19, 5.61144e-18, 0, 5.89833e-14, 0, 0, 0
0.380815, 0, 1.25897e-13, 0, 1.41421, -1.25897e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16913e-15, 0, 0, 1.94495e-18, 1.20663e-17, 0, 1.24714e-13, 0, 0, 0
0.388684, 0, 2.62566e-13, 0, 1.41421, -2.62566e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43815e-15, 0, 0, 4.13193e-18, 2.5601e-17, 0, 2.60099e-13, 0, 0, 0
0.396554, 0, 5.40899e-13, 6.76827e-43, 1.41421, -5.40899e-13, 0, 6.76827e-43, 6.76827e-43, 6.76827e-43, 6.76827e-43, 6.76827e-43, 6.76827e-43, 6.76827e-43, 6.76827e-43, 6.76827e-43, 6.76827e-43, 6.76827e-43, 5.02244e-15, 6.76827e-43, 6.76827e-43, 8.69627e-18, 5.37136e-17, 6.76827e-43, 5.35814e-13, 6.76827e-43, 6.76827e-43, 6.76827e-43
0.404423, 0, 1.09755e-12, 9.72501e-42, 1.41421, -1.09755e-12, 0, 9.72501e-42, 9.72501e-42, 9.72501e-42, 9.72501e-42, 9.72501e-42, 9.72501e-42, 9.72501e-42, 9.72501e-42, 9.72501e-42, 9.72501e-42, 9.72501e-42, 1.01906e-14, 9.72501e-42, 9.72501e-42, 1.80368e-17, 1.10981e-16, 9.72501e-42, 1.08723e-12, 9.72501e-42, 9.72501e-42, 9.72501e-42
0.412293, 0, 2.19743e-12, 1.22863e-40, 1.41421, -2.19743e-12, 0, 1.22863e-40, 1.22863e-40, 1.22863e-40, 1.22863e-40, 1.22863e-40, 1.22863e-40, 1.22863e-40, 1.22863e-40, 1.22863e-40, 1.22863e-40, 1.22863e-40, 2.0402e-14, 1.22863e-40, 1.22863e-40, 3.69968e-17, 2.26405e-16, 1.22863e-40, 2.17677e-12, 1.22863e-40, 1.22863e-40, 1.22863e-40
0.420162, 0, 4.34121e-12, 1.39221e-39, 1.41421, -4.34121e-12, 0, 1.39221e-39, 1.39221e-39, 1.39221e-39, 1.39221e-39, 1.39221e-39, 1.39221e-39, 1.39221e-39, 1.39221e-39, 1.39221e-39, 1.39221e-39, 1.39221e-39, 4.03049e-14, 1.39221e-39, 1.39221e-39, 7.50921e-17, 4.56123e-16, 1.39221e-39, 4.30038e-12, 1.39221e-39, 1.39221e-39, 1.39221e-39
0.428032, 0, 8.46331e-12, 1.42636e-38, 1.41421, -8.46331e-12, 0, 1.42636e-38, 1.42636e-38, 1.42636e-38, 1.42636e-38, 1.42636e-38, 1.42636e-38, 1.42636e-38, 1.42636e-38, 1.42636e-38, 1.42636e-38, 1.42636e-38, 7.85758e-14, 1.42636e-38, 1.42636e-38, 1.50923e-16, 9.07727e-16, 1.42636e-38, 8.38367e-12, 1.42636e-38, 1.42636e-38, 1.42636e-38
0.435901, 0, 1.62827e-11, 1.32914e-37, 1.41421, -1.62827e-11, 0, 1.32914e-37, 1.32914e-37, 1.32914e-37, 1.32914e-37, 1.32914e-37, 1.32914e-37, 1.32914e-37, 1.32914e-37, 1.32914e-37, 1.32914e-37, 1.32914e-37, 1.5118e-13, 1.32914e-37, 1.32914e-37, 3.00612e-16, 1.785e-15, 1.32914e-37, 1.61294e-11, 1.32914e-37, 1.32914e-37, 1.32914e-37
