   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_114.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.307964, 0, 6.18757e-11, 6.30584e-43, 1.41421, -6.18757e-11, 6.30584e-43, 0, 6.30584e-43, 6.30584e-43, 6.30584e-43, 6.30584e-43, 6.30584e-43, 6.30584e-43, 6.30584e-43, 6.30584e-43, 6.30584e-43, 6.30584e-43, 2.32374e-14, 6.30584e-43, 6.30584e-43, 1.43657e-15, 6.30584e-43, 3.6043e-12, 6.30584e-43, 5.82467e-11, 6.30584e-43, 6.30584e-43
0.315849, 0, 9.71279e-11, 9.1701e-42, 1.41421, -9.71279e-11, 9.1701e-42, 0, 9.1701e-42, 9.1701e-42, 9.1701e-42, 9.1701e-42, 9.1701e-42, 9.1701e-42, 9.1701e-42, 9.1701e-42, 9.1701e-42, 9.1701e-42, 3.63884e-14, 9.1701e-42, 9.1701e-42, 2.33977e-15, 9.1701e-42, 5.90827e-12, 9.1701e-42, 9.11809e-11, 9.1701e-42, 9.1701e-42
0.323734, 0, 1.51444e-10, 1.17661e-40, 1.41421, -1.51444e-10, 1.17661e-40, 0, 1.17661e-40, 1.17661e-40, 1.17661e-40, 1.17661e-40, 1.17661e-40, 1.17661e-40, 1.17661e-40, 1.17661e-40, 1.17661e-40, 1.17661e-40, 5.65883e-14, 1.17661e-40, 1.17661e-40, 3.79616e-15, 1.17661e-40, 9.64418e-12, 1.17661e-40, 1.4174e-10, 1.17661e-40, 1.17661e-40
0.33162, 0, 2.34575e-10, 1.35321e-39, 1.41421, -2.34575e-10, 1.35321e-39, 0, 1.35321e-39, 1.35321e-39, 1.35321e-39, 1.35321e-39, 1.35321e-39, 1.35321e-39, 1.35321e-39, 1.35321e-39, 1.35321e-39, 1.35321e-39, 8.73978e-14, 1.35321e-39, 1.35321e-39, 6.13804e-15, 1.35321e-39, 1.56809e-11, 1.35321e-39, 2.18801e-10, 1.35321e-39, 1.35321e-39
0.339505, 0, 3.60966e-10, 1.40427e-38, 1.41421, -3.60966e-10, 1.40427e-38, 0, 1.40427e-38, 1.40427e-38, 1.40427e-38, 1.40427e-38, 1.40427e-38, 1.40427e-38, 1.40427e-38, 1.40427e-38, 1.40427e-38, 1.40427e-38, 1.34061e-13, 1.40427e-38, 1.40427e-38, 9.89505e-15, 1.40427e-38, 2.54043e-11, 1.40427e-38, 3.35418e-10, 1.40427e-38, 1.40427e-38
0.347391, 0, 5.51888e-10, 1.32215e-37, 1.41421, -5.51888e-10, 1.32215e-37, 0, 1.32215e-37, 1.32215e-37, 1.32215e-37, 1.32215e-37, 1.32215e-37, 1.32215e-37, 1.32215e-37, 1.32215e-37, 1.32215e-37, 1.32215e-37, 2.04248e-13, 1.32215e-37, 1.32215e-37, 1.59114e-14, 1.32215e-37, 4.10228e-11, 1.32215e-37, 5.10645e-10, 1.32215e-37, 1.32215e-37
0.355276, 0, 8.38461e-10, 1.13545e-36, 1.41421, -8.38461e-10, 1.13545e-36, 0, 1.13545e-36, 1.13545e-36, 1.13545e-36, 1.13545e-36, 1.13545e-36, 1.13545e-36, 1.13545e-36, 1.13545e-36, 1.13545e-36, 1.13545e-36, 3.09094e-13, 1.13545e-36, 1.13545e-36, 2.5533e-14, 1.13545e-36, 6.6049e-11, 1.13545e-36, 7.72078e-10, 1.13545e-36, 1.13545e-36
0.363162, 0, 1.26595e-09, 8.94059e-36, 1.41421, -1.26595e-09, 8.94059e-36, 0, 8.94059e-36, 8.94059e-36, 8.94059e-36, 8.94059e-36, 8.94059e-36, 8.94059e-36, 8.94059e-36, 8.94059e-36, 8.94059e-36, 8.94059e-36, 4.64648e-13, 8.94059e-36, 8.94059e-36, 4.09059e-14, 8.94059e-36, 1.06067e-10, 8.94059e-36, 1.15938e-09, 8.94059e-36, 8.94059e-36
0.371047, 0, 1.89984e-09, 6.48446e-35, 1.41421, -1.89984e-09, 6.48446e-35, 0, 6.48446e-35, 6.48446e-35, 6.48446e-35, 6.48446e-35, 6.48446e-35, 6.48446e-35, 6.48446e-35, 6.48446e-35, 6.48446e-35, 6.48446e-35, 6.93888e-13, 6.48446e-35, 6.48446e-35, 6.54541e-14, 6.48446e-35, 1.69942e-10, 6.48446e-35, 1.72914e-09, 6.48446e-35, 6.48446e-35
0.378932, 0, 2.83434e-09, 4.44837e-34, 1.41421, -2.83434e-09, 4.44837e-34, 0, 4.44837e-34, 4.44837e-34, 4.44837e-34, 4.44837e-34, 4.44837e-34, 4.44837e-34, 4.44837e-34, 4.44837e-34, 4.44837e-34, 4.44837e-34, 1.02948e-12, 4.44837e-34, 4.44837e-34, 1.04643e-13, 4.44837e-34, 2.71748e-10, 4.44837e-34, 2.56146e-09, 4.44837e-34, 4.44837e-34
