   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_47.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.426707, 0, 6.16579e-11, 2.14329e-37, 1.41421, -6.16579e-11, 2.14329e-37, 0, 2.14329e-37, 2.14329e-37, 2.14329e-37, 2.14329e-37, 2.14329e-37, 2.14329e-37, 2.14329e-37, 2.14329e-37, 2.14329e-37, 2.14329e-37, 2.14329e-37, 2.14329e-37, 6.36376e-13, 2.14329e-37, 2.14329e-37, 1.17435e-15, 1.95658e-14, 2.14329e-37, 6.10008e-11, 2.14329e-37, 2.14329e-37, 2.14329e-37
0.434595, 0, 1.10902e-10, 1.88727e-36, 1.41421, -1.10902e-10, 1.88727e-36, 0, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.88727e-36, 1.14505e-12, 1.88727e-36, 1.88727e-36, 2.22379e-15, 3.64017e-14, 1.88727e-36, 1.09718e-10, 1.88727e-36, 1.88727e-36, 1.88727e-36
0.442483, 0, 1.96988e-10, 1.52507e-35, 1.41421, -1.96988e-10, 1.52507e-35, 0, 1.52507e-35, 1.52507e-35, 1.52507e-35, 1.52507e-35, 1.52507e-35, 1.52507e-35, 1.52507e-35, 1.52507e-35, 1.52507e-35, 1.52507e-35, 1.52507e-35, 1.52507e-35, 2.03491e-12, 1.52507e-35, 1.52507e-35, 4.18827e-15, 6.71383e-14, 1.52507e-35, 1.94882e-10, 1.52507e-35, 1.52507e-35, 1.52507e-35
0.450371, 0, 3.45568e-10, 1.13643e-34, 1.41421, -3.45568e-10, 1.13643e-34, 0, 1.13643e-34, 1.13643e-34, 1.13643e-34, 1.13643e-34, 1.13643e-34, 1.13643e-34, 1.13643e-34, 1.13643e-34, 1.13643e-34, 1.13643e-34, 1.13643e-34, 1.13643e-34, 3.57225e-12, 1.13643e-34, 1.13643e-34, 7.8542e-15, 1.22875e-13, 1.13643e-34, 3.41865e-10, 1.13643e-34, 1.13643e-34, 1.13643e-34
0.458258, 0, 5.98772e-10, 8.03466e-34, 1.41421, -5.98772e-10, 8.03466e-34, 0, 8.03466e-34, 8.03466e-34, 8.03466e-34, 8.03466e-34, 8.03466e-34, 8.03466e-34, 8.03466e-34, 8.03466e-34, 8.03466e-34, 8.03466e-34, 8.03466e-34, 8.03466e-34, 6.19547e-12, 8.03466e-34, 8.03466e-34, 1.46809e-14, 2.23406e-13, 8.03466e-34, 5.92338e-10, 8.03466e-34, 8.03466e-34, 8.03466e-34
0.466146, 0, 1.02486e-09, 5.54739e-33, 1.41421, -1.02486e-09, 5.54739e-33, 0, 5.54739e-33, 5.54739e-33, 5.54739e-33, 5.54739e-33, 5.54739e-33, 5.54739e-33, 5.54739e-33, 5.54739e-33, 5.54739e-33, 5.54739e-33, 5.54739e-33, 5.54739e-33, 1.06172e-11, 5.54739e-33, 5.54739e-33, 2.73776e-14, 4.04041e-13, 5.54739e-33, 1.01382e-09, 5.54739e-33, 5.54739e-33, 5.54739e-33
0.474034, 0, 1.73298e-09, 3.62783e-32, 1.41421, -1.73298e-09, 3.62783e-32, 0, 3.62783e-32, 3.62783e-32, 3.62783e-32, 3.62783e-32, 3.62783e-32, 3.62783e-32, 3.62783e-32, 3.62783e-32, 3.62783e-32, 3.62783e-32, 3.62783e-32, 3.62783e-32, 1.79815e-11, 3.62783e-32, 3.62783e-32, 5.09748e-14, 7.27906e-13, 3.62783e-32, 1.71421e-09, 3.62783e-32, 3.62783e-32, 3.62783e-32
0.481921, 0, 2.89525e-09, 2.22567e-31, 1.41421, -2.89525e-09, 2.22567e-31, 0, 2.22567e-31, 2.22567e-31, 2.22567e-31, 2.22567e-31, 2.22567e-31, 2.22567e-31, 2.22567e-31, 2.22567e-31, 2.22567e-31, 2.22567e-31, 2.22567e-31, 2.22567e-31, 3.01026e-11, 2.22567e-31, 2.22567e-31, 9.48073e-14, 1.3083e-12, 2.22567e-31, 2.86375e-09, 2.22567e-31, 2.22567e-31, 2.22567e-31
0.489809, 0, 4.77966e-09, 1.27975e-30, 1.41421, -4.77966e-09, 1.27975e-30, 0, 1.27975e-30, 1.27975e-30, 1.27975e-30, 1.27975e-30, 1.27975e-30, 1.27975e-30, 1.27975e-30, 1.27975e-30, 1.27975e-30, 1.27975e-30, 1.27975e-30, 1.27975e-30, 4.9823e-11, 1.27975e-30, 1.27975e-30, 1.76167e-13, 2.34952e-12, 1.27975e-30, 4.72731e-09, 1.27975e-30, 1.27975e-30, 1.27975e-30
0.497697, 0, 7.7979e-09, 6.9094e-30, 1.41421, -7.7979e-09, 6.9094e-30, 0, 6.9094e-30, 6.9094e-30, 6.9094e-30, 6.9094e-30, 6.9094e-30, 6.9094e-30, 6.9094e-30, 6.9094e-30, 6.9094e-30, 6.9094e-30, 6.9094e-30, 6.9094e-30, 8.15465e-11, 6.9094e-30, 6.9094e-30, 3.26982e-13, 4.2219e-12, 6.9094e-30, 7.7118e-09, 6.9094e-30, 6.9094e-30, 6.9094e-30
